CampaignID,Impressions,Clicks,Conversions,Revenue,RowHash
MC01862,94973,3694,1591,33270.39,46f51e39206d8369a3a6d31de8b77e18
MC01526,67082,3462,125,44974.04,dff0c0f160b4560da1e8663ecdb27cd6
MC04987,68299,15195,3396,23485.85,8bff5d5274702ffa78ad38402d17f930
MC01366,50987,26835,6296,29641.62,9c8470b91052316a358a2ca55479bef7
MC03411,17255,1430,241,46004.7,7da9450046f408a1c1efdf50f16c960f
MC04329,47722,47285,46323,44597.65,71db4d769fde7184586fdd2fdceb9101
MC04233,90674,15800,7879,3077.46,c101b7295d50f307b460a94250908b12
MC02222,88390,54426,18886,9967.93,517fd98aed0eae988701b513e8f04ef8
MC03720,63131,57782,20966,22080.2,351d3bd6602230cab241f642caa1fef9
MC02862,65395,61707,10558,49817.94,15318632927d06bb908bacfa7408b3af
MC02012,47630,975,68,27908.63,b2f4b208135135aa0645843d54c49e4e
MC03975,90400,53288,53128,41625.22,a0a97e638846b495cb90eda858456726
MC00591,54142,1412,929,47139.16,ee03328fca1778d7a18558da3995ffef
MC02743,37248,13938,13546,48724.98,d8358aa9608984a6904588d3cf664177
MC03668,16293,11912,2417,43393.65,8761256bac30705873207f44af1cfdf5
MC00097,60670,1962,1574,4804.66,5cfac656eff6a34f96229fc5241d3da6
MC04652,97529,8521,6273,30682.46,cf494a9ddeb2a2ca2b8845a028111552
MC01765,39520,6172,2572,25222.15,c66ec84b48551bca93c2d037df78b702
MC04149,96751,96189,28561,14711.46,9ea38aa319f29486e20db65c8cd32458
MC03758,22238,424,97,33793.35,8a7c75b2eeb8cc544b4ec65a22c8bc2d
MC02907,26505,24560,23845,24620.84,d132a1bc89594eb66015b3d2cabe833f
MC02500,91341,71518,47429,24830.66,a4d390bd1b2861ab186b25ad2d0890de
MC04386,44820,28672,1617,24927.27,5cd1478028105f5f816eb4c2fc061134
MC01642,48181,46061,24614,18763.47,3b6a79c141e56d06e8ccafd1f58b6cdf
MC02686,99029,86563,43220,12769.08,91a3206d205d639a973c780caf9ac9a7
MC03149,58469,31723,25770,19175.02,bfd4bf200482bf67ffb0d28c1fa537d5
MC00016,45191,40222,30869,47235.45,27e62b9afadb496613cface43791d7da
MC01744,23360,22860,7322,28245.8,812b69d9f8883f2693f3b578ecbdaba2
MC03377,67781,56705,47225,11098.22,80a7d15e5c205d6e04833d34f8ba9b9a
MC04685,6342,430,213,23653.03,1bf06d057a10a5d623b42247b106f000
MC02357,75064,63118,1309,29441.36,49a920b4ff36764c181412389de82887
MC02410,63560,4318,3240,8801.14,f0c96533ca2be1ac10d9d519688b709e
MC00287,26677,17139,1117,29600.3,17dcb2b781d77cd6079d96e8b86a1fb8
MC04119,29750,5553,5277,30531.91,590c7dbf766ef0f634c2ff03b5b68094
MC01709,43160,3364,2495,2312.25,2b4e5b7f40a2996e7721856f0528e307
MC04868,88226,51216,28588,42921.04,0edb700907c2f549c0cbcc8761a5b96c
MC03606,49804,36226,23658,18102.86,cf98112cdb245ddfcf566ea3a39b48c3
MC00550,47368,32730,20048,46821.13,10528dee182c849d887afb09a65593bd
MC03169,19670,4662,1151,27095.55,4dcd35e48aab6fcef298b9b4b252dc27
MC00969,38268,23017,18563,16513.38,9006741c4677303bbfcd556390e6a863
MC01020,4998,630,4,8623.25,2f8cad739c436b363924399c1dd413b5
MC03541,17483,1867,1043,31471.85,7844332b84b1f657de290476439ce846
MC00159,72266,31897,6746,34252.84,28fbf8a14fced5c174169d1d6f6e3ed5
MC03864,40388,35287,21141,47471.25,773754cd7f699826a6f6e616bc7a83c8
MC00084,80701,19812,11535,41830.17,f764895d2556ccc68de916419b52b0ea
MC00247,17320,4668,284,35629.61,bf8dec735ac16108b2b3802330507070
MC04424,33879,15266,13842,28328.07,3f837ee0fac086258a3e22dd9cbb6b65
MC00222,3828,431,424,30586.14,24b48add47fe12f13aae293d6ac4f199
MC04710,32697,3560,3196,16007.29,ea21f7eecdfd2704cc804dbcbafe0004
MC03343,72469,29689,25583,14021.94,12df9683a723290c1894ab8efbd165e2
MC00593,51174,42390,41799,46790.66,33df850ad9c7d7238c4bbfd6ec810577
MC00038,28452,23354,10583,21303.83,cb2da760400bfff282d75f5405cb4c89
MC04457,95372,11392,6983,39932.95,c8585e3f251c7230fc05603319a01b93
MC02187,93328,70050,6304,11299.37,8656cb4a72faa7ed881400c63251ce30
MC04638,67080,61173,29768,15409.58,33b6c261584509a5b0401946d94320f1
MC01685,91668,67530,56091,29656.21,96d017f84d83a8f00954f953045ecd46
MC01960,25804,4007,2498,28420.99,a2cd344414b9ac19e56f2c5d5ae3ade6
MC01837,74777,27884,19416,47570.0,60b35e4f8a3411302577e4a17c8af4fd
MC04141,58432,48115,21434,27230.53,519e2e022d277b026f25144cbd0a3b23
MC02811,12048,4485,3732,18353.44,11a0c2793a8f4709b7774a9e46561379
MC01682,36138,8942,2357,24498.1,bf0dac4e509dbff3ed4477744a16b031
MC01034,81447,65192,43428,15748.67,b0e07e64118860cf405296002f46e0f8
MC04486,5301,222,44,28790.57,80ab74952883fe973671f00e5ee6799d
MC03733,84397,51832,28739,25483.55,f158820c190b8d98569cf8a50e10069f
MC03298,40721,1362,1174,44937.97,411530cad55c67c57ced341aa2ba8cf4
MC00164,80810,22160,7584,33484.95,137977543084d7b57ca5875bdae89e76
MC00245,15116,1823,871,13402.68,52950ec9e20f8311e2842396cba845a3
MC04176,79472,19446,2833,18242.97,1da4666d09da812c06f888c92a0f6041
MC02299,96218,5142,319,6691.1,22e8c46bad6f16a65dc7ae3b4ad57d56
MC03699,18982,17307,1313,9954.25,7c48157f994ab0558863df419e910355
MC03062,47818,4932,2600,33996.21,ba831fcdeff192ee49878b5c76c0ef90
MC01584,90809,34896,5330,48916.62,5b39f3928b156836e9036692d5b3ab5b
MC02228,4542,3948,2138,35049.56,eb62a4f7ec1e06ada5d041291c15436f
MC00237,94502,2894,2878,1281.43,bb6d3165486140398612fc59ee302c79
MC02411,52376,50214,48130,26007.86,705371899ff0074c7bbbd0cd35aa32b0
MC01441,70768,7619,2887,37314.48,ef53acf99bc8446bc1681c86456a3998
MC00670,56548,32979,13403,46416.34,75d55c7b4c534a712c231f230db85d11
MC02527,57794,16935,8048,21190.4,b43fc7c3cd9750266bb28dbf6dcfb274
MC03021,52304,24893,20102,6803.59,974c6a862a47a64afb457a33aab2db3f
MC04427,25039,541,185,29229.97,fa079a5780f6b1dad15dfe5ce4c13f4c
MC00879,65145,41327,8906,23438.45,8dfd3dbe81926bb3d322495f105d06ab
MC04788,16057,12791,12658,31493.27,37c0b6f803f9cbf6ac0c0722e66e707e
MC04148,41616,14300,4357,26656.65,8534bd3e11ce891b4e3a223e4a59f86d
MC04065,40128,2049,1510,6209.29,3ac79ed0c950de05c0c71d61978beb58
MC02498,97417,593,371,37099.65,cb3045ef531c899ca29556b6870cba8d
MC00435,20716,6226,2664,47419.65,3b85e53c076f202c030c8c72ca8c9674
MC02836,38579,35440,8176,7179.28,f3c74bdea4fa8d7158c3fbbca8080920
MC02544,9296,4977,634,18734.38,c58efd23839b93e76d947ed125c9c6e4
MC02491,9482,6610,2361,45213.07,0a09aa85777c163d10586218ea35eb3e
MC02695,47009,31734,27315,19446.54,ffaed3f26f6de5634f25574376e9f208
MC03980,57351,27620,6807,20743.32,36b575bb53732690ea344a68cb9fd473
MC01306,37214,14713,3667,27901.99,3210025f0bc173969b5ebc5e0176ed50
MC04254,55750,2297,1898,11753.93,60cffff4d071147705c551feb3b4fa80
MC04373,17080,3597,1129,18515.99,8183e7f2f2de7a19cd7972e69512b621
MC04730,15520,14753,7076,42029.36,4783e863009154d26fe0de5cd8068582
MC04212,2010,1426,83,26996.2,b951d63009f99e9ed83a8c2c584de1ac
MC04052,79615,22393,15649,39673.19,e9c32d8be8b060f447aca45de47b623e
MC04365,71853,14536,6475,4785.97,8f0804f5663682c6d52b09e01003f5dc
MC00724,56666,35057,7183,49718.44,e9cd4a7270582a19c063ec2a498b69b6
MC04491,74400,37100,3685,32903.24,4ed1d86aa7403eea331a8249d39447ca
MC01148,52417,3112,2598,12065.64,f7dde073b84cedf45b72dfdee6cba626
MC02465,80511,63891,34265,42040.79,e518532aba0b9168dc95754b5de4e0bd
MC01934,28021,17459,5265,38309.37,ea1ad870881c5162df87e4d91148bb88
MC01987,71296,41892,37679,29366.46,826a482d50f5aa46821a4a99773a6f87
MC01531,31438,27391,1364,3809.08,f57c91f92af3c1f0a5f63f29aff3652d
MC03072,40647,37451,1767,7833.7,a6e5c5ae372673d99e85765c7112f878
MC00501,51679,18324,17437,15355.44,e0f86c688e07bbb7187a876f306de406
MC00163,69238,35678,19770,22325.89,3188627e7053cdcf527c12f1dcfa1601
MC00021,92324,34730,19651,37141.73,ffaa2d7f15204ce2841fe7280995899b
MC01092,21785,17794,8509,18245.96,94137f77b6ed47ff60b5a42a4d03bf60
MC01527,54138,43181,38516,3107.97,c531cf0f55145004d7ef2d2c42493b5e
MC02468,93674,31962,17400,5372.61,f1fff1b24b2ea43f1e1348cf101b2a6a
MC03603,80807,5286,300,10678.34,32a5aeb60832b0d739d195ed9a1b6bef
MC00999,64658,55336,12863,6145.59,8e44e60e9764845f69e96b380234f435
MC04394,10128,4598,3122,22584.63,30913bb1322fbcb035e6afc6e5b3ec14
MC01834,78953,67553,58487,48978.01,10b63ba39a2cd0c9f40bd7babbed4121
MC00872,55991,46843,14540,19403.38,d071bdf71bbda66a3e926b9a003abe08
MC01794,27894,7602,6088,48048.6,8d67b7fba7468503cb034c8295873012
MC00461,18410,4699,780,41626.36,187ec6c7922183adce6eefb45aabe32c
MC03910,21999,19321,11224,2532.12,e5b09361217152b9fc1f2ee17a2850d9
MC03171,88017,73881,36215,18169.55,c7c6bd44bd2aed82380ace09b3a2db09
MC04990,21015,7411,2615,32579.04,ac1dd39fd70f061ec6b4cc3cfbd3ead0
MC04675,81488,46056,2869,21513.77,52a0e70015b83c942abd79362f697efb
MC04859,17972,5782,3169,23838.04,05639a00e6d41a02495456318da48b33
MC02239,93778,33347,27982,36418.62,2f8943e9cbd91c817eb60717822f32ab
MC01876,77313,58450,2729,16503.45,0d8759c57b973daa3ffd77d8da4b93fd
MC01727,58088,47239,191,28140.48,560d4a855aa530611beba66a2a74f344
MC02293,72547,62592,12630,39530.45,5e1d6e4517f21be4c6cf0eea6b9094e3
MC03765,85327,36594,31287,39525.31,1976630c64eec48ea14770ebc9c9e118
MC02586,69485,51705,34155,3954.58,264c63bc07bcf755798bd77fa4edd028
MC00504,19024,2713,1012,23321.15,676b94c42ed9e285ccf9cc267901f190
MC00958,61866,44357,15347,21593.48,83f551439d08c0032772b7e76f327797
MC03613,11417,7722,1738,42214.99,5d43c1eecf7acf760dde71f256222e18
MC03681,96098,95957,2102,16828.78,23412395c4875c27b1c62bf51c9f301f
MC00655,83120,69303,33372,5779.32,53611d6cb0ce9a7df9deba4fc9456012
MC02970,88286,58605,14175,41156.64,4bd9509873003fb5753daf6bdb5ab16b
MC03650,59254,46497,29762,45182.84,98987dc1998d8955b1ffedaf07797cc3
MC04346,17613,2627,1281,26000.63,c1ac98c6f600485160902ab915086424
MC03097,23365,5430,2467,45566.01,e86892e18378445affd609bcaa668962
MC01365,26582,16804,13964,43832.34,ee9fe09ad3df0dca838096e013aa1f37
MC00943,17701,11755,9879,27607.36,d99ede5d4e1257104001467aaf0dc48b
MC01929,75639,4978,1754,26029.04,a7c42478adf469b56e2fa3dd4f9b97da
MC00416,17479,6166,5507,28587.41,8dac2472c67dfb0a8cc3273cc2ca5422
MC03043,10590,971,820,36744.12,b557b54b4bbecd5993ceedf1bcdfa0b0
MC02773,10434,9981,6172,45707.27,2e6c125e08d1db646e617ab649138568
MC04943,94711,32027,20625,46204.33,a5e65587b589a5ab49b64652384e5302
MC04390,61571,13669,1889,6786.17,3400d696ab5a21fb697086b706208e9c
MC02516,71418,46747,27349,26867.61,f5b06a1907a75ad117830d31c47da45a
MC00987,81566,48703,29187,23433.98,0ace36f16f6e83f1fb8c6f9db6b0ed36
MC01761,14611,2350,1108,38249.18,21b02ec7de6c260d7b21527bf9be0895
MC03753,57756,53562,41733,8518.67,bc6ae5af4fd8aa13c1c5267f40536fb5
MC01571,30148,28930,13579,19220.57,8f9e3b4379c6a7ab827d786a42e4174f
MC02580,48957,17926,1168,35336.29,fa514ba50ba5c41bab4165c0129cdbe8
MC04812,61138,4231,479,45759.72,ce28e99d23bced0028328f9ac84a02d9
MC02861,36863,32047,28352,13341.01,ab95f858cfe376691e79d35b7d98fa7f
MC00926,61789,3112,2578,4831.79,f05768262dd188c63830320430653a49
MC04594,42047,35384,14009,48054.67,9cca2af29d1dd4414b58ea88e430cf1f
MC02836,22084,20261,4733,7161.38,13628aabb2a1aab2e5d79c56eaacabe0
MC00553,46036,25022,22254,14793.81,c620d3441c8b6e36ab9e477b423cfc22
MC02764,30874,27809,25712,16676.84,9fa8a2c4c11b56404dee70979191f6bb
MC00871,8640,603,519,24511.15,380f961a1ad0dcf9fadce97eab34c2bd
MC01813,86378,63487,33090,596.76,51f16a77268e018191f238cef6a4a053
MC04403,16487,15373,2221,14643.74,3c237e05ca36942c70695abc1afb347d
MC04542,60431,32250,30028,13908.8,4ee5967187ce0e5f6126fc9c7e46c9cc
MC04170,16408,4312,1997,29230.64,86a51e1f85b8c47035dd03b9ae5d5aaa
MC02555,24474,16349,8352,17792.06,86e9a197166b20960ca7b2d621eb4636
MC00704,60116,34990,29666,42194.03,32940fe67bb9c3c578c76e9a92cd9ae8
MC02081,36088,3158,7,5752.85,9b155661d28067cd9177f61013b9bc41
MC02769,35810,31456,23464,14110.48,7ad6ed5635dcad93b5e7f1ca601c9d22
MC04446,7930,353,80,10960.87,63feda3eb71de98033a52f82856edc05
MC03694,27369,4149,860,2003.77,1cc4b477ec97a5b2baff1bdb8e89cc2f
MC03384,95099,18297,4070,36977.78,7403b3120948181afe52ecfd80c796d2
MC01084,2172,426,216,20580.84,3622e37175d663ab48865071ecc416f6
MC01622,14074,8579,5393,22545.33,b5baabbe5f357019547203be9b4bca4c
MC01599,44390,20335,18423,38550.2,709957d4c3743d302cf112869eac1adb
MC03918,18333,429,183,35589.64,0852a5a90897eacf4936398e64d2d5c2
MC02669,87607,71734,48540,9267.37,ab1661d866e69c9041cf442753e3f6fd
MC04495,80566,72556,67540,3819.14,72171a8ec3a2d33fddaca81bc4e3db82
MC01093,50258,34687,14722,25892.58,2b6c5d3d7dbc220f3a6ede8520a194d4
MC00393,46875,5084,1422,20346.64,58a610b562be59419028406b4d24a12e
MC00179,92462,15682,8587,8206.48,445c307cce4705c80a6d658cd5463fd5
MC04033,26403,17785,6849,31712.3,4e3b752589ec2a1ffd43a7bf1b4bb5a4
MC03680,97185,80936,16955,38076.53,14ff0a2468504656005e16f9d52a6c1c
MC01202,6058,4738,948,29584.27,350b411b3728208ba122aecb20d61329
MC03559,59430,43297,927,27539.76,0cb766a20e7fc87e5fd6b5c3a96853b9
MC04092,97548,26012,23125,49392.53,fba0fbfea1a2033da9e9245a2516b547
MC02248,14719,6034,3258,610.56,0f51eae6c11c64a6e0c3747a57706cf5
MC04375,46455,16558,6856,36839.02,a13d77b4b4ef1eea499a8d4ae2a4582e
MC04367,96446,18468,490,30383.38,5914699bb658363507ece08846ec2541
MC03527,74746,30547,128,24845.61,a7b0b12e71fd6620ca19bbc9268dfb6d
MC04332,27603,9118,6172,38465.52,1f6e34f7e6358c113ca12a95e9e07a91
MC02904,36266,12490,4893,22684.0,575fc4f078040b7ffc35ca8622c985e0
MC00593,19356,15590,9923,37021.39,2c7f4283920eacd2c53e534a41c39a4e
MC01552,75537,31451,10431,27493.42,c8511f1c86b70987c3b3ed91f9f95088
MC01839,89681,23265,12308,20224.55,c5f8e05df8bf94cdc0132a0a48cd0e33
MC04068,52874,47684,14732,19614.2,0930bf80163b9b464146a71591a83c9d
MC02285,8384,1856,1535,30345.83,d3d267bf19ac87eaa68722502ba1de35
MC04674,22661,20800,16167,9299.45,43f50529b4b55cfc37306be97993f883
MC02515,58841,46076,39519,18340.02,c7d494cc7f03df953b8591d8aec8d2e7
MC03720,76149,33181,21992,23143.49,a92923c076a74d2a626638226f4feec7
MC03735,69098,18559,18380,34270.35,9d16e43eb59375e44cae409d11343581
MC00430,44511,19850,310,14666.89,35a9d50313ebf90ee6ba9d34c60f3048
MC03850,48171,24253,10229,18667.04,a5ca20e3919a2ced5f1e1dcaacd002df
MC02136,37550,7625,5093,42484.28,7340bf0daccb11b7d725b24d7d4250b0
MC04667,37509,24274,9035,10674.44,096394fc850a30685e6536423c258e5c
MC02951,25590,555,479,5158.41,ad752d3a4670954f7a60e70bea867637
MC03193,30562,20467,15205,5034.43,5e84355c3762d0f3a706d350bcd098aa
MC01737,70139,6874,5734,26043.67,74bc7bf05655f3b9a0a3bd2a8a1a118e
MC02433,51270,2968,2683,13601.52,6fb0db3f94d3bd43dc2da9fb95fb43b7
MC04220,59941,49752,9530,24804.01,56f54ee6ef8262dc16c5bb8d9e5c5e7b
MC02928,30238,6724,6119,11160.49,1db784ed6af9b181f028849aa2a71974
MC02905,47603,25927,9666,26177.67,c6f804f7fa70f0eb820ee23bde9fda84
MC03113,21123,4588,1955,14652.96,b312b63b688adb54296a1dfd2af11158
MC04399,53131,29780,10510,40552.8,0682b768f2a510ab5e43b7cd702bf4be
MC01052,40868,4184,3055,3593.45,685ab98a26d54c00e8fc6d9511f31f1d
MC00364,62878,53581,15452,34980.83,ef1932360c4ed2e8bca102c3967433b8
MC00212,67837,3167,998,27745.63,a7bd153313b7742bcdf7cc8e7d6c5812
MC00521,86954,15911,354,585.13,ded5a39009891f228566856ccc99c4df
MC02710,58766,15256,14137,15033.34,ef519ca662b9854f47fab97d43b0c47d
MC02490,58920,27028,19620,38070.57,34b949871c00f6f7ac8374bc841f4460
MC02101,97561,73530,45544,45305.69,850fd9d749f50cb7cc90d0d5f853263b
MC02648,72597,21796,18631,20028.06,7202a431a5127f570aeef71f8a59c6cd
MC01726,90233,14752,8495,18570.13,dd5769ba12dc20c0c3bd38fd43d8b520
MC04789,15875,7611,1481,27719.6,ad5a138ec1013922ed929cd8a4803354
MC01024,5178,3275,1250,11090.79,a90745b8adeb7b3ce38b2143f91a1003
MC04291,87094,73902,28840,12282.26,84575b2af24165d57dbcb4619ab8e8fe
MC00956,24202,1033,795,22573.1,a7bbf85cfcd533abb70286c502f23089
MC03790,17612,822,297,5411.83,ecf04d8945e5ba44d3ed31d4e96e530e
MC02153,25681,476,417,42958.49,d8b891d559ba5ad3f02e6d4ade30b718
MC00405,58771,41160,39751,44536.98,c730969e888f4f1eac3a9b0bdddfae7d
MC04895,11526,1576,1278,23620.32,e3e362dd1ee70729bb2594d7da1cb9dc
MC00880,97418,82090,47551,36258.08,647ce7b8c78fe447904ce80f23f8ea73
MC04888,51542,45039,20296,37081.34,7ccd6e66207a2e552c0a40bc5da72613
MC04207,11244,8181,7530,11978.6,b90fe2023182d0853020eacdc5378104
MC04198,38906,5916,3952,23570.69,5feb39f86da6a70d2bc31b0720f8bb53
MC01225,24603,4726,1899,20881.67,e133528278d9b7cab9ffe9bdbfcb52a9
MC02659,99637,95174,6392,17525.69,2b2e073f8fd3654a8d819018b0aac5b5
MC01330,62845,54787,6233,31280.75,03cd8db189803bc66d3cae4996ddb8a4
MC02054,40686,3895,3458,33103.76,c02b51f014087661a4067de3ad613b14
MC00119,85665,27490,15767,14556.67,f846c9fb0acd34666599ab1a917d5139
MC01790,12982,9587,279,3272.35,1ae2aa7307d0a59b764a19fca9730d43
MC04071,72185,30530,6616,43536.88,a33c877b86fbd2ce4871ff82e0a581e4
MC04493,12227,11994,3301,968.6,d59b16c1952c9de1d2215b7e7f757e66
MC00882,23503,9364,5312,47807.23,c574c1629a18cddb127ff2e0b17f6a6b
MC01081,2808,444,233,24353.6,27b04f662862ed73cf8ec4dd645481c1
MC01716,92693,53619,47891,48505.7,a68d49bb532798f2b1bba6037884f599
MC02391,87526,56534,50804,28443.65,a095ee820dd82e90d18c65e4e9719356
MC00270,23401,8399,3194,38206.29,797b9a1ededb7e2a15ee91a0d6569f74
MC01057,46464,45740,5718,49123.79,5a02eae21d906957cf042f486c811bc5
MC03552,43639,37349,26926,7832.3,ef73a845da1d6fde1a3af8cac0c2f828
MC01133,57297,23107,6658,45485.72,42e3e9bbfe66c38e9e9a7284476a1c2d
MC02319,10505,2164,727,3500.69,56dd5a2414b308c3cc9b6a8485dfde57
MC04097,90513,28634,26117,6691.31,a2b26949662e366952e6421db8bee3d6
MC01364,37680,28560,15159,27080.88,b39c9bd447e3acf3ce0ea599e21722c9
MC03378,71969,11550,4371,13929.9,00aff2754e76d2070323967b9a2f6bcc
MC03827,5111,2236,399,41983.06,deb3b91acd7ca4146420f868d4eb20ee
MC00195,74332,21415,20419,36610.08,165f88597ef4cb75efe4d7f18309c39a
MC04405,16781,5383,1771,22583.38,6cb67a8a15034b01b32060442ad48690
MC02239,3489,1996,997,33935.14,a3b44a8c64666ffc5687721b1a58722a
MC00084,8640,7155,6359,15054.08,beeb1d45e09d2737fb11899cb9899b2d
MC02889,17805,4178,3072,42914.31,82022b2d2080193190e9c291349172f3
MC04644,78355,55404,21892,48565.55,eb7524e496afddeb680b3da81bf19368
MC02181,58358,14218,2066,4971.45,08d8f9400461817fc5d8f7d1258a23fe
MC04510,84066,25368,21528,35155.97,c75a1d8e44db8a7539e5745f1de9827c
MC03976,5739,1630,1182,1592.45,a67f18fd096ca4ad957604d82ea5a469
MC00280,76998,747,25,45031.69,2b92794cf8539d1a876fdf7531f3ee4d
MC02766,24687,22322,8224,20930.07,be88a4d645a2d89c395f74f5f5b94727
MC01419,31514,3518,265,27262.32,b1184daf9b6f79ab7aa3d1842c68210c
MC04774,75873,38983,29330,10880.26,c7c75d0198b120e3e1410d1e91c5836b
MC04169,97324,41096,16843,33455.83,f58d1ad1ec937caab249d575010a0a61
MC04883,24561,13532,5289,7839.57,7092c09ee13828b801b1609a56591a57
MC00886,96499,33624,24860,40386.66,67f6e8d859ee8c8d52aac6855a691ea2
MC01047,54578,28951,14258,9345.05,86a10e981b015974735646f7ebe8b947
MC01039,41393,5135,1037,49651.69,eff3263a9537f867ea04d6568b958ea5
MC02497,63645,21093,19871,40277.57,1f0998050f612fb9c8f637db934912a8
MC04066,5015,925,165,32745.95,e835e2fb20e7b7a0ff8e26e8d9896be1
MC00283,66563,36090,31050,34524.4,36c5f64c5b5d6132917f4ef9eec3708e
MC00782,30038,21044,5016,11748.61,b666e945f5655417d0152cd56ace0a97
MC02842,85983,64202,16097,26970.29,7440b334c6e45e1e564ff2c6be58a393
MC02917,77463,45435,12907,12180.86,a694f194dcc9672a1853d4370883b0fd
MC04279,76834,8607,7361,36233.06,13b67190328dcabaf4536e2db0ab5521
MC00730,58494,33755,15451,19742.71,3e84a2aab70977039f92914873916dbe
MC01495,57084,26154,22643,46285.87,a9d79dd51312a9647ecf9d3e4c5925db
MC01569,74020,2261,1410,18169.71,538d97deb474eba35a9795970a4f7fb6
MC03189,43922,37499,34803,26114.76,7788e7f04ba60b75e28773b52de23612
MC04333,61899,49715,12021,22370.34,50b491da3c1e466daf4283694af86d1c
MC01749,3451,1041,590,38746.74,c79080b43477fad49ab5f02a3671198d
MC02771,79138,34064,20611,14788.72,c661150dbc541204b85f2310a5cf02aa
MC00678,65648,43902,33834,17818.4,6b3b30b284c316952bfef63251fc07e1
MC01845,92583,59051,44364,35910.21,1af9771ba28008d760ca69436e1e2510
