OnlineOrderID,CustomerID,OrderDate,ShippingMethod,TotalAmount,OrderStatus,RowHash
28,1046,2024-07-13,Express,909.22,Delivered,9449961658ff361586b0641b1d62c22d0002331a02ec56ce62781991666ebc3d
29,1405,2024-09-23,Express,151.65,Shipped,90f0fa78a36e2ea5c75a4a52b8603b9d49020439d08a7f443998cb3f237311f7
30,3678,2023-08-27,Standard,699.92,Returned,0e2eff153e42512faaf833c3e00cdfc835da353a299c845a136b04b8bef2ed04
31,2912,2025-01-29,Express,262.34,Pending,1619b88c930c5182a2ad95fed997b6cd56e5731dda11db410a9b5645b5005c26
32,4316,2023-07-11,Standard,777.59,Shipped,0d70ddf0c2f160b44e454fb65a27cf16434d40645588edd1ddc107039406d803
33,1404,2024-03-22,Express,939.15,Returned,19be92e4aee869d63b6ce0a64fd3f323687946388216aff99114034f85ebbc24
34,2803,2024-07-02,Click & Collect,198.73,Returned,588d7616e4b037945c1528444dddb68f0f2906a763dd91381b02b4c6ea76db56
35,4734,2024-02-21,Standard,869.51,Returned,74ae800d11e76f23ca6548214fbc028bd57c899eeab8d74be1b7ab420aea67db
36,668,2024-02-08,Click & Collect,792.74,Pending,077744be49f7b66e33167c3e35ed86b5ba798cdaa57d10ab9babcc4db5baecb1
37,678,2023-08-06,Click & Collect,785.4,Pending,85c190d1fd4349c697b149aeda84e20fc2ba94c86a688e99a83425f6b061824c
38,2177,2024-05-10,Standard,689.27,Pending,33351a9753ccb56d8f5b10dcfaa97882dfaf714502e077fef2507e795f9146bb
39,2243,2023-11-20,Express,168.11,Returned,fce78a0a9f949fd340d0251e0647428ec28374f6bf0c61cca33aa855ac8d41cb
40,221,2023-06-07,Standard,576.24,Shipped,a7e3233714df2fd44b0bd0755fba02a2e75724a9c6160b1b7ad1b648ab22c8f4
41,1878,2024-01-14,Standard,238.52,Delivered,edbf316790b64296fe398e817de88a63eb34d364414ac34cda31d7b32b868f78
42,2650,2024-11-17,Click & Collect,228.23,Shipped,b1c6da03d9900c319cfcf7e1565df1512a1e3165c561bdbc507ad89eed09f0bd
43,142,2023-08-30,Express,807.47,Delivered,7edf5c2a3bdbf68f4b2c91f51d1fffc452888af80af84bc977aa7775d2d0b52f
44,2966,2025-01-23,Click & Collect,337.96,Pending,b5562df816e5989b11d890de2a7c31d4912ab23c49d39d9c1715e07cc3cbab56
45,3781,2024-09-02,Standard,428.18,Returned,7c1ff4cd06aef9182b3b9206b45f73872afa98506f9e0c84e1f5a6713b897d8c
46,3674,2024-04-24,Click & Collect,145.53,Pending,fd7ce265003f7ff97c001cf23ca753c27888e1dea3bf22fb08541302fdb068e8
47,2260,2023-06-30,Standard,743.89,Pending,fdec0269125fa52a73294ca1bd2add833e8c6a75ad609e222539bb079f6fdc66
48,501,2023-07-31,Click & Collect,966.68,Delivered,893bf399feb9ceefabbea135a41994d917a07f07f590a3b3346df603621ec94a
49,2593,2023-10-10,Express,224.3,Returned,708d441181af172071094c0a1c3302b376f07b65ba32867da24b5857d1dd6846
50,277,2025-01-21,Click & Collect,151.37,Delivered,8ae5e6c8cbb6b5e6afc71725292f11ee8c0234439feba40f87048488e8330f78
51,4977,2024-08-21,Express,306.89,Shipped,86dad2e3e05cfbe99dfb208b54cf28bc131336cf41d5695c27d27f753e962969
52,2291,2025-03-30,Standard,959.9,Pending,339ad663b2bff391112bf6c458a154736e1d6028a2784eb715ee5e2209e1e058
53,789,2023-06-12,Standard,207.82,Shipped,1d409bbba6cb75efad1a0d7d7327cb37b1ca421193486a514db3cd40d152995e
54,4119,2024-03-27,Express,537.43,Shipped,8cea66114b052b2badb6941424b0a050df264c9e4ec70d0364d03dba29aff72b
55,3693,2025-03-08,Click & Collect,115.21,Pending,0e0444c44850acb192fc34a97c9916908ec29e588216a6cd5d156f927cb74e25
56,2225,2023-07-19,Standard,834.28,Shipped,962f36e57cd6327c95f19ddd3a1b135cd1c8650fc00ab6e0435e526e9c8e69b4
57,1188,2023-07-19,Express,356.42,Pending,3832c07f245e90945e2e4b9ddbccc3d5669447aff09fc7abd3ae7d259be17e72
58,3429,2023-06-10,Express,994.04,Delivered,f62da43b84226ff58822ea126d530f110e567004d5e3f5c6a64c0dfba7d9dfc5
59,3064,2023-09-16,Click & Collect,220.33,Returned,f635bb6813768b9b05836388fee85231248b6b66a08cf506d8badcb0ebe72f5e
60,2887,2025-02-10,Standard,582.65,Pending,321bff0be6c36be9c9078d85843b877157b8f14a409143723dbe79bb0b732403
61,746,2023-08-14,Standard,942.96,Delivered,3d11d7d015c12d549a99378c4b0733987393f2a58200259ce367af6ac2212ad1
62,4325,2024-02-11,Click & Collect,197.64,Returned,de6d0f89a686f81142eb9c46f8c39a8e52783d131290f0ca739e5feefe65dda0
63,1386,2023-05-28,Express,623.45,Returned,7a2076fe7b4d7acbd6f273ed7baf1f8e0782d4b35c32e873f866821b2f7f6c76
64,3443,2024-08-12,Standard,739.09,Shipped,24a43a73a5c62beca6bed08c7e13c700a6844889357395939bb400512e69ead1
65,162,2025-01-02,Click & Collect,433.66,Returned,cf7129afbe09d58332c47a0aae27fa24e8d50c253c9ec93e514c46ce23e7992c
66,1899,2024-04-15,Standard,90.87,Delivered,55dfc2a6903459e75422d2a9685b251e2c2daf2b1563566abe8fd33831d20ea8
67,4808,2025-04-25,Express,273.37,Pending,eaff9a3e0d438ef6c850463fc6fc7850bd9117915b1ffe2208956b430325a846
68,4796,2024-06-23,Standard,544.11,Returned,d62ac758e0d8276aba35e50d3ec4e3c328b1bbb5ed3940e81b3dc3162aa5920a
69,7,2024-02-17,Click & Collect,962.63,Shipped,267fd842bbc54b002e14bcd1fa010af38b96dd6f7e35332e4ab282e7456557e6
70,2863,2024-06-19,Standard,300.6,Pending,04b796536fc329c1145637b7f951d0622a8b7dcdbc3c15d8738e4a8177577c55
71,4041,2024-07-07,Express,113.66,Shipped,b8fda6705a80a8adde88b5067da01439c7e5d51fd0b225145731dc0034b227d4
72,2988,2024-04-03,Express,39.15,Returned,1f1953d6637add0c252a0e6c7e9490a1d0a11e17d623b8ef15495e0591275777
73,4400,2025-01-09,Express,204.97,Delivered,20a02a4604d6ee8dd9a46e72bc5a74a61bd85522d48520fbca2c41359f76d8f1
74,2615,2023-07-29,Standard,436.23,Delivered,39158f24ff36cf6bda370480f4460e7a7883841aee9ba4a99f6ffc4e524fd430
75,3929,2023-12-01,Express,382.71,Returned,ed45e60ed1c1f92c380d31a89c4a998004c4553d11c27550b525c43f7a8fd56b
76,3516,2024-07-31,Express,894.69,Pending,6ba2884f90ba35daefbc176f9b6df926520499e73bae79148767895644c4dd66
77,573,2024-12-16,Standard,916.3,Shipped,3be399e87bb1eaf65485ed96abfec6951f745803a270997c33a934d42568c164
78,1492,2025-02-22,Click & Collect,972.05,Pending,15688633cfebd8498c9b367f60b7998b39ed1af02685eacbd1b40ef9cc201134
79,2749,2023-09-01,Express,773.23,Pending,2ce4ffe067b6e275de415c851eebe04a0e30743c1e6440551f72ed34153b7e40
80,2979,2024-04-19,Express,959.75,Shipped,16e8bbf5e0c58dc0231886bc61971447e9ebb6e007bdd3557fb56ab7540b765e
81,3934,2023-12-17,Express,101.29,Pending,93e5619e3e1cc36d885b8c4b8988e049f742b566efb2a2007d274debd9fc3cd7
82,847,2025-04-07,Standard,968.43,Returned,8f01657c4be23ed8af25b6d95f4ac1e1cff16d9379ec2e5003baa88d971aaf97
83,411,2025-04-28,Standard,236.42,Shipped,cf88828c3dee491da9462f675c94e2931115b0e544803f82ac442311169b8f06
84,2814,2023-06-17,Click & Collect,233.8,Pending,56a07af639562c88607c2249c8b4636daeb2834220c399bab7a60a1b1f96219e
85,779,2023-07-30,Express,70.37,Pending,279e3fc95272cb2548de1048114ee81717f003f02e9e9280e642ddf6172ba418
86,592,2024-10-23,Express,416.06,Returned,ae5d223388006f11453bfc017067d86d37c8e34b5e0edda3dc09be12389813ae
87,2977,2023-06-13,Click & Collect,425.46,Pending,56b9853d3cc7e35e23ce8b2a285195e4d18ce9c7f38b4429cedaf24801ff4efc
88,2514,2024-04-20,Click & Collect,438.64,Delivered,a63cc9cc55170101b91c7366dcd1cfcd23cb7c33ae591cc846fb4520bf393c4a
89,4867,2023-12-04,Click & Collect,943.77,Pending,23339b04f2a03fd676712a12faf7575dd852d5853fa0a3b7f4290df2d3a8083c
90,873,2023-05-12,Click & Collect,553.77,Shipped,5dcb143ec993449c34e6bd3b0842b2402e7670ba8b34a1b9c0cf7fcaf40bed9b
91,4926,2024-01-05,Express,930.12,Delivered,1fc044186d8167e15903fcb3798b02479876699d67d51b0a18935f3908d7dd0a
92,105,2023-11-20,Express,303.87,Shipped,78e7f38f694b9edee4d5454032805ee21b5519245a7bb048b363d6acd7de8922
93,1305,2023-10-02,Express,843.55,Delivered,7d839ea1ee15699c7f42adaa97e4745602e5ae05717621fcd4c3f26cab8da699
94,650,2023-07-23,Express,578.45,Returned,dd996351f316eacfa6a939df7b0b890e04f7068250eac755fdfd490712e6554b
95,2569,2025-05-06,Click & Collect,79.19,Returned,900b1d9252484261cf4edaf4f7a4fa4412c919eb9c0860c3ddda2c992749e7dd
96,1693,2023-10-11,Express,462.91,Shipped,331c4c461b385d0287f39cad22934823af80f19088cb47f4b5749a6b19a51545
97,1935,2025-01-17,Click & Collect,319.86,Shipped,df150dbb234cdab69b3eb17a04899475955022d0eacb9b0f8e3e9e6120323d60
98,3063,2025-04-22,Express,711.15,Shipped,9c65f1c8def6cf3a3b4aa5bf65d5894d1b0151779c106ec2cd34a10c5667c79f
99,3245,2024-03-02,Standard,215.23,Delivered,49b3b49a2aadbafefaa387ab5d6352ad44fdfc898a072e32856308582441686f
100,1527,2024-03-04,Express,321.52,Returned,6a7de97bf14dbf2f5fa2ded621e04448ac8e44246708918071bf14c82123d2ae
101,3027,2024-08-21,Express,758.86,Delivered,a7aad0ba37107b33411edf84afeb2f2068d4712f6957b2bbb1373ae3a90cd3dd
102,393,2024-07-08,Express,300.97,Delivered,ec46d8efd72f34b9a71f5370488c6c92b0aa6b8c59d4a7ab984cd43a1589f2fc
103,1329,2024-07-23,Click & Collect,538.36,Delivered,65b92a0358dd9b098f58ffdc7753795ada04a19a649f2ab73d052a76336e69a4
104,35,2024-10-03,Click & Collect,987.73,Shipped,cae776dd6f398586be85dd9a117c61dd130589c7665dc5eb89b66e00ac4ea041
105,4597,2024-05-14,Express,800.08,Shipped,397578ed773aeb74e480f0b35170a3a9ae087f0d99ff2dc57bcb94eea40d4dc1
106,642,2024-07-09,Standard,736.96,Returned,52b34bf8712dd33b8ce5c00b6d372969f6d031ac6d3d4f36e2f9d8be86607eba
107,2727,2024-10-23,Click & Collect,686.22,Pending,443bd1f671716257e7dba5305130f075d8a80949296c2f515f78ac0320655a02
108,2907,2024-02-05,Click & Collect,51.27,Shipped,7cb53bc1685ad5e983052936b8474c60851b7074288a7850ac6d26ccb4113c8c
109,2947,2024-07-01,Express,221.52,Pending,41ffc9936f4a1ca31b8c4f511f31c74119f26f88a0a0d12afe27b927d32f4574
110,225,2024-12-02,Standard,685.37,Delivered,01e3e9caf19d07755e2896445e8c74daba0dea1ae0d3174e5739f6acbb6349fd
111,2033,2023-06-03,Click & Collect,910.65,Shipped,72251877c75a1abe18dc958e2733e6f6baf395b2901b79dfa9d197505214f5ca
112,3431,2024-03-16,Click & Collect,581.73,Delivered,5bcbb9bebb0e41198642e9b521d063764e2f892d0db6dbcf7c1866db9800bf07
113,4723,2024-05-25,Express,326.67,Shipped,e8215264f5256b7fb787f7ac26a1eebe60207bd91ee635e22694a4ac0369847d
114,3873,2024-12-27,Click & Collect,836.29,Pending,0d8d5e404b7158d9d6b97a76ce098ec4e690be6da4c5458177c129f9bf2327af
115,3128,2023-11-14,Standard,929.48,Delivered,4882ebd45df4a6db1d4fe26832848e8942a5e02bc94b59f3aba529149f430bbb
116,1165,2024-12-08,Click & Collect,734.22,Pending,29d884361adecd27652a3eb1b920da99b185357b61c6710d9d12b58a3743acfb
117,3290,2024-08-04,Standard,881.35,Delivered,972ddfbe406200d8656d82681ae92f46780b9a5a250299b8d3fb42ef26059a3c
118,2038,2023-07-17,Click & Collect,284.56,Returned,6ce27a7ab4a2f451e89cebd579b5bab5bc86b907baa3681ec6ceb50e088d9ab7
119,1033,2023-12-21,Standard,202.79,Pending,d9630e769e330ad2bcd01e38612966ea71a96b6dc4755e3998f33d2feca23ee3
120,1165,2023-09-25,Click & Collect,741.0,Delivered,03d0150dec35506d2cdcb7b273e0d1f8444d5d866e8984d88127a8e5d69db4ce
121,3236,2023-10-29,Standard,192.78,Returned,d19721cb4bd00d3ca265f9230ef37f2947fd70a37b79dc8276a77ce5f9236207
122,1989,2025-02-04,Click & Collect,363.54,Delivered,d5d738d8679aa07925e19335bd371054d8734571b40e45d98a30d0f52e604688
123,2243,2024-06-20,Click & Collect,593.38,Delivered,de14fb72f4221545b44f44bdd4e497e42dd36e4654c4d805d653e96ecc68329a
124,3036,2023-11-02,Standard,519.1,Pending,f00001e9d1d46e01a1262701b1fa1e3adafbae9a4ecf186772e1158a01c20b1f
125,3563,2024-08-05,Standard,284.47,Shipped,b0fb0654a4977e09cf10ebb3c9227ec5990853ad15e55388cfe29cb58713517d
126,3519,2024-01-02,Click & Collect,609.1,Returned,15f261dc2b308ee8dd9436e8aee799b97f4374df6026f6d1a30f28ee8c7dae0e
127,2270,2024-08-08,Click & Collect,121.9,Pending,075cb7c8283dc4a232890c7921273364c37a745564068e26481a7d5b621ca323
128,1275,2024-03-20,Standard,490.14,Shipped,253132ab676440ec364871c88cad4f11647ddf30f61ea3a4314f94e636811bb7
129,2341,2024-05-31,Standard,992.56,Delivered,f95f85f9b95557ce68d9b32e66908c31ded05ad0bf412107265b5a078441c011
130,1312,2024-07-10,Express,682.5,Pending,9a4b8df6748acb06de29c037972b960af329465cc1332a929793a378763fb16e
131,1176,2024-07-30,Standard,713.8,Shipped,9068b1af63491ff264aecdafaaa0833aae773e05edb17f1d4b9322e29910ee9d
132,2395,2023-09-01,Standard,331.68,Shipped,f91fe1d3f32ef87771564072b8a1f6caafa9edbaf019c6116a8de1f308c347c8
133,4263,2025-04-27,Express,317.81,Delivered,68ef4d3784444f2b4b70e032656b6922a3da82e00f419ca14e5264f57bf6bf71
134,1794,2023-12-24,Click & Collect,181.87,Pending,fc2c255152092767a070c930a4a0043c45ee892c7b3037cc0a029e3baef1ad51
135,1074,2023-08-26,Standard,424.34,Delivered,17f102c3db8499bd37ccfd9db2d70f60e6e5bbdc0da52b4d77b269f4acb1f7b7
136,3493,2024-04-21,Standard,843.42,Returned,1b075acb9dca5033582951585a95388602452c8f1d9bbb5934e628701f44a85c
137,4119,2024-12-08,Standard,292.14,Returned,403356a1d11cc800502b1c48385b0236582654d0fab7233f7a76bdc670a8abcb
138,247,2025-02-09,Click & Collect,175.88,Returned,83ec221561da8a10775df4894d35dec90eadc8a2bf4b5966036f3e4aefee6aa2
139,4441,2024-11-08,Standard,330.06,Returned,f61052c713922bd6517c418a40631515358128bb237b648eb7667abdf342ec00
140,3371,2024-11-30,Click & Collect,455.75,Returned,4ad8a40a76186b7d69bd6512a03202ba14a4da7461a6e65307a7d646e21c885d
141,353,2024-06-07,Express,675.09,Shipped,ce3566463958ee4d789f080e75c6d649a43d51336ccaeedf9329f35d66c261a0
142,2268,2025-04-18,Standard,302.55,Pending,8cd81dd3b92c154ac2598051a4f0223c779c79a2388a41171344779ca658fd40
143,3777,2024-08-16,Click & Collect,376.54,Delivered,8a81c5587617e95e5c721395c387d947dbe9fab6c38e3828be7d7959f567a02e
144,1371,2023-10-19,Standard,583.14,Delivered,d2fb4acbb40a86240bfc90fad3a8e60d13746b4408275e95d2d69eb9be4b9bbc
145,2057,2024-01-07,Standard,483.86,Pending,cc3c667a415ecd5d1db96f07cc50ef4a79d214bf3b79ffc342b01761b856393a
146,4514,2023-08-22,Standard,477.66,Delivered,69ea9a99670b4f35d58a19e0e3ecc95582bce587ac85f799a3b408c281e025b7
147,2414,2024-06-24,Standard,899.37,Returned,be11d4294fb47bc722a7a10866a7f29aa6a6dca5a5298aa4d4f079a60ad284c3
148,4261,2025-01-31,Express,187.7,Pending,d71ea288e4eb5613c0853922e42148cbd1b42b307f9348d70afff4f586e31b5d
149,1124,2023-12-29,Click & Collect,932.58,Pending,d4f4c5613419839594f8f109bfe4ed8854eeb6ed0830c64fce6371c0c8806e75
150,819,2025-01-19,Click & Collect,270.27,Delivered,3984bc6e487a77e0765978be5b0ff6fffcdb52d83a547ce48ad9ad3733683b6e
151,3139,2024-01-24,Click & Collect,436.53,Delivered,c671fc162104d4ec88e089ba9df8df93d64bd1762cbde9864e1f27bf35823957
152,3348,2024-07-11,Express,700.65,Delivered,395abe11e02e85283df7ab7d21e61ba34d8a1fe5d6ade0269ef19cc9a43091c4
153,4119,2024-11-10,Standard,105.68,Pending,f5778319a7f3493adb3ce8c3d8bf53b93778e4f4b921e6fca866412ddd55067a
154,187,2023-12-07,Standard,708.79,Delivered,7c53de938da726c4d88a8a0f940df679c2e469632f296058a1edac7698ff88ff
155,2251,2024-09-16,Express,802.88,Returned,aa08ee9d3df852de178f740db76a24f92a87a241414bbd8a5bdb648c28f75dde
156,1904,2024-03-09,Express,599.81,Returned,3c9c9307a0c0d82d9df0ab64369c45389733c99ea5888042c588be4520fb169a
157,2044,2024-01-25,Click & Collect,99.8,Delivered,8eecef5cf2c53c61093a56aed257d2767f687329a735dfaf970e8fe1e9d2569f
158,4526,2025-02-27,Click & Collect,945.23,Pending,93faa991b1f74ed209711d4bf46503305421f955923c704e2262c027608aca8b
159,4878,2024-09-19,Standard,678.75,Shipped,5a6a1963434bd18b7e38b031e3f30cf9f24d40a75a47cf4dde7e65fbdad3a19c
160,2343,2024-01-21,Standard,899.39,Returned,433df066fb05f726576ea71cc5f6585c4cee0165aaa37f7832d921c6a20140c5
161,4419,2023-05-26,Click & Collect,131.32,Delivered,2c8fee6d0d622e0d0acb31a9d9b6a599135eda4a703d28200ff74dc7e4b07006
162,2521,2023-12-05,Click & Collect,573.34,Delivered,0171b650a62f6b0b725eb2b5daed1feab956b498af06c4bacdc122c6198f4bed
163,272,2023-06-01,Standard,818.95,Delivered,9c9102423ddf33a3b118480d2adfa928e6357452a9693e5fbe88e2000355bea7
164,1607,2024-01-09,Click & Collect,480.61,Returned,20be063c0fdf29e0d0f4724903646f78b285184794e94825ad3a8b3b9fed4bc0
165,2124,2024-09-19,Express,503.7,Delivered,5a6b8541406d7e1104c8be86f4efa7c1e750b357b8bcfb4aa6da149a83aadd24
166,2485,2024-05-02,Express,542.25,Shipped,9cc3047dda02784f42753c65f9edb401c23f7d26a60d9565296f31867a99dd81
167,3388,2024-05-19,Click & Collect,344.37,Shipped,6bcf929f61445bd1cc0d5ee4a7e3f65d719f0b9bc2e03ba5eb92ec8e09bace1f
168,1559,2024-10-22,Click & Collect,88.43,Shipped,c11bc9aa5d943ff4f8ce6a68af08c7ecdf8d02297ac604b1fe95d0572d9f785a
169,2439,2024-09-06,Standard,343.37,Pending,4f5350a7cf9f8e641b27a4a99ca56a86fdd859608fb1170ca81138ef446ff2ba
170,391,2023-09-03,Standard,363.15,Delivered,5e0f156efa603abda91e5f50815e1ea7e26657d7ec931ad5aea8192a5a5ffb75
171,3328,2025-04-18,Click & Collect,686.72,Delivered,bc8f443f23acee83d4c99fd4d91f506038be657b999dd2dfe431f845dafbb94b
172,3699,2023-12-21,Click & Collect,784.62,Returned,b435cbbd6f97266762e1acf631f701e766d522116e3a57e04fe00d9baf0b5202
173,935,2025-02-23,Standard,233.7,Pending,cba2439d7bf9b6e5ce519c00d2a5798f93a799889ed6d4f617b96c7f8069d137
174,789,2024-01-19,Express,251.15,Delivered,88d45579a087c7b68fa9d5a86a167365bf091ebc351c88cdf4c1df9507fd7866
175,1429,2024-08-04,Click & Collect,606.1,Delivered,72671400bc07629725eb14519978fde0881f365e170f962542fd2ee81d80ee25
176,1064,2024-06-24,Express,162.68,Pending,35dd541c4c02a63971cde59f86223b841f892b30d352213833b0380fe8b27bba
177,4988,2023-05-24,Express,106.36,Returned,495f649deda62934e5f204f1860f76564294fca5299a083ddf9858df6735facf
178,4074,2023-09-24,Standard,974.51,Delivered,2f6b0b39f330f2374c7fd2e41925ad74556097b39b26d87226b3833d046e4ee0
179,3569,2024-10-13,Click & Collect,617.34,Delivered,5e16b8be15c778869f03a4ff6e130987bf26bd6d82d791a51f6bfa9efa72b13b
180,4013,2025-01-16,Click & Collect,668.25,Pending,d5abd4a97d47d4ddfbd715e9659c7211879021e307721e58122b0b93d52ddb3e
181,2304,2023-08-13,Standard,731.75,Shipped,cf4e255ff45ea8a6539bd6e3f8f3680a43286c1035d773e356446e8e218b639a
182,3826,2023-10-02,Click & Collect,325.32,Returned,d0272c91316253b603dd0cd9ae1eb631e36ffcb7498db5d278ef0472177f684f
183,4722,2024-12-27,Click & Collect,636.11,Delivered,61f1d23a24a99f065b42a325adbb32e62ccb564134090c2455ecc2d17dfeb429
184,3771,2023-11-27,Standard,960.81,Delivered,b578ea526b698beff2158291aa54e9fc18d1058e94580ca52edb2f6b8e77f464
185,3675,2023-08-04,Express,801.13,Pending,9ecf300242875c35d1f77c690fd98139c33db2dfa870bf7378226bc1a0196457
186,3501,2024-06-03,Express,31.07,Returned,83caf4c51718edca9c5930f0aa15f695cc3987ee75bc4259ee7ddb6f5e45da23
187,1970,2024-03-24,Express,646.46,Shipped,70090f9cc62ce0ba1a4ab1f6cbc1305fd92810dabfb6c556855a02e9e71edddd
188,543,2024-06-16,Standard,333.91,Delivered,8115c03735510947feaaf6b36f5b4dea8b3e159fd8e51681184a344dfdf08ad2
189,2365,2024-03-02,Standard,399.64,Pending,7594eccd08776d0ae9aea50bb7291dc2b11c14ccb5abcc00c2d6f40ec8b00b5d
190,3982,2025-02-10,Click & Collect,524.65,Returned,11b96363c04425f696e12d9aba4955473e21998e100f0990b851a59c21068847
191,3697,2025-04-22,Standard,194.94,Returned,fe564971768f806bd4915b5c301f9a18a31c94072f915230c73f7a663ffffc07
192,3223,2024-07-20,Standard,406.79,Shipped,a7e329ab26b6d36356945102e1ea6b1b17fbe0cc3f38d85f0db507c50d1ce6e3
193,1681,2024-03-18,Standard,834.8,Delivered,52b5a0818d046d0c50e003f2647c623671c30e0bc7b644f415a45f5249ece18c
194,4850,2024-12-06,Click & Collect,659.94,Returned,b5af2490a88ad720ef1212c7c615ca9c081c8babf26353e69b2ac7e869d707b6
195,4982,2024-05-22,Click & Collect,126.84,Shipped,45944b786dbd9b6b785d1a7b5922fead771941dcf087a3f695b5472a6463355d
196,4889,2024-12-09,Standard,120.23,Shipped,71106a88e8621f354f2b3dd2303f0bbe1b26d01d70de9c0f5b11c4c6c66c873a
197,234,2024-10-21,Express,767.18,Returned,cdc3d1408dfcc73ac9e6d662acdc5f43f9c46e0636edd7e150d28ccf9b3436b1
198,794,2023-10-15,Express,734.22,Delivered,da324b2092ed75a62be26e401bc48b92fd623e2b8b74191cd1d189cbbb983643
199,3337,2024-06-21,Standard,487.69,Pending,01234dc8a281d85bff03fb950e32e1967557ea02268774fa8295128bb511e997
200,4421,2024-09-14,Standard,330.48,Returned,d0e9257d731d458a2b71fe0cded126ad8a53fb22629386e865984c23f870372b
201,2021,2024-03-19,Express,756.67,Returned,639975c4dc67465fc5ac9980035f22b3ca391844b63ddb18e94ce474eb921bfd
202,461,2023-06-10,Standard,394.63,Delivered,e94f0f751d9febcbf46c358c087abf35770311ea7616b13529a4b4bf9023d3af
203,2536,2025-01-28,Click & Collect,827.34,Shipped,63e126c393fdc47b0cb0d2b84482a9f418b1864a5c2cee5610ce92a0e9b0c5e1
204,1469,2024-10-27,Standard,382.83,Returned,5e42af7856f040f68514a565767edf968c4790aad88a56eb9f7879979f2e0492
205,155,2024-08-16,Express,998.38,Pending,39aec6657cbe714f1e9059caa1559ef1be70ecbae6b00b761007fae7d4100b91
