StoreID,StoreName,StreetAddress,City,State,ZipCode,Country,PhoneNumber,StoreType,OpenedDate,RowHash
576ca2ee-5c98-4032-8085-4a11312f9e78,"Lloyd, Williams and Lin",4176 Best Port,Larsonville,Rhode Island,50167,Italy,(059)483-6090,Flagship,2016-08-17,ee92747cae9d2890f3cfa50d5abb5361
0db94890-c654-49b6-b76e-e535bc387855,Peterson Ltd,609 Carter Rest,Summerstown,Connecticut,99633,France,534-973-2009x6015,Regular,2018-09-13,ca9075228f93bbe1936a19398f4ecae0
3412d299-a203-47c4-bde2-ecd5ef09fe58,Bauer LLC,248 Michelle Hills Suite 046,Jamestown,Minnesota,29394,France,855-516-9324x057,Franchise,2020-04-12,bad59c81e6b9be364a5e517a1dd8f653
b8877c9b-300e-4619-9c17-285548f42c1a,Knight Ltd,89166 Alexander Burg,North Rhondashire,Indiana,48945,Finland,+1-521-858-6804x394,Franchise,2017-10-25,cfa1dcb5d5bddd0193c7d94140e57a8b
d826fea5-d663-4b8b-a010-a7b330fd9922,"Matthews, Thomas and Ayala",8398 James Burg Apt. 773,North Wendyhaven,Utah,87049,Germany,001-120-588-6948x53074,Franchise,2024-03-19,45a4c18a418de69cccc7b7a21598eff8
d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,Sharp LLC,0501 John Vista,Valentineland,Illinois,34100,Italy,001-617-000-4854x123,Outlet,2019-08-17,f01007c09305af2acfc3d9b4d4ee8afb
2325976b-ebd3-4af4-ab95-cf6c75dd167e,Martin-Murphy,962 Wilkinson Meadows,North Nancyshire,Maine,89418,Finland,441-298-7010,Franchise,2018-08-09,e2428e6ddde9aad6334bed73e8a5461c
066320f6-15d5-4240-b39a-1d9697acf693,Crawford Group,14832 Christensen Camp,North Mathew,Pennsylvania,34022,Italy,+1-652-612-1669x481,Franchise,2016-05-20,87e8d5b462274a6a81bfd38c0e2fa0d9
7874faf7-fb69-4ae2-a738-b4c599358eeb,Martinez Group,5673 Jeffrey Stream Apt. 684,North Calebborough,Iowa,91726,Italy,434-462-2807,Regular,2019-11-06,8bd72ec05f6c8644bbc37d3eb442693b
bcffdf26-2889-4b0d-929a-8e779c6e851b,"Osborne, Smith and Cross",94281 Daniels Locks Apt. 577,West Tinahaven,Utah,96234,Italy,(108)727-4105,Franchise,2016-09-17,e4667855caca6d02084ebce4b2e20849
21a2cafc-d878-40bb-a232-e14e9eda02f3,"Hutchinson, Brooks and Rogers",552 Scott Road Suite 221,Joyceshire,North Carolina,98505,Germany,328.424.8729x8020,Flagship,2017-12-29,d0ec79870572641cae6f96278827edb2
de0add2e-3497-444e-bd97-c641b5754d2e,Valdez and Sons,04578 Vanessa Gardens Apt. 456,Lake Sarahburgh,Missouri,41704,Germany,(530)302-4130,Regular,2015-08-14,e6ac3c676d9402681183e4c6c8ad431e
35e27300-4661-4cc1-883a-60fcc46d1705,Lopez-Campbell,780 Rogers Ridges Apt. 277,North Jasonport,Nevada,40132,United Kingdom,2604976979,Outlet,2024-03-04,2cdf53e8dcc0f96a4db532f7c5aed511
4043f2fd-ddb7-4123-94b1-704bb06dbec6,"Graham, Chan and Miller",0764 Hayes Squares,Dominguezstad,Montana,88562,France,633.968.0071x194,Regular,2023-11-07,8d25ed759f83390300477598628da94b
c8a6eaf0-cf95-4b23-9b68-cf0190892dda,Williams Inc,0422 Frederick Stream,Brandonstad,South Dakota,24620,Germany,323.814.3316,Flagship,2016-08-16,514d213b0ae527d4e8bcf711d3b32461
dea48fdc-5533-48f4-9d69-3e89b5fa379e,Pruitt-Gutierrez,71198 Merritt Turnpike Apt. 157,Mercerfort,Maryland,89395,United Kingdom,+1-723-903-7155,Outlet,2024-02-18,7a689646af254cd83b9087e9e0618693
4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,Powell and Sons,8846 Sean Valleys Suite 787,Smithfurt,Maryland,17570,Germany,(080)571-1784x440,Flagship,2016-05-21,5e3b3279438e13b3b1ceb484b9f9f3f3
a412573c-b3f6-4108-9682-f95775c56a2b,"Scott, Hill and Giles",366 Krueger Heights Suite 867,Lake Tony,Kentucky,67211,Italy,188-161-8277,Outlet,2019-02-08,dfb45c94c8b745b4c8e3c3cbdd471f86
3c32b582-67e5-49c3-affc-7e44572ba0ae,Kim-Holmes,2733 Danielle Village Apt. 567,Madisonmouth,Maine,77587,Germany,413-545-5797x07907,Flagship,2022-11-17,a8a267b6cce241a9e4c230a32aec2990
9baedba2-7d8f-482a-91c0-53cf8f987158,Ritter Inc,14127 Suzanne Radial Apt. 129,Port Kylestad,Michigan,28088,Germany,+1-856-724-0555x2517,Outlet,2023-05-05,895b7f11cdc746d7390d6093bcc02505
a3027ea6-3a7b-4285-9b82-5ab90b244a50,Leblanc Group,43742 Kimberly Burg Apt. 204,Cynthiastad,Nevada,42538,United Kingdom,064-960-7265,Outlet,2018-01-07,3c0bfa34a450d201054577cbfe2b5d27
1424c333-ef79-42af-bcf5-5d41521a0e9b,"Murray, Williams and Jenkins",2500 Vickie Crest,Port Nancyville,Washington,37016,Italy,001-956-932-0506x5069,Flagship,2021-12-18,395e83c7ffac92f24be61beeed4c41c6
adfe1367-c650-47bc-ab26-c65be37eb483,Nelson-Bell,4941 Rebecca Burg,Lake Jennifermouth,Ohio,68637,Italy,2089676040,Regular,2022-05-14,366de9149ce78106d82c523da1e6ad30
17fb2169-7a01-4654-8005-9db3d086ba75,Horton Group,96792 Johnson Pike Suite 531,East Sonya,Connecticut,48024,United Kingdom,342-207-0431x077,Flagship,2018-03-23,c36b302d6ee3c95897be537c0c613727
d44227f2-ae3a-4cf8-9728-df324b9ca0e4,"Berg, Gaines and Knight",4286 Christopher Trail Suite 787,East Anna,Kentucky,81490,United States,880.111.3052,Franchise,2017-12-01,fadc319bdaebd4eaa5a4893ac966619c
50a26c10-fd86-4364-8549-75c2f73d6e74,Owens LLC,4806 Crystal Greens,New Jeffrey,Hawaii,19892,Italy,896-846-0412x616,Flagship,2021-08-04,c992a4f823530fb9003c0652361d7ad4
674d43e2-b564-4df9-83e0-08d8d378e820,Gonzalez PLC,21461 Salazar Summit Apt. 476,Crystalberg,New Jersey,77249,United States,029-654-4190,Outlet,2019-11-14,dfee87995573007bd2d73b8fa237583e
5338a24d-bd24-49b6-80c7-ceb5d88d8923,"Keller, Ellis and Koch",35623 Roth Terrace Suite 645,South Steven,Arizona,22384,Finland,(048)511-9906x5632,Regular,2018-07-11,518cba9d3745159bae9d8e4d2d9c4b70
2d046cbe-43bd-402d-9b0c-0adb463c5111,Olsen PLC,25927 Laura Prairie Apt. 694,Washingtonland,Wisconsin,15621,Finland,(229)253-8418,Outlet,2022-11-24,d9c5b4cc79fba5dcaf9f3d35878c54db
876d3f78-e0fd-4ed9-94e2-95f1f49a6678,Sullivan-Frazier,45883 Reynolds Parks,Krystalfort,Missouri,11856,Germany,001-833-408-3378,Franchise,2019-01-26,8cde171464424d8d14afed621d3ed172
bc2a6082-d587-43ad-b368-78b70dcb5f55,"White, Price and Boyd",808 Timothy Land Suite 530,Jeffersonville,Minnesota,83668,France,0227509360,Flagship,2020-02-20,86cb9325106fa18f4f4bdd884eaace7c
01adb8ae-ae19-4b3d-805f-5485251f2e61,Jacobson Group,2137 Cole Fall,Russoberg,Oklahoma,05174,United Kingdom,939.226.8949x5427,Outlet,2022-06-12,2e3b99f69215c1557e060d84ca12dbf6
68a7d329-0366-49ce-986b-f2741f43d010,Simon-Brennan,40728 Kimberly Ridges,New John,Washington,32816,Finland,(981)618-0980x988,Franchise,2016-06-02,2b198fe5490141bb10d159d354834e42
bbcd1342-0d08-4318-ae1f-7e2ff8d83071,"Thompson, Thomas and Adams",2275 Taylor Overpass Apt. 272,Andrewborough,Iowa,52148,United Kingdom,(215)532-5016,Flagship,2018-07-20,375651476aefa97303c27ca44dd06520
