ChannelID,ChannelType,ChannelName,Description,StartDate,EndDate,RowHash
36,billboard,Billboard Campaign 69,Outdoor billboard advertisements,2022-07-02,2025-05-11,5415c0cecb6e700fdbb04e940414d73aad75cb1f1e36cd233760d421648f4e43
37,referral,Referral Campaign 78,Customer referral program,2023-02-09,2025-05-11,783a610aae8cb1ff9b42bfeb4e4ee408d6a560bf2e883b62bde77b3d17afb464
38,TV,Tv Campaign 48,National and local TV ads,2023-12-12,2025-05-11,ac468ea9f87af6b2736080a1314ffb3d72f16d0af76c410bc6ee7a66b06603a1
39,referral,Referral Campaign 47,Customer referral program,2023-07-02,2025-05-11,862124aeb55eece12b7936e7772727243dbe5eb70486a7a34be3580552bb11c7
40,TV,Tv Campaign 4,National and local TV ads,2024-03-29,2025-05-11,f568d9e5b9d9edd2e90107a58ff62a67972a37c43e04f87c2d125accca0f5342
41,social media,Social media Campaign 56,"Instagram, TikTok, and Facebook campaigns",2023-10-10,2025-05-11,c0f0328508a7312092cd228112690c83af6fc8e151cbf4d2405e09dbbd75da89
42,store,Store Campaign 35,In-store promotions and flyers,2023-05-21,2025-05-11,d99c6425d7f8dc46efd23074917341b4da1519eaab8678b458200ee866710d5f
43,social media,Social media Campaign 55,"Instagram, TikTok, and Facebook campaigns",2023-12-08,2025-05-11,3f1d8511d9e00ffc74148f6c43e12dffc9c5a38bf36dc95a2e111ea94f84e7f2
44,billboard,Billboard Campaign 4,Outdoor billboard advertisements,2023-09-26,2025-05-11,db27a60114595824724fd5c6b30f5a6615cdf9d85f04f7be06074c22d61573cf
45,referral,Referral Campaign 42,Customer referral program,2022-06-13,2025-05-11,e830ae1a46b8106a9984d199cba768405e210d1830f3725653233e3c52b0d86f
46,referral,Referral Campaign 94,Customer referral program,2023-11-01,2025-05-11,064b449a4607da5decf215d88a3d32c2c93256683b0e1153f72d574efbb4a3d9
47,email,Email Campaign 11,Newsletter and promotional emails,2023-07-21,2025-05-11,c9f3a85239209655ddfc129a90a8742510da7fe4ab8e1befaa3f15b3f4cfbf1c
48,social media,Social media Campaign 7,"Instagram, TikTok, and Facebook campaigns",2023-04-09,2025-05-11,169b5a5237b462cd1db9e73e4948d9ff0d4ed9a6b4c6a774747af17666c60b7c
49,email,Email Campaign 61,Newsletter and promotional emails,2024-04-28,2025-05-11,28b679263e4e338c1e8c13fa1987effdf6298521d9ad3bd3b185a9c605e25336
50,store,Store Campaign 90,In-store promotions and flyers,2023-07-24,2025-05-11,ed7079b9fc6e6d72202099b1cfe1ef163304ee418344c8ceaece8b0fcdfcae10
51,billboard,Billboard Campaign 4,Outdoor billboard advertisements,2024-01-03,2025-05-11,926c44aca11177f7dccd4c3fbeb2d49b7e97278a0804a6a03acbd88794a34fe1
52,TV,Tv Campaign 94,National and local TV ads,2023-10-14,2025-05-11,659e680910b3ba639d243a7d61037cbd6056f1fa9731b3f705888e683c88ae4a
53,referral,Referral Campaign 29,Customer referral program,2022-07-08,2025-05-11,964e5cc34998497232facad82fa479530a22790902a6b803789168233bfa4e88
54,store,Store Campaign 53,In-store promotions and flyers,2023-05-02,2025-05-11,dd36e3ca9a3b7ede5c57a2b9f875056421b88c46b43829d16690d4c8d1ea3973
55,email,Email Campaign 49,Newsletter and promotional emails,2022-11-19,2025-05-11,c9334171e491773a0dfc3439118f5a0e38562a0c0cdee4446eb5af99cdb2921f
56,referral,Referral Campaign 28,Customer referral program,2023-07-08,2025-05-11,58bc91b43bbb002c75b54b5f42b987559015049b79d82334b3989f276ab00ad3
57,referral,Referral Campaign 67,Customer referral program,2022-07-05,2025-05-11,d91b3788a546453445a03ede23e06f84f7b1c268462b80ac1ce9d09e92637aed
58,billboard,Billboard Campaign 37,Outdoor billboard advertisements,2023-06-14,2025-05-11,cbb286c8cbf717fc15240b2b195b027c38882384ea93db0c5876676306a4bfab
59,website,Website Campaign 34,Company official website banners,2022-08-10,2025-05-11,75ad412f27bc11e9afb8176d6696a58394d326005f3e11f582ce184b7fbf7104
60,social media,Social media Campaign 54,"Instagram, TikTok, and Facebook campaigns",2022-07-28,2025-05-11,3069f562c974d8aa982cf23ea81287a1f53e38c982ce68297289f84bd4112c60
61,social media,Social media Campaign 26,"Instagram, TikTok, and Facebook campaigns",2022-09-04,2025-05-11,99a706c8d3fae3747507a0efcf2a16126824c911b731eadd5c7a7016ba53c13f
62,website,Website Campaign 16,Company official website banners,2022-06-24,2025-05-11,af5cb8a18082fc627edfcd0cec22826f8442b369b4eb8bd995c4971e7a4bc2a2
63,social media,Social media Campaign 59,"Instagram, TikTok, and Facebook campaigns",2023-03-21,2025-05-11,2ea06d0288f8a9fa2b8f016dd27afdeddfeef7fdb97045a3053f1bb38d4bb959
64,vendor,Vendor Campaign 13,External vendor partnerships,2023-08-23,2025-05-11,cdaebf8e6ebd7ad276595fa126089ca26b77636d433b197f302d2581bf8cf3a1
65,TV,Tv Campaign 14,National and local TV ads,2022-10-03,2025-05-11,31783319ad792a8d97cd9c45292d658b547cff3ec9131c389d055af7d0b11c60
66,email,Email Campaign 84,Newsletter and promotional emails,2023-05-25,2025-05-11,20283e00cbbf7fc3c05c780a2583ddef3f0f6853e883db73a3943b4e18659f54
67,email,Email Campaign 63,Newsletter and promotional emails,2022-06-05,2025-05-11,dd72d8b06ab05daf2f6cc5ac57e015067db30a5c516b697043c8f5e63a4bf56d
68,email,Email Campaign 93,Newsletter and promotional emails,2022-10-15,2025-05-11,7ed352f715b7e0598bf15c52f6835ac3eb18ebc1548b67281be31ced61a94b7a
69,vendor,Vendor Campaign 77,External vendor partnerships,2024-04-18,2025-05-11,23b8178732f2e0de2b6857d0981fb3cb7545ac90da86c0581d9cbb9261906145
70,email,Email Campaign 70,Newsletter and promotional emails,2024-03-15,2025-05-11,3334cd9b6ddbeca4f690b36971913fb0d5ad3810b4651b8ad131e4641d0d90aa
71,email,Email Campaign 24,Newsletter and promotional emails,2022-07-20,2025-05-11,696abf2c924287ca47d051536324aeb2aa064d9c46884513469a0e0a33458061
72,email,Email Campaign 50,Newsletter and promotional emails,2022-09-07,2025-05-11,81089c64a1abe578b6fbe83c7920316fc2b5357a7ca6307e19b839cf97d74f7d
73,website,Website Campaign 69,Company official website banners,2022-09-19,2025-05-11,161748eb625a76f1d32a5eaa2b2a70da82984108957774c9fad6f35ebf0e906c
74,referral,Referral Campaign 20,Customer referral program,2023-02-12,2025-05-11,41c712b83731532db463829649d0872a1f1f33ddfae00b04b96510869def9e5e
75,social media,Social media Campaign 44,"Instagram, TikTok, and Facebook campaigns",2022-12-13,2025-05-11,672fb6f3c2c0d45ed7c4b242c3ea3065cfcb14c51397f624ca0d48cc38870e4d
76,social media,Social media Campaign 66,"Instagram, TikTok, and Facebook campaigns",2023-04-29,2025-05-11,043301ef22f6699e9ef006b49c64b190b402239759727f7a52727f6c10db0459
77,vendor,Vendor Campaign 96,External vendor partnerships,2023-09-21,2025-05-11,833ab5cee5e3be19011cb4938615cf22571c71ec680aadf2cc3f377edb5fd3ff
78,referral,Referral Campaign 60,Customer referral program,2022-12-23,2025-05-11,34a8f6f5468cb4182841957bb888b0b8e7b550d0d7ba541eec7a2bf58b924e68
79,store,Store Campaign 17,In-store promotions and flyers,2023-05-15,2025-05-11,5e712a4d10e916cda41d58266ad1e9431411ce1ed7210601c13d6e0bd7f82e6a
80,social media,Social media Campaign 80,"Instagram, TikTok, and Facebook campaigns",2024-03-07,2025-05-11,de5864dac2fde597a7e979533b02724a0da71b8dc68a74d4c21bae66df39577d
81,website,Website Campaign 4,Company official website banners,2023-09-02,2025-05-11,b3662ce049c6a41f327ba4bac664783c725f3922bd9f848e084c8db29096d55f
82,email,Email Campaign 68,Newsletter and promotional emails,2023-09-24,2025-05-11,7e58ec3863df0c2ac5d939eb0dbd0a439ccbcaaaf32b5e2cef6d76549cc9be16
83,website,Website Campaign 5,Company official website banners,2024-05-05,2025-05-11,59c4afe6f398b6c2398eea8d4bdfd193fd85628beb0cc52887b359d757a14c13
84,store,Store Campaign 12,In-store promotions and flyers,2023-07-26,2025-05-11,ae2bfa5742825a2e90d46924e3c6e2058e7a22a0240ce96d2cec8b5bf51c2df9
85,email,Email Campaign 75,Newsletter and promotional emails,2024-04-02,2025-05-11,1f24e5e5f851b04f1cbf94d9b7abcce6d66e14162c4265c0a412c49fbe26f66e
86,store,Store Campaign 70,In-store promotions and flyers,2022-11-15,2025-05-11,5c0ef18324710c8de90d6175fa2dbbb65340b22730ad164de63f3e5a2e0cbacc
87,referral,Referral Campaign 23,Customer referral program,2024-05-08,2025-05-11,5eaf90787dc9d8b0174b5f3034666e0feb6debeada33877a588baf60761b9642
88,social media,Social media Campaign 38,"Instagram, TikTok, and Facebook campaigns",2023-09-12,2025-05-11,a9bdecf81eaff2041dead09952111d06bfcc78afe17737386bd825989c3add65
89,TV,Tv Campaign 42,National and local TV ads,2022-07-15,2025-05-11,66a7f4fa1b048cf49d4771647712fb7514841a5e8491a5eec1be00befaba089e
90,TV,Tv Campaign 52,National and local TV ads,2023-09-17,2025-05-11,56162b07f10750659812ef0868c263a53ae7bef77224d458ed5ef15dc747207e
91,vendor,Vendor Campaign 100,External vendor partnerships,2022-07-18,2025-05-11,d4709b9399a5c41a21e8536a7a383a12c8cbda537d807f12816a7ffe130b5bdb
92,billboard,Billboard Campaign 83,Outdoor billboard advertisements,2024-02-04,2025-05-11,ee8eed53f41fe84cacf44b7c9d5b64167f359b1b4bb59aead1f794e138b7da79
93,social media,Social media Campaign 7,"Instagram, TikTok, and Facebook campaigns",2023-11-16,2025-05-11,f024483b99ba165a4d40b307fb03f783237934d0705607d6b283f759a4dccc7f
94,vendor,Vendor Campaign 64,External vendor partnerships,2023-01-12,2025-05-11,785595f63104821c567de4b89c41d151962047d74cd0b2f696c6f24f83941749
95,email,Email Campaign 96,Newsletter and promotional emails,2022-06-19,2025-05-11,382a2aab4e9f727104cc4e803b03ac9201b6b6fc8774afdf645bd97bc8b96688
96,billboard,Billboard Campaign 95,Outdoor billboard advertisements,2023-01-25,2025-05-11,920f696992072f786f3956982056a6a6ae5e13657a25cd828be95f18ec1f9da0
97,billboard,Billboard Campaign 24,Outdoor billboard advertisements,2024-03-03,2025-05-11,d71f72d5e4ed396472a628f82235c425ebeb78c8cb97aa281e406826de6b8d4e
98,TV,Tv Campaign 63,National and local TV ads,2023-09-20,2025-05-11,2764f634d2b3a80a8014a1872d79de8d9e9316841f30541d14863f39aef7bfd3
99,TV,Tv Campaign 12,National and local TV ads,2023-02-23,2025-05-11,110b5e36ddca89bb84406d19ca492306c828c915a2ae178cef28a841b53a5de3
100,vendor,Vendor Campaign 58,External vendor partnerships,2023-10-27,2025-05-11,752ef2b9e73a634d5982d4f1ef150a7a51f4f01512fd42118695dd7dd1b3f778
101,billboard,Billboard Campaign 47,Outdoor billboard advertisements,2023-11-04,2025-05-11,61e28dca1ee07c9185d48cb3d84f9d5adf275c6a7096fed38a0bf5d4a4b93e43
102,website,Website Campaign 24,Company official website banners,2024-03-09,2025-05-11,a227fadc665b0f23c01ab705e3fad3e58db2cd43151eb8b75c44d884fdb89eb1
103,TV,Tv Campaign 100,National and local TV ads,2022-09-23,2025-05-11,f435bff5cf5ae971f5c05acbc18b4c9d09876ec77fa060e9feb531cde824e8ca
104,billboard,Billboard Campaign 68,Outdoor billboard advertisements,2023-08-17,2025-05-11,e74c19cc16d028a69ff20b28acb4ecf04994f30964c5f381cf16d3d7bd22e8c1
105,referral,Referral Campaign 49,Customer referral program,2023-10-06,2025-05-11,63c079bf03025727be4f3b79cdb2ea976eac912a162039084836c86d95d78ebb
106,TV,Tv Campaign 14,National and local TV ads,2022-07-26,2025-05-11,48eb27ed00cfd02116a8f5f34fe93795d032983d69bdbb2799d238d98358dc43
107,email,Email Campaign 12,Newsletter and promotional emails,2023-06-10,2025-05-11,ec552cd28b4a85c05cb217efec44747ffe15824d7120dda970cfacd1f5a7bd18
108,store,Store Campaign 79,In-store promotions and flyers,2023-01-16,2025-05-11,08429fa2c696234cdc9dcf386cf5887189c54ba88b1fb9f1a2c645b53dbe1989
109,store,Store Campaign 77,In-store promotions and flyers,2024-01-30,2025-05-11,cbe64e20189ca8fef1ed2e254acc532ceff0bf48088599a6088fd7cad9611db4
110,TV,Tv Campaign 42,National and local TV ads,2024-03-15,2025-05-11,517e7a7ac82e5bf6ecd32f590d054f286b1932cc9d30783dd3894749b964bacb
111,email,Email Campaign 70,Newsletter and promotional emails,2023-08-11,2025-05-11,329a74f3dbeac851b1740ef7b125143fc2b5d831680716b139ed48b71c230bcf
112,email,Email Campaign 33,Newsletter and promotional emails,2024-04-13,2025-05-11,87490363fb3bc9e93a9a2a3ee49df93857354039c224f4159e22808bdd685eee
113,website,Website Campaign 35,Company official website banners,2022-09-10,2025-05-11,7005c5e2a2e977aa33fd167d22f5ceb4b12b4436dce805a913d8023eba24a7bd
114,vendor,Vendor Campaign 28,External vendor partnerships,2023-10-23,2025-05-11,b21f781336df9bbc85b4912079b22adbcbf4694f1e1a3aefad7b39bde3e177bd
115,TV,Tv Campaign 10,National and local TV ads,2022-12-09,2025-05-11,6b9c01e1dd1874ce89f2dfa6f92912196bc0aef9fcca94a4d053565869fc66d3
116,TV,Tv Campaign 68,National and local TV ads,2022-05-23,2025-05-11,fbda420955a499433ea98f663dfdbc3cf0bfc30bdc21296201f12fccb8f2cfa2
117,store,Store Campaign 45,In-store promotions and flyers,2022-08-30,2025-05-11,9dfc165eb8f96234291ee7179503d5a5c425463af5c8b3f8db5827f9688a54c1
118,referral,Referral Campaign 73,Customer referral program,2022-11-22,2025-05-11,41a08cddb5578879c459fb0947adc96f1482277410dec3c9fc067ed3592c7c0d
119,vendor,Vendor Campaign 39,External vendor partnerships,2022-05-31,2025-05-11,aa132ad02e8473e9ef0c532e9426eb455a3abaa1bdd9c984e3748c203a4904f0
120,email,Email Campaign 77,Newsletter and promotional emails,2023-03-11,2025-05-11,fccd15d62e24b58d0b336b09037fcf81f27019f1d57c5eba3261bb09167c1f8d
121,TV,Tv Campaign 20,National and local TV ads,2022-06-20,2025-05-11,be77d9e737e7a0c4d7a25efac0856d285a54a8a06aa71c56cce4f0d702f4a53e
122,store,Store Campaign 23,In-store promotions and flyers,2023-12-09,2025-05-11,8d9eac4e1aa11cb8dd1b77530d569908732fc4fa59b743a597d166649019dbe2
123,vendor,Vendor Campaign 10,External vendor partnerships,2023-05-12,2025-05-11,20ce0476fb93c1077863165d281acc5389d1fc7f8ff3230a6e113418dc3df9d3
124,TV,Tv Campaign 67,National and local TV ads,2023-06-18,2025-05-11,66d2812e8c60db1b6ca6d50636e1bdf53dc4c06add3d3e2b7f7e3cb979a6d972
125,email,Email Campaign 63,Newsletter and promotional emails,2023-05-04,2025-05-11,3d613a2b51aae513336789a1578d7db17d8b1050073f81d85cbb4a9c962c7f09
126,referral,Referral Campaign 15,Customer referral program,2022-05-24,2025-05-11,5e533c81174ac1c0aba6d5275c28fa71f2030e0157b64bc37e3fa5e27ee1cd56
127,store,Store Campaign 66,In-store promotions and flyers,2023-02-03,2025-05-11,49b37fa2a2a41eac19fbd896caf8f4b1768c9ae82d310b85b88100b8b232b32a
128,billboard,Billboard Campaign 21,Outdoor billboard advertisements,2023-05-19,2025-05-11,f19f3739f5155d2f181629a7260cfde4a14041387afbeb02b70dc577de13b5ec
129,social media,Social media Campaign 22,"Instagram, TikTok, and Facebook campaigns",2022-09-21,2025-05-11,98332d90acc3965803c2dce7a87e3d600fa616c249f6d4b6e81c74946fba447f
130,website,Website Campaign 91,Company official website banners,2022-10-17,2025-05-11,2477b4ea3c5de2e83cb1d73096e9b5233b2fe955aa2879d79a8a570404d53e46
131,store,Store Campaign 20,In-store promotions and flyers,2023-11-03,2025-05-11,e46ecbb72567d8c8618a9852b8cba1b8562ebf202dc016448d4156b32b9b2dee
132,email,Email Campaign 71,Newsletter and promotional emails,2023-06-16,2025-05-11,0705e6c850d94463d0b925201b1dc521ac0d549b8d78902d56f0e7cd96cad3d7
133,social media,Social media Campaign 61,"Instagram, TikTok, and Facebook campaigns",2023-05-04,2025-05-11,c066e815004aea7f4073e3150fd22239749970daffbae46e54e51e3dd8bd6dd1
134,billboard,Billboard Campaign 42,Outdoor billboard advertisements,2022-12-09,2025-05-11,05b7bf3825addaea58c7ee3d4bc88715492d3da56ab8be93f244c194bfcd8fa4
135,website,Website Campaign 39,Company official website banners,2023-04-19,2025-05-11,7b2976383afd3ff9a9174e47213e40dbd1468eccff96ca294be8b9cef250f36e
136,vendor,Vendor Campaign 28,External vendor partnerships,2023-09-20,2025-05-11,37c077626c7f35ff5a66ae4405d724b2d0ea0cf69078747d359e03f24168bcfc
137,email,Email Campaign 32,Newsletter and promotional emails,2023-03-03,2025-05-11,00e60d4570a52c7985b89c14b61339baf6f6136b7b7dcd3b0a14396ada24d325
138,referral,Referral Campaign 47,Customer referral program,2023-10-08,2025-05-11,b8f7c45059d3cfe983a854519a6bdc21ed96ce7dcd5455837221da1296c36c20
139,store,Store Campaign 61,In-store promotions and flyers,2023-03-25,2025-05-11,80022f0ccff5d62a9cb7b772d0f34e0f18b7c76a8f96703aa4700dd2d7e389c3
140,email,Email Campaign 85,Newsletter and promotional emails,2023-01-12,2025-05-11,5c5ad025d2d383b8aeecaefb69272a415aa9e5cc7396009c3feba73227a02edd
141,social media,Social media Campaign 85,"Instagram, TikTok, and Facebook campaigns",2023-01-20,2025-05-11,8295c68fb9f70db79d806fd3d0877e0f72bbfc1e1a85c61f61a940fb3cabc485
142,billboard,Billboard Campaign 42,Outdoor billboard advertisements,2022-09-22,2025-05-11,f18749cfc8300e3042619cc677d315e27e2c8f6db75d0b14855d1e66af63d212
143,social media,Social media Campaign 12,"Instagram, TikTok, and Facebook campaigns",2024-04-18,2025-05-11,091998d6738bedc9a62f1e7e84f18015d15c59e3f72c5778fabfdd730ee62281
144,vendor,Vendor Campaign 34,External vendor partnerships,2022-12-03,2025-05-11,70aa7046b5339f352feef8e6ff6feb1e8a21062a8668f7c55108c7ab760f1bb8
145,billboard,Billboard Campaign 99,Outdoor billboard advertisements,2022-09-20,2025-05-11,247fa6340fab3b7186ac834c3fddf4103263166ec1747abd0945a560df7fbc0a
146,social media,Social media Campaign 86,"Instagram, TikTok, and Facebook campaigns",2023-12-01,2025-05-11,81ff5a7ffbf82bcdceaee5d0f789a763df0ebe0bf808bfb030c07b00afba5199
147,website,Website Campaign 70,Company official website banners,2022-10-04,2025-05-11,fad578cf69ec13063fcdee14f5e2fdb622f375172b18d9743eae4d3079240c7a
148,billboard,Billboard Campaign 18,Outdoor billboard advertisements,2024-05-07,2025-05-11,82521e4a6fbf8cf95ebf0ca2edebb760a586893745e328409213553b588726ab
149,social media,Social media Campaign 5,"Instagram, TikTok, and Facebook campaigns",2024-01-06,2025-05-11,5b2ee39c038a8e420607af05f7b0a84ad9253c924b01f7bf6bf02008ff375b2e
150,referral,Referral Campaign 43,Customer referral program,2022-08-27,2025-05-11,c7a4c9225d11f408e1f31f59a74aa729f1a2d8fd83e1cbc5602acffe40722b09
151,billboard,Billboard Campaign 62,Outdoor billboard advertisements,2023-09-24,2025-05-11,c38e009d59cc3412a771de421e6b739d2f0b7ed54a93eba6b86e1adb99e6d52f
152,referral,Referral Campaign 4,Customer referral program,2023-10-24,2025-05-11,3d801884f82c84a55a59e23bd3121af7cbc72f8baa829a5efbca6b2791d42e4d
153,store,Store Campaign 47,In-store promotions and flyers,2023-04-18,2025-05-11,f6b9f4d71859e37b5ed5040bd251af0304ffe9f8f06d9b5b58e1443a4ad35458
154,website,Website Campaign 20,Company official website banners,2023-12-24,2025-05-11,37836c1ee77d553c31cd556c76c43e025599154ea73c6f1c147eafd12e91a614
155,referral,Referral Campaign 84,Customer referral program,2023-05-12,2025-05-11,443f0b5fb2b71d5e885eaa009ed71550b395402a122475b98c60d3a35e03b87e
156,vendor,Vendor Campaign 9,External vendor partnerships,2022-12-07,2025-05-11,5b4fe4b7fa0ad417765c83ee62b142a83ff5bd383cd50931713d050736af6bc9
157,store,Store Campaign 89,In-store promotions and flyers,2022-08-12,2025-05-11,3528fcfebfa11549dd80e980d7bdceb4598e29f5b89b8f33facaf9dffad9a3df
158,email,Email Campaign 44,Newsletter and promotional emails,2022-09-09,2025-05-11,310be66f9f1cabdd047c4ee70efb9aee0f4879bf95eb52f03e796cfa76edecfd
159,vendor,Vendor Campaign 31,External vendor partnerships,2024-03-05,2025-05-11,9097ef85b4929354e265911ffcc7d5c8df7898c21d5f9f42eadcc9997fff1052
160,TV,Tv Campaign 83,National and local TV ads,2023-05-11,2025-05-11,8837b44e5f10ac2795d74dcedf2e756fb4f7d406a5f642478d66f0646d7fc4e2
161,social media,Social media Campaign 53,"Instagram, TikTok, and Facebook campaigns",2022-07-19,2025-05-11,64cebbea4f46b0913d5c2e1988e4b0db00848d3e263800edef286efbb605d33a
162,vendor,Vendor Campaign 50,External vendor partnerships,2024-04-13,2025-05-11,d91ac5474ac604da29e6e999196ba23d59b38148b2c4b123a69fc75c19d1acdc
163,TV,Tv Campaign 24,National and local TV ads,2022-05-28,2025-05-11,76aa7d61855023ee5b6e10ed5e61e1de5b73620b970abbf68b845db7f156ec56
164,social media,Social media Campaign 22,"Instagram, TikTok, and Facebook campaigns",2022-11-15,2025-05-11,88793694d13831c2a4d6076173f5cc4cee1548c4ed8737c5ce5eaca3be70d380
165,billboard,Billboard Campaign 58,Outdoor billboard advertisements,2023-01-31,2025-05-11,22e7577bb6d915c8a9ee966d6e609fcdcc0c384bf7ba7dbae9b5162a36e85b5e
166,vendor,Vendor Campaign 16,External vendor partnerships,2022-12-18,2025-05-11,ab1cf1c253782b8143662e11e37fbb824c0dbbf19f5be3544609aa78ba9c1d18
167,vendor,Vendor Campaign 41,External vendor partnerships,2022-07-28,2025-05-11,4ba4d9b02edc9e9f0566f4254476c58a81dd5b4e23df4e3c9fba1dc302f9e403
