CartID,CustomerID,RecoveryAttempted,AbandonDate
CART000276,CUST02738,1,2025-01-17
CART000277,CUST02257,0,2023-12-27
CART000278,CUST00131,1,2024-03-10
CART000279,CUST00743,1,2024-03-22
CART000280,CUST00384,1,2024-02-01
CART000281,CUST01567,0,2023-10-02
CART000282,CUST02410,0,2023-07-17
CART000283,CUST00761,1,2023-08-28
CART000284,CUST01148,0,2024-11-26
CART000285,CUST00943,1,2025-03-27
CART000286,CUST02696,1,2023-10-22
CART000287,CUST01297,1,2025-05-03
CART000288,CUST02403,1,2024-09-20
CART000289,CUST02148,0,2024-09-05
CART000290,CUST02779,1,2023-07-23
CART000291,CUST01640,0,2023-08-06
CART000292,CUST00301,0,2024-09-08
CART000293,CUST00609,1,2023-11-17
CART000294,CUST01852,1,2023-11-23
CART000295,CUST00882,0,2023-07-10
CART000296,CUST02251,1,2024-10-28
CART000297,CUST01222,1,2024-04-04
CART000298,CUST02160,0,2024-02-18
CART000299,CUST02429,0,2025-01-12
CART000300,CUST00755,0,2024-08-10
CART000301,CUST01207,1,2025-01-22
CART000302,CUST00796,1,2023-06-05
CART000303,CUST02385,0,2024-08-07
CART000304,CUST01995,0,2023-10-17
CART000305,CUST01324,1,2024-11-30
CART000306,CUST00222,0,2024-07-08
CART000307,CUST01012,0,2024-01-26
CART000308,CUST02808,1,2025-03-27
CART000309,CUST00689,0,2024-04-26
CART000310,CUST00118,1,2023-08-22
CART000311,CUST00174,0,2024-01-29
CART000312,CUST01243,1,2024-05-25
CART000313,CUST02367,1,2025-01-22
CART000314,CUST02045,0,2023-10-04
CART000315,CUST00441,0,2024-05-31
CART000316,CUST01225,0,2024-11-13
CART000317,CUST01600,1,2024-12-12
CART000318,CUST02463,0,2023-08-13
CART000319,CUST01028,1,2024-08-15
CART000320,CUST00950,0,2023-07-17
CART000321,CUST00083,1,2024-07-21
CART000322,CUST00989,0,2024-03-05
CART000323,CUST02541,1,2023-08-19
CART000324,CUST02054,1,2025-05-23
CART000325,CUST02753,1,2023-06-19
CART000326,CUST01753,1,2023-06-18
CART000327,CUST00347,1,2023-07-08
CART000328,CUST00534,1,2024-04-26
CART000329,CUST02705,0,2023-07-09
CART000330,CUST01821,1,2024-08-15
CART000331,CUST00451,0,2024-02-07
CART000332,CUST00918,0,2024-11-08
CART000333,CUST00954,0,2024-08-10
CART000334,CUST00214,0,2024-08-22
CART000335,CUST00900,0,2025-04-24
CART000336,CUST01190,0,2025-04-30
CART000337,CUST02421,0,2024-05-01
CART000338,CUST00653,1,2024-01-16
CART000339,CUST02555,0,2023-07-20
CART000340,CUST00983,0,2023-10-22
CART000341,CUST00576,1,2024-03-28
CART000342,CUST00333,1,2024-09-20
CART000343,CUST00212,0,2023-09-28
CART000344,CUST00289,1,2023-06-13
CART000345,CUST02658,0,2024-09-13
CART000346,CUST02214,1,2023-12-11
CART000347,CUST02174,0,2024-07-03
CART000348,CUST01056,1,2024-06-07
CART000349,CUST01931,0,2023-12-25
CART000350,CUST00274,1,2024-06-24
CART000351,CUST01325,0,2024-05-29
CART000352,CUST02663,1,2025-05-04
CART000353,CUST02324,1,2024-01-24
CART000354,CUST01031,1,2025-03-11
CART000355,CUST01883,1,2024-03-11
CART000356,CUST01479,1,2023-06-30
CART000357,CUST01154,0,2024-07-12
CART000358,CUST00097,0,2024-03-13
CART000359,CUST00277,0,2024-01-29
CART000360,CUST01309,1,2024-03-07
CART000361,CUST02848,1,2025-01-01
CART000362,CUST01197,1,2023-10-27
CART000363,CUST00332,0,2025-02-22
CART000364,CUST02253,0,2024-04-21
CART000365,CUST00103,0,2025-01-15
CART000366,CUST00955,1,2025-03-31
CART000367,CUST02408,1,2023-08-17
CART000368,CUST02087,1,2024-09-30
CART000369,CUST00307,0,2024-12-08
CART000370,CUST00884,1,2025-05-09
CART000371,CUST02568,1,2024-03-06
CART000372,CUST02926,1,2024-10-07
CART000373,CUST02094,0,2023-09-21
CART000374,CUST00194,0,2024-03-08
CART000375,CUST00249,0,2024-03-27
CART000376,CUST01013,1,2024-08-08
CART000377,CUST02255,1,2024-11-14
CART000378,CUST02163,0,2024-05-19
CART000379,CUST02287,1,2025-02-24
CART000380,CUST02614,1,2023-10-14
CART000381,CUST01193,1,2024-01-11
CART000382,CUST01072,0,2025-04-04
CART000383,CUST02784,0,2023-08-08
CART000384,CUST02036,0,2025-05-25
CART000385,CUST00508,1,2025-04-10
CART000386,CUST00155,0,2024-10-13
CART000387,CUST00461,0,2024-05-21
CART000388,CUST01397,0,2024-07-10
CART000389,CUST00791,0,2023-06-12
CART000390,CUST01226,0,2023-12-21
CART000391,CUST02702,1,2024-11-30
CART000392,CUST02365,1,2023-05-26
CART000393,CUST02499,1,2023-12-01
CART000394,CUST01868,1,2023-07-28
CART000395,CUST01689,1,2023-09-11
CART000396,CUST00577,1,2024-09-11
CART000397,CUST01944,0,2023-08-15
CART000398,CUST02544,1,2023-10-24
CART000399,CUST00362,1,2023-12-19
CART000400,CUST00457,1,2024-08-04
CART000401,CUST00129,1,2023-09-17
CART000402,CUST00812,1,2023-07-21
CART000403,CUST00873,1,2023-08-22
CART000404,CUST00350,1,2024-10-28
CART000405,CUST02693,1,2023-09-23
CART000406,CUST01915,0,2024-01-31
CART000407,CUST00452,1,2023-06-19
CART000408,CUST01404,1,2025-02-18
CART000409,CUST00109,1,2025-04-24
CART000410,CUST01232,1,2023-12-26
CART000411,CUST00577,1,2025-02-16
CART000412,CUST00241,0,2024-01-08
CART000413,CUST02639,0,2025-03-29
CART000414,CUST01714,0,2024-07-15
CART000415,CUST02042,0,2024-03-20
CART000416,CUST01286,0,2024-03-02
CART000417,CUST02626,1,2025-05-19
CART000418,CUST02373,0,2023-08-28
CART000419,CUST00371,0,2025-03-27
CART000420,CUST01959,0,2025-03-07
CART000421,CUST02153,0,2025-02-07
CART000422,CUST00098,1,2023-07-30
CART000423,CUST01511,1,2023-08-19
CART000424,CUST00096,0,2025-01-02
CART000425,CUST01949,1,2023-07-24
CART000426,CUST01496,1,2024-08-16
CART000427,CUST02094,1,2023-08-16
CART000428,CUST02938,1,2025-02-08
CART000429,CUST02079,0,2024-01-11
CART000430,CUST02456,1,2024-09-14
CART000431,CUST01406,1,2025-03-02
CART000432,CUST00716,0,2024-08-24
CART000433,CUST02692,0,2023-06-07
CART000434,CUST02746,1,2025-03-10
CART000435,CUST00973,0,2023-06-09
CART000436,CUST02749,0,2023-09-08
CART000437,CUST01513,0,2024-11-10
CART000438,CUST02924,0,2024-09-07
CART000439,CUST00906,1,2023-10-29
CART000440,CUST00809,0,2024-07-08
CART000441,CUST00599,1,2025-04-13
CART000442,CUST00967,0,2024-05-26
CART000443,CUST02681,1,2024-05-16
CART000444,CUST01868,0,2024-12-11
CART000445,CUST01840,0,2024-04-10
CART000446,CUST00135,0,2024-07-24
CART000447,CUST00328,1,2023-10-05
CART000448,CUST00199,1,2024-02-20
CART000449,CUST00683,0,2024-03-13
CART000450,CUST00124,0,2024-09-22
CART000451,CUST00754,0,2024-07-06
CART000452,CUST01607,1,2024-05-09
CART000453,CUST02430,1,2024-06-28
CART000454,CUST00571,1,2023-06-28
CART000455,CUST01469,1,2025-05-20
CART000456,CUST02846,0,2024-07-02
CART000457,CUST02939,1,2025-05-11
CART000458,CUST01170,1,2023-12-19
CART000459,CUST01927,0,2024-12-23
CART000460,CUST01588,0,2024-08-29
CART000461,CUST02224,1,2025-04-22
CART000462,CUST01303,1,2024-05-22
CART000463,CUST02428,0,2024-08-14
CART000464,CUST00165,1,2023-06-27
CART000465,CUST01863,0,2023-07-28
CART000466,CUST01510,1,2023-08-29
CART000467,CUST02812,1,2024-04-09
CART000468,CUST00615,1,2025-03-12
CART000469,CUST01791,0,2025-03-20
CART000470,CUST01385,1,2024-08-06
CART000471,CUST02221,0,2025-05-24
CART000472,CUST02811,0,2024-10-07
CART000473,CUST01201,1,2025-03-05
CART000474,CUST01073,1,2023-08-06
CART000475,CUST01135,1,2024-04-26
CART000476,CUST01784,0,2024-02-24
CART000477,CUST01711,1,2024-11-14
CART000478,CUST00619,0,2025-01-05
CART000479,CUST02713,0,2024-10-18
CART000480,CUST00859,1,2025-02-09
CART000481,CUST01179,1,2024-10-29
CART000482,CUST01687,1,2024-07-19
CART000483,CUST02604,1,2024-08-19
CART000484,CUST01607,0,2023-06-25
CART000485,CUST00637,1,2024-05-13
CART000486,CUST00215,0,2024-03-24
CART000487,CUST01354,1,2025-02-23
CART000488,CUST00144,0,2024-07-28
CART000489,CUST00619,0,2023-07-02
CART000490,CUST01008,0,2023-12-28
CART000491,CUST00354,0,2025-01-10
CART000492,CUST00281,1,2024-02-04
CART000493,CUST01346,1,2024-08-04
CART000494,CUST00837,1,2023-07-06
CART000495,CUST01960,1,2024-01-06
CART000496,CUST00390,0,2024-09-02
CART000497,CUST01088,1,2023-11-01
CART000498,CUST00265,0,2025-04-02
CART000499,CUST02054,0,2024-03-09
CART000500,CUST00913,0,2023-11-10
CART000501,CUST00168,0,2023-11-16
CART000502,CUST02403,0,2024-01-11
CART000503,CUST01996,0,2024-01-16
CART000504,CUST02221,0,2023-07-19
CART000505,CUST00850,0,2023-11-12
CART000506,CUST02167,0,2024-12-21
CART000507,CUST00174,0,2024-06-18
CART000508,CUST02177,0,2025-03-24
CART000509,CUST00187,1,2024-02-03
CART000510,CUST01087,0,2025-01-06
CART000511,CUST02941,1,2024-03-21
CART000512,CUST01298,0,2023-12-09
CART000513,CUST02646,0,2024-08-27
CART000514,CUST02258,0,2024-07-07
CART000515,CUST01009,0,2024-02-05
CART000516,CUST01217,0,2024-06-03
CART000517,CUST02798,1,2025-05-04
CART000518,CUST00532,1,2024-03-06
CART000519,CUST03000,0,2024-10-31
CART000520,CUST01206,0,2024-10-05
CART000521,CUST02608,0,2024-09-14
CART000522,CUST00228,1,2024-10-21
CART000523,CUST02614,1,2025-04-28
CART000524,CUST00614,0,2025-04-16
CART000525,CUST02137,0,2025-01-23
CART000526,CUST01766,0,2024-11-09
CART000527,CUST02863,1,2024-09-20
CART000528,CUST00250,0,2024-10-10
CART000529,CUST02273,0,2024-03-17
CART000530,CUST02951,0,2023-07-31
CART000531,CUST01943,1,2024-12-02
CART000532,CUST00673,0,2025-05-06
CART000533,CUST02216,0,2023-12-09
CART000534,CUST02158,0,2024-07-01
CART000535,CUST01797,1,2023-09-09
CART000536,CUST00297,1,2025-02-11
CART000537,CUST01928,0,2023-06-16
CART000538,CUST02291,1,2023-10-24
CART000539,CUST02257,0,2024-07-18
CART000540,CUST01267,1,2025-02-07
CART000541,CUST01106,0,2024-08-13
CART000542,CUST01458,0,2024-12-15
CART000543,CUST01567,0,2023-12-18
CART000544,CUST01028,1,2024-09-10
CART000545,CUST02309,1,2025-05-02
CART000546,CUST01590,1,2024-09-26
CART000547,CUST02428,0,2025-04-12
CART000548,CUST00096,1,2024-01-06
CART000549,CUST01360,0,2023-07-12
CART000550,CUST02817,1,2025-04-07
CART000551,CUST02045,0,2025-03-27
CART000552,CUST01740,0,2025-01-07
CART000553,CUST01353,0,2024-10-09
CART000554,CUST00829,0,2025-05-20
CART000555,CUST01662,1,2023-11-29
CART000556,CUST01543,0,2023-08-10
CART000557,CUST00926,1,2023-07-19
CART000558,CUST01149,0,2024-02-21
CART000559,CUST01807,0,2024-08-18
CART000560,CUST02668,0,2025-05-05
CART000561,CUST02308,1,2024-06-19
CART000562,CUST00831,0,2023-05-31
CART000563,CUST01606,0,2025-03-20
CART000564,CUST00550,0,2024-06-26
CART000565,CUST02748,0,2025-01-31
CART000566,CUST02757,1,2023-06-30
CART000567,CUST01032,0,2024-11-05
CART000568,CUST00563,0,2024-07-09
CART000569,CUST02421,0,2024-04-23
CART000570,CUST00222,1,2023-08-30
CART000571,CUST00531,1,2024-10-07
CART000572,CUST02398,0,2024-08-05
CART000573,CUST00031,1,2024-06-30
CART000574,CUST01382,0,2025-02-09
CART000575,CUST00022,1,2025-03-28
CART000576,CUST01313,0,2023-08-20
CART000577,CUST00754,0,2023-06-04
CART000578,CUST00214,1,2024-12-10
CART000579,CUST00712,0,2024-02-14
CART000580,CUST01189,0,2023-09-26
CART000581,CUST02188,1,2023-09-22
CART000582,CUST00409,0,2023-05-27
CART000583,CUST02486,0,2024-09-17
CART000584,CUST00797,0,2024-02-22
CART000585,CUST02061,1,2024-01-17
CART000586,CUST02549,1,2023-10-30
CART000587,CUST01050,0,2024-01-14
CART000588,CUST02582,1,2024-12-05
CART000589,CUST00861,0,2024-06-28
CART000590,CUST00076,1,2025-02-19
CART000591,CUST00366,1,2023-07-17
CART000592,CUST01515,1,2023-09-08
CART000593,CUST00841,0,2025-05-10
CART000594,CUST02935,1,2023-05-26
CART000595,CUST01584,0,2023-09-19
CART000596,CUST00499,0,2024-07-12
CART000597,CUST01370,1,2024-03-30
CART000598,CUST01781,0,2024-08-23
CART000599,CUST01252,1,2024-04-11
CART000600,CUST00699,0,2024-12-20
CART000601,CUST02728,0,2023-12-30
CART000602,CUST02251,0,2024-12-05
CART000603,CUST02494,1,2024-09-01
CART000604,CUST02566,0,2024-08-09
CART000605,CUST00132,1,2024-06-03
CART000606,CUST01269,0,2023-07-09
CART000607,CUST00091,0,2024-12-16
CART000608,CUST00472,0,2024-12-10
CART000609,CUST01989,0,2024-06-29
CART000610,CUST01266,1,2023-07-21
CART000611,CUST00502,0,2025-02-01
CART000612,CUST02809,0,2023-05-31
CART000613,CUST00387,0,2025-02-13
CART000614,CUST01031,0,2023-06-16
CART000615,CUST01112,1,2025-03-07
CART000616,CUST00598,0,2023-06-22
CART000617,CUST00908,1,2023-11-28
CART000618,CUST02915,0,2023-10-23
CART000619,CUST01355,1,2023-12-01
CART000620,CUST02705,1,2025-02-13
CART000621,CUST02390,0,2024-09-11
CART000622,CUST00464,1,2024-06-25
CART000623,CUST02510,0,2024-09-02
CART000624,CUST01073,0,2023-08-21
CART000625,CUST02867,1,2023-05-31
CART000626,CUST01351,0,2024-11-14
CART000627,CUST00474,0,2025-01-02
CART000628,CUST00888,1,2025-01-25
CART000629,CUST00939,0,2023-11-14
CART000630,CUST02416,0,2024-12-13
CART000631,CUST01311,1,2023-05-31
CART000632,CUST02771,1,2024-06-09
CART000633,CUST02341,0,2023-06-24
CART000634,CUST01087,0,2023-07-28
CART000635,CUST00568,1,2025-02-24
CART000636,CUST00874,0,2023-08-15
CART000637,CUST02637,1,2024-05-04
CART000638,CUST00260,0,2025-04-05
CART000639,CUST01657,1,2025-04-03
CART000640,CUST02956,0,2023-07-15
CART000641,CUST00184,0,2024-08-18
CART000642,CUST02195,1,2023-07-29
CART000643,CUST01818,0,2024-06-04
CART000644,CUST00592,1,2023-07-31
CART000645,CUST01772,1,2023-06-11
CART000646,CUST01433,1,2024-02-10
CART000647,CUST01018,0,2024-08-28
CART000648,CUST02488,0,2023-09-24
CART000649,CUST01482,1,2024-09-11
CART000650,CUST00229,1,2024-06-23
CART000651,CUST01597,1,2024-06-17
CART000652,CUST02780,0,2024-12-10
CART000653,CUST01369,1,2025-02-21
CART000654,CUST01625,1,2024-12-11
CART000655,CUST02995,0,2024-11-28
CART000656,CUST01288,1,2023-10-21
CART000657,CUST00740,0,2024-01-29
CART000658,CUST02426,1,2024-04-03
CART000659,CUST00954,1,2024-07-31
CART000660,CUST02648,1,2025-02-16
CART000661,CUST02071,0,2024-01-08
CART000662,CUST02341,0,2023-12-02
CART000663,CUST01291,0,2025-05-08
CART000664,CUST00476,1,2025-04-20
CART000665,CUST03000,1,2023-07-19
CART000666,CUST01973,1,2024-08-11
CART000667,CUST02499,1,2024-07-21
CART000668,CUST00898,0,2023-09-11
CART000669,CUST02035,1,2023-11-21
CART000670,CUST00285,1,2024-08-11
CART000671,CUST01186,0,2024-11-30
CART000672,CUST00590,1,2024-01-04
CART000673,CUST00122,0,2023-10-03
CART000674,CUST01136,1,2024-11-08
CART000675,CUST01263,0,2024-12-09
CART000676,CUST02559,1,2025-04-05
CART000677,CUST00002,0,2024-10-30
CART000678,CUST00892,0,2024-08-29
CART000679,CUST00799,1,2023-11-20
CART000680,CUST00629,1,2024-07-18
CART000681,CUST01905,0,2025-05-23
CART000682,CUST00461,0,2025-04-03
CART000683,CUST03000,1,2024-10-24
CART000684,CUST01974,0,2024-08-14
CART000685,CUST00972,1,2024-04-12
CART000686,CUST01265,1,2023-06-29
CART000687,CUST02862,1,2024-09-17
CART000688,CUST00054,1,2024-08-21
CART000689,CUST01491,1,2023-07-16
CART000690,CUST00109,1,2024-10-06
CART000691,CUST00280,0,2025-02-09
CART000692,CUST01689,1,2024-10-26
CART000693,CUST01699,0,2023-08-06
CART000694,CUST01081,1,2024-10-26
CART000695,CUST02888,1,2024-07-12
CART000696,CUST02885,1,2023-10-14
CART000697,CUST02252,0,2024-03-20
