ShiftID,EmployeeID,ShiftDate,Shift
SHIFT00044,EMP00183,2024-10-10,Morning
SHIFT00045,EMP00174,2023-09-29,Morning
SHIFT00046,EMP00180,2023-12-23,Evening
SHIFT00047,EMP00028,2023-11-17,Afternoon
SHIFT00048,EMP00086,2023-10-22,Morning
SHIFT00049,EMP00111,2024-06-10,Evening
SHIFT00050,EMP00158,2025-02-25,Afternoon
SHIFT00051,EMP00045,2023-07-29,Afternoon
SHIFT00052,EMP00038,2023-08-30,Morning
SHIFT00053,EMP00020,2024-05-08,Morning
SHIFT00054,EMP00198,2023-07-03,Morning
SHIFT00055,EMP00097,2023-06-10,Morning
SHIFT00056,EMP00175,2024-06-13,Morning
SHIFT00057,EMP00102,2025-05-13,Evening
SHIFT00058,EMP00059,2023-09-11,Evening
SHIFT00059,EMP00142,2025-02-02,Morning
SHIFT00060,EMP00042,2024-01-19,Evening
SHIFT00061,EMP00189,2023-11-29,Morning
SHIFT00062,EMP00059,2024-07-27,Morning
SHIFT00063,EMP00008,2023-11-29,Afternoon
SHIFT00064,EMP00057,2023-10-10,Morning
SHIFT00065,EMP00150,2024-12-29,Afternoon
SHIFT00066,EMP00102,2024-01-22,Evening
SHIFT00067,EMP00084,2024-03-09,Morning
SHIFT00068,EMP00021,2024-03-20,Afternoon
SHIFT00069,EMP00128,2025-02-15,Afternoon
SHIFT00070,EMP00156,2023-07-13,Evening
SHIFT00071,EMP00049,2024-06-18,Afternoon
SHIFT00072,EMP00151,2025-04-30,Morning
SHIFT00073,EMP00054,2024-12-03,Morning
SHIFT00074,EMP00151,2025-02-11,Afternoon
SHIFT00075,EMP00068,2023-08-18,Morning
SHIFT00076,EMP00046,2024-05-15,Morning
SHIFT00077,EMP00196,2024-11-05,Afternoon
SHIFT00078,EMP00156,2025-04-28,Evening
SHIFT00079,EMP00095,2024-04-30,Evening
SHIFT00080,EMP00097,2023-11-30,Morning
SHIFT00081,EMP00050,2025-05-08,Afternoon
SHIFT00082,EMP00083,2023-10-22,Morning
SHIFT00083,EMP00063,2025-05-21,Morning
SHIFT00084,EMP00010,2023-12-31,Afternoon
SHIFT00085,EMP00089,2024-01-17,Evening
SHIFT00086,EMP00165,2024-08-15,Morning
SHIFT00087,EMP00141,2024-09-05,Evening
SHIFT00088,EMP00070,2023-07-08,Morning
SHIFT00089,EMP00030,2025-03-29,Afternoon
SHIFT00090,EMP00080,2025-01-23,Afternoon
SHIFT00091,EMP00072,2023-12-06,Evening
SHIFT00092,EMP00139,2023-08-29,Morning
SHIFT00093,EMP00123,2023-12-12,Afternoon
SHIFT00094,EMP00129,2024-11-05,Morning
SHIFT00095,EMP00146,2024-10-06,Morning
SHIFT00096,EMP00100,2023-12-25,Evening
SHIFT00097,EMP00011,2023-10-26,Morning
SHIFT00098,EMP00084,2024-11-07,Morning
SHIFT00099,EMP00138,2025-04-24,Evening
SHIFT00100,EMP00176,2024-08-26,Afternoon
SHIFT00101,EMP00061,2025-02-28,Morning
SHIFT00102,EMP00138,2025-03-15,Morning
SHIFT00103,EMP00101,2024-02-24,Afternoon
SHIFT00104,EMP00122,2023-10-14,Evening
SHIFT00105,EMP00060,2023-11-24,Afternoon
SHIFT00106,EMP00114,2024-01-06,Morning
SHIFT00107,EMP00150,2023-06-27,Morning
SHIFT00108,EMP00075,2024-11-08,Evening
SHIFT00109,EMP00099,2024-03-14,Evening
SHIFT00110,EMP00009,2025-03-15,Afternoon
SHIFT00111,EMP00143,2023-06-10,Evening
SHIFT00112,EMP00083,2023-12-09,Afternoon
SHIFT00113,EMP00037,2024-02-12,Afternoon
SHIFT00114,EMP00070,2024-10-17,Morning
SHIFT00115,EMP00172,2023-10-03,Afternoon
SHIFT00116,EMP00197,2023-11-13,Afternoon
SHIFT00117,EMP00131,2023-11-16,Evening
SHIFT00118,EMP00010,2024-03-24,Evening
SHIFT00119,EMP00132,2025-02-02,Morning
SHIFT00120,EMP00056,2024-02-17,Morning
SHIFT00121,EMP00168,2023-12-17,Morning
SHIFT00122,EMP00033,2025-03-03,Afternoon
SHIFT00123,EMP00161,2024-05-02,Evening
SHIFT00124,EMP00188,2024-12-23,Afternoon
SHIFT00125,EMP00149,2025-02-03,Morning
SHIFT00126,EMP00103,2023-10-05,Evening
SHIFT00127,EMP00197,2023-08-17,Afternoon
SHIFT00128,EMP00119,2024-10-24,Evening
SHIFT00129,EMP00045,2023-06-06,Afternoon
SHIFT00130,EMP00057,2024-03-31,Morning
SHIFT00131,EMP00168,2023-10-19,Afternoon
SHIFT00132,EMP00126,2024-03-25,Afternoon
SHIFT00133,EMP00192,2024-08-06,Morning
SHIFT00134,EMP00127,2025-04-22,Morning
SHIFT00135,EMP00010,2023-11-18,Afternoon
SHIFT00136,EMP00074,2025-03-30,Afternoon
SHIFT00137,EMP00066,2024-04-24,Afternoon
SHIFT00138,EMP00102,2024-01-06,Morning
SHIFT00139,EMP00085,2025-04-15,Morning
SHIFT00140,EMP00193,2025-05-14,Morning
SHIFT00141,EMP00158,2024-01-10,Evening
SHIFT00142,EMP00082,2024-07-02,Evening
SHIFT00143,EMP00035,2025-02-28,Morning
SHIFT00144,EMP00053,2023-11-17,Evening
SHIFT00145,EMP00167,2024-07-02,Evening
SHIFT00146,EMP00112,2024-07-21,Afternoon
SHIFT00147,EMP00022,2023-06-25,Afternoon
SHIFT00148,EMP00067,2025-04-13,Afternoon
SHIFT00149,EMP00198,2023-08-17,Evening
SHIFT00150,EMP00100,2025-02-20,Evening
SHIFT00151,EMP00080,2024-07-29,Afternoon
SHIFT00152,EMP00195,2024-12-10,Afternoon
SHIFT00153,EMP00100,2025-03-06,Morning
SHIFT00154,EMP00075,2023-10-24,Evening
SHIFT00155,EMP00120,2025-01-01,Afternoon
SHIFT00156,EMP00017,2025-03-29,Afternoon
SHIFT00157,EMP00147,2024-06-01,Afternoon
SHIFT00158,EMP00188,2025-02-19,Evening
SHIFT00159,EMP00072,2024-01-13,Afternoon
SHIFT00160,EMP00124,2024-05-19,Afternoon
SHIFT00161,EMP00090,2023-06-07,Afternoon
SHIFT00162,EMP00051,2024-01-21,Afternoon
SHIFT00163,EMP00176,2023-12-15,Afternoon
SHIFT00164,EMP00057,2024-06-14,Morning
SHIFT00165,EMP00138,2023-08-29,Afternoon
SHIFT00166,EMP00032,2023-12-09,Morning
SHIFT00167,EMP00079,2025-03-16,Evening
SHIFT00168,EMP00123,2023-06-14,Evening
SHIFT00169,EMP00122,2024-09-29,Evening
SHIFT00170,EMP00068,2024-06-19,Evening
SHIFT00171,EMP00028,2023-10-24,Evening
SHIFT00172,EMP00132,2023-05-31,Afternoon
SHIFT00173,EMP00189,2023-07-02,Afternoon
SHIFT00174,EMP00077,2023-11-09,Evening
SHIFT00175,EMP00140,2024-04-30,Afternoon
SHIFT00176,EMP00015,2024-09-30,Morning
SHIFT00177,EMP00029,2025-01-29,Morning
SHIFT00178,EMP00087,2023-06-02,Afternoon
SHIFT00179,EMP00013,2024-08-05,Evening
SHIFT00180,EMP00038,2023-06-16,Evening
SHIFT00181,EMP00186,2023-06-23,Morning
SHIFT00182,EMP00110,2023-12-11,Afternoon
SHIFT00183,EMP00035,2024-07-25,Morning
SHIFT00184,EMP00168,2024-07-21,Afternoon
SHIFT00185,EMP00076,2024-03-30,Evening
SHIFT00186,EMP00110,2023-07-17,Morning
SHIFT00187,EMP00005,2025-03-17,Afternoon
SHIFT00188,EMP00002,2024-11-15,Evening
SHIFT00189,EMP00030,2023-12-16,Afternoon
SHIFT00190,EMP00099,2024-04-08,Evening
SHIFT00191,EMP00119,2025-04-28,Afternoon
SHIFT00192,EMP00010,2025-04-01,Morning
SHIFT00193,EMP00073,2024-12-01,Afternoon
SHIFT00194,EMP00124,2024-01-01,Morning
SHIFT00195,EMP00038,2024-09-16,Morning
SHIFT00196,EMP00187,2024-12-21,Morning
SHIFT00197,EMP00094,2025-05-04,Evening
SHIFT00198,EMP00119,2023-06-29,Morning
SHIFT00199,EMP00163,2024-11-29,Morning
SHIFT00200,EMP00071,2025-05-24,Morning
SHIFT00201,EMP00140,2025-05-01,Evening
SHIFT00202,EMP00170,2023-07-21,Afternoon
SHIFT00203,EMP00098,2024-11-24,Evening
SHIFT00204,EMP00177,2023-07-24,Evening
SHIFT00205,EMP00127,2025-03-17,Afternoon
SHIFT00206,EMP00067,2024-12-30,Afternoon
SHIFT00207,EMP00033,2024-03-12,Morning
SHIFT00208,EMP00104,2024-10-07,Morning
SHIFT00209,EMP00141,2024-11-23,Afternoon
SHIFT00210,EMP00148,2024-11-03,Afternoon
SHIFT00211,EMP00161,2024-08-05,Evening
SHIFT00212,EMP00034,2024-11-01,Evening
SHIFT00213,EMP00050,2023-07-04,Evening
SHIFT00214,EMP00178,2025-01-24,Afternoon
SHIFT00215,EMP00137,2023-05-29,Morning
SHIFT00216,EMP00007,2023-08-05,Evening
SHIFT00217,EMP00137,2024-09-24,Evening
SHIFT00218,EMP00106,2024-11-08,Afternoon
SHIFT00219,EMP00154,2023-07-11,Evening
SHIFT00220,EMP00130,2024-04-19,Afternoon
SHIFT00221,EMP00005,2023-07-08,Morning
SHIFT00222,EMP00113,2023-10-01,Evening
SHIFT00223,EMP00066,2023-09-25,Evening
SHIFT00224,EMP00116,2023-06-21,Evening
SHIFT00225,EMP00138,2025-04-29,Afternoon
SHIFT00226,EMP00159,2025-04-24,Afternoon
SHIFT00227,EMP00161,2025-03-29,Morning
SHIFT00228,EMP00108,2024-10-07,Afternoon
SHIFT00229,EMP00111,2024-08-17,Evening
SHIFT00230,EMP00134,2023-08-06,Evening
SHIFT00231,EMP00014,2024-11-27,Afternoon
SHIFT00232,EMP00078,2024-02-04,Morning
SHIFT00233,EMP00015,2025-02-13,Afternoon
SHIFT00234,EMP00121,2024-11-28,Afternoon
SHIFT00235,EMP00171,2024-03-12,Evening
SHIFT00236,EMP00148,2024-11-08,Evening
SHIFT00237,EMP00021,2023-06-17,Evening
SHIFT00238,EMP00192,2024-03-16,Afternoon
SHIFT00239,EMP00029,2024-01-17,Afternoon
SHIFT00240,EMP00187,2024-01-27,Morning
SHIFT00241,EMP00073,2025-04-11,Evening
SHIFT00242,EMP00192,2023-09-11,Morning
SHIFT00243,EMP00093,2025-05-11,Evening
SHIFT00244,EMP00172,2023-09-22,Morning
SHIFT00245,EMP00162,2024-06-09,Evening
SHIFT00246,EMP00047,2024-01-08,Afternoon
SHIFT00247,EMP00009,2024-06-24,Evening
SHIFT00248,EMP00188,2024-03-06,Morning
SHIFT00249,EMP00112,2023-07-12,Morning
SHIFT00250,EMP00030,2024-07-04,Evening
SHIFT00251,EMP00017,2024-10-21,Afternoon
SHIFT00252,EMP00180,2024-07-17,Evening
SHIFT00253,EMP00059,2024-11-01,Afternoon
SHIFT00254,EMP00119,2025-04-10,Evening
SHIFT00255,EMP00132,2024-07-07,Afternoon
SHIFT00256,EMP00168,2025-02-13,Evening
SHIFT00257,EMP00096,2024-12-03,Evening
SHIFT00258,EMP00135,2023-12-06,Afternoon
SHIFT00259,EMP00038,2023-07-26,Afternoon
SHIFT00260,EMP00032,2024-12-06,Evening
SHIFT00261,EMP00069,2024-11-05,Morning
SHIFT00262,EMP00067,2024-08-03,Afternoon
SHIFT00263,EMP00056,2024-03-02,Morning
SHIFT00264,EMP00020,2023-09-20,Morning
SHIFT00265,EMP00192,2024-02-11,Morning
SHIFT00266,EMP00120,2023-07-28,Morning
SHIFT00267,EMP00145,2024-11-03,Evening
SHIFT00268,EMP00144,2024-11-16,Afternoon
SHIFT00269,EMP00011,2024-01-19,Evening
SHIFT00270,EMP00141,2023-10-18,Evening
SHIFT00271,EMP00146,2023-08-25,Evening
SHIFT00272,EMP00014,2025-01-20,Evening
SHIFT00273,EMP00034,2023-12-02,Evening
SHIFT00274,EMP00086,2025-05-13,Afternoon
SHIFT00275,EMP00125,2023-06-12,Evening
SHIFT00276,EMP00154,2024-08-05,Evening
SHIFT00277,EMP00170,2024-01-05,Evening
SHIFT00278,EMP00189,2024-06-18,Morning
SHIFT00279,EMP00167,2023-12-25,Evening
SHIFT00280,EMP00130,2024-02-28,Afternoon
SHIFT00281,EMP00185,2024-04-26,Afternoon
SHIFT00282,EMP00050,2024-03-10,Afternoon
SHIFT00283,EMP00113,2024-09-04,Morning
SHIFT00284,EMP00144,2024-10-05,Afternoon
SHIFT00285,EMP00062,2024-08-19,Morning
SHIFT00286,EMP00098,2024-07-23,Afternoon
SHIFT00287,EMP00139,2023-12-28,Morning
SHIFT00288,EMP00127,2023-06-19,Afternoon
SHIFT00289,EMP00191,2025-03-07,Evening
SHIFT00290,EMP00030,2025-02-06,Afternoon
SHIFT00291,EMP00182,2024-08-19,Afternoon
SHIFT00292,EMP00199,2024-06-19,Afternoon
SHIFT00293,EMP00155,2023-08-17,Evening
SHIFT00294,EMP00086,2023-06-28,Morning
SHIFT00295,EMP00192,2023-07-13,Morning
SHIFT00296,EMP00081,2023-11-08,Evening
SHIFT00297,EMP00079,2023-11-02,Evening
SHIFT00298,EMP00137,2025-02-26,Morning
SHIFT00299,EMP00076,2023-09-13,Morning
SHIFT00300,EMP00200,2025-05-17,Morning
SHIFT00301,EMP00130,2025-04-23,Morning
SHIFT00302,EMP00049,2025-05-05,Morning
SHIFT00303,EMP00048,2024-12-11,Evening
SHIFT00304,EMP00055,2024-06-18,Morning
SHIFT00305,EMP00080,2023-06-14,Morning
SHIFT00306,EMP00067,2023-09-30,Afternoon
SHIFT00307,EMP00115,2024-12-05,Evening
SHIFT00308,EMP00112,2024-05-06,Evening
SHIFT00309,EMP00159,2025-02-17,Morning
SHIFT00310,EMP00107,2025-03-07,Afternoon
SHIFT00311,EMP00026,2025-01-08,Afternoon
SHIFT00312,EMP00110,2023-12-21,Morning
SHIFT00313,EMP00066,2024-06-07,Afternoon
SHIFT00314,EMP00158,2023-11-21,Morning
SHIFT00315,EMP00101,2024-02-04,Evening
SHIFT00316,EMP00001,2024-05-08,Afternoon
SHIFT00317,EMP00070,2025-05-09,Morning
SHIFT00318,EMP00150,2023-12-18,Morning
SHIFT00319,EMP00113,2024-09-11,Morning
SHIFT00320,EMP00054,2023-09-09,Evening
SHIFT00321,EMP00142,2025-02-28,Afternoon
SHIFT00322,EMP00014,2023-08-17,Evening
SHIFT00323,EMP00199,2023-10-29,Evening
SHIFT00324,EMP00019,2025-02-16,Afternoon
SHIFT00325,EMP00154,2024-08-03,Evening
SHIFT00326,EMP00059,2024-01-25,Morning
SHIFT00327,EMP00150,2024-02-15,Afternoon
SHIFT00328,EMP00006,2024-09-19,Evening
SHIFT00329,EMP00063,2023-06-03,Afternoon
SHIFT00330,EMP00077,2024-03-28,Evening
SHIFT00331,EMP00074,2024-10-18,Morning
SHIFT00332,EMP00182,2023-08-05,Evening
SHIFT00333,EMP00127,2025-03-12,Afternoon
SHIFT00334,EMP00147,2025-01-25,Evening
SHIFT00335,EMP00095,2024-01-18,Morning
SHIFT00336,EMP00010,2024-01-12,Morning
SHIFT00337,EMP00037,2025-02-22,Morning
SHIFT00338,EMP00145,2023-12-10,Evening
SHIFT00339,EMP00183,2024-01-29,Afternoon
SHIFT00340,EMP00133,2023-07-16,Evening
SHIFT00341,EMP00149,2024-03-11,Evening
SHIFT00342,EMP00118,2025-04-28,Evening
SHIFT00343,EMP00167,2024-12-17,Afternoon
SHIFT00344,EMP00148,2025-03-18,Morning
SHIFT00345,EMP00199,2024-12-02,Morning
SHIFT00346,EMP00143,2024-11-01,Morning
SHIFT00347,EMP00079,2023-07-25,Afternoon
SHIFT00348,EMP00053,2024-01-14,Evening
SHIFT00349,EMP00033,2024-09-29,Evening
SHIFT00350,EMP00122,2024-03-04,Evening
SHIFT00351,EMP00172,2024-12-21,Afternoon
SHIFT00352,EMP00194,2023-11-13,Evening
SHIFT00353,EMP00178,2024-09-06,Afternoon
SHIFT00354,EMP00032,2024-07-19,Morning
SHIFT00355,EMP00079,2024-08-04,Morning
SHIFT00356,EMP00199,2023-06-02,Afternoon
SHIFT00357,EMP00183,2025-01-02,Morning
SHIFT00358,EMP00156,2024-11-25,Afternoon
SHIFT00359,EMP00003,2024-11-14,Evening
SHIFT00360,EMP00053,2023-11-11,Morning
SHIFT00361,EMP00170,2023-07-10,Morning
SHIFT00362,EMP00002,2024-08-29,Evening
SHIFT00363,EMP00121,2023-06-21,Evening
SHIFT00364,EMP00150,2025-01-28,Afternoon
SHIFT00365,EMP00153,2025-04-12,Morning
SHIFT00366,EMP00160,2023-07-09,Evening
SHIFT00367,EMP00135,2025-03-19,Morning
SHIFT00368,EMP00062,2023-07-20,Morning
SHIFT00369,EMP00031,2025-01-18,Morning
SHIFT00370,EMP00063,2024-05-27,Morning
SHIFT00371,EMP00037,2024-08-13,Afternoon
SHIFT00372,EMP00068,2024-10-01,Evening
SHIFT00373,EMP00079,2025-04-22,Morning
SHIFT00374,EMP00137,2024-01-06,Evening
SHIFT00375,EMP00198,2023-07-15,Evening
SHIFT00376,EMP00046,2024-09-15,Afternoon
SHIFT00377,EMP00095,2024-06-01,Afternoon
SHIFT00378,EMP00034,2025-02-27,Morning
SHIFT00379,EMP00108,2023-06-28,Morning
SHIFT00380,EMP00060,2024-05-09,Afternoon
SHIFT00381,EMP00141,2024-03-07,Evening
SHIFT00382,EMP00036,2024-04-22,Evening
SHIFT00383,EMP00048,2023-06-25,Afternoon
SHIFT00384,EMP00093,2024-10-08,Morning
SHIFT00385,EMP00006,2024-07-30,Morning
SHIFT00386,EMP00133,2024-10-30,Morning
SHIFT00387,EMP00193,2025-04-06,Afternoon
SHIFT00388,EMP00103,2023-09-23,Afternoon
SHIFT00389,EMP00178,2025-04-18,Evening
SHIFT00390,EMP00074,2023-08-06,Afternoon
SHIFT00391,EMP00074,2024-07-30,Morning
SHIFT00392,EMP00113,2024-09-03,Evening
SHIFT00393,EMP00152,2024-06-07,Morning
SHIFT00394,EMP00007,2024-05-11,Morning
SHIFT00395,EMP00086,2025-05-05,Evening
SHIFT00396,EMP00058,2025-01-05,Morning
SHIFT00397,EMP00149,2023-08-12,Evening
SHIFT00398,EMP00161,2023-10-06,Morning
SHIFT00399,EMP00044,2024-07-10,Morning
SHIFT00400,EMP00025,2025-01-11,Evening
SHIFT00401,EMP00095,2025-04-28,Morning
SHIFT00402,EMP00116,2025-03-25,Morning
SHIFT00403,EMP00143,2025-01-27,Evening
SHIFT00404,EMP00157,2023-07-31,Evening
SHIFT00405,EMP00083,2024-10-31,Evening
SHIFT00406,EMP00052,2023-09-17,Afternoon
SHIFT00407,EMP00017,2024-05-01,Morning
SHIFT00408,EMP00036,2023-12-30,Evening
SHIFT00409,EMP00163,2024-01-23,Morning
SHIFT00410,EMP00168,2023-08-05,Evening
SHIFT00411,EMP00151,2024-04-01,Morning
SHIFT00412,EMP00162,2025-04-10,Morning
SHIFT00413,EMP00186,2025-03-03,Evening
SHIFT00414,EMP00082,2023-07-20,Evening
SHIFT00415,EMP00128,2023-12-02,Afternoon
SHIFT00416,EMP00080,2023-08-30,Evening
SHIFT00417,EMP00189,2023-10-19,Evening
SHIFT00418,EMP00156,2024-10-18,Evening
SHIFT00419,EMP00060,2023-10-09,Afternoon
SHIFT00420,EMP00160,2023-10-25,Morning
SHIFT00421,EMP00058,2024-08-21,Afternoon
SHIFT00422,EMP00082,2023-05-28,Morning
SHIFT00423,EMP00044,2024-08-26,Evening
SHIFT00424,EMP00162,2025-03-20,Evening
SHIFT00425,EMP00149,2023-08-11,Evening
SHIFT00426,EMP00124,2024-10-21,Afternoon
SHIFT00427,EMP00001,2024-07-22,Afternoon
SHIFT00428,EMP00183,2024-04-13,Evening
SHIFT00429,EMP00177,2024-12-02,Afternoon
SHIFT00430,EMP00097,2024-08-02,Evening
SHIFT00431,EMP00021,2023-09-05,Afternoon
SHIFT00432,EMP00099,2025-04-14,Evening
SHIFT00433,EMP00183,2023-09-22,Afternoon
SHIFT00434,EMP00155,2023-09-29,Morning
SHIFT00435,EMP00148,2023-06-04,Evening
SHIFT00436,EMP00144,2023-12-10,Afternoon
SHIFT00437,EMP00048,2024-03-26,Afternoon
SHIFT00438,EMP00032,2024-07-30,Evening
SHIFT00439,EMP00032,2024-03-25,Afternoon
SHIFT00440,EMP00181,2024-08-25,Morning
SHIFT00441,EMP00124,2024-03-18,Morning
SHIFT00442,EMP00181,2025-03-15,Afternoon
SHIFT00443,EMP00130,2024-08-17,Evening
SHIFT00444,EMP00185,2024-05-29,Afternoon
SHIFT00445,EMP00022,2024-02-12,Afternoon
SHIFT00446,EMP00052,2025-04-02,Morning
SHIFT00447,EMP00096,2025-03-03,Afternoon
SHIFT00448,EMP00186,2024-01-27,Evening
SHIFT00449,EMP00162,2024-12-20,Morning
SHIFT00450,EMP00199,2024-11-09,Afternoon
SHIFT00451,EMP00145,2025-01-01,Evening
SHIFT00452,EMP00200,2024-01-05,Morning
SHIFT00453,EMP00023,2024-10-21,Evening
SHIFT00454,EMP00033,2024-09-09,Evening
SHIFT00455,EMP00157,2025-03-03,Evening
SHIFT00456,EMP00019,2025-04-25,Afternoon
SHIFT00457,EMP00121,2024-03-01,Morning
SHIFT00458,EMP00069,2023-09-24,Afternoon
SHIFT00459,EMP00037,2023-10-23,Morning
SHIFT00460,EMP00123,2024-11-17,Evening
SHIFT00461,EMP00154,2025-03-18,Evening
SHIFT00462,EMP00024,2024-08-25,Afternoon
SHIFT00463,EMP00054,2023-06-18,Evening
SHIFT00464,EMP00021,2025-03-30,Evening
SHIFT00465,EMP00097,2023-09-28,Evening
SHIFT00466,EMP00090,2023-09-05,Morning
SHIFT00467,EMP00138,2025-04-06,Morning
SHIFT00468,EMP00042,2023-09-15,Afternoon
SHIFT00469,EMP00157,2024-12-01,Morning
SHIFT00470,EMP00185,2024-09-14,Evening
SHIFT00471,EMP00163,2024-01-27,Evening
SHIFT00472,EMP00028,2024-02-04,Evening
SHIFT00473,EMP00140,2024-11-06,Afternoon
SHIFT00474,EMP00058,2025-03-04,Evening
SHIFT00475,EMP00127,2024-03-21,Evening
SHIFT00476,EMP00172,2024-04-21,Afternoon
SHIFT00477,EMP00007,2023-11-06,Morning
SHIFT00478,EMP00144,2023-08-11,Morning
SHIFT00479,EMP00093,2024-01-07,Morning
SHIFT00480,EMP00035,2023-07-10,Afternoon
SHIFT00481,EMP00092,2023-08-03,Afternoon
SHIFT00482,EMP00007,2024-04-11,Evening
SHIFT00483,EMP00014,2024-02-16,Evening
SHIFT00484,EMP00059,2024-03-21,Afternoon
SHIFT00485,EMP00062,2023-09-14,Afternoon
SHIFT00486,EMP00120,2023-10-25,Evening
SHIFT00487,EMP00066,2025-02-20,Evening
SHIFT00488,EMP00022,2024-11-13,Evening
SHIFT00489,EMP00144,2024-03-21,Morning
SHIFT00490,EMP00099,2024-12-08,Morning
SHIFT00491,EMP00120,2023-11-02,Evening
SHIFT00492,EMP00043,2024-11-14,Afternoon
SHIFT00493,EMP00097,2023-11-25,Morning
SHIFT00494,EMP00098,2025-01-01,Evening
SHIFT00495,EMP00116,2023-11-29,Morning
SHIFT00496,EMP00148,2025-03-08,Afternoon
SHIFT00497,EMP00138,2024-06-22,Afternoon
SHIFT00498,EMP00147,2024-11-04,Afternoon
SHIFT00499,EMP00012,2024-09-26,Evening
SHIFT00500,EMP00138,2024-06-06,Evening
SHIFT00501,EMP00071,2024-11-10,Morning
SHIFT00502,EMP00184,2023-12-20,Evening
SHIFT00503,EMP00104,2024-05-05,Evening
SHIFT00504,EMP00011,2025-04-13,Evening
SHIFT00505,EMP00061,2024-02-07,Morning
SHIFT00506,EMP00126,2024-05-16,Evening
SHIFT00507,EMP00166,2025-04-17,Afternoon
SHIFT00508,EMP00017,2023-11-13,Evening
SHIFT00509,EMP00054,2023-06-08,Evening
SHIFT00510,EMP00173,2025-03-10,Afternoon
SHIFT00511,EMP00153,2023-10-18,Morning
SHIFT00512,EMP00106,2024-05-28,Evening
SHIFT00513,EMP00159,2023-06-16,Evening
SHIFT00514,EMP00106,2024-05-04,Evening
SHIFT00515,EMP00193,2025-02-14,Evening
SHIFT00516,EMP00039,2024-12-06,Afternoon
SHIFT00517,EMP00020,2024-11-22,Evening
SHIFT00518,EMP00073,2023-12-13,Morning
SHIFT00519,EMP00043,2024-11-18,Afternoon
SHIFT00520,EMP00116,2024-01-08,Afternoon
SHIFT00521,EMP00194,2024-08-17,Morning
SHIFT00522,EMP00129,2025-05-20,Evening
SHIFT00523,EMP00055,2025-04-21,Evening
SHIFT00524,EMP00108,2024-11-20,Evening
SHIFT00525,EMP00103,2024-01-27,Morning
SHIFT00526,EMP00179,2025-01-09,Afternoon
SHIFT00527,EMP00133,2024-08-08,Evening
SHIFT00528,EMP00140,2023-07-24,Morning
SHIFT00529,EMP00014,2024-08-22,Morning
SHIFT00530,EMP00188,2025-04-19,Evening
SHIFT00531,EMP00103,2023-06-26,Morning
SHIFT00532,EMP00040,2025-03-17,Evening
SHIFT00533,EMP00108,2025-02-09,Evening
SHIFT00534,EMP00137,2023-09-11,Evening
SHIFT00535,EMP00170,2024-02-08,Afternoon
SHIFT00536,EMP00042,2024-02-20,Morning
SHIFT00537,EMP00033,2023-10-18,Afternoon
SHIFT00538,EMP00025,2023-07-22,Evening
SHIFT00539,EMP00118,2023-10-22,Morning
SHIFT00540,EMP00078,2023-09-03,Evening
SHIFT00541,EMP00009,2023-11-04,Morning
SHIFT00542,EMP00119,2024-03-30,Evening
SHIFT00543,EMP00119,2023-06-07,Morning
SHIFT00544,EMP00091,2024-10-17,Evening
