InventoryAuditID,StoreID,ProductID,AuditDate,Quantity
IAU000271,STORE004,PROD00307,2025-05-24,32
IAU000272,STORE048,PROD00095,2025-05-01,43
IAU000273,STORE032,PROD00464,2024-10-28,19
IAU000274,STORE051,PROD00246,2025-05-07,110
IAU000275,STORE052,PROD00733,2024-12-15,163
IAU000276,STORE074,PROD00635,2024-08-16,6
IAU000277,STORE034,PROD00187,2024-11-23,159
IAU000278,STORE036,PROD00774,2024-12-17,194
IAU000279,STORE070,PROD00785,2024-09-17,166
IAU000280,STORE043,PROD00373,2025-04-08,23
IAU000281,STORE016,PROD00572,2025-05-19,69
IAU000282,STORE059,PROD00406,2025-02-11,111
IAU000283,STORE053,PROD00408,2025-03-29,103
IAU000284,STORE019,PROD00125,2025-05-16,53
IAU000285,STORE041,PROD00337,2025-01-23,37
IAU000286,STORE047,PROD00341,2024-11-18,73
IAU000287,STORE054,PROD00563,2024-06-18,79
IAU000288,STORE055,PROD00178,2024-08-03,31
IAU000289,STORE019,PROD00651,2024-06-29,44
IAU000290,STORE062,PROD00170,2025-03-16,60
IAU000291,STORE059,PROD00039,2024-07-31,197
IAU000292,STORE065,PROD00069,2024-09-11,52
IAU000293,STORE068,PROD00236,2025-05-15,127
IAU000294,STORE028,PROD00560,2024-06-06,178
IAU000295,STORE018,PROD00381,2025-04-03,75
IAU000296,STORE026,PROD00057,2024-11-13,183
IAU000297,STORE019,PROD00277,2025-04-22,26
IAU000298,STORE055,PROD00099,2025-04-07,165
IAU000299,STORE057,PROD00527,2024-11-04,61
IAU000300,STORE006,PROD00325,2025-02-27,17
IAU000301,STORE001,PROD00461,2024-11-20,126
IAU000302,STORE008,PROD00179,2025-01-24,108
IAU000303,STORE051,PROD00574,2025-05-15,102
IAU000304,STORE025,PROD00119,2024-06-21,191
IAU000305,STORE047,PROD00469,2025-03-22,76
IAU000306,STORE055,PROD00549,2024-10-05,116
IAU000307,STORE064,PROD00646,2024-07-04,103
IAU000308,STORE010,PROD00455,2024-06-11,157
IAU000309,STORE056,PROD00026,2025-03-29,48
IAU000310,STORE012,PROD00490,2024-07-21,168
IAU000311,STORE033,PROD00008,2024-11-04,115
IAU000312,STORE071,PROD00516,2024-06-27,140
IAU000313,STORE017,PROD00533,2024-10-29,161
IAU000314,STORE061,PROD00149,2025-05-21,99
IAU000315,STORE010,PROD00488,2024-10-20,124
IAU000316,STORE031,PROD00025,2024-07-14,24
IAU000317,STORE060,PROD00655,2024-12-04,193
IAU000318,STORE070,PROD00757,2025-05-13,127
IAU000319,STORE017,PROD00555,2024-08-05,99
IAU000320,STORE050,PROD00425,2025-04-16,145
IAU000321,STORE037,PROD00293,2025-03-21,4
IAU000322,STORE062,PROD00185,2025-03-12,18
IAU000323,STORE080,PROD00554,2025-05-22,169
IAU000324,STORE072,PROD00431,2025-03-11,17
IAU000325,STORE077,PROD00604,2025-05-19,120
IAU000326,STORE029,PROD00317,2025-05-09,31
IAU000327,STORE032,PROD00398,2024-11-13,148
IAU000328,STORE080,PROD00324,2025-03-02,9
IAU000329,STORE011,PROD00565,2024-11-10,36
IAU000330,STORE006,PROD00596,2024-09-02,176
IAU000331,STORE035,PROD00546,2024-08-25,85
IAU000332,STORE033,PROD00076,2025-04-05,12
IAU000333,STORE018,PROD00709,2025-03-30,182
IAU000334,STORE037,PROD00486,2025-01-19,144
IAU000335,STORE013,PROD00798,2025-03-19,8
IAU000336,STORE074,PROD00088,2024-09-28,87
IAU000337,STORE064,PROD00747,2025-05-08,171
IAU000338,STORE001,PROD00232,2024-12-05,45
IAU000339,STORE063,PROD00007,2024-11-09,135
IAU000340,STORE034,PROD00550,2024-12-03,118
IAU000341,STORE010,PROD00052,2024-10-19,164
IAU000342,STORE007,PROD00655,2024-12-05,18
IAU000343,STORE056,PROD00396,2024-07-11,190
IAU000344,STORE080,PROD00221,2024-08-03,173
IAU000345,STORE037,PROD00428,2024-08-28,93
IAU000346,STORE029,PROD00752,2025-04-21,198
IAU000347,STORE012,PROD00143,2024-07-07,25
IAU000348,STORE017,PROD00363,2024-07-21,45
IAU000349,STORE048,PROD00382,2024-12-19,117
IAU000350,STORE026,PROD00561,2024-07-20,45
IAU000351,STORE012,PROD00277,2024-06-21,13
IAU000352,STORE021,PROD00271,2024-06-17,84
IAU000353,STORE042,PROD00014,2024-12-18,62
IAU000354,STORE061,PROD00298,2024-10-22,71
IAU000355,STORE058,PROD00464,2025-04-23,2
IAU000356,STORE054,PROD00527,2025-02-11,27
IAU000357,STORE034,PROD00234,2025-02-25,124
IAU000358,STORE007,PROD00575,2024-07-17,156
IAU000359,STORE035,PROD00708,2024-11-08,86
IAU000360,STORE015,PROD00027,2024-06-19,145
IAU000361,STORE065,PROD00471,2024-10-08,162
IAU000362,STORE025,PROD00093,2025-05-06,76
IAU000363,STORE059,PROD00617,2024-07-02,75
IAU000364,STORE079,PROD00309,2024-10-18,174
IAU000365,STORE006,PROD00052,2024-06-24,113
IAU000366,STORE052,PROD00319,2024-06-08,132
IAU000367,STORE079,PROD00181,2024-11-10,74
IAU000368,STORE021,PROD00569,2024-12-26,58
IAU000369,STORE071,PROD00120,2025-05-01,58
IAU000370,STORE032,PROD00043,2024-11-05,46
IAU000371,STORE053,PROD00647,2024-08-09,94
IAU000372,STORE059,PROD00260,2025-03-31,140
IAU000373,STORE069,PROD00197,2024-11-14,77
IAU000374,STORE062,PROD00645,2025-05-14,112
IAU000375,STORE004,PROD00255,2024-06-19,108
IAU000376,STORE018,PROD00732,2025-01-02,105
IAU000377,STORE056,PROD00336,2024-08-29,88
IAU000378,STORE024,PROD00553,2025-03-02,32
IAU000379,STORE066,PROD00502,2025-01-22,96
IAU000380,STORE013,PROD00255,2025-03-01,189
IAU000381,STORE062,PROD00514,2025-03-19,78
IAU000382,STORE054,PROD00707,2024-10-14,15
IAU000383,STORE015,PROD00242,2024-08-13,43
IAU000384,STORE069,PROD00149,2024-12-26,185
IAU000385,STORE003,PROD00710,2024-09-26,119
IAU000386,STORE037,PROD00299,2024-07-07,133
IAU000387,STORE037,PROD00757,2024-10-09,107
IAU000388,STORE003,PROD00620,2025-04-09,142
IAU000389,STORE063,PROD00453,2024-07-01,3
IAU000390,STORE035,PROD00393,2025-05-07,55
IAU000391,STORE052,PROD00212,2025-01-07,63
IAU000392,STORE028,PROD00668,2025-04-23,195
IAU000393,STORE018,PROD00538,2024-09-21,161
IAU000394,STORE036,PROD00594,2024-12-26,94
IAU000395,STORE033,PROD00595,2025-03-30,55
IAU000396,STORE064,PROD00131,2024-11-07,31
IAU000397,STORE026,PROD00329,2025-02-26,115
IAU000398,STORE048,PROD00612,2025-01-04,8
IAU000399,STORE040,PROD00256,2024-12-31,190
IAU000400,STORE017,PROD00479,2024-06-25,104
IAU000401,STORE040,PROD00561,2024-06-04,199
IAU000402,STORE007,PROD00063,2024-08-25,77
IAU000403,STORE057,PROD00311,2025-03-22,160
IAU000404,STORE008,PROD00407,2024-12-05,86
IAU000405,STORE056,PROD00105,2025-04-12,20
IAU000406,STORE031,PROD00617,2024-06-27,54
IAU000407,STORE059,PROD00015,2024-06-04,75
IAU000408,STORE058,PROD00687,2025-04-25,184
IAU000409,STORE012,PROD00259,2024-07-21,129
IAU000410,STORE048,PROD00723,2025-05-10,140
IAU000411,STORE031,PROD00412,2024-12-16,125
IAU000412,STORE063,PROD00259,2024-06-08,131
IAU000413,STORE074,PROD00614,2025-03-30,83
IAU000414,STORE039,PROD00260,2025-03-17,177
IAU000415,STORE076,PROD00671,2024-07-10,114
IAU000416,STORE020,PROD00045,2025-02-19,47
IAU000417,STORE048,PROD00763,2024-10-16,122
IAU000418,STORE071,PROD00331,2025-01-27,77
IAU000419,STORE054,PROD00165,2025-02-16,29
IAU000420,STORE078,PROD00193,2024-10-14,28
IAU000421,STORE075,PROD00521,2025-03-25,135
IAU000422,STORE071,PROD00401,2024-11-23,139
IAU000423,STORE029,PROD00374,2025-01-20,40
IAU000424,STORE074,PROD00065,2024-08-01,25
IAU000425,STORE073,PROD00387,2024-12-07,49
IAU000426,STORE048,PROD00495,2025-02-28,1
IAU000427,STORE074,PROD00794,2024-11-28,54
IAU000428,STORE056,PROD00693,2025-02-12,103
IAU000429,STORE017,PROD00415,2025-03-29,183
IAU000430,STORE009,PROD00794,2025-02-13,13
IAU000431,STORE034,PROD00791,2025-01-14,133
IAU000432,STORE045,PROD00030,2024-07-06,127
IAU000433,STORE009,PROD00266,2025-01-24,103
IAU000434,STORE007,PROD00328,2025-04-07,94
IAU000435,STORE016,PROD00492,2024-12-13,80
IAU000436,STORE019,PROD00217,2024-07-15,60
IAU000437,STORE006,PROD00320,2024-09-10,11
IAU000438,STORE011,PROD00399,2025-03-18,12
IAU000439,STORE076,PROD00105,2025-04-24,146
IAU000440,STORE061,PROD00696,2025-01-20,171
IAU000441,STORE042,PROD00330,2024-10-12,88
IAU000442,STORE013,PROD00660,2025-05-05,94
IAU000443,STORE012,PROD00617,2025-01-23,58
IAU000444,STORE074,PROD00047,2024-08-18,36
IAU000445,STORE020,PROD00599,2024-07-10,24
IAU000446,STORE050,PROD00641,2024-07-18,15
IAU000447,STORE036,PROD00770,2025-05-01,165
IAU000448,STORE069,PROD00314,2024-12-15,170
IAU000449,STORE037,PROD00147,2024-06-24,86
IAU000450,STORE012,PROD00462,2024-08-17,141
IAU000451,STORE040,PROD00584,2024-10-30,133
IAU000452,STORE054,PROD00486,2024-08-13,22
IAU000453,STORE002,PROD00652,2025-01-22,125
IAU000454,STORE050,PROD00410,2025-05-20,59
IAU000455,STORE041,PROD00027,2025-02-16,139
IAU000456,STORE045,PROD00029,2024-11-30,140
IAU000457,STORE009,PROD00271,2024-08-25,99
IAU000458,STORE062,PROD00686,2025-03-13,102
IAU000459,STORE047,PROD00501,2024-12-03,133
IAU000460,STORE005,PROD00253,2025-03-24,62
IAU000461,STORE076,PROD00385,2025-05-14,37
IAU000462,STORE001,PROD00060,2025-01-05,127
IAU000463,STORE044,PROD00107,2024-12-24,49
IAU000464,STORE022,PROD00220,2024-11-02,179
IAU000465,STORE038,PROD00441,2025-01-11,39
IAU000466,STORE019,PROD00771,2025-04-27,7
IAU000467,STORE080,PROD00658,2025-04-20,188
IAU000468,STORE031,PROD00564,2025-03-31,7
IAU000469,STORE067,PROD00572,2024-09-16,103
IAU000470,STORE042,PROD00546,2024-05-30,33
IAU000471,STORE026,PROD00096,2024-12-31,187
IAU000472,STORE013,PROD00089,2024-08-13,56
IAU000473,STORE058,PROD00231,2024-11-30,173
IAU000474,STORE018,PROD00275,2024-11-28,21
IAU000475,STORE067,PROD00246,2024-10-07,86
IAU000476,STORE003,PROD00111,2025-04-20,39
IAU000477,STORE055,PROD00234,2024-08-09,172
IAU000478,STORE058,PROD00278,2025-03-08,182
IAU000479,STORE063,PROD00477,2025-01-24,178
IAU000480,STORE052,PROD00417,2025-02-02,85
IAU000481,STORE024,PROD00678,2024-09-06,132
IAU000482,STORE072,PROD00128,2024-06-30,94
IAU000483,STORE009,PROD00237,2024-12-29,12
IAU000484,STORE037,PROD00619,2025-01-31,27
IAU000485,STORE053,PROD00128,2024-08-25,83
IAU000486,STORE080,PROD00707,2025-04-04,61
IAU000487,STORE024,PROD00394,2024-09-26,92
IAU000488,STORE021,PROD00475,2024-12-08,86
IAU000489,STORE040,PROD00655,2025-02-04,23
IAU000490,STORE062,PROD00395,2025-01-18,97
IAU000491,STORE070,PROD00111,2024-06-06,6
IAU000492,STORE069,PROD00090,2024-06-28,165
IAU000493,STORE014,PROD00763,2025-04-04,36
IAU000494,STORE042,PROD00280,2025-01-29,67
IAU000495,STORE050,PROD00333,2024-05-28,169
IAU000496,STORE061,PROD00224,2025-03-04,85
IAU000497,STORE004,PROD00101,2024-05-31,132
IAU000498,STORE072,PROD00132,2025-05-17,191
IAU000499,STORE075,PROD00013,2025-05-10,177
IAU000500,STORE017,PROD00457,2025-04-17,86
