CostingID,StoreID,ProductID,EffectiveDate,Cost
IC000156,STORE009,PROD00225,2024-02-10,309.82
IC000157,STORE024,PROD00684,2024-09-30,4.31
IC000158,STORE063,PROD00323,2024-12-15,52.79
IC000159,STORE004,PROD00508,2024-07-12,80.68
IC000160,STORE056,PROD00548,2023-07-09,239.28
IC000161,STORE041,PROD00134,2023-12-13,78.68
IC000162,STORE067,PROD00037,2023-10-25,146.74
IC000163,STORE048,PROD00093,2024-03-12,97.87
IC000164,STORE058,PROD00075,2023-06-10,135.63
IC000165,STORE039,PROD00756,2023-11-07,377.04
IC000166,STORE025,PROD00183,2025-02-06,398.95
IC000167,STORE060,PROD00717,2024-05-04,274.6
IC000168,STORE047,PROD00459,2025-01-30,229.35
IC000169,STORE061,PROD00699,2024-10-30,283.67
IC000170,STORE027,PROD00678,2024-03-19,308.89
IC000171,STORE042,PROD00627,2024-07-18,295.87
IC000172,STORE052,PROD00409,2024-10-18,33.68
IC000173,STORE048,PROD00207,2024-05-06,124.81
IC000174,STORE032,PROD00245,2024-03-19,138.03
IC000175,STORE024,PROD00333,2024-06-28,148.33
IC000176,STORE003,PROD00673,2024-07-04,138.38
IC000177,STORE027,PROD00525,2024-03-13,315.05
IC000178,STORE073,PROD00294,2025-02-13,299.29
IC000179,STORE040,PROD00748,2024-01-26,2.84
IC000180,STORE023,PROD00273,2024-06-14,119.26
IC000181,STORE007,PROD00379,2023-08-30,249.84
IC000182,STORE037,PROD00626,2024-02-23,48.99
IC000183,STORE007,PROD00664,2023-10-22,29.41
IC000184,STORE077,PROD00026,2025-03-13,331.53
IC000185,STORE022,PROD00680,2024-12-30,181.62
IC000186,STORE078,PROD00544,2025-04-20,342.42
IC000187,STORE017,PROD00733,2025-01-21,329.6
IC000188,STORE019,PROD00718,2023-12-15,357.45
IC000189,STORE039,PROD00610,2024-01-20,20.26
IC000190,STORE036,PROD00091,2023-08-06,75.27
IC000191,STORE015,PROD00476,2024-10-12,119.16
IC000192,STORE063,PROD00726,2024-09-11,55.36
IC000193,STORE029,PROD00188,2024-06-11,194.7
IC000194,STORE060,PROD00569,2024-09-12,319.79
IC000195,STORE056,PROD00619,2024-10-07,380.52
IC000196,STORE040,PROD00195,2024-11-19,355.94
IC000197,STORE016,PROD00534,2024-04-13,183.48
IC000198,STORE033,PROD00698,2024-06-05,254.96
IC000199,STORE016,PROD00085,2024-05-18,93.05
IC000200,STORE030,PROD00592,2025-04-20,161.8
IC000201,STORE066,PROD00077,2024-01-16,348.6
IC000202,STORE044,PROD00330,2025-01-15,12.65
IC000203,STORE038,PROD00383,2023-11-06,213.57
IC000204,STORE051,PROD00433,2023-06-29,349.25
IC000205,STORE060,PROD00377,2023-07-09,49.68
IC000206,STORE018,PROD00341,2023-06-20,393.04
IC000207,STORE005,PROD00177,2024-04-15,5.94
IC000208,STORE040,PROD00426,2025-01-03,354.56
IC000209,STORE006,PROD00424,2024-08-06,142.12
IC000210,STORE076,PROD00174,2024-07-29,53.94
IC000211,STORE012,PROD00406,2024-11-23,63.79
IC000212,STORE012,PROD00082,2024-11-15,280.77
IC000213,STORE073,PROD00021,2023-09-24,348.42
IC000214,STORE022,PROD00691,2025-01-11,256.79
IC000215,STORE049,PROD00398,2023-10-08,371.56
IC000216,STORE050,PROD00330,2023-08-08,337.15
IC000217,STORE080,PROD00225,2024-09-02,4.6
IC000218,STORE004,PROD00777,2025-01-15,268.1
IC000219,STORE050,PROD00402,2024-12-29,122.55
IC000220,STORE003,PROD00781,2025-03-13,182.35
IC000221,STORE016,PROD00763,2024-01-13,38.52
IC000222,STORE014,PROD00785,2024-06-08,113.56
IC000223,STORE064,PROD00438,2024-09-28,253.44
IC000224,STORE041,PROD00272,2024-09-13,88.13
IC000225,STORE068,PROD00280,2025-04-23,259.37
IC000226,STORE059,PROD00223,2023-08-28,369.29
IC000227,STORE002,PROD00587,2024-01-25,2.97
IC000228,STORE010,PROD00663,2023-06-13,314.52
IC000229,STORE075,PROD00509,2024-01-15,256.89
IC000230,STORE026,PROD00342,2024-11-29,19.61
IC000231,STORE004,PROD00617,2023-11-07,316.28
IC000232,STORE028,PROD00042,2024-04-16,90.58
IC000233,STORE002,PROD00176,2024-06-22,107.06
IC000234,STORE066,PROD00245,2023-07-20,38.31
IC000235,STORE016,PROD00253,2024-09-11,214.22
IC000236,STORE057,PROD00274,2024-01-30,199.79
IC000237,STORE023,PROD00334,2025-03-06,139.52
IC000238,STORE023,PROD00604,2023-06-09,68.33
IC000239,STORE077,PROD00011,2025-03-11,335.34
IC000240,STORE021,PROD00152,2024-03-06,350.67
IC000241,STORE025,PROD00189,2024-11-13,216.69
IC000242,STORE058,PROD00676,2023-06-21,98.45
IC000243,STORE037,PROD00638,2023-11-05,39.35
IC000244,STORE049,PROD00211,2023-10-22,347.55
IC000245,STORE077,PROD00097,2023-07-27,39.33
IC000246,STORE015,PROD00339,2023-06-30,6.26
IC000247,STORE028,PROD00047,2024-06-06,188.29
IC000248,STORE067,PROD00736,2025-04-11,292.78
IC000249,STORE004,PROD00057,2023-10-23,183.56
IC000250,STORE047,PROD00075,2024-12-04,21.51
IC000251,STORE050,PROD00254,2024-11-18,276.32
IC000252,STORE060,PROD00663,2024-08-16,257.29
IC000253,STORE062,PROD00571,2024-05-17,272.93
IC000254,STORE067,PROD00598,2025-03-06,85.27
IC000255,STORE072,PROD00170,2024-09-18,318.48
IC000256,STORE043,PROD00146,2024-04-05,192.19
IC000257,STORE058,PROD00033,2024-08-13,215.0
IC000258,STORE052,PROD00515,2024-09-14,218.79
IC000259,STORE076,PROD00796,2025-03-26,115.44
IC000260,STORE069,PROD00257,2023-12-24,100.8
IC000261,STORE046,PROD00126,2024-01-07,2.9
IC000262,STORE025,PROD00113,2025-02-01,159.25
IC000263,STORE025,PROD00342,2024-11-10,194.56
IC000264,STORE035,PROD00048,2024-05-03,297.38
IC000265,STORE061,PROD00364,2023-10-22,27.58
IC000266,STORE015,PROD00787,2025-01-17,369.67
IC000267,STORE074,PROD00398,2024-11-17,106.32
IC000268,STORE035,PROD00195,2023-12-08,147.32
IC000269,STORE029,PROD00737,2023-10-06,20.3
IC000270,STORE038,PROD00725,2024-11-12,261.6
IC000271,STORE069,PROD00321,2024-02-20,283.86
IC000272,STORE024,PROD00794,2024-02-18,371.59
IC000273,STORE019,PROD00138,2024-08-19,135.39
IC000274,STORE046,PROD00355,2023-06-16,103.69
IC000275,STORE049,PROD00070,2025-04-03,290.71
IC000276,STORE044,PROD00582,2025-01-26,283.01
IC000277,STORE073,PROD00483,2023-11-23,374.91
IC000278,STORE026,PROD00720,2024-03-31,82.92
IC000279,STORE025,PROD00712,2024-08-23,282.41
IC000280,STORE035,PROD00059,2024-12-03,27.68
IC000281,STORE036,PROD00771,2024-07-04,192.67
IC000282,STORE014,PROD00389,2023-12-10,48.64
IC000283,STORE056,PROD00351,2025-03-04,261.61
IC000284,STORE006,PROD00339,2025-05-19,240.99
IC000285,STORE032,PROD00677,2024-02-17,20.48
IC000286,STORE026,PROD00757,2023-12-13,128.53
IC000287,STORE015,PROD00596,2023-06-22,158.62
IC000288,STORE049,PROD00436,2023-11-15,99.98
IC000289,STORE056,PROD00450,2025-04-28,16.43
IC000290,STORE037,PROD00377,2024-11-18,128.21
IC000291,STORE053,PROD00391,2023-07-29,317.26
IC000292,STORE058,PROD00481,2024-12-19,144.68
IC000293,STORE078,PROD00114,2024-04-28,130.02
IC000294,STORE036,PROD00746,2024-11-02,376.76
IC000295,STORE011,PROD00774,2023-06-30,17.61
IC000296,STORE027,PROD00172,2025-04-24,307.15
IC000297,STORE002,PROD00018,2024-09-25,193.75
IC000298,STORE022,PROD00235,2023-06-24,377.84
IC000299,STORE066,PROD00310,2025-04-08,157.99
IC000300,STORE017,PROD00669,2025-02-28,283.51
IC000301,STORE004,PROD00723,2024-12-07,28.9
IC000302,STORE014,PROD00281,2023-11-01,371.58
IC000303,STORE007,PROD00196,2025-02-20,138.47
IC000304,STORE079,PROD00115,2024-06-04,210.08
IC000305,STORE016,PROD00397,2024-03-29,56.25
IC000306,STORE066,PROD00672,2024-07-16,378.28
IC000307,STORE019,PROD00667,2025-02-18,269.52
IC000308,STORE001,PROD00563,2024-03-03,22.53
IC000309,STORE031,PROD00418,2024-09-30,62.93
IC000310,STORE004,PROD00284,2025-02-22,160.53
IC000311,STORE058,PROD00585,2023-12-11,87.49
IC000312,STORE056,PROD00328,2024-03-19,122.55
IC000313,STORE053,PROD00341,2024-12-11,399.0
IC000314,STORE043,PROD00622,2023-12-21,263.8
IC000315,STORE074,PROD00798,2023-08-17,368.96
IC000316,STORE049,PROD00221,2024-05-12,174.88
IC000317,STORE060,PROD00009,2024-08-11,284.4
IC000318,STORE016,PROD00082,2023-10-22,184.42
IC000319,STORE073,PROD00294,2024-02-12,131.96
IC000320,STORE060,PROD00375,2024-10-22,208.15
IC000321,STORE047,PROD00534,2024-03-04,171.5
IC000322,STORE015,PROD00415,2024-04-07,392.24
IC000323,STORE063,PROD00099,2023-10-09,198.97
IC000324,STORE028,PROD00682,2025-04-01,324.63
IC000325,STORE020,PROD00702,2023-11-02,267.06
IC000326,STORE063,PROD00618,2023-10-10,192.37
IC000327,STORE033,PROD00777,2024-01-28,190.19
IC000328,STORE036,PROD00382,2023-09-29,137.41
IC000329,STORE013,PROD00504,2025-04-16,43.69
IC000330,STORE062,PROD00447,2025-02-17,304.83
IC000331,STORE068,PROD00680,2025-03-20,367.32
IC000332,STORE023,PROD00344,2024-06-04,87.96
IC000333,STORE072,PROD00425,2023-11-26,370.34
IC000334,STORE013,PROD00625,2023-12-03,93.69
IC000335,STORE040,PROD00306,2023-12-18,212.5
IC000336,STORE030,PROD00148,2023-08-13,138.11
IC000337,STORE025,PROD00732,2024-12-26,46.69
IC000338,STORE073,PROD00454,2023-11-10,22.08
IC000339,STORE026,PROD00033,2025-04-19,146.77
IC000340,STORE024,PROD00732,2025-05-23,19.89
IC000341,STORE039,PROD00501,2024-05-23,42.58
IC000342,STORE079,PROD00319,2025-02-22,57.78
IC000343,STORE061,PROD00697,2023-12-17,1.76
IC000344,STORE049,PROD00193,2024-06-21,62.15
IC000345,STORE041,PROD00180,2023-09-28,231.33
IC000346,STORE070,PROD00518,2023-12-01,327.99
IC000347,STORE020,PROD00391,2024-08-08,78.18
IC000348,STORE044,PROD00521,2024-10-23,33.27
IC000349,STORE016,PROD00357,2024-05-26,292.08
IC000350,STORE021,PROD00573,2024-06-22,4.26
IC000351,STORE015,PROD00464,2023-12-07,293.93
IC000352,STORE039,PROD00675,2023-08-21,53.32
IC000353,STORE042,PROD00099,2025-02-27,92.09
IC000354,STORE061,PROD00148,2024-01-14,48.91
IC000355,STORE004,PROD00570,2024-03-20,99.69
IC000356,STORE024,PROD00727,2023-10-29,319.47
IC000357,STORE003,PROD00316,2024-08-20,53.89
IC000358,STORE001,PROD00182,2025-05-12,397.67
IC000359,STORE013,PROD00547,2024-09-01,131.51
IC000360,STORE054,PROD00303,2024-07-08,368.87
IC000361,STORE040,PROD00558,2025-03-20,76.82
IC000362,STORE011,PROD00599,2023-12-01,75.97
IC000363,STORE042,PROD00004,2023-06-23,226.57
IC000364,STORE004,PROD00778,2023-09-29,21.19
IC000365,STORE025,PROD00107,2023-06-19,320.6
IC000366,STORE036,PROD00075,2024-04-20,176.41
IC000367,STORE064,PROD00040,2024-06-18,279.98
IC000368,STORE044,PROD00639,2025-05-11,70.68
IC000369,STORE040,PROD00695,2025-02-20,257.3
IC000370,STORE045,PROD00119,2024-12-09,238.03
IC000371,STORE008,PROD00073,2025-01-19,302.51
IC000372,STORE035,PROD00552,2023-12-05,119.66
IC000373,STORE044,PROD00204,2024-04-26,373.33
IC000374,STORE018,PROD00096,2024-12-20,384.56
IC000375,STORE047,PROD00279,2024-12-09,347.38
IC000376,STORE025,PROD00143,2024-05-20,229.24
IC000377,STORE041,PROD00115,2024-10-24,168.7
IC000378,STORE005,PROD00476,2024-11-01,24.14
IC000379,STORE064,PROD00133,2024-04-05,378.94
IC000380,STORE062,PROD00168,2023-06-27,380.76
IC000381,STORE072,PROD00245,2025-01-10,8.46
IC000382,STORE003,PROD00277,2023-07-29,143.4
IC000383,STORE037,PROD00259,2023-09-29,352.13
IC000384,STORE041,PROD00046,2024-01-11,33.26
IC000385,STORE020,PROD00346,2025-05-19,79.43
IC000386,STORE067,PROD00237,2023-07-05,391.49
IC000387,STORE040,PROD00053,2024-08-13,339.07
IC000388,STORE077,PROD00148,2023-08-12,364.91
IC000389,STORE008,PROD00699,2023-10-12,57.72
IC000390,STORE005,PROD00533,2024-04-15,85.32
IC000391,STORE025,PROD00090,2024-03-12,242.56
IC000392,STORE039,PROD00233,2023-07-14,201.19
IC000393,STORE037,PROD00727,2024-07-24,120.1
IC000394,STORE005,PROD00051,2025-04-28,353.65
IC000395,STORE008,PROD00665,2024-04-26,360.65
IC000396,STORE004,PROD00628,2023-09-10,117.38
IC000397,STORE041,PROD00394,2024-05-17,63.15
IC000398,STORE060,PROD00214,2023-11-01,60.49
IC000399,STORE054,PROD00451,2023-11-22,194.29
IC000400,STORE022,PROD00339,2023-12-16,54.03
IC000401,STORE078,PROD00351,2025-03-19,189.86
IC000402,STORE019,PROD00649,2025-01-17,185.31
IC000403,STORE077,PROD00285,2024-08-21,353.76
IC000404,STORE068,PROD00583,2023-08-14,119.19
IC000405,STORE033,PROD00245,2025-04-26,224.7
IC000406,STORE022,PROD00550,2023-07-26,297.66
IC000407,STORE065,PROD00728,2025-02-17,238.77
IC000408,STORE011,PROD00639,2025-04-03,381.67
IC000409,STORE016,PROD00584,2023-10-29,241.31
IC000410,STORE068,PROD00226,2024-07-08,360.84
IC000411,STORE044,PROD00441,2023-08-20,98.78
IC000412,STORE009,PROD00474,2024-08-09,224.74
IC000413,STORE072,PROD00444,2024-10-07,217.78
IC000414,STORE078,PROD00796,2024-06-25,395.79
IC000415,STORE079,PROD00412,2024-06-21,82.6
IC000416,STORE062,PROD00246,2024-08-28,57.26
IC000417,STORE015,PROD00583,2025-03-04,245.06
IC000418,STORE006,PROD00707,2024-09-02,90.25
IC000419,STORE001,PROD00500,2023-09-07,256.02
IC000420,STORE020,PROD00550,2025-02-24,389.02
IC000421,STORE036,PROD00117,2023-12-01,378.66
IC000422,STORE002,PROD00750,2024-12-24,93.21
IC000423,STORE070,PROD00364,2024-01-03,69.19
IC000424,STORE002,PROD00204,2024-10-10,224.73
IC000425,STORE003,PROD00351,2024-07-20,235.12
IC000426,STORE007,PROD00319,2025-01-03,265.24
IC000427,STORE064,PROD00359,2025-03-01,296.85
IC000428,STORE041,PROD00517,2024-02-05,240.78
IC000429,STORE054,PROD00489,2024-04-11,45.59
IC000430,STORE041,PROD00669,2025-04-19,316.27
IC000431,STORE005,PROD00107,2024-08-08,32.73
IC000432,STORE063,PROD00740,2023-09-04,8.98
IC000433,STORE001,PROD00654,2024-11-12,308.09
IC000434,STORE025,PROD00172,2023-09-22,219.79
IC000435,STORE046,PROD00658,2023-12-12,279.74
IC000436,STORE015,PROD00519,2023-11-23,153.72
IC000437,STORE069,PROD00528,2024-07-26,5.43
IC000438,STORE017,PROD00320,2023-07-17,133.08
IC000439,STORE021,PROD00037,2024-10-06,243.65
IC000440,STORE053,PROD00499,2025-02-19,91.06
IC000441,STORE055,PROD00665,2023-10-23,275.43
IC000442,STORE010,PROD00265,2025-05-25,317.97
IC000443,STORE057,PROD00695,2024-08-04,182.25
IC000444,STORE065,PROD00668,2023-08-31,350.41
IC000445,STORE037,PROD00649,2023-12-09,342.07
IC000446,STORE007,PROD00402,2024-02-07,351.35
IC000447,STORE076,PROD00602,2024-02-19,264.75
IC000448,STORE040,PROD00218,2025-01-07,122.61
IC000449,STORE050,PROD00330,2025-02-14,193.02
IC000450,STORE001,PROD00186,2023-08-30,284.49
IC000451,STORE020,PROD00381,2023-08-31,85.01
IC000452,STORE031,PROD00209,2024-07-04,295.8
IC000453,STORE068,PROD00563,2024-03-04,219.69
IC000454,STORE012,PROD00288,2024-12-16,39.31
IC000455,STORE022,PROD00088,2025-03-11,223.36
IC000456,STORE001,PROD00136,2024-10-24,27.64
IC000457,STORE001,PROD00158,2025-03-28,6.71
IC000458,STORE003,PROD00794,2024-03-27,355.96
IC000459,STORE076,PROD00155,2023-09-09,196.48
IC000460,STORE021,PROD00463,2025-02-17,217.77
IC000461,STORE013,PROD00220,2025-03-23,112.7
IC000462,STORE061,PROD00459,2023-07-20,217.56
IC000463,STORE013,PROD00167,2023-10-05,68.38
IC000464,STORE033,PROD00322,2025-04-28,298.51
IC000465,STORE006,PROD00691,2024-09-14,329.52
IC000466,STORE025,PROD00562,2023-08-28,342.49
IC000467,STORE023,PROD00512,2025-05-16,43.55
IC000468,STORE026,PROD00087,2023-07-25,223.54
IC000469,STORE004,PROD00545,2024-01-11,323.69
IC000470,STORE035,PROD00275,2024-08-26,52.16
IC000471,STORE075,PROD00141,2023-08-01,40.71
IC000472,STORE025,PROD00718,2024-09-28,326.96
IC000473,STORE020,PROD00736,2025-02-16,318.9
IC000474,STORE001,PROD00625,2024-01-08,180.03
IC000475,STORE068,PROD00790,2024-01-12,44.77
IC000476,STORE023,PROD00353,2023-11-24,206.93
IC000477,STORE022,PROD00005,2025-01-03,158.53
IC000478,STORE062,PROD00382,2024-03-20,207.9
IC000479,STORE001,PROD00724,2024-08-01,176.52
IC000480,STORE059,PROD00768,2024-03-27,227.84
IC000481,STORE068,PROD00334,2024-06-02,291.12
IC000482,STORE019,PROD00475,2023-06-03,310.17
IC000483,STORE030,PROD00030,2024-10-28,259.94
IC000484,STORE001,PROD00347,2024-03-08,80.38
IC000485,STORE048,PROD00594,2023-06-19,159.45
IC000486,STORE019,PROD00493,2024-04-27,29.42
IC000487,STORE052,PROD00748,2025-01-13,181.22
IC000488,STORE022,PROD00495,2023-07-05,388.17
IC000489,STORE050,PROD00388,2023-05-27,257.05
IC000490,STORE066,PROD00253,2024-10-02,62.69
IC000491,STORE006,PROD00630,2025-03-10,108.16
IC000492,STORE064,PROD00030,2025-03-16,26.76
IC000493,STORE021,PROD00623,2024-08-03,73.78
IC000494,STORE019,PROD00766,2025-05-09,195.65
IC000495,STORE037,PROD00711,2023-11-26,138.6
IC000496,STORE063,PROD00342,2023-09-11,82.38
IC000497,STORE029,PROD00287,2024-11-26,59.49
IC000498,STORE060,PROD00397,2024-03-09,262.77
IC000499,STORE034,PROD00509,2024-04-04,223.68
IC000500,STORE001,PROD00244,2025-03-08,337.21
IC000501,STORE048,PROD00221,2025-01-28,74.12
IC000502,STORE021,PROD00156,2025-05-23,339.35
IC000503,STORE034,PROD00383,2024-02-14,231.59
IC000504,STORE026,PROD00748,2024-09-21,107.22
IC000505,STORE036,PROD00320,2025-03-11,110.15
IC000506,STORE023,PROD00373,2024-06-04,156.76
IC000507,STORE047,PROD00531,2023-11-07,184.59
IC000508,STORE076,PROD00215,2023-12-21,33.92
IC000509,STORE044,PROD00367,2025-01-03,336.96
IC000510,STORE020,PROD00114,2023-10-04,49.49
IC000511,STORE027,PROD00200,2024-09-23,193.9
IC000512,STORE061,PROD00025,2025-01-13,153.8
IC000513,STORE037,PROD00121,2024-10-27,205.4
IC000514,STORE052,PROD00742,2024-01-07,355.11
IC000515,STORE075,PROD00611,2024-01-04,395.65
IC000516,STORE062,PROD00003,2024-05-10,9.09
