CouponID,DiscountPercentage,ValidFrom,ValidTo
COUP00047,6,2024-03-09,2025-03-04
COUP00048,29,2024-05-23,2024-07-08
COUP00049,48,2023-11-15,2025-05-07
COUP00050,32,2023-09-07,2024-06-07
COUP00051,49,2023-11-24,2025-02-04
COUP00052,41,2023-10-04,2024-06-10
COUP00053,41,2023-11-26,2025-04-14
COUP00054,21,2023-11-20,2024-06-06
COUP00055,9,2023-10-08,2025-03-13
COUP00056,23,2023-09-19,2025-01-13
COUP00057,8,2023-06-04,2024-11-29
COUP00058,43,2023-07-10,2024-12-05
COUP00059,47,2023-07-30,2025-03-24
COUP00060,42,2023-09-02,2024-11-11
COUP00061,49,2024-02-04,2024-06-02
COUP00062,48,2023-10-11,2025-01-04
COUP00063,34,2024-02-29,2024-08-28
COUP00064,36,2023-07-15,2024-07-12
COUP00065,41,2024-01-23,2024-09-23
COUP00066,31,2024-01-18,2025-05-20
COUP00067,36,2023-08-22,2024-11-26
COUP00068,46,2024-01-30,2025-01-30
COUP00069,15,2023-12-14,2025-02-08
COUP00070,45,2024-01-04,2024-08-11
COUP00071,17,2023-11-23,2025-04-12
COUP00072,39,2023-08-25,2024-05-30
COUP00073,21,2023-12-10,2025-04-01
COUP00074,34,2023-11-26,2025-04-16
COUP00075,22,2023-11-27,2024-07-05
COUP00076,41,2023-07-16,2024-11-24
COUP00077,34,2024-05-20,2024-08-27
COUP00078,30,2023-10-27,2025-02-08
COUP00079,20,2023-09-29,2025-04-23
COUP00080,15,2024-01-31,2025-05-04
COUP00081,8,2024-02-15,2024-05-28
COUP00082,45,2023-12-30,2024-11-23
COUP00083,19,2024-02-19,2025-01-03
COUP00084,16,2023-06-25,2025-03-17
COUP00085,31,2023-08-15,2025-04-07
COUP00086,8,2024-05-15,2024-11-19
COUP00087,39,2024-02-05,2024-11-06
COUP00088,25,2023-12-17,2024-12-29
COUP00089,40,2024-02-12,2025-01-31
COUP00090,6,2024-04-23,2025-02-19
COUP00091,43,2024-04-16,2024-07-14
COUP00092,32,2023-09-13,2025-01-05
COUP00093,38,2023-08-04,2024-06-05
COUP00094,37,2023-07-14,2024-05-25
COUP00095,12,2023-10-10,2025-02-08
COUP00096,12,2024-05-13,2024-12-01
COUP00097,46,2024-04-14,2024-09-30
COUP00098,26,2023-11-03,2024-11-19
COUP00099,31,2023-07-10,2024-11-15
COUP00100,32,2023-08-22,2024-11-16
COUP00101,15,2023-08-30,2024-07-08
COUP00102,31,2024-04-19,2024-08-12
COUP00103,5,2024-03-11,2024-11-04
COUP00104,43,2023-06-01,2025-01-17
COUP00105,32,2023-09-04,2024-09-10
COUP00106,31,2023-12-08,2024-12-24
COUP00107,12,2023-07-17,2025-02-08
COUP00108,28,2024-03-31,2025-02-21
COUP00109,44,2023-06-09,2024-09-07
COUP00110,40,2024-04-11,2025-05-04
COUP00111,28,2024-01-11,2025-04-03
COUP00112,46,2024-05-04,2024-07-29
COUP00113,26,2023-07-11,2024-12-20
COUP00114,14,2023-07-16,2024-12-22
COUP00115,8,2024-04-16,2024-06-09
COUP00116,12,2023-09-06,2024-07-25
COUP00117,43,2024-01-17,2025-01-27
COUP00118,19,2024-01-09,2024-09-13
COUP00119,12,2023-06-30,2025-01-18
COUP00120,33,2023-07-17,2024-07-08
COUP00121,46,2023-09-26,2025-02-20
COUP00122,43,2024-05-01,2024-07-23
COUP00123,39,2024-02-28,2025-02-17
COUP00124,45,2023-10-05,2024-06-11
COUP00125,18,2023-05-29,2024-10-06
COUP00126,36,2023-09-02,2025-04-27
COUP00127,11,2024-02-22,2024-08-29
COUP00128,48,2023-12-12,2024-11-21
COUP00129,37,2024-01-29,2024-10-22
COUP00130,39,2024-02-13,2024-12-25
COUP00131,31,2023-10-09,2025-05-11
COUP00132,5,2024-01-25,2024-06-29
COUP00133,10,2023-09-21,2024-09-30
COUP00134,6,2023-06-11,2025-03-31
COUP00135,11,2024-01-04,2024-09-25
COUP00136,12,2024-04-04,2025-04-15
COUP00137,49,2023-06-26,2024-11-07
COUP00138,33,2024-03-10,2025-01-17
COUP00139,20,2023-10-07,2025-04-15
COUP00140,33,2023-10-02,2024-07-23
COUP00141,35,2024-01-11,2024-10-23
COUP00142,26,2024-02-24,2024-09-27
COUP00143,14,2023-09-21,2024-07-13
COUP00144,8,2024-05-16,2025-04-25
COUP00145,29,2023-07-17,2025-04-11
COUP00146,17,2023-06-24,2024-09-29
COUP00147,21,2023-10-01,2024-09-09
COUP00148,44,2023-12-24,2024-06-21
COUP00149,12,2023-07-27,2024-10-03
COUP00150,27,2023-11-02,2024-06-28
COUP00151,11,2024-03-24,2024-11-23
COUP00152,36,2024-02-07,2024-06-26
COUP00153,28,2024-01-29,2024-10-21
COUP00154,5,2024-05-23,2025-03-26
COUP00155,40,2024-01-10,2024-12-01
COUP00156,31,2023-08-06,2024-08-09
COUP00157,10,2024-01-06,2025-03-26
COUP00158,46,2023-12-15,2024-11-19
COUP00159,35,2023-10-21,2025-01-28
COUP00160,16,2023-11-14,2024-09-03
COUP00161,30,2024-02-15,2024-09-16
COUP00162,29,2023-11-29,2025-01-16
COUP00163,8,2023-06-30,2025-01-04
COUP00164,10,2023-07-12,2025-04-15
COUP00165,17,2023-11-14,2025-04-02
COUP00166,29,2023-07-04,2024-10-03
COUP00167,35,2023-11-29,2024-10-13
COUP00168,26,2023-06-25,2024-11-13
COUP00169,39,2024-04-26,2024-11-02
COUP00170,25,2024-01-25,2025-05-05
COUP00171,19,2023-09-15,2025-01-19
COUP00172,7,2023-07-12,2025-04-13
COUP00173,41,2023-08-08,2024-11-27
COUP00174,49,2024-01-16,2024-07-06
COUP00175,30,2023-11-19,2025-01-26
COUP00176,21,2023-07-15,2025-05-14
COUP00177,42,2024-03-20,2025-01-09
COUP00178,39,2023-07-29,2025-05-01
COUP00179,45,2023-05-26,2024-08-07
COUP00180,12,2023-10-10,2024-06-07
COUP00181,15,2023-10-11,2025-02-16
COUP00182,28,2023-11-02,2025-01-08
COUP00183,47,2024-02-12,2024-10-11
COUP00184,12,2023-10-10,2024-10-03
COUP00185,34,2023-08-24,2024-07-02
COUP00186,5,2024-05-02,2025-01-11
COUP00187,38,2024-03-28,2024-07-01
COUP00188,24,2024-03-25,2024-10-13
COUP00189,40,2023-10-15,2024-06-18
COUP00190,38,2024-02-23,2024-12-24
COUP00191,38,2024-02-05,2024-08-11
COUP00192,17,2023-08-09,2025-05-19
COUP00193,10,2023-10-05,2025-05-25
COUP00194,40,2023-06-19,2024-11-08
COUP00195,29,2023-12-07,2024-07-17
COUP00196,31,2023-12-27,2025-03-20
COUP00197,35,2024-05-22,2024-10-20
COUP00198,7,2024-04-30,2025-03-16
COUP00199,32,2024-01-06,2025-01-02
COUP00200,8,2023-11-04,2025-04-01
