PromotionProductID,PromotionID,ProductID
PPD000369,PROMO0013,PROD00013
PPD000370,PROMO0031,PROD00664
PPD000371,PROMO0034,PROD00428
PPD000372,PROMO0029,PROD00400
PPD000373,PROMO0003,PROD00109
PPD000374,PROMO0009,PROD00485
PPD000375,PROMO0011,PROD00356
PPD000376,PROMO0011,PROD00149
PPD000377,PROMO0025,PROD00716
PPD000378,PROMO0022,PROD00307
PPD000379,PROMO0009,PROD00533
PPD000380,PROMO0020,PROD00060
PPD000381,PROMO0021,PROD00435
PPD000382,PROMO0010,PROD00021
PPD000383,PROMO0022,PROD00382
PPD000384,PROMO0029,PROD00245
PPD000385,PROMO0009,PROD00073
PPD000386,PROMO0005,PROD00449
PPD000387,PROMO0040,PROD00076
PPD000388,PROMO0011,PROD00698
PPD000389,PROMO0001,PROD00590
PPD000390,PROMO0001,PROD00390
PPD000391,PROMO0039,PROD00577
PPD000392,PROMO0005,PROD00342
PPD000393,PROMO0022,PROD00290
PPD000394,PROMO0026,PROD00568
PPD000395,PROMO0006,PROD00331
PPD000396,PROMO0032,PROD00259
PPD000397,PROMO0011,PROD00426
PPD000398,PROMO0010,PROD00702
PPD000399,PROMO0039,PROD00006
PPD000400,PROMO0034,PROD00006
PPD000401,PROMO0031,PROD00191
PPD000402,PROMO0012,PROD00148
PPD000403,PROMO0016,PROD00405
PPD000404,PROMO0038,PROD00258
PPD000405,PROMO0003,PROD00730
PPD000406,PROMO0002,PROD00479
PPD000407,PROMO0005,PROD00090
PPD000408,PROMO0011,PROD00010
PPD000409,PROMO0025,PROD00087
PPD000410,PROMO0035,PROD00762
PPD000411,PROMO0035,PROD00151
PPD000412,PROMO0022,PROD00625
PPD000413,PROMO0037,PROD00030
PPD000414,PROMO0022,PROD00128
PPD000415,PROMO0011,PROD00078
PPD000416,PROMO0032,PROD00421
PPD000417,PROMO0035,PROD00055
PPD000418,PROMO0031,PROD00480
PPD000419,PROMO0008,PROD00305
PPD000420,PROMO0020,PROD00546
PPD000421,PROMO0034,PROD00105
PPD000422,PROMO0004,PROD00172
PPD000423,PROMO0018,PROD00499
PPD000424,PROMO0004,PROD00022
PPD000425,PROMO0020,PROD00287
PPD000426,PROMO0009,PROD00391
PPD000427,PROMO0016,PROD00617
PPD000428,PROMO0026,PROD00149
PPD000429,PROMO0038,PROD00272
PPD000430,PROMO0025,PROD00788
PPD000431,PROMO0004,PROD00299
PPD000432,PROMO0038,PROD00172
PPD000433,PROMO0019,PROD00047
PPD000434,PROMO0014,PROD00626
PPD000435,PROMO0021,PROD00787
PPD000436,PROMO0015,PROD00207
PPD000437,PROMO0003,PROD00453
PPD000438,PROMO0037,PROD00395
PPD000439,PROMO0016,PROD00754
PPD000440,PROMO0014,PROD00301
PPD000441,PROMO0009,PROD00708
PPD000442,PROMO0007,PROD00676
PPD000443,PROMO0014,PROD00176
PPD000444,PROMO0006,PROD00783
PPD000445,PROMO0021,PROD00110
PPD000446,PROMO0015,PROD00684
PPD000447,PROMO0008,PROD00202
PPD000448,PROMO0034,PROD00168
PPD000449,PROMO0040,PROD00614
PPD000450,PROMO0001,PROD00086
PPD000451,PROMO0032,PROD00654
PPD000452,PROMO0005,PROD00725
PPD000453,PROMO0030,PROD00051
PPD000454,PROMO0022,PROD00112
PPD000455,PROMO0020,PROD00463
PPD000456,PROMO0016,PROD00442
PPD000457,PROMO0007,PROD00271
PPD000458,PROMO0007,PROD00577
PPD000459,PROMO0002,PROD00344
PPD000460,PROMO0014,PROD00183
PPD000461,PROMO0031,PROD00503
PPD000462,PROMO0014,PROD00010
PPD000463,PROMO0005,PROD00494
PPD000464,PROMO0011,PROD00234
PPD000465,PROMO0040,PROD00298
PPD000466,PROMO0005,PROD00244
PPD000467,PROMO0029,PROD00509
PPD000468,PROMO0011,PROD00351
PPD000469,PROMO0005,PROD00267
PPD000470,PROMO0032,PROD00630
PPD000471,PROMO0036,PROD00656
PPD000472,PROMO0015,PROD00201
PPD000473,PROMO0019,PROD00239
PPD000474,PROMO0022,PROD00334
PPD000475,PROMO0034,PROD00415
PPD000476,PROMO0017,PROD00484
PPD000477,PROMO0012,PROD00437
PPD000478,PROMO0025,PROD00246
PPD000479,PROMO0017,PROD00008
PPD000480,PROMO0010,PROD00152
PPD000481,PROMO0028,PROD00392
PPD000482,PROMO0018,PROD00211
PPD000483,PROMO0018,PROD00367
PPD000484,PROMO0032,PROD00670
PPD000485,PROMO0014,PROD00570
PPD000486,PROMO0016,PROD00086
PPD000487,PROMO0018,PROD00055
PPD000488,PROMO0016,PROD00713
PPD000489,PROMO0017,PROD00634
PPD000490,PROMO0007,PROD00446
PPD000491,PROMO0012,PROD00620
PPD000492,PROMO0034,PROD00304
PPD000493,PROMO0010,PROD00132
PPD000494,PROMO0005,PROD00421
PPD000495,PROMO0021,PROD00385
PPD000496,PROMO0003,PROD00198
PPD000497,PROMO0019,PROD00047
PPD000498,PROMO0035,PROD00740
PPD000499,PROMO0006,PROD00757
PPD000500,PROMO0014,PROD00203
