TimesheetID,EmployeeID,Date,HoursWorked
TS000108,EMP00118,2025-02-11,4.82
TS000109,EMP00048,2025-01-28,9.7
TS000110,EMP00089,2024-10-06,6.68
TS000111,EMP00117,2025-04-14,5.11
TS000112,EMP00129,2024-06-26,7.25
TS000113,EMP00016,2024-11-05,9.24
TS000114,EMP00189,2024-11-11,8.39
TS000115,EMP00192,2025-01-07,8.84
TS000116,EMP00191,2025-04-02,7.95
TS000117,EMP00069,2024-07-06,8.15
TS000118,EMP00022,2024-08-21,9.1
TS000119,EMP00093,2024-11-16,5.5
TS000120,EMP00195,2025-02-26,6.94
TS000121,EMP00076,2025-03-10,5.33
TS000122,EMP00154,2024-09-15,9.93
TS000123,EMP00144,2025-03-02,9.66
TS000124,EMP00179,2024-11-28,4.24
TS000125,EMP00086,2024-10-24,8.23
TS000126,EMP00185,2024-08-07,9.55
TS000127,EMP00029,2025-03-19,5.08
TS000128,EMP00069,2025-03-14,7.41
TS000129,EMP00047,2024-10-01,9.49
TS000130,EMP00094,2024-09-13,4.2
TS000131,EMP00190,2024-11-15,8.18
TS000132,EMP00197,2025-03-29,5.78
TS000133,EMP00144,2024-08-08,9.55
TS000134,EMP00176,2024-05-29,9.83
TS000135,EMP00085,2024-05-25,9.67
TS000136,EMP00039,2024-11-21,6.85
TS000137,EMP00100,2025-03-24,9.17
TS000138,EMP00033,2024-08-04,9.07
TS000139,EMP00101,2024-08-05,5.91
TS000140,EMP00023,2025-01-01,8.97
TS000141,EMP00010,2024-07-01,4.22
TS000142,EMP00069,2025-03-18,7.58
TS000143,EMP00100,2024-07-10,5.38
TS000144,EMP00034,2024-11-02,4.72
TS000145,EMP00180,2024-12-01,4.46
TS000146,EMP00138,2024-06-26,8.18
TS000147,EMP00147,2024-08-15,6.04
TS000148,EMP00186,2024-12-21,8.35
TS000149,EMP00096,2024-10-13,4.39
TS000150,EMP00001,2024-08-02,5.89
TS000151,EMP00069,2024-07-27,7.24
TS000152,EMP00004,2025-05-03,8.74
TS000153,EMP00016,2024-07-06,5.91
TS000154,EMP00024,2024-09-08,7.76
TS000155,EMP00080,2024-05-31,9.32
TS000156,EMP00002,2024-12-25,7.7
TS000157,EMP00128,2025-05-20,5.4
TS000158,EMP00160,2024-11-09,4.15
TS000159,EMP00084,2024-09-19,9.22
TS000160,EMP00152,2024-07-07,4.13
TS000161,EMP00140,2024-10-15,9.25
TS000162,EMP00178,2025-02-23,7.17
TS000163,EMP00163,2024-11-18,9.63
TS000164,EMP00124,2025-05-15,8.79
TS000165,EMP00033,2024-11-01,9.99
TS000166,EMP00161,2025-05-13,6.1
TS000167,EMP00189,2025-05-12,8.6
TS000168,EMP00179,2024-07-17,6.41
TS000169,EMP00171,2024-11-30,6.88
TS000170,EMP00101,2025-05-06,7.77
TS000171,EMP00012,2024-06-07,9.24
TS000172,EMP00067,2024-07-07,9.9
TS000173,EMP00065,2024-11-18,8.61
TS000174,EMP00161,2025-05-22,6.51
TS000175,EMP00168,2025-04-16,6.53
TS000176,EMP00074,2025-03-03,8.43
TS000177,EMP00043,2024-10-02,5.43
TS000178,EMP00044,2025-02-04,4.66
TS000179,EMP00029,2024-10-17,6.13
TS000180,EMP00141,2024-09-10,5.72
TS000181,EMP00012,2024-09-22,5.78
TS000182,EMP00095,2025-05-10,5.4
TS000183,EMP00046,2024-12-03,4.25
TS000184,EMP00130,2025-01-21,4.11
TS000185,EMP00035,2024-06-23,9.93
TS000186,EMP00081,2025-04-16,6.57
TS000187,EMP00090,2025-02-12,6.31
TS000188,EMP00008,2025-02-12,8.08
TS000189,EMP00093,2024-10-07,5.31
TS000190,EMP00154,2024-12-19,9.7
TS000191,EMP00090,2024-12-29,8.72
TS000192,EMP00162,2024-09-05,4.54
TS000193,EMP00115,2024-10-28,6.51
TS000194,EMP00105,2024-12-13,9.27
TS000195,EMP00135,2024-10-16,9.67
TS000196,EMP00196,2024-07-14,6.8
TS000197,EMP00058,2025-04-08,7.68
TS000198,EMP00114,2024-08-14,5.0
TS000199,EMP00075,2025-02-25,9.95
TS000200,EMP00157,2024-08-19,5.39
TS000201,EMP00120,2025-03-20,9.66
TS000202,EMP00164,2025-03-10,7.9
TS000203,EMP00021,2024-06-17,7.65
TS000204,EMP00164,2024-05-28,7.08
TS000205,EMP00138,2025-05-13,5.38
TS000206,EMP00101,2025-04-30,5.06
TS000207,EMP00152,2025-03-02,5.32
TS000208,EMP00192,2024-08-05,5.12
TS000209,EMP00177,2024-09-21,8.68
TS000210,EMP00099,2024-09-10,6.1
TS000211,EMP00036,2025-03-19,4.35
TS000212,EMP00096,2024-11-24,9.81
TS000213,EMP00152,2024-09-29,9.3
TS000214,EMP00151,2024-07-03,9.57
TS000215,EMP00190,2024-06-20,9.97
TS000216,EMP00037,2025-02-03,5.04
TS000217,EMP00012,2024-05-31,6.38
TS000218,EMP00113,2024-10-31,8.55
TS000219,EMP00183,2025-05-15,8.18
TS000220,EMP00013,2024-07-10,4.92
TS000221,EMP00023,2024-11-22,8.89
TS000222,EMP00099,2024-12-20,5.35
TS000223,EMP00105,2024-12-29,5.34
TS000224,EMP00030,2024-11-30,7.22
TS000225,EMP00017,2024-11-20,7.56
TS000226,EMP00113,2024-11-22,7.48
TS000227,EMP00062,2024-05-25,4.55
TS000228,EMP00084,2024-09-04,9.26
TS000229,EMP00112,2024-11-15,5.59
TS000230,EMP00086,2024-08-28,4.78
TS000231,EMP00141,2025-02-04,9.33
TS000232,EMP00187,2024-12-26,9.73
TS000233,EMP00019,2024-09-08,9.17
TS000234,EMP00177,2024-11-15,8.86
TS000235,EMP00100,2025-02-05,7.93
TS000236,EMP00140,2024-07-20,7.31
TS000237,EMP00189,2024-11-25,4.52
TS000238,EMP00147,2025-03-09,6.45
TS000239,EMP00076,2024-10-07,6.24
TS000240,EMP00009,2024-06-28,5.56
TS000241,EMP00199,2024-08-22,8.34
TS000242,EMP00028,2024-09-29,6.98
TS000243,EMP00128,2024-10-06,4.49
TS000244,EMP00052,2025-01-25,5.32
TS000245,EMP00083,2025-02-10,8.1
TS000246,EMP00111,2025-01-19,4.46
TS000247,EMP00144,2025-01-25,9.11
TS000248,EMP00117,2024-10-07,6.97
TS000249,EMP00069,2024-09-01,6.88
TS000250,EMP00099,2025-05-19,7.55
TS000251,EMP00140,2025-01-28,8.95
TS000252,EMP00025,2024-07-24,6.09
TS000253,EMP00180,2024-12-01,8.07
TS000254,EMP00123,2024-12-31,7.39
TS000255,EMP00053,2025-01-22,5.6
TS000256,EMP00151,2024-08-05,9.27
TS000257,EMP00144,2024-11-29,8.78
TS000258,EMP00057,2025-02-02,7.95
TS000259,EMP00039,2024-12-23,9.1
TS000260,EMP00109,2024-07-09,9.2
TS000261,EMP00181,2025-03-15,8.25
TS000262,EMP00042,2025-01-24,9.02
TS000263,EMP00186,2025-05-14,8.18
TS000264,EMP00167,2025-02-24,8.08
TS000265,EMP00142,2024-11-19,7.71
TS000266,EMP00122,2024-08-04,8.52
TS000267,EMP00133,2024-10-09,4.95
TS000268,EMP00163,2024-06-09,9.29
TS000269,EMP00075,2025-02-08,9.23
TS000270,EMP00146,2024-09-27,4.18
TS000271,EMP00076,2024-12-14,8.95
TS000272,EMP00009,2024-10-16,4.77
TS000273,EMP00074,2025-02-19,6.01
TS000274,EMP00186,2024-06-17,8.46
TS000275,EMP00145,2025-01-09,4.96
TS000276,EMP00007,2024-07-28,8.91
TS000277,EMP00174,2025-01-22,8.99
TS000278,EMP00141,2024-12-14,7.04
TS000279,EMP00168,2024-09-25,4.04
TS000280,EMP00170,2024-09-12,5.72
TS000281,EMP00137,2025-02-18,7.7
TS000282,EMP00178,2024-12-21,9.89
TS000283,EMP00027,2024-10-10,7.79
TS000284,EMP00122,2024-09-13,5.56
TS000285,EMP00194,2024-07-01,7.8
TS000286,EMP00005,2024-11-24,7.24
TS000287,EMP00029,2025-02-18,8.68
TS000288,EMP00165,2024-12-03,4.64
TS000289,EMP00166,2025-04-17,8.57
TS000290,EMP00083,2025-01-28,7.25
TS000291,EMP00136,2024-09-06,9.78
TS000292,EMP00109,2024-10-26,6.05
TS000293,EMP00065,2025-01-08,7.8
TS000294,EMP00086,2024-08-21,9.59
TS000295,EMP00145,2024-09-15,4.62
TS000296,EMP00071,2025-04-22,9.62
TS000297,EMP00045,2025-02-09,8.13
TS000298,EMP00132,2024-11-13,4.41
TS000299,EMP00036,2024-11-06,5.81
TS000300,EMP00070,2024-12-24,8.25
TS000301,EMP00159,2024-08-07,4.4
TS000302,EMP00019,2024-06-15,7.49
TS000303,EMP00189,2024-10-27,6.08
TS000304,EMP00108,2024-10-02,7.73
TS000305,EMP00182,2025-05-15,4.27
TS000306,EMP00167,2025-05-01,9.23
TS000307,EMP00091,2024-07-11,9.84
TS000308,EMP00090,2024-09-04,9.81
TS000309,EMP00019,2025-02-28,8.5
TS000310,EMP00039,2024-06-19,4.78
TS000311,EMP00126,2025-02-16,8.55
TS000312,EMP00195,2025-04-30,4.15
TS000313,EMP00173,2024-08-07,4.13
TS000314,EMP00141,2024-08-14,5.94
TS000315,EMP00126,2024-06-18,6.93
TS000316,EMP00058,2024-11-20,8.62
TS000317,EMP00148,2024-10-20,8.1
TS000318,EMP00200,2024-10-12,6.68
TS000319,EMP00061,2024-08-15,5.64
TS000320,EMP00127,2025-04-16,9.98
TS000321,EMP00105,2024-07-10,6.56
TS000322,EMP00167,2024-10-06,6.71
TS000323,EMP00001,2024-12-09,4.98
TS000324,EMP00131,2025-01-12,8.77
TS000325,EMP00092,2025-03-30,8.16
TS000326,EMP00190,2024-08-18,5.32
TS000327,EMP00191,2025-03-05,4.49
TS000328,EMP00113,2025-05-23,8.08
TS000329,EMP00153,2025-04-13,7.93
TS000330,EMP00056,2025-02-03,5.64
TS000331,EMP00161,2024-07-18,9.71
TS000332,EMP00166,2024-11-25,4.91
TS000333,EMP00117,2025-05-03,6.59
TS000334,EMP00134,2024-08-14,9.66
TS000335,EMP00058,2025-03-05,6.52
TS000336,EMP00044,2025-02-10,7.83
TS000337,EMP00173,2024-09-22,6.39
TS000338,EMP00160,2025-03-23,5.65
TS000339,EMP00173,2024-08-16,9.9
TS000340,EMP00061,2024-09-30,6.46
TS000341,EMP00047,2024-08-04,9.36
TS000342,EMP00149,2024-07-13,5.38
TS000343,EMP00080,2024-06-20,5.28
TS000344,EMP00118,2024-06-15,4.19
TS000345,EMP00164,2025-05-02,7.91
TS000346,EMP00147,2024-06-05,6.21
TS000347,EMP00020,2024-10-14,9.19
TS000348,EMP00185,2025-01-02,6.84
TS000349,EMP00146,2024-10-04,9.81
TS000350,EMP00047,2025-02-28,5.11
TS000351,EMP00049,2024-06-12,9.21
TS000352,EMP00014,2025-05-04,8.66
TS000353,EMP00143,2025-04-14,8.63
TS000354,EMP00159,2024-12-23,9.07
TS000355,EMP00001,2025-04-20,8.57
TS000356,EMP00117,2025-04-17,7.76
TS000357,EMP00054,2024-08-11,4.79
TS000358,EMP00118,2025-01-12,4.2
TS000359,EMP00003,2024-10-08,9.53
TS000360,EMP00144,2025-05-02,7.7
TS000361,EMP00185,2025-01-13,8.78
TS000362,EMP00012,2025-03-27,6.89
TS000363,EMP00074,2024-08-21,4.7
TS000364,EMP00016,2024-07-18,4.75
TS000365,EMP00200,2024-08-03,8.11
TS000366,EMP00102,2024-08-09,6.58
TS000367,EMP00152,2025-05-04,5.2
TS000368,EMP00156,2024-07-30,6.95
TS000369,EMP00117,2024-12-04,4.39
TS000370,EMP00008,2024-08-14,7.49
TS000371,EMP00122,2025-01-27,5.61
TS000372,EMP00092,2024-07-30,8.79
TS000373,EMP00164,2025-04-15,5.86
TS000374,EMP00090,2025-03-05,6.73
TS000375,EMP00136,2025-03-10,4.07
TS000376,EMP00186,2025-02-08,4.43
TS000377,EMP00060,2024-08-01,6.35
TS000378,EMP00178,2024-11-11,6.88
TS000379,EMP00028,2024-09-25,7.6
TS000380,EMP00101,2024-06-28,5.75
TS000381,EMP00041,2024-06-09,8.17
TS000382,EMP00192,2024-10-20,9.16
TS000383,EMP00155,2025-01-04,8.68
TS000384,EMP00191,2024-10-06,4.24
TS000385,EMP00145,2025-03-28,6.88
TS000386,EMP00161,2025-01-22,4.63
TS000387,EMP00157,2024-12-17,5.45
TS000388,EMP00141,2024-11-01,9.92
TS000389,EMP00046,2024-11-09,4.85
TS000390,EMP00035,2024-12-25,6.99
TS000391,EMP00134,2025-05-07,7.71
TS000392,EMP00082,2024-08-16,8.21
TS000393,EMP00115,2024-10-04,7.36
TS000394,EMP00197,2024-12-29,4.06
TS000395,EMP00047,2025-03-31,5.96
TS000396,EMP00153,2024-06-16,7.11
TS000397,EMP00194,2024-09-09,4.53
TS000398,EMP00010,2025-05-09,6.1
TS000399,EMP00056,2024-09-16,4.2
TS000400,EMP00030,2024-06-01,4.47
TS000401,EMP00109,2025-01-12,6.38
TS000402,EMP00005,2025-02-13,4.8
TS000403,EMP00119,2024-08-29,7.41
TS000404,EMP00033,2024-09-04,8.14
TS000405,EMP00118,2024-10-02,8.8
TS000406,EMP00065,2025-01-10,5.2
TS000407,EMP00146,2025-01-12,5.0
TS000408,EMP00177,2024-08-12,4.63
TS000409,EMP00011,2024-07-16,7.82
TS000410,EMP00085,2024-09-21,8.24
TS000411,EMP00026,2025-04-20,4.19
TS000412,EMP00063,2025-05-23,9.62
TS000413,EMP00086,2025-01-28,4.31
TS000414,EMP00059,2024-10-22,7.25
TS000415,EMP00027,2025-02-08,8.25
TS000416,EMP00177,2025-04-07,9.23
TS000417,EMP00161,2024-09-24,8.28
TS000418,EMP00098,2025-03-02,8.81
TS000419,EMP00105,2024-09-14,6.04
TS000420,EMP00099,2024-11-13,8.89
TS000421,EMP00129,2024-06-19,4.48
TS000422,EMP00149,2025-04-04,9.37
TS000423,EMP00055,2024-06-13,7.29
TS000424,EMP00006,2024-10-27,8.9
TS000425,EMP00197,2024-09-25,6.71
TS000426,EMP00095,2024-09-03,7.86
TS000427,EMP00133,2024-11-19,7.16
TS000428,EMP00102,2024-08-01,8.39
TS000429,EMP00003,2024-08-23,4.49
TS000430,EMP00181,2024-08-13,4.36
TS000431,EMP00023,2024-12-07,5.48
TS000432,EMP00053,2024-07-29,4.96
TS000433,EMP00165,2025-02-08,9.23
TS000434,EMP00083,2025-03-24,5.32
TS000435,EMP00145,2024-06-10,9.86
TS000436,EMP00085,2025-03-09,6.02
TS000437,EMP00078,2025-01-24,5.09
TS000438,EMP00110,2024-12-24,8.74
TS000439,EMP00001,2025-01-31,7.95
TS000440,EMP00051,2024-05-25,6.99
TS000441,EMP00173,2024-08-15,7.33
TS000442,EMP00004,2024-09-12,8.32
TS000443,EMP00190,2025-01-28,5.37
TS000444,EMP00193,2025-01-20,9.98
TS000445,EMP00113,2025-01-03,9.85
TS000446,EMP00032,2024-12-11,7.9
TS000447,EMP00034,2024-12-16,5.2
TS000448,EMP00092,2024-10-14,8.08
TS000449,EMP00095,2024-12-11,4.43
TS000450,EMP00072,2024-08-09,4.18
TS000451,EMP00039,2025-05-02,5.55
TS000452,EMP00154,2024-12-11,6.78
TS000453,EMP00162,2024-06-09,9.21
TS000454,EMP00182,2024-06-13,8.36
TS000455,EMP00118,2025-04-12,8.46
TS000456,EMP00003,2024-07-20,6.55
TS000457,EMP00123,2024-06-06,6.08
TS000458,EMP00050,2024-10-17,6.23
TS000459,EMP00012,2024-09-23,9.93
TS000460,EMP00193,2024-05-27,4.24
TS000461,EMP00054,2024-10-09,9.2
TS000462,EMP00133,2025-01-04,7.47
TS000463,EMP00057,2024-11-25,6.63
TS000464,EMP00145,2024-11-20,8.35
TS000465,EMP00112,2024-09-23,6.92
TS000466,EMP00047,2025-05-01,9.24
TS000467,EMP00151,2025-03-12,9.4
TS000468,EMP00085,2024-06-08,6.53
TS000469,EMP00142,2025-02-12,5.66
TS000470,EMP00066,2024-10-01,7.55
TS000471,EMP00075,2024-11-14,9.47
TS000472,EMP00179,2024-12-05,5.26
TS000473,EMP00103,2024-07-10,7.74
TS000474,EMP00166,2024-11-05,7.79
TS000475,EMP00192,2025-05-12,8.4
TS000476,EMP00038,2025-01-01,4.79
TS000477,EMP00050,2024-09-16,8.29
TS000478,EMP00098,2024-07-12,9.45
TS000479,EMP00082,2025-02-25,5.08
TS000480,EMP00030,2024-06-06,5.43
TS000481,EMP00079,2025-05-17,9.83
TS000482,EMP00091,2025-01-25,5.09
TS000483,EMP00179,2025-03-30,9.13
TS000484,EMP00191,2024-11-14,6.95
TS000485,EMP00052,2024-08-21,5.48
TS000486,EMP00166,2025-01-16,9.22
TS000487,EMP00079,2024-08-28,6.67
TS000488,EMP00030,2025-01-16,7.09
TS000489,EMP00106,2025-04-06,6.16
TS000490,EMP00051,2024-10-09,7.56
TS000491,EMP00081,2024-07-29,4.98
TS000492,EMP00133,2025-01-02,6.35
TS000493,EMP00029,2024-07-18,9.82
TS000494,EMP00132,2024-10-08,5.55
TS000495,EMP00138,2024-08-11,7.94
TS000496,EMP00184,2025-03-05,5.95
TS000497,EMP00145,2024-08-09,8.64
TS000498,EMP00074,2024-12-09,4.79
TS000499,EMP00017,2024-07-07,9.82
TS000500,EMP00084,2024-05-30,6.72
TS000501,EMP00069,2025-04-26,5.42
TS000502,EMP00034,2025-05-08,4.44
TS000503,EMP00006,2025-03-30,5.02
TS000504,EMP00053,2025-02-21,7.12
TS000505,EMP00194,2024-11-14,6.02
TS000506,EMP00126,2024-07-07,8.97
TS000507,EMP00043,2024-07-16,6.59
TS000508,EMP00115,2025-05-08,5.49
TS000509,EMP00111,2024-11-03,7.7
TS000510,EMP00151,2024-10-05,8.24
TS000511,EMP00183,2024-07-24,5.0
TS000512,EMP00080,2024-06-02,5.01
TS000513,EMP00095,2024-06-21,4.22
TS000514,EMP00118,2025-01-03,8.42
TS000515,EMP00144,2024-08-16,7.98
TS000516,EMP00008,2024-11-05,6.85
TS000517,EMP00132,2024-11-20,9.07
TS000518,EMP00104,2025-01-29,8.83
TS000519,EMP00132,2024-12-12,7.51
TS000520,EMP00184,2024-05-31,9.21
TS000521,EMP00025,2025-01-17,5.24
TS000522,EMP00195,2024-08-27,4.67
TS000523,EMP00096,2025-05-08,5.62
TS000524,EMP00195,2025-05-14,4.34
TS000525,EMP00155,2024-05-31,7.19
TS000526,EMP00093,2024-11-13,9.62
TS000527,EMP00160,2025-04-12,4.24
TS000528,EMP00178,2025-01-31,4.73
TS000529,EMP00061,2024-12-06,6.71
TS000530,EMP00122,2024-12-27,9.6
TS000531,EMP00051,2025-03-18,5.9
TS000532,EMP00147,2024-08-02,7.04
TS000533,EMP00021,2025-02-03,4.25
TS000534,EMP00005,2024-08-12,4.89
TS000535,EMP00092,2024-07-26,9.92
TS000536,EMP00170,2024-07-17,9.79
TS000537,EMP00061,2025-03-18,4.03
TS000538,EMP00022,2025-04-19,9.71
TS000539,EMP00149,2025-04-27,7.83
TS000540,EMP00070,2025-05-24,9.21
TS000541,EMP00001,2025-03-16,6.73
TS000542,EMP00133,2025-01-14,7.09
TS000543,EMP00012,2024-10-26,6.93
TS000544,EMP00090,2024-09-18,8.0
TS000545,EMP00046,2024-08-19,4.84
TS000546,EMP00034,2024-11-13,4.18
TS000547,EMP00177,2024-08-22,5.85
TS000548,EMP00078,2025-01-02,8.23
TS000549,EMP00045,2025-04-19,5.21
TS000550,EMP00155,2024-06-28,8.04
TS000551,EMP00073,2025-04-06,9.82
TS000552,EMP00026,2024-11-27,4.56
TS000553,EMP00047,2025-01-16,8.04
TS000554,EMP00121,2025-05-13,6.66
TS000555,EMP00056,2024-11-26,9.21
TS000556,EMP00094,2025-01-12,5.06
TS000557,EMP00107,2024-07-01,8.16
TS000558,EMP00063,2024-10-12,9.03
TS000559,EMP00048,2024-08-28,9.67
TS000560,EMP00061,2024-07-06,8.1
TS000561,EMP00081,2024-06-11,6.98
TS000562,EMP00026,2024-05-30,7.71
TS000563,EMP00036,2025-01-28,9.21
TS000564,EMP00001,2024-07-04,7.42
TS000565,EMP00008,2024-11-10,4.18
TS000566,EMP00113,2024-06-16,9.59
TS000567,EMP00099,2024-10-03,8.14
TS000568,EMP00180,2024-12-23,8.06
TS000569,EMP00047,2025-01-11,5.29
TS000570,EMP00127,2025-04-08,7.95
TS000571,EMP00056,2024-06-28,6.36
TS000572,EMP00014,2025-01-15,7.91
TS000573,EMP00028,2025-03-02,4.64
TS000574,EMP00078,2024-09-04,7.95
TS000575,EMP00130,2025-04-04,10.0
TS000576,EMP00109,2024-09-27,4.29
TS000577,EMP00154,2024-09-26,9.86
TS000578,EMP00014,2024-06-24,6.44
TS000579,EMP00187,2025-04-30,9.22
TS000580,EMP00056,2024-10-29,8.69
TS000581,EMP00115,2025-01-13,7.4
TS000582,EMP00007,2024-11-02,8.43
TS000583,EMP00003,2024-05-26,9.27
TS000584,EMP00111,2025-04-19,6.42
TS000585,EMP00151,2024-07-24,5.96
TS000586,EMP00107,2024-11-22,8.01
TS000587,EMP00018,2025-03-27,8.85
TS000588,EMP00038,2024-07-25,8.57
TS000589,EMP00115,2024-06-10,8.79
TS000590,EMP00015,2024-07-27,6.61
TS000591,EMP00192,2025-02-20,8.91
TS000592,EMP00119,2025-03-19,4.72
TS000593,EMP00028,2025-01-04,7.27
TS000594,EMP00039,2024-07-21,4.03
TS000595,EMP00185,2025-02-16,5.95
TS000596,EMP00017,2024-08-03,6.2
TS000597,EMP00086,2024-10-23,6.38
TS000598,EMP00126,2025-04-25,8.17
TS000599,EMP00044,2024-10-22,6.33
TS000600,EMP00025,2024-09-09,6.69
TS000601,EMP00145,2024-06-25,5.43
TS000602,EMP00013,2024-06-01,6.24
TS000603,EMP00025,2025-02-25,5.36
TS000604,EMP00068,2025-03-20,4.44
TS000605,EMP00138,2025-04-02,7.62
TS000606,EMP00067,2025-02-28,8.01
TS000607,EMP00109,2025-04-07,7.72
TS000608,EMP00146,2025-04-18,6.78
TS000609,EMP00111,2024-08-04,6.28
TS000610,EMP00111,2024-08-09,9.18
TS000611,EMP00034,2025-04-01,7.11
TS000612,EMP00111,2024-09-19,6.88
TS000613,EMP00008,2024-10-26,4.15
TS000614,EMP00168,2025-01-10,6.05
TS000615,EMP00113,2025-01-14,6.28
TS000616,EMP00083,2024-06-30,6.39
TS000617,EMP00042,2024-09-19,7.48
TS000618,EMP00169,2024-07-25,7.2
TS000619,EMP00101,2025-04-18,7.65
TS000620,EMP00006,2024-11-24,8.59
TS000621,EMP00180,2024-07-22,8.88
TS000622,EMP00026,2025-02-22,8.31
TS000623,EMP00064,2025-05-11,9.73
TS000624,EMP00187,2024-08-31,4.11
TS000625,EMP00184,2025-01-06,5.17
TS000626,EMP00059,2024-11-21,4.05
TS000627,EMP00109,2024-10-28,7.88
TS000628,EMP00198,2024-07-21,9.39
TS000629,EMP00121,2024-07-30,5.46
TS000630,EMP00033,2024-12-01,9.56
TS000631,EMP00181,2025-04-12,4.36
TS000632,EMP00150,2024-10-18,9.61
TS000633,EMP00021,2025-04-15,6.11
TS000634,EMP00198,2025-01-03,4.61
