CustomerLoyaltyID,CustomerID,LoyaltyProgramID,JoinDate
CL000078,CUST02143,LP0001,2024-04-21
CL000079,CUST00262,LP0010,2024-04-13
CL000080,CUST01849,LP0010,2023-07-15
CL000081,CUST00897,LP0020,2024-04-26
CL000082,CUST01095,LP0003,2024-05-10
CL000083,CUST02267,LP0006,2024-01-25
CL000084,CUST01557,LP0006,2023-07-04
CL000085,CUST00092,LP0002,2023-06-07
CL000086,CUST00127,LP0018,2023-06-24
CL000087,CUST00080,LP0002,2023-11-22
CL000088,CUST01848,LP0012,2023-12-12
CL000089,CUST00983,LP0005,2023-10-24
CL000090,CUST00916,LP0020,2023-10-26
CL000091,CUST02534,LP0007,2023-06-13
CL000092,CUST00694,LP0016,2023-09-18
CL000093,CUST00025,LP0020,2023-09-13
CL000094,CUST00156,LP0001,2023-10-15
CL000095,CUST02680,LP0001,2023-08-12
CL000096,CUST01813,LP0017,2024-05-02
CL000097,CUST01554,LP0001,2023-09-06
CL000098,CUST01967,LP0020,2023-10-20
CL000099,CUST01734,LP0013,2024-05-08
CL000100,CUST01081,LP0009,2024-04-02
CL000101,CUST01629,LP0015,2023-05-29
CL000102,CUST00019,LP0003,2024-02-14
CL000103,CUST01408,LP0014,2023-12-09
CL000104,CUST01217,LP0011,2024-01-16
CL000105,CUST02285,LP0012,2023-12-16
CL000106,CUST01411,LP0013,2024-03-02
CL000107,CUST00277,LP0013,2023-09-01
CL000108,CUST00745,LP0001,2023-06-01
CL000109,CUST00552,LP0010,2024-04-14
CL000110,CUST01177,LP0003,2024-01-22
CL000111,CUST00639,LP0004,2023-09-19
CL000112,CUST00237,LP0016,2023-09-06
CL000113,CUST00998,LP0008,2023-10-15
CL000114,CUST02103,LP0016,2023-12-02
CL000115,CUST02004,LP0017,2023-09-22
CL000116,CUST01460,LP0019,2024-04-16
CL000117,CUST02732,LP0015,2023-10-28
CL000118,CUST02157,LP0016,2023-08-26
CL000119,CUST01208,LP0015,2024-03-24
CL000120,CUST01392,LP0002,2023-10-14
CL000121,CUST02007,LP0011,2023-09-04
CL000122,CUST01222,LP0001,2024-04-24
CL000123,CUST01395,LP0015,2024-04-22
CL000124,CUST00373,LP0019,2023-10-17
CL000125,CUST01521,LP0004,2024-04-07
CL000126,CUST02249,LP0011,2023-09-23
CL000127,CUST00849,LP0005,2023-06-11
CL000128,CUST02557,LP0003,2024-04-27
CL000129,CUST01346,LP0013,2023-09-28
CL000130,CUST02323,LP0010,2024-04-23
CL000131,CUST02259,LP0011,2023-08-11
CL000132,CUST00504,LP0018,2024-02-11
CL000133,CUST00703,LP0002,2023-10-26
CL000134,CUST02090,LP0007,2023-07-27
CL000135,CUST00315,LP0009,2023-06-03
CL000136,CUST02836,LP0010,2023-08-26
CL000137,CUST02377,LP0018,2024-03-09
CL000138,CUST01041,LP0007,2023-10-26
CL000139,CUST00283,LP0007,2024-05-22
CL000140,CUST02991,LP0003,2023-12-10
CL000141,CUST00258,LP0012,2023-09-21
CL000142,CUST00575,LP0007,2024-03-03
CL000143,CUST00574,LP0017,2024-02-09
CL000144,CUST02660,LP0001,2023-10-05
CL000145,CUST01043,LP0005,2023-12-18
CL000146,CUST01553,LP0016,2023-10-19
CL000147,CUST02885,LP0015,2023-07-23
CL000148,CUST00423,LP0002,2023-07-06
CL000149,CUST01490,LP0009,2024-05-13
CL000150,CUST01397,LP0007,2024-05-15
CL000151,CUST00758,LP0004,2023-08-27
CL000152,CUST02811,LP0020,2023-11-10
CL000153,CUST01105,LP0018,2024-05-12
CL000154,CUST01575,LP0004,2024-02-22
CL000155,CUST02472,LP0013,2023-11-04
CL000156,CUST00429,LP0001,2023-10-31
CL000157,CUST02022,LP0003,2023-11-05
CL000158,CUST00204,LP0016,2024-04-24
CL000159,CUST02244,LP0004,2023-07-30
CL000160,CUST02776,LP0016,2024-04-22
CL000161,CUST02333,LP0019,2023-06-09
CL000162,CUST01993,LP0001,2023-05-29
CL000163,CUST02244,LP0005,2024-03-24
CL000164,CUST00307,LP0019,2023-09-28
CL000165,CUST01688,LP0011,2024-04-15
CL000166,CUST00014,LP0013,2023-12-07
CL000167,CUST01861,LP0020,2023-05-27
CL000168,CUST01962,LP0005,2023-08-01
CL000169,CUST01081,LP0004,2023-10-11
CL000170,CUST00723,LP0004,2023-12-17
CL000171,CUST00780,LP0004,2023-07-26
CL000172,CUST01234,LP0004,2023-09-08
CL000173,CUST00529,LP0020,2024-04-16
CL000174,CUST00798,LP0018,2023-12-24
CL000175,CUST00344,LP0018,2023-06-14
CL000176,CUST01303,LP0016,2023-08-25
CL000177,CUST00209,LP0009,2024-03-11
CL000178,CUST00641,LP0018,2023-10-07
CL000179,CUST01312,LP0002,2024-02-12
CL000180,CUST02300,LP0004,2024-01-21
CL000181,CUST02319,LP0012,2023-10-05
CL000182,CUST01948,LP0007,2023-06-08
CL000183,CUST00920,LP0015,2023-06-23
CL000184,CUST01724,LP0007,2023-08-27
CL000185,CUST02045,LP0017,2024-05-21
CL000186,CUST00419,LP0016,2024-03-04
CL000187,CUST01750,LP0019,2023-11-20
CL000188,CUST02843,LP0009,2024-02-13
CL000189,CUST01389,LP0014,2023-08-12
CL000190,CUST01100,LP0017,2023-11-09
CL000191,CUST02773,LP0005,2023-11-16
CL000192,CUST02481,LP0002,2024-02-14
CL000193,CUST02157,LP0020,2024-03-06
CL000194,CUST02689,LP0016,2023-08-17
CL000195,CUST01546,LP0014,2023-11-20
CL000196,CUST01071,LP0014,2023-10-18
CL000197,CUST02427,LP0001,2024-02-10
CL000198,CUST01851,LP0003,2023-07-31
CL000199,CUST01120,LP0007,2024-05-05
CL000200,CUST00958,LP0015,2023-10-17
CL000201,CUST00103,LP0019,2024-04-10
CL000202,CUST02940,LP0020,2024-03-08
CL000203,CUST02902,LP0002,2024-02-03
CL000204,CUST01170,LP0019,2024-05-21
CL000205,CUST01904,LP0009,2023-10-16
CL000206,CUST01756,LP0019,2024-04-26
CL000207,CUST02578,LP0005,2023-08-02
CL000208,CUST00679,LP0018,2024-02-24
CL000209,CUST01969,LP0016,2023-10-26
CL000210,CUST00989,LP0004,2024-05-20
CL000211,CUST01106,LP0012,2023-12-07
CL000212,CUST02476,LP0007,2024-03-04
CL000213,CUST01608,LP0014,2023-11-26
CL000214,CUST02870,LP0012,2023-07-29
CL000215,CUST01503,LP0003,2023-08-17
CL000216,CUST01790,LP0005,2023-11-04
CL000217,CUST01186,LP0017,2023-10-17
CL000218,CUST00932,LP0010,2023-10-01
CL000219,CUST01426,LP0010,2023-09-23
CL000220,CUST01062,LP0011,2023-11-27
CL000221,CUST01979,LP0017,2024-02-02
CL000222,CUST02559,LP0005,2023-07-08
CL000223,CUST02441,LP0013,2023-08-22
CL000224,CUST02043,LP0010,2023-09-01
CL000225,CUST02761,LP0009,2024-02-09
CL000226,CUST02542,LP0017,2024-04-28
CL000227,CUST01279,LP0001,2023-08-16
CL000228,CUST01203,LP0004,2024-03-12
CL000229,CUST02595,LP0004,2024-04-05
CL000230,CUST00594,LP0018,2023-09-29
CL000231,CUST02437,LP0009,2023-09-03
CL000232,CUST01422,LP0018,2024-02-06
CL000233,CUST02206,LP0014,2024-05-11
CL000234,CUST01028,LP0015,2023-09-23
CL000235,CUST02215,LP0006,2024-01-01
CL000236,CUST00960,LP0010,2023-12-04
CL000237,CUST02457,LP0015,2023-08-24
CL000238,CUST02242,LP0004,2023-11-06
CL000239,CUST02283,LP0018,2024-04-05
CL000240,CUST02766,LP0018,2023-07-28
CL000241,CUST01174,LP0017,2023-07-24
CL000242,CUST00816,LP0012,2023-09-20
CL000243,CUST00404,LP0007,2024-05-02
CL000244,CUST00893,LP0016,2023-06-27
CL000245,CUST02726,LP0011,2023-08-03
CL000246,CUST00068,LP0014,2024-02-20
CL000247,CUST00088,LP0003,2023-12-27
CL000248,CUST02265,LP0019,2023-08-26
CL000249,CUST02049,LP0018,2023-06-15
CL000250,CUST01159,LP0010,2024-01-09
CL000251,CUST01721,LP0006,2024-04-20
CL000252,CUST01375,LP0013,2024-02-28
CL000253,CUST02188,LP0010,2024-04-01
CL000254,CUST02666,LP0018,2024-03-04
CL000255,CUST02181,LP0020,2024-01-13
CL000256,CUST01644,LP0016,2024-04-18
CL000257,CUST00178,LP0006,2024-03-18
CL000258,CUST02858,LP0013,2023-08-17
CL000259,CUST01382,LP0004,2023-11-28
CL000260,CUST02428,LP0014,2023-12-06
CL000261,CUST00908,LP0001,2024-01-03
CL000262,CUST02706,LP0020,2023-11-07
CL000263,CUST02498,LP0005,2023-11-11
CL000264,CUST00586,LP0008,2024-02-18
CL000265,CUST02511,LP0012,2024-03-16
CL000266,CUST00990,LP0002,2024-03-31
CL000267,CUST01132,LP0012,2023-08-11
CL000268,CUST02170,LP0005,2024-02-07
CL000269,CUST02065,LP0005,2024-01-16
CL000270,CUST01220,LP0013,2023-09-04
CL000271,CUST02375,LP0009,2023-11-13
CL000272,CUST00318,LP0010,2024-01-08
CL000273,CUST02857,LP0001,2023-06-25
CL000274,CUST01503,LP0003,2023-10-23
CL000275,CUST02035,LP0018,2023-06-29
CL000276,CUST02043,LP0012,2024-05-14
CL000277,CUST00503,LP0003,2023-12-11
CL000278,CUST02023,LP0009,2023-06-06
CL000279,CUST00119,LP0002,2024-01-30
CL000280,CUST00710,LP0003,2024-04-28
CL000281,CUST00045,LP0014,2024-01-06
CL000282,CUST00314,LP0004,2023-08-26
CL000283,CUST00418,LP0019,2024-04-26
CL000284,CUST02604,LP0013,2023-09-22
CL000285,CUST01102,LP0007,2023-10-15
CL000286,CUST00326,LP0012,2024-03-05
CL000287,CUST01440,LP0003,2023-07-07
CL000288,CUST01987,LP0009,2023-11-21
CL000289,CUST02563,LP0002,2023-08-12
CL000290,CUST02262,LP0009,2024-01-21
CL000291,CUST00074,LP0012,2023-08-10
CL000292,CUST01603,LP0012,2023-06-12
CL000293,CUST00509,LP0015,2023-10-12
CL000294,CUST02380,LP0002,2023-07-23
CL000295,CUST00688,LP0018,2023-10-31
CL000296,CUST00657,LP0013,2023-11-10
CL000297,CUST01543,LP0014,2024-02-25
CL000298,CUST01293,LP0005,2024-02-12
CL000299,CUST01400,LP0010,2023-07-04
CL000300,CUST02648,LP0012,2023-12-10
CL000301,CUST01553,LP0010,2023-09-17
CL000302,CUST01076,LP0011,2024-05-20
CL000303,CUST00325,LP0002,2024-01-27
CL000304,CUST00992,LP0005,2023-06-22
CL000305,CUST01994,LP0007,2024-01-01
CL000306,CUST00717,LP0006,2024-05-11
CL000307,CUST02771,LP0003,2023-06-12
CL000308,CUST00277,LP0013,2024-01-22
CL000309,CUST02584,LP0003,2023-11-21
CL000310,CUST00152,LP0006,2024-05-06
CL000311,CUST00955,LP0011,2024-05-18
CL000312,CUST01507,LP0017,2024-01-05
CL000313,CUST00259,LP0010,2023-06-27
CL000314,CUST02372,LP0012,2023-09-15
CL000315,CUST00869,LP0017,2024-01-16
CL000316,CUST01192,LP0004,2023-11-22
CL000317,CUST00688,LP0002,2024-01-28
CL000318,CUST00310,LP0011,2024-05-10
CL000319,CUST02851,LP0007,2024-03-06
CL000320,CUST01503,LP0002,2024-01-18
CL000321,CUST02668,LP0018,2024-01-18
CL000322,CUST00473,LP0004,2024-03-22
CL000323,CUST02509,LP0008,2023-11-02
CL000324,CUST00814,LP0020,2023-12-08
CL000325,CUST00846,LP0014,2023-06-12
CL000326,CUST01165,LP0012,2024-04-24
CL000327,CUST00667,LP0018,2023-06-07
CL000328,CUST02310,LP0011,2023-11-22
CL000329,CUST01809,LP0008,2023-09-05
CL000330,CUST01444,LP0002,2024-02-12
CL000331,CUST01768,LP0015,2024-01-07
CL000332,CUST01265,LP0009,2024-05-03
CL000333,CUST00355,LP0019,2023-11-26
CL000334,CUST01873,LP0020,2024-05-16
CL000335,CUST02025,LP0008,2024-02-14
CL000336,CUST02818,LP0019,2023-06-20
CL000337,CUST00180,LP0005,2023-10-18
CL000338,CUST00066,LP0011,2023-07-09
CL000339,CUST00820,LP0015,2024-05-12
CL000340,CUST01372,LP0008,2024-04-25
CL000341,CUST00171,LP0019,2024-02-09
CL000342,CUST02522,LP0008,2024-02-12
CL000343,CUST02582,LP0019,2023-07-25
CL000344,CUST01391,LP0018,2023-07-26
CL000345,CUST01131,LP0010,2023-05-28
CL000346,CUST02487,LP0007,2023-12-04
CL000347,CUST00835,LP0009,2023-10-22
CL000348,CUST00227,LP0001,2023-11-11
CL000349,CUST00442,LP0019,2023-06-05
CL000350,CUST02444,LP0005,2024-05-12
CL000351,CUST00728,LP0019,2023-09-17
CL000352,CUST01605,LP0001,2023-08-03
CL000353,CUST02132,LP0015,2023-09-29
CL000354,CUST01037,LP0016,2023-12-28
CL000355,CUST01833,LP0007,2023-10-05
CL000356,CUST01849,LP0012,2023-10-21
CL000357,CUST02741,LP0008,2023-11-16
CL000358,CUST00493,LP0005,2023-07-01
CL000359,CUST01549,LP0010,2023-12-03
CL000360,CUST01144,LP0005,2024-04-12
CL000361,CUST00970,LP0017,2023-10-04
CL000362,CUST02401,LP0005,2023-07-19
CL000363,CUST02088,LP0015,2024-03-13
CL000364,CUST00640,LP0013,2024-04-21
CL000365,CUST00173,LP0001,2023-12-14
CL000366,CUST01571,LP0011,2024-03-20
CL000367,CUST00259,LP0001,2023-09-13
CL000368,CUST00517,LP0011,2023-09-02
CL000369,CUST02778,LP0018,2023-06-22
CL000370,CUST00523,LP0018,2024-04-06
CL000371,CUST01918,LP0016,2023-07-05
CL000372,CUST02887,LP0013,2024-03-15
CL000373,CUST02165,LP0007,2023-09-29
CL000374,CUST02232,LP0001,2024-03-30
CL000375,CUST01930,LP0016,2023-08-20
CL000376,CUST01140,LP0001,2023-07-24
CL000377,CUST02210,LP0017,2024-05-09
CL000378,CUST02591,LP0006,2024-02-12
CL000379,CUST00839,LP0002,2023-11-13
CL000380,CUST01090,LP0017,2023-07-18
CL000381,CUST01094,LP0006,2024-04-14
CL000382,CUST02495,LP0014,2024-01-31
CL000383,CUST02464,LP0018,2024-04-05
CL000384,CUST02580,LP0006,2024-05-21
CL000385,CUST02489,LP0010,2024-02-03
CL000386,CUST02786,LP0018,2023-10-23
CL000387,CUST01970,LP0009,2023-06-22
CL000388,CUST02512,LP0008,2023-06-12
CL000389,CUST02444,LP0010,2023-10-24
CL000390,CUST02759,LP0017,2024-02-02
CL000391,CUST01575,LP0006,2023-07-10
CL000392,CUST01581,LP0014,2024-01-24
CL000393,CUST02443,LP0006,2024-03-01
CL000394,CUST02374,LP0007,2023-11-24
CL000395,CUST01115,LP0012,2023-06-18
CL000396,CUST00750,LP0003,2024-03-02
CL000397,CUST01094,LP0014,2024-03-03
CL000398,CUST01190,LP0019,2024-05-10
CL000399,CUST02690,LP0016,2024-05-05
CL000400,CUST02262,LP0007,2024-02-21
CL000401,CUST01876,LP0008,2023-11-23
CL000402,CUST01788,LP0018,2023-12-25
CL000403,CUST02417,LP0013,2024-05-11
CL000404,CUST01608,LP0009,2024-01-23
CL000405,CUST00049,LP0010,2024-03-26
CL000406,CUST01076,LP0009,2024-01-16
CL000407,CUST01313,LP0015,2023-08-30
CL000408,CUST01650,LP0020,2023-12-20
CL000409,CUST02181,LP0002,2023-10-25
CL000410,CUST02834,LP0013,2024-01-27
CL000411,CUST01190,LP0002,2024-02-06
CL000412,CUST01398,LP0019,2023-09-13
CL000413,CUST02421,LP0002,2023-06-13
CL000414,CUST01829,LP0003,2024-05-06
CL000415,CUST00479,LP0006,2023-08-06
CL000416,CUST00832,LP0003,2023-06-23
CL000417,CUST02698,LP0010,2024-03-02
CL000418,CUST01615,LP0006,2023-08-04
CL000419,CUST00682,LP0016,2023-12-02
CL000420,CUST02736,LP0017,2023-12-10
CL000421,CUST01324,LP0019,2024-04-04
CL000422,CUST00082,LP0003,2024-03-22
CL000423,CUST00087,LP0018,2024-03-22
CL000424,CUST02273,LP0007,2023-05-28
CL000425,CUST02064,LP0009,2024-02-23
CL000426,CUST00822,LP0020,2023-10-25
CL000427,CUST00163,LP0012,2023-12-29
CL000428,CUST02562,LP0005,2023-09-15
CL000429,CUST02398,LP0003,2023-07-10
CL000430,CUST01933,LP0011,2023-08-15
CL000431,CUST02729,LP0004,2024-01-20
CL000432,CUST01851,LP0005,2024-03-20
CL000433,CUST01861,LP0001,2023-09-30
CL000434,CUST01116,LP0018,2023-12-22
CL000435,CUST02229,LP0012,2023-06-12
CL000436,CUST02791,LP0013,2024-01-04
CL000437,CUST02708,LP0009,2024-05-13
CL000438,CUST01883,LP0002,2023-09-26
CL000439,CUST02541,LP0005,2023-11-19
CL000440,CUST00923,LP0013,2023-10-13
CL000441,CUST02176,LP0016,2024-02-07
CL000442,CUST01450,LP0016,2023-08-27
CL000443,CUST01583,LP0003,2024-03-24
CL000444,CUST00565,LP0004,2024-03-29
CL000445,CUST02598,LP0011,2024-03-19
CL000446,CUST02501,LP0014,2023-06-08
CL000447,CUST00471,LP0003,2023-12-29
CL000448,CUST00988,LP0016,2023-12-20
CL000449,CUST02786,LP0015,2023-09-03
CL000450,CUST01935,LP0010,2023-06-06
CL000451,CUST00224,LP0009,2023-08-14
CL000452,CUST02202,LP0011,2023-12-13
CL000453,CUST02608,LP0016,2023-08-23
CL000454,CUST00351,LP0010,2023-12-31
CL000455,CUST01929,LP0017,2024-02-03
CL000456,CUST00349,LP0019,2024-04-27
CL000457,CUST00182,LP0002,2023-11-03
CL000458,CUST00637,LP0002,2023-11-04
CL000459,CUST01018,LP0006,2023-06-21
CL000460,CUST02227,LP0019,2023-09-09
CL000461,CUST00772,LP0008,2024-05-02
CL000462,CUST02942,LP0003,2024-04-10
CL000463,CUST01016,LP0014,2023-12-03
CL000464,CUST02112,LP0016,2024-02-06
CL000465,CUST00029,LP0001,2023-10-07
CL000466,CUST02420,LP0003,2023-10-21
CL000467,CUST02145,LP0018,2023-09-08
CL000468,CUST01894,LP0009,2023-07-27
CL000469,CUST01466,LP0006,2023-05-27
CL000470,CUST01227,LP0001,2023-12-17
CL000471,CUST02069,LP0010,2024-03-24
CL000472,CUST02783,LP0006,2023-12-03
CL000473,CUST01126,LP0012,2024-01-10
CL000474,CUST00066,LP0004,2024-04-27
CL000475,CUST02651,LP0013,2024-01-26
CL000476,CUST01135,LP0017,2024-02-29
CL000477,CUST00338,LP0008,2023-12-24
CL000478,CUST02171,LP0020,2024-04-22
CL000479,CUST01729,LP0003,2023-10-06
CL000480,CUST00447,LP0012,2023-11-20
CL000481,CUST02659,LP0007,2024-05-19
CL000482,CUST02719,LP0012,2023-11-21
CL000483,CUST02663,LP0002,2023-11-06
CL000484,CUST02945,LP0014,2023-05-29
CL000485,CUST00281,LP0005,2024-02-27
CL000486,CUST00596,LP0009,2023-07-26
CL000487,CUST01987,LP0011,2024-04-24
CL000488,CUST02751,LP0005,2024-03-06
CL000489,CUST01075,LP0003,2024-03-28
CL000490,CUST00210,LP0017,2024-03-14
CL000491,CUST00126,LP0002,2023-10-05
CL000492,CUST00492,LP0001,2024-05-21
CL000493,CUST00970,LP0007,2023-09-20
CL000494,CUST00581,LP0014,2024-02-28
CL000495,CUST02825,LP0005,2023-07-13
CL000496,CUST02306,LP0019,2023-06-27
CL000497,CUST01212,LP0011,2023-11-12
CL000498,CUST00230,LP0002,2024-02-01
CL000499,CUST00189,LP0008,2023-08-10
CL000500,CUST02058,LP0009,2023-12-16
