TransactionID,CustomerID,StoreID,Amount,TransactionDate,Type
FT0000067,CUST01022,STORE017,-69.03,2023-07-08,GiftCard
FT0000068,CUST02614,STORE043,1680.99,2023-06-02,GiftCard
FT0000069,CUST01130,STORE080,1032.79,2023-09-04,GiftCard
FT0000070,CUST01501,STORE066,-106.99,2024-10-10,GiftCard
FT0000071,CUST00703,STORE034,1905.85,2025-01-29,Refund
FT0000072,CUST02450,STORE008,795.91,2024-11-20,GiftCard
FT0000073,CUST02778,STORE013,-317.75,2024-04-30,Sale
FT0000074,CUST01580,STORE008,1067.08,2024-04-23,GiftCard
FT0000075,CUST00162,STORE065,133.0,2024-08-27,Refund
FT0000076,CUST00202,STORE043,1509.23,2025-03-12,GiftCard
FT0000077,CUST01982,STORE039,1544.56,2025-01-15,GiftCard
FT0000078,CUST00996,STORE059,1947.37,2024-08-23,Refund
FT0000079,CUST02318,STORE044,754.67,2023-10-30,GiftCard
FT0000080,CUST00816,STORE009,637.39,2024-06-17,Refund
FT0000081,CUST00456,STORE037,1383.69,2024-04-21,GiftCard
FT0000082,CUST01276,STORE074,-168.82,2025-02-18,Sale
FT0000083,CUST01017,STORE036,867.29,2025-04-23,GiftCard
FT0000084,CUST02344,STORE028,865.62,2024-09-21,Refund
FT0000085,CUST02768,STORE042,-276.32,2023-09-29,Sale
FT0000086,CUST00338,STORE043,544.96,2023-10-10,Refund
FT0000087,CUST00879,STORE042,1633.21,2024-01-26,GiftCard
FT0000088,CUST01077,STORE066,1640.38,2025-03-28,Sale
FT0000089,CUST00792,STORE055,-251.91,2023-11-11,Refund
FT0000090,CUST02265,STORE072,-273.2,2023-06-18,Sale
FT0000091,CUST00764,STORE048,156.74,2025-03-30,Sale
FT0000092,CUST02236,STORE022,1686.92,2024-12-22,Refund
FT0000093,CUST00380,STORE027,-177.74,2023-11-25,Sale
FT0000094,CUST00493,STORE067,1299.99,2023-11-13,Refund
FT0000095,CUST01181,STORE013,-247.09,2023-06-16,Sale
FT0000096,CUST02063,STORE045,1057.84,2025-01-08,Sale
FT0000097,CUST00065,STORE010,390.17,2024-03-19,Sale
FT0000098,CUST02569,STORE009,1472.28,2023-12-13,GiftCard
FT0000099,CUST01368,STORE054,84.23,2024-11-18,GiftCard
FT0000100,CUST01153,STORE027,1098.0,2024-07-21,Refund
FT0000101,CUST02028,STORE034,89.21,2024-03-16,Sale
FT0000102,CUST02696,STORE001,1284.15,2024-03-10,Refund
FT0000103,CUST01496,STORE032,1684.2,2025-04-08,GiftCard
FT0000104,CUST01163,STORE071,-183.0,2024-10-15,GiftCard
FT0000105,CUST01523,STORE067,1666.49,2024-06-04,GiftCard
FT0000106,CUST02641,STORE020,983.94,2025-05-25,GiftCard
FT0000107,CUST00392,STORE035,-182.22,2024-12-10,Refund
FT0000108,CUST01699,STORE078,568.85,2024-03-03,Sale
FT0000109,CUST00419,STORE017,-97.85,2024-09-07,Refund
FT0000110,CUST02337,STORE018,1250.87,2024-02-10,Sale
FT0000111,CUST00379,STORE045,1397.17,2024-03-06,GiftCard
FT0000112,CUST01797,STORE053,-235.51,2024-11-23,Sale
FT0000113,CUST02279,STORE068,765.35,2024-01-18,GiftCard
FT0000114,CUST02089,STORE065,1536.56,2023-11-19,Refund
FT0000115,CUST02183,STORE001,1840.41,2024-07-18,Sale
FT0000116,CUST00201,STORE058,783.79,2024-12-28,Refund
FT0000117,CUST01864,STORE026,1875.7,2025-03-30,GiftCard
FT0000118,CUST00780,STORE020,839.22,2023-08-15,Refund
FT0000119,CUST02978,STORE010,485.48,2025-03-14,GiftCard
FT0000120,CUST00503,STORE059,1620.51,2025-05-08,GiftCard
FT0000121,CUST02455,STORE075,732.46,2024-08-30,GiftCard
FT0000122,CUST01752,STORE041,679.76,2024-04-26,Refund
FT0000123,CUST00805,STORE005,725.78,2024-03-15,Refund
FT0000124,CUST02147,STORE065,1616.96,2024-01-03,Sale
FT0000125,CUST02732,STORE017,1579.85,2024-10-31,Sale
FT0000126,CUST01896,STORE022,508.8,2024-09-28,Refund
FT0000127,CUST02774,STORE041,333.25,2023-09-14,Refund
FT0000128,CUST01571,STORE068,729.82,2025-01-13,Refund
FT0000129,CUST00961,STORE069,931.93,2023-07-19,Refund
FT0000130,CUST02661,STORE011,95.84,2024-06-16,GiftCard
FT0000131,CUST01486,STORE056,1484.89,2024-10-25,GiftCard
FT0000132,CUST02691,STORE051,716.21,2024-09-20,GiftCard
FT0000133,CUST01029,STORE021,335.11,2025-03-18,Refund
FT0000134,CUST00503,STORE076,-232.95,2025-05-02,GiftCard
FT0000135,CUST02815,STORE026,97.11,2024-02-06,GiftCard
FT0000136,CUST00398,STORE019,1873.2,2023-07-16,Sale
FT0000137,CUST00871,STORE060,262.75,2023-09-18,Sale
FT0000138,CUST02843,STORE071,-77.85,2024-12-18,GiftCard
FT0000139,CUST00393,STORE047,651.68,2023-10-23,GiftCard
FT0000140,CUST00207,STORE071,267.72,2025-02-05,GiftCard
FT0000141,CUST01039,STORE026,-412.1,2023-08-19,Refund
FT0000142,CUST01882,STORE040,307.86,2024-12-28,Sale
FT0000143,CUST02940,STORE005,860.27,2023-07-12,Sale
FT0000144,CUST01485,STORE021,879.28,2024-12-12,Sale
FT0000145,CUST00864,STORE078,391.4,2024-05-12,GiftCard
FT0000146,CUST02791,STORE004,618.26,2024-06-25,Refund
FT0000147,CUST00564,STORE023,1913.79,2024-04-26,Sale
FT0000148,CUST01021,STORE015,443.37,2024-06-28,Sale
FT0000149,CUST00096,STORE008,145.57,2024-07-17,Refund
FT0000150,CUST01924,STORE041,108.67,2023-06-15,GiftCard
FT0000151,CUST01758,STORE019,644.41,2025-01-26,GiftCard
FT0000152,CUST02533,STORE046,1398.8,2024-04-04,Sale
FT0000153,CUST02279,STORE028,14.97,2024-10-06,Sale
FT0000154,CUST02797,STORE068,1273.24,2024-04-16,Refund
FT0000155,CUST01679,STORE015,-447.13,2024-08-04,Sale
FT0000156,CUST00541,STORE037,547.33,2024-08-26,Refund
FT0000157,CUST01060,STORE001,1439.66,2024-05-19,Sale
FT0000158,CUST02573,STORE067,346.83,2025-05-03,Sale
FT0000159,CUST01184,STORE024,909.34,2023-11-21,Sale
FT0000160,CUST01723,STORE027,12.45,2024-03-18,GiftCard
FT0000161,CUST01820,STORE040,1354.99,2025-02-08,Refund
FT0000162,CUST02626,STORE063,-369.3,2024-05-06,Refund
FT0000163,CUST02730,STORE061,1631.36,2024-05-22,GiftCard
FT0000164,CUST02605,STORE036,-4.51,2023-06-12,GiftCard
FT0000165,CUST01598,STORE024,1686.0,2024-12-01,GiftCard
FT0000166,CUST02694,STORE024,381.32,2023-11-12,Refund
FT0000167,CUST00796,STORE004,1306.71,2024-09-17,Sale
FT0000168,CUST01052,STORE067,298.06,2024-03-19,GiftCard
FT0000169,CUST01644,STORE034,1764.78,2024-11-11,GiftCard
FT0000170,CUST01364,STORE057,-183.41,2025-03-13,GiftCard
FT0000171,CUST01982,STORE049,-53.7,2024-05-01,Sale
FT0000172,CUST01355,STORE053,732.58,2023-08-20,Sale
FT0000173,CUST01664,STORE023,-295.15,2023-05-28,GiftCard
FT0000174,CUST01530,STORE069,-10.05,2023-09-09,Sale
FT0000175,CUST02039,STORE053,1859.42,2024-08-23,GiftCard
FT0000176,CUST01497,STORE062,1941.22,2024-01-29,Sale
FT0000177,CUST02238,STORE041,440.65,2023-10-15,Refund
FT0000178,CUST01409,STORE057,1808.22,2024-10-28,Refund
FT0000179,CUST01401,STORE060,862.06,2024-03-03,Sale
FT0000180,CUST01307,STORE054,174.36,2025-01-02,Refund
FT0000181,CUST02681,STORE070,1256.0,2024-12-12,Refund
FT0000182,CUST02676,STORE057,1147.25,2025-05-02,Refund
FT0000183,CUST00973,STORE010,1972.81,2024-02-11,GiftCard
FT0000184,CUST01769,STORE040,162.62,2024-02-28,Sale
FT0000185,CUST01283,STORE007,1180.15,2024-04-09,Sale
FT0000186,CUST00710,STORE038,-369.94,2023-07-07,Sale
FT0000187,CUST01480,STORE061,-215.88,2023-09-06,Refund
FT0000188,CUST01435,STORE003,-490.2,2024-09-13,GiftCard
FT0000189,CUST00649,STORE051,1998.65,2025-02-20,Sale
FT0000190,CUST00318,STORE047,1505.68,2023-12-21,Refund
FT0000191,CUST01258,STORE068,1466.81,2025-02-01,GiftCard
FT0000192,CUST00684,STORE076,774.32,2023-10-28,GiftCard
FT0000193,CUST00664,STORE038,250.17,2023-08-19,Sale
FT0000194,CUST01999,STORE036,-121.84,2024-10-16,Sale
FT0000195,CUST01632,STORE041,211.69,2025-04-26,Refund
FT0000196,CUST01496,STORE069,439.93,2023-10-31,Sale
FT0000197,CUST01137,STORE013,1390.78,2023-10-22,Refund
FT0000198,CUST01854,STORE058,849.15,2025-03-05,GiftCard
FT0000199,CUST01521,STORE050,-306.29,2024-11-02,GiftCard
FT0000200,CUST02490,STORE030,-454.93,2025-02-08,GiftCard
FT0000201,CUST00564,STORE062,-244.17,2025-04-04,GiftCard
FT0000202,CUST01292,STORE025,526.25,2025-03-29,Sale
FT0000203,CUST01637,STORE027,1832.98,2023-10-16,Sale
FT0000204,CUST03000,STORE051,1093.51,2024-02-24,Refund
FT0000205,CUST00699,STORE078,1504.56,2024-01-14,Refund
FT0000206,CUST02161,STORE057,665.94,2024-02-03,Refund
FT0000207,CUST00002,STORE047,404.17,2023-12-09,Refund
FT0000208,CUST00642,STORE039,-229.0,2024-01-21,Refund
FT0000209,CUST02268,STORE016,1689.83,2024-11-03,GiftCard
FT0000210,CUST01590,STORE022,1457.9,2024-10-01,GiftCard
FT0000211,CUST00855,STORE054,-79.7,2023-10-25,GiftCard
FT0000212,CUST01760,STORE021,780.65,2025-05-04,Refund
FT0000213,CUST02433,STORE072,718.44,2024-05-19,GiftCard
FT0000214,CUST01662,STORE016,1062.73,2024-04-25,GiftCard
FT0000215,CUST01154,STORE059,1865.47,2023-10-11,GiftCard
FT0000216,CUST01077,STORE031,949.43,2025-01-09,GiftCard
FT0000217,CUST01708,STORE042,850.54,2024-02-17,Sale
FT0000218,CUST02778,STORE074,-374.19,2024-09-22,Refund
FT0000219,CUST01696,STORE032,-342.73,2023-12-01,Refund
FT0000220,CUST01734,STORE059,-31.63,2025-02-18,Sale
FT0000221,CUST01440,STORE034,-418.82,2024-09-10,GiftCard
FT0000222,CUST02295,STORE009,1358.38,2023-10-24,GiftCard
FT0000223,CUST00836,STORE011,1308.33,2025-04-16,GiftCard
FT0000224,CUST00203,STORE010,-159.86,2024-10-19,Refund
FT0000225,CUST00123,STORE017,1590.2,2023-05-31,Refund
FT0000226,CUST00401,STORE068,-113.03,2025-05-18,Refund
FT0000227,CUST00767,STORE048,252.94,2024-09-11,Refund
FT0000228,CUST00294,STORE052,122.44,2024-04-07,Refund
FT0000229,CUST02328,STORE025,430.77,2024-11-29,Sale
FT0000230,CUST02932,STORE021,136.66,2024-02-17,Refund
FT0000231,CUST00198,STORE065,722.38,2023-07-21,GiftCard
FT0000232,CUST01931,STORE063,518.52,2025-01-22,Refund
FT0000233,CUST02800,STORE051,1966.42,2024-09-02,Sale
FT0000234,CUST02192,STORE036,-360.18,2023-09-27,GiftCard
FT0000235,CUST00609,STORE066,-144.55,2023-06-09,Sale
FT0000236,CUST01148,STORE015,-367.94,2024-03-12,GiftCard
FT0000237,CUST00187,STORE039,1064.6,2025-04-10,Refund
FT0000238,CUST02512,STORE070,-363.73,2023-06-27,Sale
FT0000239,CUST01795,STORE001,1591.1,2024-01-23,GiftCard
FT0000240,CUST00660,STORE023,779.85,2025-03-18,Refund
FT0000241,CUST02812,STORE039,817.52,2025-03-14,GiftCard
FT0000242,CUST01956,STORE057,903.99,2024-02-29,Sale
FT0000243,CUST02451,STORE034,-72.97,2025-02-04,Sale
FT0000244,CUST01370,STORE041,-5.77,2024-03-11,Sale
FT0000245,CUST01987,STORE073,297.04,2025-04-21,Sale
FT0000246,CUST01535,STORE013,983.74,2025-02-20,Refund
FT0000247,CUST00147,STORE070,25.29,2024-05-23,GiftCard
FT0000248,CUST02912,STORE006,-209.17,2024-04-23,Refund
FT0000249,CUST01735,STORE052,1925.29,2024-08-03,Sale
FT0000250,CUST01844,STORE003,-445.05,2023-09-20,GiftCard
FT0000251,CUST00489,STORE063,1506.74,2023-07-22,Sale
FT0000252,CUST02977,STORE049,1470.09,2023-10-04,Refund
FT0000253,CUST01960,STORE076,243.04,2025-01-08,Refund
FT0000254,CUST01664,STORE047,-160.93,2024-02-22,Refund
FT0000255,CUST02599,STORE055,-135.93,2024-07-16,GiftCard
FT0000256,CUST02386,STORE064,1243.58,2024-09-13,GiftCard
FT0000257,CUST02920,STORE065,1107.02,2025-03-16,Sale
FT0000258,CUST00641,STORE067,1456.86,2024-09-25,GiftCard
FT0000259,CUST01803,STORE015,1843.7,2025-05-01,GiftCard
FT0000260,CUST02521,STORE032,1229.82,2024-05-02,Refund
FT0000261,CUST01970,STORE068,-110.37,2023-08-22,Sale
FT0000262,CUST02199,STORE018,108.61,2023-12-21,Refund
FT0000263,CUST01439,STORE043,1605.48,2023-08-14,Sale
FT0000264,CUST01635,STORE035,23.27,2023-08-07,Sale
FT0000265,CUST00263,STORE078,-318.69,2024-04-06,GiftCard
FT0000266,CUST01788,STORE058,1258.2,2023-10-16,Refund
FT0000267,CUST02192,STORE033,506.32,2025-02-21,GiftCard
FT0000268,CUST02394,STORE014,1800.1,2023-06-04,GiftCard
FT0000269,CUST00624,STORE034,1125.64,2024-02-25,GiftCard
FT0000270,CUST01017,STORE061,-273.95,2023-10-03,Sale
FT0000271,CUST00881,STORE004,1869.64,2023-10-19,Refund
FT0000272,CUST02050,STORE059,146.39,2023-12-01,Refund
FT0000273,CUST02945,STORE029,343.03,2024-04-06,GiftCard
FT0000274,CUST01328,STORE006,505.65,2025-05-12,Sale
FT0000275,CUST02302,STORE049,-371.94,2023-06-04,Refund
FT0000276,CUST00453,STORE040,741.29,2023-12-16,Refund
FT0000277,CUST01184,STORE065,-191.7,2025-05-21,GiftCard
FT0000278,CUST02057,STORE069,502.43,2024-07-04,Sale
FT0000279,CUST01683,STORE027,376.77,2024-08-17,GiftCard
FT0000280,CUST02864,STORE080,1432.1,2024-09-16,Refund
FT0000281,CUST02256,STORE006,1507.93,2025-01-18,Sale
FT0000282,CUST01155,STORE013,-116.47,2025-03-28,GiftCard
FT0000283,CUST00404,STORE064,416.38,2023-06-01,Refund
FT0000284,CUST02200,STORE062,433.38,2024-10-22,GiftCard
FT0000285,CUST02102,STORE019,-121.47,2024-10-27,GiftCard
FT0000286,CUST01697,STORE076,1496.13,2024-06-25,GiftCard
FT0000287,CUST00628,STORE080,1268.07,2024-04-09,Sale
FT0000288,CUST00587,STORE043,-24.05,2023-07-08,Refund
FT0000289,CUST01649,STORE074,416.8,2025-02-18,Refund
FT0000290,CUST01444,STORE020,-235.49,2023-06-01,Refund
FT0000291,CUST01446,STORE068,1070.52,2024-02-01,Refund
FT0000292,CUST00104,STORE044,-196.57,2023-10-13,Sale
FT0000293,CUST00254,STORE023,1964.84,2024-08-16,GiftCard
FT0000294,CUST02558,STORE002,1451.71,2023-09-14,Refund
FT0000295,CUST01497,STORE022,475.6,2023-07-02,Sale
FT0000296,CUST00099,STORE057,946.41,2025-02-03,GiftCard
FT0000297,CUST02201,STORE072,1778.35,2024-02-13,Sale
FT0000298,CUST01885,STORE007,885.25,2024-06-25,Sale
FT0000299,CUST02962,STORE078,-63.75,2023-09-01,Refund
FT0000300,CUST01920,STORE056,446.76,2024-05-18,Refund
FT0000301,CUST00878,STORE067,1607.86,2023-11-26,GiftCard
FT0000302,CUST00338,STORE016,1110.53,2024-10-22,GiftCard
FT0000303,CUST02870,STORE051,1126.81,2023-10-03,Refund
FT0000304,CUST00957,STORE080,1667.05,2024-10-24,Sale
FT0000305,CUST01705,STORE072,1734.93,2025-01-31,Refund
FT0000306,CUST00161,STORE012,1799.48,2024-10-31,GiftCard
FT0000307,CUST01604,STORE053,-262.88,2025-02-13,Sale
FT0000308,CUST02849,STORE075,860.32,2024-05-21,Sale
FT0000309,CUST00398,STORE005,1351.27,2023-08-05,Sale
FT0000310,CUST01301,STORE027,1392.32,2024-07-17,Refund
FT0000311,CUST00816,STORE012,1016.79,2023-07-18,Refund
FT0000312,CUST01528,STORE017,-83.03,2025-01-24,GiftCard
FT0000313,CUST01920,STORE006,1493.55,2024-08-09,Sale
FT0000314,CUST01416,STORE005,1300.28,2023-09-19,Sale
FT0000315,CUST01159,STORE057,-284.66,2025-03-30,Refund
FT0000316,CUST01219,STORE028,659.52,2025-02-09,GiftCard
FT0000317,CUST00401,STORE078,-65.06,2024-07-11,GiftCard
FT0000318,CUST00640,STORE069,343.69,2024-04-13,Sale
FT0000319,CUST02736,STORE059,-454.8,2024-12-30,Refund
FT0000320,CUST00460,STORE033,500.82,2023-11-02,Sale
FT0000321,CUST00955,STORE062,874.69,2025-02-06,Refund
FT0000322,CUST00470,STORE050,1048.96,2023-06-27,GiftCard
FT0000323,CUST01046,STORE019,1158.73,2024-05-16,Sale
FT0000324,CUST02798,STORE069,1590.73,2025-04-09,Sale
FT0000325,CUST01694,STORE066,38.66,2024-12-19,Sale
FT0000326,CUST02086,STORE047,-198.8,2024-11-29,GiftCard
FT0000327,CUST02278,STORE039,1628.84,2024-12-25,Sale
FT0000328,CUST00563,STORE068,-108.47,2023-09-03,GiftCard
FT0000329,CUST02486,STORE033,1936.9,2024-08-31,Refund
FT0000330,CUST01800,STORE013,1606.35,2025-02-03,GiftCard
FT0000331,CUST02075,STORE054,752.19,2024-12-02,Refund
FT0000332,CUST00226,STORE007,1953.55,2024-09-28,GiftCard
FT0000333,CUST00798,STORE079,-256.56,2024-09-17,GiftCard
FT0000334,CUST02332,STORE014,257.66,2024-03-26,Sale
FT0000335,CUST02927,STORE019,1095.56,2024-07-01,GiftCard
FT0000336,CUST00960,STORE054,375.02,2024-03-25,Sale
FT0000337,CUST01505,STORE020,1820.93,2023-09-10,Refund
FT0000338,CUST00453,STORE029,-335.93,2024-05-20,Refund
FT0000339,CUST00816,STORE024,873.53,2024-06-09,Sale
FT0000340,CUST00659,STORE063,977.17,2023-07-09,Refund
FT0000341,CUST00547,STORE074,1131.82,2024-08-29,GiftCard
FT0000342,CUST01216,STORE057,139.17,2024-01-01,Sale
FT0000343,CUST00017,STORE008,411.42,2025-05-03,Sale
FT0000344,CUST01244,STORE062,1609.2,2025-04-10,Sale
FT0000345,CUST02206,STORE029,-12.64,2024-03-18,Refund
FT0000346,CUST02525,STORE074,1567.17,2024-06-19,Refund
FT0000347,CUST01070,STORE017,906.64,2024-08-27,GiftCard
FT0000348,CUST02566,STORE066,1405.47,2024-04-02,GiftCard
FT0000349,CUST02147,STORE006,1284.02,2023-11-11,Sale
FT0000350,CUST01769,STORE058,18.78,2023-07-25,GiftCard
FT0000351,CUST01061,STORE069,922.03,2024-05-02,Refund
FT0000352,CUST02328,STORE028,1669.31,2025-05-20,GiftCard
FT0000353,CUST02545,STORE062,580.29,2023-09-01,Refund
FT0000354,CUST00302,STORE041,1916.48,2024-07-03,GiftCard
FT0000355,CUST00181,STORE069,630.54,2023-07-31,Refund
FT0000356,CUST00607,STORE041,-143.04,2024-09-16,Refund
FT0000357,CUST00700,STORE049,473.59,2025-05-24,GiftCard
FT0000358,CUST00993,STORE049,1879.26,2024-12-12,GiftCard
FT0000359,CUST01140,STORE076,299.3,2025-02-26,Refund
FT0000360,CUST00191,STORE071,1670.25,2024-11-04,Sale
FT0000361,CUST02301,STORE003,1703.13,2023-08-20,GiftCard
FT0000362,CUST00981,STORE010,375.47,2025-03-23,Refund
FT0000363,CUST02976,STORE035,-291.86,2024-08-03,GiftCard
FT0000364,CUST02007,STORE080,1311.39,2025-04-24,GiftCard
FT0000365,CUST01185,STORE002,278.78,2023-12-27,GiftCard
FT0000366,CUST00128,STORE024,1457.31,2024-11-03,GiftCard
FT0000367,CUST02066,STORE074,606.64,2024-07-10,GiftCard
FT0000368,CUST01817,STORE038,713.17,2023-08-05,Sale
FT0000369,CUST01759,STORE022,1444.77,2023-08-16,Sale
FT0000370,CUST02614,STORE026,455.91,2025-02-04,Sale
FT0000371,CUST00570,STORE043,607.82,2024-02-16,Refund
FT0000372,CUST01347,STORE055,440.48,2025-01-01,Sale
FT0000373,CUST01896,STORE039,418.35,2023-10-23,Sale
FT0000374,CUST02734,STORE029,814.87,2024-05-06,Refund
FT0000375,CUST00626,STORE020,1522.0,2024-11-22,Sale
FT0000376,CUST02902,STORE041,404.42,2025-03-05,GiftCard
FT0000377,CUST01687,STORE054,810.64,2024-02-14,Sale
FT0000378,CUST00155,STORE020,1176.82,2024-03-27,Sale
FT0000379,CUST02538,STORE019,173.6,2023-07-04,Sale
FT0000380,CUST01410,STORE066,193.81,2023-06-15,GiftCard
FT0000381,CUST00785,STORE030,1833.53,2024-01-01,GiftCard
FT0000382,CUST00246,STORE053,1308.84,2023-10-22,GiftCard
FT0000383,CUST01501,STORE034,942.97,2023-12-31,GiftCard
FT0000384,CUST01706,STORE022,1119.3,2024-02-28,Refund
FT0000385,CUST02807,STORE067,-426.75,2024-08-10,GiftCard
FT0000386,CUST00538,STORE006,1045.26,2023-07-26,GiftCard
FT0000387,CUST01891,STORE079,773.77,2025-01-19,GiftCard
FT0000388,CUST01842,STORE027,864.37,2023-09-13,GiftCard
FT0000389,CUST00921,STORE010,398.56,2024-06-20,Refund
FT0000390,CUST02456,STORE073,-296.32,2025-04-11,Sale
FT0000391,CUST00525,STORE048,-16.65,2024-01-19,Sale
FT0000392,CUST02876,STORE070,1876.86,2023-10-01,GiftCard
FT0000393,CUST01530,STORE059,521.75,2025-03-28,GiftCard
FT0000394,CUST02951,STORE059,666.71,2023-08-15,GiftCard
FT0000395,CUST00036,STORE002,-368.23,2023-08-05,Sale
FT0000396,CUST00685,STORE029,-406.08,2024-01-26,Sale
FT0000397,CUST00020,STORE068,1292.95,2024-06-22,GiftCard
FT0000398,CUST02369,STORE065,845.24,2023-09-08,Sale
FT0000399,CUST02560,STORE026,771.76,2025-05-10,Refund
FT0000400,CUST00400,STORE010,107.81,2023-09-14,GiftCard
FT0000401,CUST02702,STORE053,1361.88,2024-07-29,GiftCard
FT0000402,CUST00972,STORE079,-79.41,2024-06-18,Refund
FT0000403,CUST01907,STORE059,-25.16,2024-02-24,Refund
FT0000404,CUST02519,STORE022,651.78,2023-10-24,Sale
FT0000405,CUST01167,STORE051,215.7,2024-11-16,Refund
FT0000406,CUST01116,STORE048,118.66,2025-02-01,GiftCard
FT0000407,CUST00834,STORE021,1113.09,2023-07-17,Sale
FT0000408,CUST01824,STORE022,1127.43,2023-12-13,Refund
FT0000409,CUST02775,STORE030,1561.29,2023-06-09,Sale
FT0000410,CUST01983,STORE025,544.27,2024-12-24,Sale
FT0000411,CUST00854,STORE028,-317.29,2024-07-02,Sale
FT0000412,CUST00051,STORE065,184.17,2025-04-29,Sale
FT0000413,CUST00575,STORE045,1950.01,2025-05-09,Refund
FT0000414,CUST01149,STORE068,990.65,2023-07-13,GiftCard
FT0000415,CUST02198,STORE007,1274.34,2025-04-03,GiftCard
FT0000416,CUST02362,STORE049,-481.61,2024-05-10,Refund
FT0000417,CUST02618,STORE009,795.51,2023-06-14,GiftCard
FT0000418,CUST02353,STORE036,-406.18,2023-05-26,Sale
