AbandonedCheckoutID,CustomerID,CartID,AbandonDate
AC000126,CUST01896,CART001820,2025-02-25
AC000127,CUST02774,CART000718,2025-05-06
AC000128,CUST01571,CART002783,2024-07-20
AC000129,CUST00961,CART003456,2024-11-20
AC000130,CUST02661,CART003636,2024-10-03
AC000131,CUST01486,CART000851,2025-05-02
AC000132,CUST02691,CART003578,2024-10-04
AC000133,CUST01029,CART001391,2024-09-12
AC000134,CUST00503,CART000144,2025-03-14
AC000135,CUST02815,CART000885,2025-05-24
AC000136,CUST00398,CART003141,2024-09-20
AC000137,CUST00871,CART003171,2025-02-15
AC000138,CUST02843,CART000396,2024-08-21
AC000139,CUST00393,CART003097,2024-09-12
AC000140,CUST00207,CART002996,2024-07-03
AC000141,CUST01039,CART002939,2024-09-26
AC000142,CUST01882,CART001493,2024-07-10
AC000143,CUST02940,CART003556,2025-03-01
AC000144,CUST01485,CART003637,2024-11-14
AC000145,CUST00864,CART003223,2024-09-20
AC000146,CUST02791,CART001168,2024-12-29
AC000147,CUST00564,CART002617,2024-12-04
AC000148,CUST01021,CART001063,2024-07-29
AC000149,CUST00096,CART002157,2024-10-14
AC000150,CUST01924,CART003765,2025-01-10
AC000151,CUST01758,CART001066,2024-07-28
AC000152,CUST02533,CART001210,2024-10-24
AC000153,CUST02279,CART002983,2024-07-03
AC000154,CUST02797,CART002446,2024-07-25
AC000155,CUST01679,CART003295,2024-08-05
AC000156,CUST00541,CART000634,2024-12-02
AC000157,CUST01060,CART001157,2025-03-31
AC000158,CUST02573,CART003235,2025-03-29
AC000159,CUST01184,CART001239,2024-11-29
AC000160,CUST01723,CART000733,2024-09-21
AC000161,CUST01820,CART000235,2025-03-30
AC000162,CUST02626,CART003915,2024-09-26
AC000163,CUST02730,CART002706,2024-07-08
AC000164,CUST02605,CART000751,2024-09-27
AC000165,CUST01598,CART002636,2024-06-19
AC000166,CUST02694,CART003081,2024-07-26
AC000167,CUST00796,CART003146,2025-04-24
AC000168,CUST01052,CART000954,2025-03-27
AC000169,CUST01644,CART002540,2024-06-09
AC000170,CUST01364,CART002961,2025-01-30
AC000171,CUST01982,CART003325,2025-01-30
AC000172,CUST01355,CART003302,2025-02-02
AC000173,CUST01664,CART001543,2025-05-07
AC000174,CUST01530,CART001198,2025-03-24
AC000175,CUST02039,CART001677,2024-09-27
AC000176,CUST01497,CART001192,2025-02-03
AC000177,CUST02238,CART002218,2025-05-18
AC000178,CUST01409,CART001417,2024-09-06
AC000179,CUST01401,CART002994,2025-02-09
AC000180,CUST01307,CART002843,2024-12-17
AC000181,CUST02681,CART002682,2024-06-14
AC000182,CUST02676,CART001218,2024-07-18
AC000183,CUST00973,CART001541,2025-03-31
AC000184,CUST01769,CART002077,2025-05-16
AC000185,CUST01283,CART003237,2024-11-28
AC000186,CUST00710,CART001446,2024-09-30
AC000187,CUST01480,CART002387,2025-04-11
AC000188,CUST01435,CART003720,2025-04-14
AC000189,CUST00649,CART001520,2024-11-01
AC000190,CUST00318,CART001389,2024-11-25
AC000191,CUST01258,CART001857,2024-12-31
AC000192,CUST00684,CART001366,2024-10-27
AC000193,CUST00664,CART000500,2024-08-18
AC000194,CUST01999,CART001681,2024-06-30
AC000195,CUST01632,CART000511,2024-08-06
AC000196,CUST01496,CART003399,2025-02-12
AC000197,CUST01137,CART000217,2024-09-12
AC000198,CUST01854,CART001325,2025-04-10
AC000199,CUST01521,CART001156,2025-03-18
AC000200,CUST02490,CART001828,2024-08-20
AC000201,CUST00564,CART003142,2025-03-22
AC000202,CUST01292,CART003324,2024-12-24
AC000203,CUST01637,CART003487,2025-05-10
AC000204,CUST03000,CART001811,2025-02-22
AC000205,CUST00699,CART002493,2024-09-29
AC000206,CUST02161,CART002924,2024-08-30
AC000207,CUST00002,CART001206,2025-03-03
AC000208,CUST00642,CART002215,2024-07-11
AC000209,CUST02268,CART000091,2025-03-03
AC000210,CUST01590,CART000714,2024-07-23
AC000211,CUST00855,CART001882,2025-02-04
AC000212,CUST01760,CART003603,2024-09-07
AC000213,CUST02433,CART000039,2025-01-29
AC000214,CUST01662,CART003198,2024-10-24
AC000215,CUST01154,CART003523,2025-03-23
AC000216,CUST01077,CART000173,2025-01-31
AC000217,CUST01708,CART000653,2025-05-09
AC000218,CUST02778,CART000754,2024-10-01
AC000219,CUST01696,CART001244,2025-01-11
AC000220,CUST01734,CART003710,2024-06-18
AC000221,CUST01440,CART001082,2025-01-26
AC000222,CUST02295,CART001684,2024-08-21
AC000223,CUST00836,CART002524,2025-04-21
AC000224,CUST00203,CART000456,2025-04-09
AC000225,CUST00123,CART000829,2024-08-23
AC000226,CUST00401,CART000895,2024-07-31
AC000227,CUST00767,CART001385,2024-05-31
AC000228,CUST00294,CART001959,2024-12-01
AC000229,CUST02328,CART003073,2025-03-27
AC000230,CUST02932,CART002435,2025-05-23
AC000231,CUST00198,CART001997,2025-05-20
AC000232,CUST01931,CART002396,2024-11-30
AC000233,CUST02800,CART000190,2025-02-15
AC000234,CUST02192,CART000505,2024-08-19
AC000235,CUST00609,CART001215,2024-09-08
AC000236,CUST01148,CART001532,2025-04-07
AC000237,CUST00187,CART003441,2025-03-13
AC000238,CUST02512,CART003481,2024-12-05
AC000239,CUST01795,CART000824,2024-11-20
AC000240,CUST00660,CART000929,2024-08-14
AC000241,CUST02812,CART000934,2024-08-04
AC000242,CUST01956,CART001141,2025-04-25
AC000243,CUST02451,CART000134,2024-08-15
AC000244,CUST01370,CART002106,2025-03-21
AC000245,CUST01987,CART003628,2024-11-03
AC000246,CUST01535,CART000685,2024-10-11
AC000247,CUST00147,CART002720,2025-01-22
AC000248,CUST02912,CART002221,2024-08-17
AC000249,CUST01735,CART001853,2024-08-06
AC000250,CUST01844,CART000815,2024-08-03
AC000251,CUST00489,CART001173,2024-11-13
AC000252,CUST02977,CART000080,2025-02-28
AC000253,CUST01960,CART002934,2025-03-25
AC000254,CUST01664,CART003285,2025-04-29
AC000255,CUST02599,CART000203,2025-03-21
AC000256,CUST02386,CART002812,2025-04-01
AC000257,CUST02920,CART001253,2024-06-25
AC000258,CUST00641,CART001700,2024-09-15
AC000259,CUST01803,CART001251,2024-06-14
AC000260,CUST02521,CART001683,2025-03-01
AC000261,CUST01970,CART001556,2024-06-08
AC000262,CUST02199,CART003513,2024-08-03
AC000263,CUST01439,CART003474,2024-12-03
AC000264,CUST01635,CART002095,2024-06-27
AC000265,CUST00263,CART001257,2024-12-06
AC000266,CUST01788,CART003377,2025-01-13
AC000267,CUST02192,CART001550,2024-12-29
AC000268,CUST02394,CART001167,2025-05-14
AC000269,CUST00624,CART003487,2025-02-15
AC000270,CUST01017,CART003585,2025-04-21
AC000271,CUST00881,CART001397,2025-01-22
AC000272,CUST02050,CART003638,2024-09-10
AC000273,CUST02945,CART003958,2025-02-06
AC000274,CUST01328,CART003331,2024-07-18
AC000275,CUST02302,CART002704,2025-05-09
AC000276,CUST00453,CART000471,2025-05-21
AC000277,CUST01184,CART003019,2024-07-21
AC000278,CUST02057,CART001036,2025-02-05
AC000279,CUST01683,CART001354,2024-07-25
AC000280,CUST02864,CART002784,2024-06-07
AC000281,CUST02256,CART002832,2024-06-05
AC000282,CUST01155,CART000968,2024-12-10
AC000283,CUST00404,CART000358,2024-09-01
AC000284,CUST02200,CART003020,2025-03-03
AC000285,CUST02102,CART003480,2025-04-06
AC000286,CUST01697,CART000668,2025-05-21
AC000287,CUST00628,CART000373,2024-05-29
AC000288,CUST00587,CART001032,2024-09-30
AC000289,CUST01649,CART001146,2024-10-27
AC000290,CUST01444,CART001372,2025-01-24
AC000291,CUST01446,CART002724,2025-04-28
AC000292,CUST00104,CART000090,2024-09-23
AC000293,CUST00254,CART003720,2024-05-30
AC000294,CUST02558,CART002746,2025-05-05
AC000295,CUST01497,CART003388,2025-02-11
AC000296,CUST00099,CART003250,2024-06-19
AC000297,CUST02201,CART000540,2025-04-19
AC000298,CUST01885,CART002780,2024-05-30
AC000299,CUST02962,CART000869,2024-08-02
AC000300,CUST01920,CART000041,2024-10-05
AC000301,CUST00878,CART000740,2024-06-25
AC000302,CUST00338,CART003776,2024-10-14
AC000303,CUST02870,CART001947,2024-10-21
AC000304,CUST00957,CART002550,2024-11-16
AC000305,CUST01705,CART003007,2024-09-28
AC000306,CUST00161,CART003217,2024-12-31
AC000307,CUST01604,CART001225,2024-09-21
AC000308,CUST02849,CART000929,2025-05-14
AC000309,CUST00398,CART002037,2024-08-10
AC000310,CUST01301,CART003796,2025-02-17
AC000311,CUST00816,CART002509,2024-09-11
AC000312,CUST01528,CART002780,2024-12-31
AC000313,CUST01920,CART002800,2025-03-21
AC000314,CUST01416,CART000925,2024-11-11
AC000315,CUST01159,CART002957,2025-01-01
AC000316,CUST01219,CART001582,2025-05-26
AC000317,CUST00401,CART003619,2024-08-17
AC000318,CUST00640,CART003325,2024-07-14
AC000319,CUST02736,CART000390,2024-10-02
AC000320,CUST00460,CART001618,2024-06-28
AC000321,CUST00955,CART002931,2025-04-24
AC000322,CUST00470,CART000256,2024-07-31
AC000323,CUST01046,CART000709,2024-08-01
AC000324,CUST02798,CART001839,2025-05-09
AC000325,CUST01694,CART001945,2025-02-19
AC000326,CUST02086,CART002498,2024-06-10
AC000327,CUST02278,CART000010,2024-06-28
AC000328,CUST00563,CART002872,2024-08-21
AC000329,CUST02486,CART000798,2025-02-22
AC000330,CUST01800,CART003314,2025-04-16
AC000331,CUST02075,CART003323,2024-08-08
AC000332,CUST00226,CART000877,2025-02-06
AC000333,CUST00798,CART001029,2025-03-15
AC000334,CUST02332,CART003191,2024-07-08
AC000335,CUST02927,CART001016,2024-09-15
AC000336,CUST00960,CART001825,2024-11-12
AC000337,CUST01505,CART000374,2024-07-03
AC000338,CUST00453,CART003137,2025-03-07
AC000339,CUST00816,CART002194,2024-12-09
AC000340,CUST00659,CART000224,2024-11-17
AC000341,CUST00547,CART001263,2025-03-25
AC000342,CUST01216,CART002225,2024-06-29
AC000343,CUST00017,CART001803,2024-05-28
AC000344,CUST01244,CART000853,2024-09-09
AC000345,CUST02206,CART003354,2024-08-29
AC000346,CUST02525,CART000063,2025-05-07
AC000347,CUST01070,CART001241,2024-12-24
AC000348,CUST02566,CART003926,2024-11-05
AC000349,CUST02147,CART002875,2025-03-12
AC000350,CUST01769,CART002843,2025-02-18
AC000351,CUST01061,CART000689,2024-10-23
AC000352,CUST02328,CART001485,2024-12-17
AC000353,CUST02545,CART001634,2024-06-05
AC000354,CUST00302,CART002153,2025-04-18
AC000355,CUST00181,CART003171,2025-04-24
AC000356,CUST00607,CART000511,2025-03-07
AC000357,CUST00700,CART000385,2025-01-28
AC000358,CUST00993,CART000405,2024-12-17
AC000359,CUST01140,CART002871,2025-04-26
AC000360,CUST00191,CART000518,2025-03-17
AC000361,CUST02301,CART000476,2025-05-18
AC000362,CUST00981,CART002001,2025-02-22
AC000363,CUST02976,CART002757,2025-01-07
AC000364,CUST02007,CART003935,2025-02-10
AC000365,CUST01185,CART001669,2024-09-13
AC000366,CUST00128,CART001894,2024-06-21
AC000367,CUST02066,CART002819,2025-03-04
AC000368,CUST01817,CART001461,2024-10-12
AC000369,CUST01759,CART003095,2025-04-16
AC000370,CUST02614,CART003045,2025-03-05
AC000371,CUST00570,CART003637,2025-03-06
AC000372,CUST01347,CART002725,2025-01-30
AC000373,CUST01896,CART000714,2025-03-29
AC000374,CUST02734,CART003530,2024-09-16
AC000375,CUST00626,CART000083,2024-10-01
AC000376,CUST02902,CART001169,2025-03-18
AC000377,CUST01687,CART003157,2024-06-29
AC000378,CUST00155,CART003150,2024-12-26
AC000379,CUST02538,CART002505,2025-01-06
AC000380,CUST01410,CART001902,2024-10-08
AC000381,CUST00785,CART002049,2024-08-29
AC000382,CUST00246,CART000051,2024-11-24
AC000383,CUST01501,CART000685,2024-08-18
AC000384,CUST01706,CART000717,2024-10-25
AC000385,CUST02807,CART003844,2024-12-09
AC000386,CUST00538,CART001470,2025-01-17
AC000387,CUST01891,CART000449,2024-10-28
AC000388,CUST01842,CART000881,2025-01-04
AC000389,CUST00921,CART000488,2025-03-31
AC000390,CUST02456,CART001824,2024-10-07
AC000391,CUST00525,CART002082,2024-10-24
AC000392,CUST02876,CART003420,2025-01-06
AC000393,CUST01530,CART002143,2024-06-08
AC000394,CUST02951,CART003144,2024-07-18
AC000395,CUST00036,CART001575,2025-04-20
AC000396,CUST00685,CART002202,2025-02-18
AC000397,CUST00020,CART000250,2025-02-09
AC000398,CUST02369,CART000674,2025-05-13
AC000399,CUST02560,CART000438,2024-12-16
AC000400,CUST00400,CART002166,2025-01-13
AC000401,CUST02702,CART000771,2024-06-30
AC000402,CUST00972,CART003963,2024-10-14
AC000403,CUST01907,CART003378,2025-04-22
AC000404,CUST02519,CART000268,2024-11-08
AC000405,CUST01167,CART001985,2024-08-24
AC000406,CUST01116,CART001078,2024-09-07
AC000407,CUST00834,CART000236,2024-08-09
AC000408,CUST01824,CART000389,2025-05-03
AC000409,CUST02775,CART003038,2025-01-29
AC000410,CUST01983,CART003806,2025-03-24
AC000411,CUST00854,CART000763,2024-07-14
AC000412,CUST00051,CART001849,2025-03-10
AC000413,CUST00575,CART002449,2024-12-06
AC000414,CUST01149,CART000624,2025-01-01
AC000415,CUST02198,CART002815,2024-09-23
AC000416,CUST02362,CART003375,2024-06-05
AC000417,CUST02618,CART002967,2025-03-04
AC000418,CUST02353,CART003279,2024-09-19
AC000419,CUST01716,CART001253,2025-03-15
AC000420,CUST00682,CART002901,2024-06-22
AC000421,CUST00838,CART003982,2025-01-31
AC000422,CUST01078,CART000578,2025-03-09
AC000423,CUST02492,CART002123,2024-08-09
AC000424,CUST02661,CART000435,2024-08-21
AC000425,CUST02312,CART002151,2025-03-08
AC000426,CUST01596,CART003494,2024-09-12
AC000427,CUST00005,CART003776,2024-12-25
AC000428,CUST01127,CART000764,2024-06-28
AC000429,CUST01220,CART002786,2024-08-12
AC000430,CUST00774,CART002854,2024-10-09
AC000431,CUST00877,CART001330,2025-04-18
AC000432,CUST00992,CART002146,2024-12-05
AC000433,CUST02932,CART003922,2024-10-29
AC000434,CUST00047,CART002846,2024-11-25
AC000435,CUST02915,CART001359,2024-08-25
AC000436,CUST02871,CART002907,2024-07-24
AC000437,CUST02984,CART002483,2025-01-08
AC000438,CUST02704,CART000447,2025-02-22
AC000439,CUST00269,CART002018,2025-05-12
AC000440,CUST00370,CART001332,2025-01-17
AC000441,CUST00636,CART000249,2024-09-28
AC000442,CUST01130,CART000166,2024-10-06
AC000443,CUST01694,CART003553,2025-01-28
AC000444,CUST01683,CART003032,2024-05-28
AC000445,CUST00657,CART001359,2025-04-08
AC000446,CUST00120,CART001020,2024-06-03
AC000447,CUST00831,CART000542,2024-08-04
AC000448,CUST01811,CART000759,2024-10-22
AC000449,CUST01082,CART003178,2025-01-28
AC000450,CUST01975,CART003635,2025-01-17
AC000451,CUST01370,CART002129,2024-12-26
AC000452,CUST00741,CART002181,2025-03-09
AC000453,CUST00117,CART000797,2024-06-19
AC000454,CUST01854,CART002948,2025-02-15
AC000455,CUST02839,CART000138,2025-03-03
AC000456,CUST01151,CART002232,2024-06-24
AC000457,CUST01932,CART003473,2024-05-29
AC000458,CUST01013,CART001354,2024-06-27
AC000459,CUST01665,CART002833,2024-08-04
AC000460,CUST01082,CART003580,2025-05-08
AC000461,CUST00634,CART001876,2024-09-03
AC000462,CUST00513,CART003032,2024-08-03
AC000463,CUST02850,CART000069,2024-09-29
AC000464,CUST01120,CART002594,2024-12-24
AC000465,CUST01142,CART003846,2024-08-11
AC000466,CUST00560,CART002101,2024-11-07
AC000467,CUST00488,CART001474,2024-10-19
AC000468,CUST00897,CART000205,2024-08-03
AC000469,CUST01213,CART002174,2025-01-29
AC000470,CUST00704,CART003819,2025-05-12
AC000471,CUST01471,CART000043,2024-08-16
AC000472,CUST00581,CART003824,2025-03-31
AC000473,CUST02838,CART001907,2024-08-25
AC000474,CUST02909,CART002159,2024-08-13
AC000475,CUST02295,CART000761,2025-02-19
AC000476,CUST00154,CART003735,2025-05-16
AC000477,CUST01680,CART003255,2024-10-25
AC000478,CUST00997,CART002896,2024-08-06
AC000479,CUST02745,CART002143,2024-09-11
AC000480,CUST01244,CART001995,2024-11-09
AC000481,CUST01093,CART003446,2025-03-02
AC000482,CUST01009,CART001936,2024-10-08
AC000483,CUST02142,CART003592,2024-07-13
AC000484,CUST01774,CART000900,2024-06-26
AC000485,CUST00958,CART000360,2025-02-09
AC000486,CUST00453,CART002948,2024-07-26
AC000487,CUST01228,CART001720,2024-10-01
AC000488,CUST02960,CART000281,2024-12-26
AC000489,CUST02266,CART003267,2025-01-31
AC000490,CUST02522,CART001888,2024-10-01
AC000491,CUST02480,CART003267,2024-12-27
AC000492,CUST02389,CART000667,2025-04-30
AC000493,CUST00551,CART000093,2025-02-21
AC000494,CUST01636,CART000672,2024-12-10
AC000495,CUST01313,CART001970,2025-03-05
AC000496,CUST01758,CART000061,2024-10-01
AC000497,CUST00357,CART002682,2024-10-09
AC000498,CUST02071,CART003123,2024-06-15
AC000499,CUST01786,CART003475,2024-12-05
AC000500,CUST02570,CART003861,2025-02-09
