SubscriptionID,CustomerID,PlanID,StartDate,EndDate
SUB00077,CUST01054,PLAN001,2024-05-02,2024-11-25
SUB00078,CUST01564,PLAN001,2023-11-21,2024-10-12
SUB00079,CUST01412,PLAN011,2023-09-14,2024-09-11
SUB00080,CUST01604,PLAN011,2024-03-13,2024-10-11
SUB00081,CUST00357,PLAN005,2024-05-11,2025-04-26
SUB00082,CUST02594,PLAN003,2024-05-15,2025-04-10
SUB00083,CUST00459,PLAN011,2023-09-17,2024-06-21
SUB00084,CUST00471,PLAN004,2023-11-27,2024-10-04
SUB00085,CUST02915,PLAN006,2023-12-11,2024-12-15
SUB00086,CUST02987,PLAN018,2023-11-23,2025-04-30
SUB00087,CUST01739,PLAN007,2023-12-04,2025-03-30
SUB00088,CUST02621,PLAN004,2024-01-24,2024-06-15
SUB00089,CUST01142,PLAN014,2023-08-13,2024-09-26
SUB00090,CUST00308,PLAN008,2023-11-05,2024-08-18
SUB00091,CUST00564,PLAN020,2023-12-11,2024-10-15
SUB00092,CUST01039,PLAN011,2023-12-05,2025-05-19
SUB00093,CUST02472,PLAN014,2023-07-18,2024-12-10
SUB00094,CUST01120,PLAN003,2024-05-14,2024-06-07
SUB00095,CUST00610,PLAN011,2023-11-10,2024-11-17
SUB00096,CUST00055,PLAN004,2024-04-14,2025-03-18
SUB00097,CUST01302,PLAN009,2023-06-16,2024-07-01
SUB00098,CUST00413,PLAN005,2024-05-19,2024-07-13
SUB00099,CUST01495,PLAN013,2023-06-15,2024-07-28
SUB00100,CUST00038,PLAN020,2024-05-22,2024-09-12
SUB00101,CUST00770,PLAN004,2024-01-30,2025-05-20
SUB00102,CUST00183,PLAN007,2023-12-01,2025-01-12
SUB00103,CUST01237,PLAN002,2023-06-11,2025-01-11
SUB00104,CUST00126,PLAN020,2024-05-19,2025-02-12
SUB00105,CUST00140,PLAN019,2023-11-20,2024-06-16
SUB00106,CUST00621,PLAN007,2023-07-19,2025-03-29
SUB00107,CUST01545,PLAN020,2023-06-01,2024-11-20
SUB00108,CUST01487,PLAN009,2023-09-26,2024-07-09
SUB00109,CUST00032,PLAN019,2023-10-31,2025-02-04
SUB00110,CUST00235,PLAN020,2023-08-30,2024-07-25
SUB00111,CUST00073,PLAN002,2024-01-31,2025-05-14
SUB00112,CUST00472,PLAN016,2023-08-11,2024-05-28
SUB00113,CUST01672,PLAN006,2024-05-07,2024-09-28
SUB00114,CUST01790,PLAN019,2023-11-30,2025-01-29
SUB00115,CUST00628,PLAN018,2024-01-08,2025-01-24
SUB00116,CUST00668,PLAN017,2023-12-19,2024-10-12
SUB00117,CUST00594,PLAN011,2023-12-27,2024-11-17
SUB00118,CUST02667,PLAN004,2024-04-20,2025-05-09
SUB00119,CUST02340,PLAN008,2024-03-09,2025-03-14
SUB00120,CUST02677,PLAN018,2023-10-23,2024-10-09
SUB00121,CUST01957,PLAN013,2023-09-22,2024-09-29
SUB00122,CUST02261,PLAN008,2023-06-17,2025-02-18
SUB00123,CUST00167,PLAN010,2024-04-06,2025-04-02
SUB00124,CUST02450,PLAN018,2023-11-24,2024-12-12
SUB00125,CUST02839,PLAN018,2024-03-13,2024-10-12
SUB00126,CUST01904,PLAN017,2023-08-18,2024-10-09
SUB00127,CUST00969,PLAN016,2024-05-01,2024-08-08
SUB00128,CUST02028,PLAN006,2024-04-26,2024-07-23
SUB00129,CUST00179,PLAN014,2023-10-04,2024-12-21
SUB00130,CUST02219,PLAN005,2023-08-08,2024-10-15
SUB00131,CUST02022,PLAN015,2023-09-25,2024-07-01
SUB00132,CUST02052,PLAN013,2024-01-28,2025-01-13
SUB00133,CUST00336,PLAN016,2024-04-26,2024-12-11
SUB00134,CUST00195,PLAN016,2024-05-17,2025-01-05
SUB00135,CUST01992,PLAN017,2023-07-04,2025-05-07
SUB00136,CUST02941,PLAN005,2023-08-12,2025-02-15
SUB00137,CUST02818,PLAN011,2023-12-27,2024-10-25
SUB00138,CUST01368,PLAN015,2023-06-16,2024-11-21
SUB00139,CUST01232,PLAN003,2023-10-27,2024-09-17
SUB00140,CUST01960,PLAN008,2023-12-21,2024-06-14
SUB00141,CUST01527,PLAN003,2023-09-28,2024-07-01
SUB00142,CUST02178,PLAN004,2023-06-01,2025-01-06
SUB00143,CUST02033,PLAN014,2023-08-02,2024-12-25
SUB00144,CUST02834,PLAN020,2023-06-09,2024-08-30
SUB00145,CUST02535,PLAN006,2023-11-18,2024-09-16
SUB00146,CUST01696,PLAN004,2023-12-24,2025-05-09
SUB00147,CUST01801,PLAN012,2024-04-30,2025-05-09
SUB00148,CUST02371,PLAN002,2023-09-28,2025-01-22
SUB00149,CUST01784,PLAN018,2023-05-29,2024-12-10
SUB00150,CUST00024,PLAN014,2024-05-14,2024-08-07
SUB00151,CUST00377,PLAN008,2023-12-13,2024-10-04
SUB00152,CUST00779,PLAN008,2024-02-04,2024-06-09
SUB00153,CUST01180,PLAN012,2023-09-09,2024-11-02
SUB00154,CUST02141,PLAN001,2024-02-08,2024-11-19
SUB00155,CUST01897,PLAN001,2023-10-22,2025-01-24
SUB00156,CUST01774,PLAN004,2023-07-29,2024-06-14
SUB00157,CUST02169,PLAN017,2024-04-19,2025-05-05
SUB00158,CUST02500,PLAN010,2023-10-22,2024-10-06
SUB00159,CUST02650,PLAN001,2023-11-30,2025-03-28
SUB00160,CUST00900,PLAN011,2023-12-16,2024-07-14
SUB00161,CUST00587,PLAN017,2023-07-18,2025-02-21
SUB00162,CUST01055,PLAN010,2024-02-14,2025-03-01
SUB00163,CUST03000,PLAN006,2023-07-07,2024-09-18
SUB00164,CUST02755,PLAN004,2024-03-02,2024-11-13
SUB00165,CUST02649,PLAN013,2023-09-27,2025-05-25
SUB00166,CUST00610,PLAN011,2024-03-21,2025-04-19
SUB00167,CUST02177,PLAN005,2024-03-19,2025-02-21
SUB00168,CUST02501,PLAN014,2024-01-14,2025-02-14
SUB00169,CUST00807,PLAN002,2023-08-10,2024-09-07
SUB00170,CUST02484,PLAN003,2023-05-26,2025-03-22
SUB00171,CUST01631,PLAN003,2023-06-29,2025-04-05
SUB00172,CUST01700,PLAN011,2023-08-25,2024-09-15
SUB00173,CUST02555,PLAN009,2024-03-09,2024-08-12
SUB00174,CUST01987,PLAN019,2024-05-10,2024-12-24
SUB00175,CUST02700,PLAN010,2023-11-20,2024-09-13
SUB00176,CUST01352,PLAN006,2023-10-28,2025-04-12
SUB00177,CUST02955,PLAN006,2023-09-11,2025-05-17
SUB00178,CUST00109,PLAN001,2023-11-15,2024-05-29
SUB00179,CUST00526,PLAN001,2023-10-15,2024-10-10
SUB00180,CUST01499,PLAN019,2024-01-07,2024-08-08
SUB00181,CUST02002,PLAN003,2023-10-08,2025-01-06
SUB00182,CUST00950,PLAN006,2023-10-12,2024-05-29
SUB00183,CUST02440,PLAN002,2023-10-30,2024-08-15
SUB00184,CUST02721,PLAN015,2024-05-24,2024-06-23
SUB00185,CUST01668,PLAN012,2024-04-12,2024-07-18
SUB00186,CUST00852,PLAN010,2024-02-17,2024-08-31
SUB00187,CUST00606,PLAN019,2023-08-08,2024-10-18
SUB00188,CUST02395,PLAN013,2023-10-23,2024-08-06
SUB00189,CUST01625,PLAN003,2023-09-12,2025-04-01
SUB00190,CUST00822,PLAN018,2023-06-25,2025-01-11
SUB00191,CUST02766,PLAN020,2023-10-18,2024-09-28
SUB00192,CUST00307,PLAN005,2023-06-13,2024-11-09
SUB00193,CUST00910,PLAN013,2023-08-09,2024-11-15
SUB00194,CUST01058,PLAN014,2023-09-06,2024-07-18
SUB00195,CUST02217,PLAN015,2023-11-01,2025-02-18
SUB00196,CUST01369,PLAN018,2024-04-13,2025-04-25
SUB00197,CUST02580,PLAN014,2024-05-09,2024-12-07
SUB00198,CUST01643,PLAN019,2023-11-04,2024-08-28
SUB00199,CUST01672,PLAN003,2023-08-11,2025-04-29
SUB00200,CUST00538,PLAN001,2023-08-16,2024-11-11
SUB00201,CUST00928,PLAN007,2023-12-20,2025-03-24
SUB00202,CUST02738,PLAN020,2024-02-12,2025-03-30
SUB00203,CUST01105,PLAN007,2024-03-15,2025-04-13
SUB00204,CUST02737,PLAN017,2023-08-07,2024-11-20
SUB00205,CUST00705,PLAN015,2023-06-12,2024-05-28
SUB00206,CUST02239,PLAN013,2023-08-12,2024-07-16
SUB00207,CUST00283,PLAN015,2023-10-18,2025-02-04
SUB00208,CUST00971,PLAN003,2023-08-28,2024-08-23
SUB00209,CUST00489,PLAN017,2024-01-09,2025-04-21
SUB00210,CUST02854,PLAN016,2023-10-19,2024-06-25
SUB00211,CUST02090,PLAN001,2023-07-01,2025-03-23
SUB00212,CUST00170,PLAN014,2024-01-30,2025-03-26
SUB00213,CUST01593,PLAN003,2024-02-13,2025-04-30
SUB00214,CUST00868,PLAN020,2024-02-17,2024-09-25
SUB00215,CUST00566,PLAN004,2024-04-01,2024-08-29
SUB00216,CUST01418,PLAN009,2023-11-16,2024-12-06
SUB00217,CUST00385,PLAN001,2024-01-07,2024-10-02
SUB00218,CUST01912,PLAN014,2023-12-03,2024-12-15
SUB00219,CUST02646,PLAN013,2023-11-25,2024-08-22
SUB00220,CUST00081,PLAN015,2024-01-20,2025-03-04
SUB00221,CUST02828,PLAN018,2023-12-03,2024-10-03
SUB00222,CUST02509,PLAN016,2023-06-20,2024-06-25
SUB00223,CUST01562,PLAN006,2024-02-08,2025-02-27
SUB00224,CUST00238,PLAN016,2023-09-05,2024-07-24
SUB00225,CUST02347,PLAN011,2023-12-06,2025-04-16
SUB00226,CUST00737,PLAN007,2023-06-16,2024-12-31
SUB00227,CUST00840,PLAN009,2023-11-08,2024-09-29
SUB00228,CUST01933,PLAN001,2024-05-08,2024-06-18
SUB00229,CUST01464,PLAN010,2023-05-26,2024-08-14
SUB00230,CUST02577,PLAN008,2024-03-17,2024-08-17
SUB00231,CUST00088,PLAN011,2023-10-25,2025-01-18
SUB00232,CUST02072,PLAN005,2023-12-27,2025-01-09
SUB00233,CUST00332,PLAN006,2024-05-24,2025-03-05
SUB00234,CUST02512,PLAN012,2023-07-03,2024-09-03
SUB00235,CUST00189,PLAN011,2023-10-17,2025-02-20
SUB00236,CUST02270,PLAN007,2024-01-21,2024-06-26
SUB00237,CUST00353,PLAN007,2023-12-14,2024-08-10
SUB00238,CUST01112,PLAN012,2023-12-02,2025-03-22
SUB00239,CUST02270,PLAN012,2023-06-23,2025-02-18
SUB00240,CUST02536,PLAN001,2024-02-18,2025-03-24
SUB00241,CUST02032,PLAN019,2023-06-12,2024-10-15
SUB00242,CUST00860,PLAN004,2023-06-16,2024-09-30
SUB00243,CUST02927,PLAN019,2024-02-20,2025-02-09
SUB00244,CUST00167,PLAN019,2023-10-07,2025-01-30
SUB00245,CUST01730,PLAN011,2023-12-17,2025-02-17
SUB00246,CUST00101,PLAN009,2023-12-03,2025-04-08
SUB00247,CUST00525,PLAN013,2024-02-05,2024-12-05
SUB00248,CUST01171,PLAN019,2023-11-06,2024-08-16
SUB00249,CUST00488,PLAN005,2023-12-10,2024-12-11
SUB00250,CUST01545,PLAN011,2023-08-18,2025-05-18
SUB00251,CUST02129,PLAN003,2023-06-07,2025-04-26
SUB00252,CUST02628,PLAN005,2024-01-02,2025-05-16
SUB00253,CUST00822,PLAN013,2024-04-03,2024-09-10
SUB00254,CUST01150,PLAN014,2023-12-02,2024-06-20
SUB00255,CUST01606,PLAN013,2024-01-27,2024-12-12
SUB00256,CUST01975,PLAN002,2024-01-01,2024-11-23
SUB00257,CUST02934,PLAN002,2023-08-14,2025-03-29
SUB00258,CUST01706,PLAN018,2024-04-15,2024-11-24
SUB00259,CUST02650,PLAN006,2024-01-07,2024-07-05
SUB00260,CUST00072,PLAN019,2023-05-29,2024-10-21
SUB00261,CUST02293,PLAN010,2024-04-05,2025-05-11
SUB00262,CUST00579,PLAN008,2023-06-26,2025-03-25
SUB00263,CUST02690,PLAN005,2024-01-22,2024-11-21
SUB00264,CUST01234,PLAN002,2023-08-07,2025-05-11
SUB00265,CUST00194,PLAN006,2023-12-22,2024-12-30
SUB00266,CUST00538,PLAN018,2024-03-07,2025-02-01
SUB00267,CUST00332,PLAN008,2023-08-16,2024-12-27
SUB00268,CUST00293,PLAN002,2023-12-05,2024-06-10
SUB00269,CUST00730,PLAN020,2024-01-20,2024-12-14
SUB00270,CUST00036,PLAN004,2024-05-22,2024-09-18
SUB00271,CUST01552,PLAN015,2024-02-12,2024-10-21
SUB00272,CUST01102,PLAN020,2023-08-26,2025-05-06
SUB00273,CUST01671,PLAN009,2024-02-11,2025-02-27
SUB00274,CUST00245,PLAN020,2024-02-05,2024-10-07
SUB00275,CUST02102,PLAN006,2024-04-28,2024-06-02
SUB00276,CUST01117,PLAN009,2023-11-14,2024-09-03
SUB00277,CUST01850,PLAN013,2024-01-21,2024-07-04
SUB00278,CUST01400,PLAN005,2024-01-10,2024-08-21
SUB00279,CUST02224,PLAN014,2024-05-20,2024-10-22
SUB00280,CUST00190,PLAN014,2023-06-10,2025-03-26
SUB00281,CUST01782,PLAN018,2024-03-23,2025-01-26
SUB00282,CUST02855,PLAN007,2023-05-27,2025-02-03
SUB00283,CUST02012,PLAN006,2023-07-19,2024-12-26
SUB00284,CUST01216,PLAN012,2024-05-07,2024-09-18
SUB00285,CUST00616,PLAN014,2023-11-22,2025-04-29
SUB00286,CUST00068,PLAN019,2023-11-19,2024-07-19
SUB00287,CUST02372,PLAN016,2023-06-30,2024-09-29
SUB00288,CUST01179,PLAN019,2023-11-09,2025-04-13
SUB00289,CUST00454,PLAN010,2024-03-10,2024-07-17
SUB00290,CUST02274,PLAN011,2024-01-09,2024-09-03
SUB00291,CUST01532,PLAN004,2024-01-22,2024-09-26
SUB00292,CUST02152,PLAN020,2024-04-28,2024-10-25
SUB00293,CUST00466,PLAN002,2023-07-18,2024-09-26
SUB00294,CUST02476,PLAN009,2024-01-08,2024-09-07
SUB00295,CUST01776,PLAN010,2023-11-23,2024-09-14
SUB00296,CUST02490,PLAN008,2023-09-21,2025-01-11
SUB00297,CUST02772,PLAN004,2024-02-19,2025-01-08
SUB00298,CUST01150,PLAN013,2023-06-23,2024-12-29
SUB00299,CUST01060,PLAN006,2024-03-01,2025-05-08
SUB00300,CUST01266,PLAN006,2024-03-28,2024-07-08
SUB00301,CUST00133,PLAN002,2023-12-22,2025-05-05
SUB00302,CUST00892,PLAN009,2023-11-19,2024-06-26
SUB00303,CUST01251,PLAN006,2023-08-23,2024-10-24
SUB00304,CUST01427,PLAN005,2023-06-10,2025-01-31
SUB00305,CUST00396,PLAN002,2023-08-13,2024-07-14
SUB00306,CUST02138,PLAN014,2023-08-22,2024-06-25
SUB00307,CUST02303,PLAN010,2023-05-31,2024-08-27
SUB00308,CUST00083,PLAN015,2024-01-12,2025-01-14
SUB00309,CUST01524,PLAN017,2024-02-23,2024-08-14
SUB00310,CUST02699,PLAN007,2023-12-29,2025-04-17
SUB00311,CUST02580,PLAN020,2023-07-04,2024-07-20
SUB00312,CUST00841,PLAN011,2023-09-29,2024-10-25
SUB00313,CUST01108,PLAN013,2024-04-24,2025-04-05
SUB00314,CUST02075,PLAN017,2023-07-08,2024-12-09
SUB00315,CUST00379,PLAN005,2023-07-20,2025-01-07
SUB00316,CUST01925,PLAN012,2024-03-13,2025-01-07
SUB00317,CUST02441,PLAN004,2023-11-15,2024-09-01
SUB00318,CUST00217,PLAN001,2024-05-02,2024-10-21
SUB00319,CUST00381,PLAN010,2023-11-05,2024-06-07
SUB00320,CUST00637,PLAN002,2023-09-07,2025-01-08
SUB00321,CUST00800,PLAN013,2024-05-24,2025-04-05
SUB00322,CUST02556,PLAN013,2023-09-15,2024-07-25
SUB00323,CUST00283,PLAN012,2023-12-12,2024-12-06
SUB00324,CUST00214,PLAN001,2023-11-29,2025-03-08
SUB00325,CUST01180,PLAN010,2024-03-26,2025-02-01
SUB00326,CUST02047,PLAN020,2024-01-21,2025-03-15
SUB00327,CUST02578,PLAN005,2023-07-13,2024-07-26
SUB00328,CUST00855,PLAN010,2023-10-25,2025-05-06
SUB00329,CUST00617,PLAN007,2023-10-10,2024-11-11
SUB00330,CUST02089,PLAN015,2023-08-17,2024-09-20
SUB00331,CUST00519,PLAN018,2023-07-03,2024-10-11
SUB00332,CUST01029,PLAN020,2023-08-19,2024-12-24
SUB00333,CUST01045,PLAN004,2023-07-14,2025-01-24
SUB00334,CUST00646,PLAN001,2023-11-30,2024-08-19
SUB00335,CUST00941,PLAN008,2023-08-26,2025-01-29
SUB00336,CUST00242,PLAN011,2023-08-12,2025-04-27
SUB00337,CUST00931,PLAN003,2024-02-16,2024-09-30
SUB00338,CUST02154,PLAN012,2023-07-30,2025-03-22
SUB00339,CUST00343,PLAN013,2024-03-22,2024-08-15
SUB00340,CUST01667,PLAN020,2023-11-09,2024-06-20
SUB00341,CUST02465,PLAN018,2024-01-15,2025-01-03
SUB00342,CUST00038,PLAN012,2023-08-15,2024-08-08
SUB00343,CUST00336,PLAN010,2024-04-13,2025-02-01
SUB00344,CUST02521,PLAN015,2023-11-12,2025-05-19
SUB00345,CUST02161,PLAN003,2023-05-27,2025-03-07
SUB00346,CUST00251,PLAN015,2023-11-07,2025-03-22
SUB00347,CUST00912,PLAN017,2024-03-22,2024-06-02
SUB00348,CUST00264,PLAN016,2024-02-02,2025-05-02
SUB00349,CUST00899,PLAN002,2023-08-21,2025-02-26
SUB00350,CUST00581,PLAN001,2023-11-08,2025-05-04
SUB00351,CUST02432,PLAN004,2024-02-05,2024-11-25
SUB00352,CUST01791,PLAN017,2023-10-26,2024-11-01
SUB00353,CUST02835,PLAN007,2023-12-20,2025-02-13
SUB00354,CUST01415,PLAN005,2023-09-06,2025-03-15
SUB00355,CUST01010,PLAN004,2023-09-30,2025-01-11
SUB00356,CUST01622,PLAN020,2024-02-27,2024-07-06
SUB00357,CUST01754,PLAN020,2023-08-07,2025-05-25
SUB00358,CUST00562,PLAN005,2023-12-11,2024-08-14
SUB00359,CUST02521,PLAN008,2023-09-25,2025-01-17
SUB00360,CUST01158,PLAN020,2023-08-05,2024-07-05
SUB00361,CUST01413,PLAN009,2024-05-06,2024-12-29
SUB00362,CUST01766,PLAN006,2024-05-20,2025-01-04
SUB00363,CUST00061,PLAN004,2023-11-19,2025-04-10
SUB00364,CUST01766,PLAN005,2024-01-02,2024-06-04
SUB00365,CUST01375,PLAN008,2023-09-25,2024-08-20
SUB00366,CUST02966,PLAN020,2023-06-25,2024-10-24
SUB00367,CUST00657,PLAN013,2024-02-29,2024-09-06
SUB00368,CUST01978,PLAN004,2023-11-06,2025-05-15
SUB00369,CUST00169,PLAN007,2023-11-27,2025-02-25
SUB00370,CUST01046,PLAN001,2024-05-23,2024-07-15
SUB00371,CUST02858,PLAN009,2023-08-23,2024-06-07
SUB00372,CUST01103,PLAN005,2023-07-24,2025-03-23
SUB00373,CUST02350,PLAN010,2023-10-03,2025-04-24
SUB00374,CUST02736,PLAN011,2023-08-20,2024-06-16
SUB00375,CUST01907,PLAN018,2024-03-06,2024-06-24
SUB00376,CUST00387,PLAN005,2024-04-20,2024-12-21
SUB00377,CUST01613,PLAN004,2023-12-26,2025-05-13
SUB00378,CUST01566,PLAN019,2023-11-11,2025-05-25
SUB00379,CUST02377,PLAN016,2023-09-20,2024-08-01
SUB00380,CUST02508,PLAN002,2024-02-21,2024-10-01
SUB00381,CUST02201,PLAN015,2023-12-08,2025-04-20
SUB00382,CUST02773,PLAN009,2023-05-27,2025-05-02
SUB00383,CUST01715,PLAN017,2023-11-22,2025-04-07
SUB00384,CUST00807,PLAN002,2024-02-04,2025-04-14
SUB00385,CUST02535,PLAN006,2024-01-08,2024-07-13
SUB00386,CUST02643,PLAN001,2023-12-06,2024-12-15
SUB00387,CUST00641,PLAN008,2024-02-04,2024-08-13
SUB00388,CUST01830,PLAN011,2024-02-12,2024-07-14
SUB00389,CUST02996,PLAN020,2023-10-20,2024-08-26
SUB00390,CUST02239,PLAN015,2024-05-08,2025-02-03
SUB00391,CUST02100,PLAN009,2024-03-10,2025-03-02
SUB00392,CUST02643,PLAN002,2024-04-05,2025-03-07
SUB00393,CUST02389,PLAN007,2024-05-12,2024-07-07
SUB00394,CUST02573,PLAN017,2023-11-12,2025-02-12
SUB00395,CUST00017,PLAN003,2024-01-02,2024-10-08
SUB00396,CUST00242,PLAN004,2024-02-29,2025-05-24
SUB00397,CUST01694,PLAN003,2023-06-23,2025-02-18
SUB00398,CUST00651,PLAN008,2023-10-29,2025-02-24
SUB00399,CUST01435,PLAN011,2023-10-01,2024-10-11
SUB00400,CUST00294,PLAN016,2024-01-10,2025-01-18
