ReturnID,OrderID,RefundIssued,ReturnDate
RET000246,ORD001475,0,2023-09-19
RET000247,ORD015512,0,2024-06-06
RET000248,ORD002607,1,2024-10-09
RET000249,ORD006453,1,2024-11-01
RET000250,ORD017439,0,2024-01-03
RET000251,ORD001641,1,2024-04-11
RET000252,ORD017755,0,2023-12-28
RET000253,ORD015871,0,2024-04-15
RET000254,ORD001038,0,2025-04-30
RET000255,ORD010514,0,2025-02-23
RET000256,ORD009105,1,2023-07-23
RET000257,ORD013833,1,2024-11-06
RET000258,ORD005138,1,2024-07-10
RET000259,ORD011491,0,2024-09-04
RET000260,ORD014151,0,2024-12-22
RET000261,ORD001374,1,2024-06-16
RET000262,ORD019570,1,2023-07-02
RET000263,ORD007357,1,2023-07-08
RET000264,ORD016292,0,2023-08-07
RET000265,ORD011031,1,2025-01-14
RET000266,ORD015690,1,2024-11-02
RET000267,ORD018015,1,2023-12-26
RET000268,ORD005486,1,2024-11-12
RET000269,ORD009945,0,2023-09-23
RET000270,ORD006494,1,2025-01-23
RET000271,ORD010024,1,2025-01-25
RET000272,ORD005789,0,2023-12-04
RET000273,ORD015548,0,2023-12-23
RET000274,ORD007158,0,2023-07-21
RET000275,ORD005805,1,2023-07-15
RET000276,ORD009699,1,2025-05-21
RET000277,ORD006485,1,2025-01-18
RET000278,ORD001542,0,2023-07-10
RET000279,ORD014070,1,2024-02-02
RET000280,ORD003074,0,2024-10-07
RET000281,ORD003305,1,2024-09-13
RET000282,ORD012824,1,2023-08-25
RET000283,ORD014986,1,2024-06-15
RET000284,ORD001330,0,2024-07-13
RET000285,ORD017011,1,2024-04-29
RET000286,ORD012003,0,2024-01-10
RET000287,ORD008671,0,2025-03-29
RET000288,ORD010215,1,2024-05-12
RET000289,ORD004876,1,2023-07-08
RET000290,ORD000435,1,2024-01-12
RET000291,ORD010688,0,2023-11-22
RET000292,ORD015317,1,2023-10-12
RET000293,ORD015616,0,2024-03-09
RET000294,ORD009501,0,2024-06-18
RET000295,ORD017878,0,2024-11-28
RET000296,ORD000842,1,2025-02-18
RET000297,ORD004974,1,2024-04-30
RET000298,ORD005220,0,2024-06-08
RET000299,ORD000978,0,2024-06-22
RET000300,ORD005121,1,2024-07-03
RET000301,ORD018602,1,2024-07-26
RET000302,ORD000415,1,2023-11-16
RET000303,ORD019292,1,2024-05-02
RET000304,ORD006526,1,2025-04-22
RET000305,ORD001456,0,2024-02-20
RET000306,ORD008805,0,2024-04-08
RET000307,ORD004939,1,2024-06-01
RET000308,ORD008698,1,2023-11-08
RET000309,ORD012688,1,2025-04-29
RET000310,ORD007690,0,2023-08-24
RET000311,ORD008418,0,2023-06-23
RET000312,ORD016640,0,2024-03-15
RET000313,ORD010242,1,2023-09-23
RET000314,ORD017938,1,2024-06-19
RET000315,ORD002061,1,2023-10-31
RET000316,ORD013910,0,2023-12-25
RET000317,ORD009971,1,2024-07-06
RET000318,ORD018347,1,2023-11-22
RET000319,ORD000154,1,2023-09-03
RET000320,ORD007936,0,2024-10-09
RET000321,ORD008067,1,2024-12-20
RET000322,ORD015464,0,2025-05-17
RET000323,ORD002129,1,2023-09-13
RET000324,ORD001158,1,2024-08-09
RET000325,ORD016737,0,2024-12-07
RET000326,ORD011751,0,2024-11-26
RET000327,ORD010641,0,2024-06-07
RET000328,ORD004380,1,2025-02-25
RET000329,ORD011361,1,2024-04-05
RET000330,ORD013046,1,2023-12-15
RET000331,ORD007210,1,2023-11-25
RET000332,ORD014552,0,2024-07-29
RET000333,ORD012977,0,2025-01-02
RET000334,ORD006218,1,2025-05-12
RET000335,ORD014303,0,2024-11-17
RET000336,ORD000808,1,2024-07-13
RET000337,ORD002624,0,2024-05-04
RET000338,ORD000362,1,2024-04-13
RET000339,ORD014594,1,2025-02-14
RET000340,ORD017272,1,2024-12-09
RET000341,ORD019302,1,2024-02-23
RET000342,ORD005656,0,2024-03-13
RET000343,ORD016176,0,2023-09-24
RET000344,ORD016057,1,2023-12-08
RET000345,ORD018240,1,2024-03-20
RET000346,ORD002851,1,2024-08-16
RET000347,ORD004401,0,2024-02-16
RET000348,ORD016388,0,2024-02-08
RET000349,ORD002799,1,2025-05-11
RET000350,ORD007675,1,2023-10-16
RET000351,ORD019740,1,2024-03-05
RET000352,ORD018347,0,2023-08-19
RET000353,ORD008277,1,2024-07-13
RET000354,ORD012877,1,2025-02-03
RET000355,ORD010602,1,2023-06-02
RET000356,ORD003868,0,2024-08-18
RET000357,ORD008516,1,2024-07-27
RET000358,ORD006369,0,2024-09-28
RET000359,ORD004660,1,2024-08-29
RET000360,ORD007071,1,2024-05-02
RET000361,ORD019975,1,2023-12-05
RET000362,ORD000722,1,2024-09-25
RET000363,ORD019555,0,2023-08-01
RET000364,ORD016533,1,2023-09-25
RET000365,ORD002935,0,2025-05-07
RET000366,ORD006683,1,2024-07-24
RET000367,ORD011637,0,2023-07-02
RET000368,ORD013768,1,2025-05-20
RET000369,ORD011348,1,2024-05-20
RET000370,ORD000779,0,2024-07-31
RET000371,ORD019861,1,2024-02-10
RET000372,ORD001125,1,2025-03-04
RET000373,ORD011132,1,2025-03-16
RET000374,ORD008131,0,2023-12-15
RET000375,ORD000906,1,2024-04-27
RET000376,ORD015901,0,2024-02-08
RET000377,ORD002326,1,2024-12-28
RET000378,ORD011725,1,2024-03-02
RET000379,ORD016036,1,2024-07-23
RET000380,ORD010570,0,2023-07-15
RET000381,ORD005749,1,2024-06-16
RET000382,ORD004698,0,2023-12-16
RET000383,ORD011414,0,2023-07-16
RET000384,ORD001306,1,2024-07-26
RET000385,ORD005578,1,2023-11-06
RET000386,ORD004696,1,2024-05-08
RET000387,ORD014700,1,2024-01-09
RET000388,ORD001473,0,2023-11-06
RET000389,ORD016643,0,2023-06-04
RET000390,ORD016747,0,2023-11-28
RET000391,ORD007469,0,2025-05-14
RET000392,ORD018853,0,2024-07-04
RET000393,ORD019006,0,2023-07-07
RET000394,ORD010222,1,2023-12-27
RET000395,ORD010720,0,2024-08-20
RET000396,ORD015866,0,2024-07-15
RET000397,ORD011610,0,2024-10-16
RET000398,ORD003835,1,2024-12-24
RET000399,ORD007759,0,2025-05-21
RET000400,ORD007195,1,2025-01-18
RET000401,ORD000281,0,2023-07-17
RET000402,ORD012008,0,2024-06-26
RET000403,ORD014136,1,2023-10-09
RET000404,ORD019766,0,2025-05-02
RET000405,ORD001429,0,2024-11-11
RET000406,ORD000528,0,2024-02-01
RET000407,ORD012657,1,2023-08-24
RET000408,ORD014381,1,2024-01-23
RET000409,ORD015533,1,2024-08-31
RET000410,ORD001061,0,2023-11-03
RET000411,ORD011794,1,2023-07-26
RET000412,ORD015908,0,2024-02-05
RET000413,ORD008503,0,2024-08-12
RET000414,ORD014671,0,2025-01-19
RET000415,ORD017585,1,2024-06-23
RET000416,ORD014922,1,2025-05-15
RET000417,ORD010106,0,2024-06-24
RET000418,ORD007879,1,2025-02-04
RET000419,ORD000454,1,2024-01-15
RET000420,ORD001443,0,2025-01-05
RET000421,ORD007311,1,2023-07-07
RET000422,ORD017504,1,2024-12-02
RET000423,ORD000510,1,2025-05-05
RET000424,ORD015380,1,2023-12-16
RET000425,ORD003589,0,2024-05-16
RET000426,ORD016598,1,2023-10-01
RET000427,ORD012296,1,2024-03-11
RET000428,ORD019378,0,2023-07-10
RET000429,ORD014680,0,2023-10-21
RET000430,ORD015009,0,2023-09-12
RET000431,ORD003081,1,2023-07-27
RET000432,ORD002883,1,2025-04-03
RET000433,ORD007563,0,2023-11-12
RET000434,ORD012387,1,2025-02-05
RET000435,ORD005492,1,2024-10-28
RET000436,ORD016629,0,2023-11-27
RET000437,ORD010707,0,2024-09-29
RET000438,ORD019488,0,2024-03-04
RET000439,ORD000974,1,2025-03-31
RET000440,ORD009379,0,2024-11-28
RET000441,ORD000682,0,2024-04-20
RET000442,ORD017644,1,2025-03-11
RET000443,ORD006503,0,2023-12-03
RET000444,ORD006261,1,2025-04-11
RET000445,ORD006553,1,2023-07-18
RET000446,ORD019862,1,2023-08-13
RET000447,ORD002150,0,2023-09-14
RET000448,ORD015429,0,2023-08-27
RET000449,ORD006970,0,2023-08-02
RET000450,ORD010703,1,2024-01-24
RET000451,ORD004772,0,2024-02-11
RET000452,ORD001030,1,2024-12-19
RET000453,ORD017462,1,2024-06-06
RET000454,ORD019030,1,2024-12-19
RET000455,ORD008421,0,2025-03-13
RET000456,ORD007348,0,2023-07-08
RET000457,ORD010242,0,2025-04-08
RET000458,ORD002429,1,2024-11-23
RET000459,ORD008543,0,2024-09-27
RET000460,ORD002864,0,2024-12-04
RET000461,ORD015475,1,2025-02-12
RET000462,ORD000263,1,2025-02-12
RET000463,ORD001029,1,2024-03-07
RET000464,ORD000842,0,2024-08-10
RET000465,ORD006651,0,2025-03-22
RET000466,ORD013285,1,2024-02-22
RET000467,ORD012317,0,2024-12-08
RET000468,ORD005922,1,2025-01-15
RET000469,ORD011343,0,2024-02-12
RET000470,ORD000079,1,2024-11-20
RET000471,ORD004463,0,2024-02-03
RET000472,ORD009272,1,2024-04-08
RET000473,ORD005028,1,2024-11-08
RET000474,ORD014752,1,2023-05-28
RET000475,ORD014637,0,2024-03-26
RET000476,ORD003585,0,2024-12-29
RET000477,ORD007490,1,2024-12-24
RET000478,ORD011574,1,2024-03-12
RET000479,ORD013040,1,2023-07-15
RET000480,ORD010591,0,2023-12-23
RET000481,ORD015092,1,2025-03-30
RET000482,ORD015911,0,2024-12-14
RET000483,ORD019346,1,2025-05-17
RET000484,ORD008756,1,2024-10-15
RET000485,ORD017086,0,2024-04-30
RET000486,ORD014825,1,2024-02-04
RET000487,ORD007735,1,2024-11-30
RET000488,ORD009147,0,2024-03-03
RET000489,ORD000023,1,2024-12-14
RET000490,ORD002259,1,2023-12-18
RET000491,ORD014388,0,2024-06-12
RET000492,ORD014263,1,2024-02-04
RET000493,ORD012107,0,2024-11-22
RET000494,ORD004836,1,2025-04-07
RET000495,ORD001088,1,2024-12-13
RET000496,ORD006828,1,2025-01-08
RET000497,ORD005490,1,2024-06-26
RET000498,ORD019971,0,2024-11-11
RET000499,ORD016273,1,2024-08-15
RET000500,ORD017425,1,2024-01-11
RET000501,ORD002488,1,2023-08-20
RET000502,ORD008653,1,2023-09-15
RET000503,ORD016928,1,2023-05-30
RET000504,ORD008809,0,2024-02-25
RET000505,ORD007242,0,2024-12-27
RET000506,ORD004139,0,2023-08-07
RET000507,ORD012677,0,2024-03-10
RET000508,ORD013747,0,2025-02-19
RET000509,ORD019966,0,2024-11-03
RET000510,ORD014713,0,2025-03-10
RET000511,ORD004982,0,2023-10-06
RET000512,ORD019591,0,2025-05-06
RET000513,ORD010700,1,2023-12-16
RET000514,ORD001905,1,2023-12-02
RET000515,ORD006061,0,2024-08-30
RET000516,ORD011612,0,2024-05-07
RET000517,ORD000869,1,2023-07-28
RET000518,ORD003091,0,2023-05-28
RET000519,ORD007595,1,2024-10-19
RET000520,ORD004473,1,2024-04-08
RET000521,ORD018467,0,2024-06-01
RET000522,ORD016308,1,2025-01-26
RET000523,ORD004006,1,2024-06-15
RET000524,ORD001357,0,2023-06-16
RET000525,ORD003679,1,2024-01-02
RET000526,ORD012320,0,2024-10-22
RET000527,ORD011366,0,2025-04-24
RET000528,ORD001106,1,2025-05-22
RET000529,ORD004238,1,2025-04-15
RET000530,ORD016409,0,2025-05-24
RET000531,ORD004576,0,2024-02-23
RET000532,ORD001387,0,2024-02-26
RET000533,ORD009564,1,2024-12-25
RET000534,ORD010516,0,2023-07-13
RET000535,ORD011793,0,2024-03-13
RET000536,ORD018092,1,2024-07-07
RET000537,ORD002087,0,2023-07-24
RET000538,ORD002818,1,2024-09-28
RET000539,ORD006056,1,2024-04-27
RET000540,ORD000426,0,2023-08-08
RET000541,ORD002461,1,2023-05-28
RET000542,ORD015786,1,2025-01-23
RET000543,ORD017562,0,2023-09-02
RET000544,ORD014523,0,2024-04-30
RET000545,ORD001814,1,2024-06-08
RET000546,ORD003948,0,2024-03-17
RET000547,ORD002069,0,2024-08-02
RET000548,ORD008501,0,2024-02-07
RET000549,ORD007158,0,2023-06-18
RET000550,ORD016157,1,2023-08-01
RET000551,ORD010340,0,2024-11-20
RET000552,ORD016860,1,2023-06-06
RET000553,ORD013053,1,2024-07-04
RET000554,ORD000963,1,2024-12-03
RET000555,ORD014343,0,2024-04-13
RET000556,ORD004944,1,2024-01-07
RET000557,ORD009814,1,2025-03-19
RET000558,ORD009575,1,2024-12-18
RET000559,ORD009961,1,2024-12-03
RET000560,ORD018229,1,2024-11-01
RET000561,ORD019270,0,2024-08-04
RET000562,ORD001202,0,2025-02-09
RET000563,ORD002059,0,2023-09-22
RET000564,ORD016694,0,2025-05-02
RET000565,ORD015440,0,2023-11-20
RET000566,ORD000571,0,2024-05-14
RET000567,ORD003203,0,2024-01-11
RET000568,ORD003763,0,2023-10-21
RET000569,ORD014988,1,2024-05-14
RET000570,ORD005720,1,2024-09-15
RET000571,ORD015558,0,2024-03-06
RET000572,ORD009808,1,2023-07-24
RET000573,ORD016463,1,2024-02-23
RET000574,ORD012275,0,2023-06-29
RET000575,ORD012718,1,2024-06-28
RET000576,ORD015925,0,2024-05-28
RET000577,ORD008187,0,2023-09-20
RET000578,ORD004273,1,2024-03-01
RET000579,ORD010609,1,2024-03-03
RET000580,ORD015738,0,2023-07-01
RET000581,ORD008606,1,2024-05-04
RET000582,ORD019344,1,2024-01-24
RET000583,ORD012727,1,2023-07-13
RET000584,ORD003615,1,2024-03-03
RET000585,ORD004863,0,2023-06-11
RET000586,ORD003727,1,2024-01-21
RET000587,ORD013352,1,2024-06-03
RET000588,ORD019841,1,2024-04-09
RET000589,ORD015285,0,2023-12-27
RET000590,ORD008239,0,2025-04-09
RET000591,ORD019679,0,2024-09-04
RET000592,ORD000842,0,2024-03-16
RET000593,ORD019183,1,2023-11-17
RET000594,ORD019306,1,2025-01-29
RET000595,ORD014762,0,2025-01-21
RET000596,ORD009577,1,2024-04-04
RET000597,ORD005266,1,2024-11-20
RET000598,ORD019966,1,2023-12-20
RET000599,ORD012183,1,2024-07-25
RET000600,ORD013495,1,2024-10-11
RET000601,ORD013355,0,2024-08-05
RET000602,ORD012463,1,2025-05-02
RET000603,ORD002257,0,2023-10-12
RET000604,ORD011950,0,2024-01-08
RET000605,ORD012844,1,2024-04-14
RET000606,ORD000834,1,2024-12-26
RET000607,ORD005351,1,2023-10-20
RET000608,ORD013740,1,2023-09-29
RET000609,ORD008978,0,2023-07-20
RET000610,ORD002640,1,2025-02-24
RET000611,ORD006718,1,2024-10-18
RET000612,ORD013214,0,2024-10-05
RET000613,ORD012516,0,2024-08-04
RET000614,ORD002313,0,2023-12-08
RET000615,ORD005035,0,2025-04-13
RET000616,ORD012242,0,2024-10-03
RET000617,ORD017206,1,2024-04-27
RET000618,ORD014182,1,2025-02-05
RET000619,ORD005976,0,2025-05-16
RET000620,ORD010614,1,2024-06-04
RET000621,ORD018858,1,2023-12-23
RET000622,ORD012135,1,2023-12-09
RET000623,ORD004468,0,2024-02-02
RET000624,ORD001677,1,2024-06-15
RET000625,ORD012580,1,2023-09-30
RET000626,ORD000337,1,2023-08-09
RET000627,ORD009117,1,2025-04-30
RET000628,ORD002074,0,2024-08-12
RET000629,ORD016035,0,2024-06-19
RET000630,ORD001195,1,2024-01-30
RET000631,ORD004694,0,2023-12-28
RET000632,ORD002956,1,2023-08-27
RET000633,ORD002472,0,2024-08-23
RET000634,ORD006726,1,2024-12-26
RET000635,ORD014023,1,2024-01-06
RET000636,ORD000783,1,2024-04-13
RET000637,ORD019690,0,2024-08-29
RET000638,ORD007403,0,2024-10-29
RET000639,ORD014138,0,2025-01-13
RET000640,ORD010633,0,2024-03-31
RET000641,ORD005520,0,2025-04-07
RET000642,ORD017222,0,2023-06-14
RET000643,ORD006196,0,2023-09-15
RET000644,ORD015364,1,2023-08-19
RET000645,ORD018937,1,2024-10-16
RET000646,ORD001399,0,2024-08-04
RET000647,ORD015757,0,2023-10-24
RET000648,ORD014486,0,2023-07-15
RET000649,ORD015511,1,2023-11-09
RET000650,ORD001812,0,2025-01-23
RET000651,ORD012725,1,2024-07-11
RET000652,ORD004753,0,2023-10-19
RET000653,ORD004814,0,2023-10-29
RET000654,ORD010025,0,2024-06-02
RET000655,ORD007309,0,2024-08-02
RET000656,ORD003597,0,2025-01-09
RET000657,ORD005580,1,2023-07-26
RET000658,ORD018717,1,2023-06-04
RET000659,ORD018158,1,2025-02-28
RET000660,ORD016428,1,2025-03-13
RET000661,ORD006129,0,2025-01-12
RET000662,ORD000587,0,2024-03-20
RET000663,ORD003378,1,2024-09-04
RET000664,ORD006463,1,2023-06-25
RET000665,ORD005146,0,2024-11-08
RET000666,ORD011800,0,2023-09-07
RET000667,ORD008791,0,2024-11-09
RET000668,ORD011493,0,2024-07-31
RET000669,ORD013738,0,2023-08-26
RET000670,ORD011287,0,2023-06-07
RET000671,ORD014670,0,2024-11-08
RET000672,ORD001380,0,2024-05-21
RET000673,ORD000074,0,2025-01-07
RET000674,ORD002354,0,2024-03-08
RET000675,ORD004012,0,2023-10-23
RET000676,ORD007268,0,2025-01-15
RET000677,ORD016499,1,2025-02-25
RET000678,ORD017352,0,2023-05-31
RET000679,ORD002551,1,2024-02-27
RET000680,ORD014636,1,2024-04-28
RET000681,ORD019628,0,2023-10-31
RET000682,ORD014175,1,2024-02-29
RET000683,ORD014513,1,2025-04-21
RET000684,ORD006878,1,2023-07-10
RET000685,ORD013536,1,2023-08-28
RET000686,ORD019955,0,2024-12-22
RET000687,ORD011836,1,2024-11-05
RET000688,ORD000689,1,2023-07-08
RET000689,ORD002109,0,2024-02-02
RET000690,ORD012877,1,2024-08-11
RET000691,ORD001266,1,2023-06-23
RET000692,ORD007605,0,2024-07-14
RET000693,ORD010917,0,2025-04-02
RET000694,ORD010244,0,2024-07-24
RET000695,ORD015105,1,2023-08-27
RET000696,ORD018822,1,2024-05-03
RET000697,ORD015449,1,2023-10-13
