CustomerAlignedID,CustomerID,AlignedGroup
CA000183,CUST02986,Your
CA000184,CUST01421,Actually
CA000185,CUST00866,Once
CA000186,CUST02154,Camera
CA000187,CUST01109,Lawyer
CA000188,CUST00214,Order
CA000189,CUST02898,Positive
CA000190,CUST02245,Anyone
CA000191,CUST00019,Fine
CA000192,CUST00642,Design
CA000193,CUST01105,Happen
CA000194,CUST00330,Report
CA000195,CUST00866,Soldier
CA000196,CUST00774,Reach
CA000197,CUST00392,Able
CA000198,CUST00637,Increase
CA000199,CUST02355,Maybe
CA000200,CUST02943,By
CA000201,CUST02700,Throw
CA000202,CUST02889,Size
CA000203,CUST01026,Similar
CA000204,CUST02568,One
CA000205,CUST01675,Lead
CA000206,CUST02684,Natural
CA000207,CUST00740,Trip
CA000208,CUST01546,Show
CA000209,CUST00469,Read
CA000210,CUST02260,Adult
CA000211,CUST01136,Mrs
CA000212,CUST01032,Lose
CA000213,CUST02852,Believe
CA000214,CUST02525,She
CA000215,CUST00874,Play
CA000216,CUST00460,Society
CA000217,CUST02301,Seek
CA000218,CUST01550,Single
CA000219,CUST00752,Line
CA000220,CUST01462,Trip
CA000221,CUST01778,Never
CA000222,CUST00854,Thus
CA000223,CUST02284,Short
CA000224,CUST01330,Teacher
CA000225,CUST00478,Million
CA000226,CUST02727,Set
CA000227,CUST02264,Response
CA000228,CUST02903,News
CA000229,CUST00135,Effect
CA000230,CUST02953,New
CA000231,CUST01153,Listen
CA000232,CUST00410,Necessary
CA000233,CUST01446,Article
CA000234,CUST01318,Film
CA000235,CUST01270,Southern
CA000236,CUST01580,Floor
CA000237,CUST00086,Nice
CA000238,CUST02604,Design
CA000239,CUST01866,Nice
CA000240,CUST01470,Join
CA000241,CUST00378,Force
CA000242,CUST01681,Likely
CA000243,CUST01075,Year
CA000244,CUST00242,Clearly
CA000245,CUST00920,Street
CA000246,CUST01587,Join
CA000247,CUST02314,Choice
CA000248,CUST02760,Send
CA000249,CUST01272,Hot
CA000250,CUST00070,Relate
CA000251,CUST02105,Manage
CA000252,CUST01406,Political
CA000253,CUST02087,Degree
CA000254,CUST02008,Produce
CA000255,CUST00801,Practice
CA000256,CUST01042,Method
CA000257,CUST02780,Forward
CA000258,CUST00825,Such
CA000259,CUST00756,Break
CA000260,CUST02400,Ever
CA000261,CUST01996,Must
CA000262,CUST01840,Case
CA000263,CUST01322,His
CA000264,CUST02331,Dog
CA000265,CUST01610,Management
CA000266,CUST00110,Song
CA000267,CUST01017,Begin
CA000268,CUST01962,People
CA000269,CUST02592,What
CA000270,CUST01770,Each
CA000271,CUST00025,Wife
CA000272,CUST00843,Dinner
CA000273,CUST02839,Box
CA000274,CUST00738,Conference
CA000275,CUST02105,Smile
CA000276,CUST00180,Various
CA000277,CUST00232,Why
CA000278,CUST01918,Meet
CA000279,CUST00343,Firm
CA000280,CUST00477,Its
CA000281,CUST01823,Even
CA000282,CUST02624,Fall
CA000283,CUST00455,Start
CA000284,CUST01256,Unit
CA000285,CUST00289,Because
CA000286,CUST01237,Try
CA000287,CUST02306,Consumer
CA000288,CUST00530,Each
CA000289,CUST02735,This
CA000290,CUST02977,Career
CA000291,CUST02277,Without
CA000292,CUST00596,Century
CA000293,CUST00435,Spend
CA000294,CUST00882,Operation
CA000295,CUST01782,Week
CA000296,CUST00402,Value
CA000297,CUST02670,Than
CA000298,CUST02136,Require
CA000299,CUST02632,Effort
CA000300,CUST01566,East
CA000301,CUST00309,Also
CA000302,CUST02954,Hotel
CA000303,CUST00343,Few
CA000304,CUST00436,Third
CA000305,CUST00177,Crime
CA000306,CUST00139,Expect
CA000307,CUST00194,Popular
CA000308,CUST01185,Image
CA000309,CUST00943,Throw
CA000310,CUST00525,Both
CA000311,CUST01625,Here
CA000312,CUST02963,It
CA000313,CUST02258,Return
CA000314,CUST00741,Than
CA000315,CUST00862,Hospital
CA000316,CUST00954,Young
CA000317,CUST01303,Forward
CA000318,CUST01275,Though
CA000319,CUST01744,Role
CA000320,CUST02881,Finish
CA000321,CUST02188,Now
CA000322,CUST00792,North
CA000323,CUST00546,Hundred
CA000324,CUST01845,Worry
CA000325,CUST01017,Recent
CA000326,CUST01928,Important
CA000327,CUST01554,Often
CA000328,CUST00057,Hot
CA000329,CUST02160,Human
CA000330,CUST00005,Ago
CA000331,CUST01438,Give
CA000332,CUST01363,Station
CA000333,CUST01821,Public
CA000334,CUST01283,Prevent
CA000335,CUST02138,Goal
CA000336,CUST02664,Attack
CA000337,CUST02939,Democrat
CA000338,CUST02746,Which
CA000339,CUST01274,Data
CA000340,CUST02946,Use
CA000341,CUST01132,Particularly
CA000342,CUST00668,Every
CA000343,CUST02642,Accept
CA000344,CUST02637,Listen
CA000345,CUST02533,Happy
CA000346,CUST01282,Dream
CA000347,CUST02687,Bad
CA000348,CUST00997,Store
CA000349,CUST01927,Amount
CA000350,CUST00282,Especially
CA000351,CUST01228,How
CA000352,CUST02064,Lot
CA000353,CUST00936,Various
CA000354,CUST00254,He
CA000355,CUST01212,Fish
CA000356,CUST00329,Eight
CA000357,CUST02592,Hope
CA000358,CUST02831,Section
CA000359,CUST01421,Century
CA000360,CUST01541,Least
CA000361,CUST02893,Job
CA000362,CUST01193,Find
CA000363,CUST01717,Budget
CA000364,CUST02414,Treat
CA000365,CUST01202,Good
CA000366,CUST00655,Nothing
CA000367,CUST01386,Wide
CA000368,CUST00760,Boy
CA000369,CUST02687,Network
CA000370,CUST01799,Nor
CA000371,CUST01064,Language
CA000372,CUST02972,Benefit
CA000373,CUST00416,Billion
CA000374,CUST00255,Around
CA000375,CUST01167,Mind
CA000376,CUST01877,Indicate
CA000377,CUST02758,Would
CA000378,CUST02625,Political
CA000379,CUST00900,Line
CA000380,CUST02059,Note
CA000381,CUST00026,Smile
CA000382,CUST00421,Want
CA000383,CUST01245,Writer
CA000384,CUST01877,Full
CA000385,CUST02544,Professional
CA000386,CUST01261,News
CA000387,CUST02285,Expert
CA000388,CUST01009,Nice
CA000389,CUST00219,Lose
CA000390,CUST01511,True
CA000391,CUST01960,Report
CA000392,CUST02509,Chance
CA000393,CUST00663,Tax
CA000394,CUST02683,Pressure
CA000395,CUST00990,Fly
CA000396,CUST00189,Too
CA000397,CUST00255,Control
CA000398,CUST00068,Unit
CA000399,CUST00616,Different
CA000400,CUST02384,Second
CA000401,CUST02719,More
CA000402,CUST02869,Page
CA000403,CUST00874,Fish
CA000404,CUST02348,Former
CA000405,CUST01626,Over
CA000406,CUST00357,Boy
CA000407,CUST00256,Election
CA000408,CUST01008,Spring
CA000409,CUST02401,Shoulder
CA000410,CUST01756,Soon
CA000411,CUST02572,Effect
CA000412,CUST02998,Meet
CA000413,CUST02804,Statement
CA000414,CUST00284,Foot
CA000415,CUST00099,Gun
CA000416,CUST00197,Son
CA000417,CUST02530,Agent
CA000418,CUST00878,Along
CA000419,CUST01869,Finish
CA000420,CUST02663,Fast
CA000421,CUST02666,Bring
CA000422,CUST01389,Officer
CA000423,CUST02416,West
CA000424,CUST00570,Play
CA000425,CUST02638,Experience
CA000426,CUST01066,System
CA000427,CUST00422,Environment
CA000428,CUST02884,Rather
CA000429,CUST01205,Technology
CA000430,CUST00545,Surface
CA000431,CUST00071,Skill
CA000432,CUST01224,Enjoy
CA000433,CUST00768,Group
CA000434,CUST02355,Week
CA000435,CUST01707,Clear
CA000436,CUST02425,Ball
CA000437,CUST00655,Last
CA000438,CUST02726,Our
CA000439,CUST02447,Allow
CA000440,CUST01797,Suffer
CA000441,CUST00221,Win
CA000442,CUST00182,Pm
CA000443,CUST00307,Amount
CA000444,CUST02570,Stock
CA000445,CUST01420,Hand
CA000446,CUST01014,By
CA000447,CUST02052,Recent
CA000448,CUST02911,Although
CA000449,CUST00848,Culture
CA000450,CUST00804,Discover
CA000451,CUST00215,Old
CA000452,CUST01444,Race
CA000453,CUST00101,Church
CA000454,CUST00573,Pretty
CA000455,CUST01333,Including
CA000456,CUST00658,Son
CA000457,CUST02987,Itself
CA000458,CUST01534,Civil
CA000459,CUST01657,Heavy
CA000460,CUST00226,Federal
CA000461,CUST00105,Fund
CA000462,CUST01998,Method
CA000463,CUST00772,Black
CA000464,CUST00429,Hard
CA000465,CUST00434,Describe
CA000466,CUST01231,Military
CA000467,CUST02730,Something
CA000468,CUST02636,Money
CA000469,CUST00866,Conference
CA000470,CUST02794,New
CA000471,CUST02912,Feel
CA000472,CUST02416,Visit
CA000473,CUST00251,Technology
CA000474,CUST02907,Phone
CA000475,CUST00856,About
CA000476,CUST01194,Partner
CA000477,CUST00561,Sort
CA000478,CUST01470,Where
CA000479,CUST02342,Tv
CA000480,CUST00919,There
CA000481,CUST01174,Send
CA000482,CUST00433,Issue
CA000483,CUST02107,Create
CA000484,CUST00969,Film
CA000485,CUST00836,Situation
CA000486,CUST02247,Per
CA000487,CUST02263,Difference
CA000488,CUST00898,Matter
CA000489,CUST00472,Plan
CA000490,CUST00247,Source
CA000491,CUST02430,Tell
CA000492,CUST00991,Dark
CA000493,CUST00927,During
CA000494,CUST01192,Science
CA000495,CUST02608,Discover
CA000496,CUST01075,Want
CA000497,CUST01835,Might
CA000498,CUST00689,Adult
CA000499,CUST02428,Standard
CA000500,CUST02522,Off
