AffiliateReferralID,CustomerID,AffiliateCode,ReferralDate
AR000222,CUST01200,AFF-40674,2024-11-13
AR000223,CUST01626,AFF-38667,2024-08-27
AR000224,CUST00914,AFF-47846,2025-02-20
AR000225,CUST00454,AFF-49842,2025-03-31
AR000226,CUST00037,AFF-54827,2025-05-15
AR000227,CUST01712,AFF-39844,2024-10-31
AR000228,CUST00796,AFF-60836,2024-08-16
AR000229,CUST00973,AFF-43639,2024-06-02
AR000230,CUST00593,AFF-83640,2024-08-09
AR000231,CUST01138,AFF-31229,2024-07-26
AR000232,CUST01325,AFF-41661,2025-05-04
AR000233,CUST02272,AFF-80973,2025-05-18
AR000234,CUST00318,AFF-40447,2024-10-05
AR000235,CUST02397,AFF-52492,2024-06-16
AR000236,CUST02163,AFF-03147,2025-03-02
AR000237,CUST02746,AFF-13844,2024-09-23
AR000238,CUST01347,AFF-57235,2025-03-22
AR000239,CUST01592,AFF-24068,2024-08-15
AR000240,CUST01890,AFF-72865,2025-04-23
AR000241,CUST02088,AFF-04541,2024-06-08
AR000242,CUST01997,AFF-22411,2025-01-09
AR000243,CUST01773,AFF-24290,2024-10-02
AR000244,CUST01313,AFF-13893,2025-05-16
AR000245,CUST01286,AFF-75934,2024-08-21
AR000246,CUST00216,AFF-16999,2024-12-28
AR000247,CUST02384,AFF-87710,2025-05-19
AR000248,CUST02140,AFF-91397,2025-03-06
AR000249,CUST02401,AFF-08453,2025-05-21
AR000250,CUST02619,AFF-37643,2024-09-14
AR000251,CUST02864,AFF-79293,2024-06-23
AR000252,CUST01705,AFF-75452,2024-08-10
AR000253,CUST02829,AFF-96611,2024-06-18
AR000254,CUST00363,AFF-32759,2024-06-04
AR000255,CUST02605,AFF-51635,2025-04-04
AR000256,CUST01717,AFF-41519,2024-08-03
AR000257,CUST01194,AFF-53570,2024-11-19
AR000258,CUST00356,AFF-04993,2024-11-01
AR000259,CUST00191,AFF-68611,2024-12-21
AR000260,CUST02470,AFF-73390,2024-07-21
AR000261,CUST00700,AFF-25828,2024-05-30
AR000262,CUST02055,AFF-28803,2025-02-08
AR000263,CUST02181,AFF-15304,2025-04-26
AR000264,CUST00557,AFF-31383,2025-02-23
AR000265,CUST00826,AFF-49372,2024-12-31
AR000266,CUST02809,AFF-40215,2024-09-04
AR000267,CUST01055,AFF-25639,2024-10-29
AR000268,CUST02583,AFF-64156,2025-01-07
AR000269,CUST00426,AFF-62879,2024-11-02
AR000270,CUST02720,AFF-50755,2024-11-26
AR000271,CUST02411,AFF-50119,2025-03-09
AR000272,CUST01575,AFF-11257,2025-02-27
AR000273,CUST02130,AFF-88692,2024-07-23
AR000274,CUST02404,AFF-22143,2025-03-11
AR000275,CUST00589,AFF-16534,2024-06-07
AR000276,CUST02013,AFF-49889,2024-12-16
AR000277,CUST01548,AFF-77245,2024-10-13
AR000278,CUST00295,AFF-58041,2024-07-04
AR000279,CUST01986,AFF-89808,2024-09-25
AR000280,CUST01248,AFF-75641,2024-07-30
AR000281,CUST01549,AFF-93089,2024-07-18
AR000282,CUST01691,AFF-10801,2025-05-20
AR000283,CUST01137,AFF-93598,2024-08-29
AR000284,CUST01257,AFF-75434,2025-05-19
AR000285,CUST02065,AFF-48877,2024-08-21
AR000286,CUST00360,AFF-23490,2025-02-05
AR000287,CUST02914,AFF-60914,2024-12-29
AR000288,CUST00700,AFF-53003,2025-01-16
AR000289,CUST00448,AFF-58823,2024-08-30
AR000290,CUST02904,AFF-36906,2024-07-11
AR000291,CUST02413,AFF-85386,2024-11-09
AR000292,CUST00675,AFF-60442,2024-12-18
AR000293,CUST01008,AFF-19232,2024-12-04
AR000294,CUST01350,AFF-88128,2024-06-25
AR000295,CUST02515,AFF-43282,2025-05-07
AR000296,CUST02462,AFF-71121,2025-05-04
AR000297,CUST00586,AFF-68887,2024-12-19
AR000298,CUST01257,AFF-66379,2024-07-01
AR000299,CUST01248,AFF-66788,2024-06-11
AR000300,CUST00994,AFF-36318,2025-02-09
AR000301,CUST01436,AFF-46459,2024-11-30
AR000302,CUST00572,AFF-87845,2025-02-11
AR000303,CUST02383,AFF-53706,2025-02-17
AR000304,CUST01246,AFF-50409,2024-07-21
AR000305,CUST02085,AFF-39479,2025-04-24
AR000306,CUST00989,AFF-54653,2024-07-01
AR000307,CUST00278,AFF-32119,2024-08-26
AR000308,CUST01220,AFF-34988,2025-01-28
AR000309,CUST02964,AFF-23291,2025-04-12
AR000310,CUST01888,AFF-58689,2024-11-24
AR000311,CUST00484,AFF-74991,2025-04-10
AR000312,CUST01266,AFF-72985,2024-08-30
AR000313,CUST00731,AFF-39366,2024-07-04
AR000314,CUST02240,AFF-96207,2024-08-26
AR000315,CUST01041,AFF-15749,2024-07-04
AR000316,CUST02572,AFF-23168,2024-10-08
AR000317,CUST00918,AFF-81170,2024-11-21
AR000318,CUST02449,AFF-35557,2024-11-05
AR000319,CUST00886,AFF-98887,2024-07-29
AR000320,CUST02753,AFF-38159,2025-03-27
AR000321,CUST00022,AFF-66105,2025-01-30
AR000322,CUST00474,AFF-49636,2024-05-30
AR000323,CUST02258,AFF-97759,2025-05-04
AR000324,CUST02354,AFF-74940,2025-05-13
AR000325,CUST00704,AFF-94096,2025-04-18
AR000326,CUST00687,AFF-93580,2024-12-21
AR000327,CUST00285,AFF-70712,2024-09-27
AR000328,CUST00716,AFF-06096,2024-12-14
AR000329,CUST00763,AFF-43641,2024-06-11
AR000330,CUST01251,AFF-67330,2024-09-17
AR000331,CUST00948,AFF-35745,2025-04-07
AR000332,CUST02429,AFF-28849,2024-06-20
AR000333,CUST02508,AFF-56114,2024-07-01
AR000334,CUST01031,AFF-48025,2024-05-26
AR000335,CUST00029,AFF-29257,2024-06-26
AR000336,CUST00907,AFF-87752,2024-11-05
AR000337,CUST02927,AFF-00147,2025-05-10
AR000338,CUST02127,AFF-73854,2024-11-16
AR000339,CUST02995,AFF-18957,2024-06-07
AR000340,CUST02507,AFF-13496,2024-06-03
AR000341,CUST00570,AFF-50920,2025-04-12
AR000342,CUST02007,AFF-34334,2025-03-23
AR000343,CUST01454,AFF-99677,2024-05-26
AR000344,CUST00738,AFF-31955,2024-11-23
AR000345,CUST00516,AFF-34739,2024-11-29
AR000346,CUST02001,AFF-75875,2025-01-25
AR000347,CUST02445,AFF-67531,2024-11-16
AR000348,CUST00039,AFF-03178,2025-02-21
AR000349,CUST00887,AFF-78903,2024-12-01
AR000350,CUST02845,AFF-08409,2025-03-03
AR000351,CUST02205,AFF-52472,2025-04-29
AR000352,CUST01099,AFF-39646,2024-12-24
AR000353,CUST02932,AFF-20757,2025-03-22
AR000354,CUST01824,AFF-44248,2025-05-06
AR000355,CUST01711,AFF-61234,2025-04-16
AR000356,CUST00974,AFF-49250,2024-11-15
AR000357,CUST01563,AFF-21428,2025-03-25
AR000358,CUST02897,AFF-04033,2024-09-04
AR000359,CUST02796,AFF-32240,2025-04-24
AR000360,CUST00989,AFF-72569,2024-11-09
AR000361,CUST00021,AFF-58349,2024-10-03
AR000362,CUST02351,AFF-09361,2025-05-06
AR000363,CUST00869,AFF-63162,2024-09-20
AR000364,CUST00084,AFF-83379,2025-04-18
AR000365,CUST01683,AFF-81292,2024-10-19
AR000366,CUST01977,AFF-65309,2025-04-07
AR000367,CUST01411,AFF-09965,2024-07-04
AR000368,CUST01531,AFF-05379,2024-07-15
AR000369,CUST00570,AFF-97169,2024-09-09
AR000370,CUST00934,AFF-55964,2024-10-06
AR000371,CUST01981,AFF-15341,2024-10-23
AR000372,CUST01856,AFF-84589,2024-07-12
AR000373,CUST00793,AFF-63886,2025-03-11
AR000374,CUST00792,AFF-75733,2024-12-12
AR000375,CUST01810,AFF-08303,2024-07-25
AR000376,CUST01295,AFF-94302,2025-03-03
AR000377,CUST02540,AFF-83596,2024-12-18
AR000378,CUST02256,AFF-25680,2024-09-11
AR000379,CUST01608,AFF-32285,2024-08-11
AR000380,CUST01084,AFF-79162,2024-07-24
AR000381,CUST02478,AFF-31584,2024-08-13
AR000382,CUST00985,AFF-77268,2024-06-14
AR000383,CUST01681,AFF-64153,2024-07-13
AR000384,CUST00520,AFF-87948,2025-01-01
AR000385,CUST00591,AFF-65943,2024-06-28
AR000386,CUST01051,AFF-66010,2025-05-26
AR000387,CUST01710,AFF-14562,2024-10-10
AR000388,CUST02036,AFF-75734,2024-10-30
AR000389,CUST02247,AFF-63026,2025-04-23
AR000390,CUST02435,AFF-86462,2025-05-02
AR000391,CUST00349,AFF-75619,2025-01-14
AR000392,CUST00960,AFF-61714,2024-12-29
AR000393,CUST01964,AFF-42117,2024-07-29
AR000394,CUST00693,AFF-33483,2025-03-23
AR000395,CUST01560,AFF-70720,2024-09-09
AR000396,CUST00378,AFF-06290,2024-10-21
AR000397,CUST02947,AFF-78126,2024-07-22
AR000398,CUST02964,AFF-66510,2024-07-07
AR000399,CUST00527,AFF-08056,2025-02-17
AR000400,CUST02782,AFF-86502,2025-03-02
AR000401,CUST02254,AFF-70810,2025-01-02
AR000402,CUST02503,AFF-27213,2025-05-16
AR000403,CUST01260,AFF-89710,2025-02-03
AR000404,CUST01876,AFF-11326,2025-01-09
AR000405,CUST01764,AFF-03018,2024-11-09
AR000406,CUST00521,AFF-83777,2025-03-05
AR000407,CUST01702,AFF-27066,2024-11-27
AR000408,CUST01017,AFF-94923,2025-04-02
AR000409,CUST02774,AFF-67084,2024-11-09
AR000410,CUST01014,AFF-34308,2024-11-11
AR000411,CUST02549,AFF-19990,2025-04-29
AR000412,CUST00117,AFF-08900,2025-01-25
AR000413,CUST02434,AFF-46214,2025-04-05
AR000414,CUST01368,AFF-71523,2025-05-16
AR000415,CUST00584,AFF-94437,2024-11-25
AR000416,CUST00395,AFF-54649,2024-12-12
AR000417,CUST01088,AFF-51455,2024-12-18
AR000418,CUST02769,AFF-42743,2024-06-29
AR000419,CUST00072,AFF-36782,2024-07-20
AR000420,CUST00274,AFF-26439,2024-10-10
AR000421,CUST02014,AFF-66421,2025-02-12
AR000422,CUST01344,AFF-66551,2024-07-05
AR000423,CUST00338,AFF-28618,2025-03-22
AR000424,CUST01390,AFF-42379,2025-02-05
AR000425,CUST00607,AFF-94779,2025-01-22
AR000426,CUST00166,AFF-28819,2025-03-28
AR000427,CUST01568,AFF-00529,2024-11-12
AR000428,CUST02059,AFF-68352,2025-02-05
AR000429,CUST01325,AFF-80187,2024-07-21
AR000430,CUST00729,AFF-45222,2024-09-22
AR000431,CUST02849,AFF-36694,2024-12-17
AR000432,CUST02044,AFF-25463,2024-05-27
AR000433,CUST00102,AFF-33109,2025-03-04
AR000434,CUST01416,AFF-55316,2025-02-10
AR000435,CUST00779,AFF-68445,2025-04-09
AR000436,CUST00214,AFF-62461,2025-03-29
AR000437,CUST01112,AFF-60625,2024-07-04
AR000438,CUST01577,AFF-20788,2024-07-13
AR000439,CUST02449,AFF-90571,2024-09-26
AR000440,CUST02636,AFF-53069,2024-08-09
AR000441,CUST02937,AFF-40741,2025-02-25
AR000442,CUST01696,AFF-20299,2025-05-02
AR000443,CUST00592,AFF-19449,2024-06-18
AR000444,CUST01334,AFF-87973,2025-03-09
AR000445,CUST01110,AFF-57047,2025-01-18
AR000446,CUST02140,AFF-86463,2025-02-02
AR000447,CUST02721,AFF-55093,2025-05-05
AR000448,CUST00714,AFF-45789,2024-09-30
AR000449,CUST00936,AFF-10871,2025-01-05
AR000450,CUST01952,AFF-21659,2024-07-28
AR000451,CUST00242,AFF-25095,2024-11-20
AR000452,CUST02044,AFF-42512,2024-11-02
AR000453,CUST00002,AFF-42172,2025-03-25
AR000454,CUST02273,AFF-81678,2024-10-07
AR000455,CUST02849,AFF-64361,2024-09-28
AR000456,CUST01769,AFF-38780,2024-12-14
AR000457,CUST01950,AFF-65941,2024-07-23
AR000458,CUST02637,AFF-93662,2025-05-06
AR000459,CUST02164,AFF-89825,2024-09-07
AR000460,CUST00918,AFF-53821,2025-04-07
AR000461,CUST02242,AFF-55911,2025-05-06
AR000462,CUST02919,AFF-72553,2025-03-07
AR000463,CUST00090,AFF-01848,2024-12-20
AR000464,CUST01710,AFF-77488,2025-01-19
AR000465,CUST02170,AFF-23979,2025-01-07
AR000466,CUST00143,AFF-63491,2024-08-16
AR000467,CUST00106,AFF-83979,2024-07-17
AR000468,CUST00887,AFF-48427,2025-04-18
AR000469,CUST00428,AFF-16161,2025-04-26
AR000470,CUST01329,AFF-65654,2025-02-09
AR000471,CUST01896,AFF-21631,2024-10-28
AR000472,CUST01995,AFF-95334,2025-03-03
AR000473,CUST00317,AFF-81865,2025-05-08
AR000474,CUST01987,AFF-59792,2024-06-03
AR000475,CUST00635,AFF-46421,2024-08-25
AR000476,CUST01926,AFF-41795,2024-05-31
AR000477,CUST02057,AFF-18973,2025-03-12
AR000478,CUST02822,AFF-83447,2024-07-14
AR000479,CUST02271,AFF-35578,2024-08-05
AR000480,CUST01440,AFF-42518,2025-01-15
AR000481,CUST00553,AFF-89124,2025-04-22
AR000482,CUST00716,AFF-11750,2025-02-13
AR000483,CUST01288,AFF-95138,2025-04-08
AR000484,CUST01714,AFF-02400,2024-08-06
AR000485,CUST01884,AFF-32474,2024-11-25
AR000486,CUST01108,AFF-20026,2025-02-20
AR000487,CUST01342,AFF-63561,2024-06-26
AR000488,CUST00111,AFF-04617,2024-11-23
AR000489,CUST00251,AFF-60809,2024-09-14
AR000490,CUST02431,AFF-83461,2025-03-25
AR000491,CUST02055,AFF-37310,2025-01-04
AR000492,CUST00459,AFF-37105,2025-03-06
AR000493,CUST01108,AFF-20364,2024-09-29
AR000494,CUST00208,AFF-29058,2024-12-26
AR000495,CUST00900,AFF-91076,2025-02-23
AR000496,CUST00022,AFF-07108,2025-04-02
AR000497,CUST00410,AFF-26263,2024-10-27
AR000498,CUST00895,AFF-25414,2024-08-04
AR000499,CUST00515,AFF-08210,2024-08-13
AR000500,CUST00809,AFF-46645,2024-09-07
