ProductPromotionID,ProductID,PromotionID,StartDate,EndDate
PP000069,PROD00217,PROMO0024,2025-03-30,2025-06-08
PP000070,PROD00196,PROMO0007,2024-11-06,2025-06-12
PP000071,PROD00793,PROMO0026,2024-06-11,2025-06-24
PP000072,PROD00202,PROMO0013,2025-03-18,2025-06-19
PP000073,PROD00647,PROMO0008,2024-09-15,2025-05-29
PP000074,PROD00234,PROMO0005,2024-10-09,2025-06-02
PP000075,PROD00141,PROMO0013,2025-05-21,2025-06-23
PP000076,PROD00708,PROMO0029,2025-04-14,2025-06-24
PP000077,PROD00498,PROMO0020,2025-01-26,2025-06-08
PP000078,PROD00555,PROMO0014,2024-10-15,2025-06-03
PP000079,PROD00057,PROMO0032,2025-03-01,2025-06-07
PP000080,PROD00504,PROMO0027,2024-09-11,2025-06-12
PP000081,PROD00142,PROMO0025,2025-01-24,2025-06-25
PP000082,PROD00722,PROMO0004,2024-12-20,2025-06-03
PP000083,PROD00584,PROMO0021,2025-05-23,2025-06-22
PP000084,PROD00736,PROMO0018,2024-11-04,2025-06-04
PP000085,PROD00539,PROMO0039,2024-06-06,2025-06-14
PP000086,PROD00640,PROMO0015,2025-05-24,2025-06-21
PP000087,PROD00106,PROMO0038,2024-09-01,2025-06-21
PP000088,PROD00165,PROMO0024,2024-06-05,2025-06-04
PP000089,PROD00215,PROMO0008,2024-09-27,2025-06-11
PP000090,PROD00071,PROMO0028,2024-11-25,2025-06-11
PP000091,PROD00716,PROMO0021,2025-02-03,2025-06-09
PP000092,PROD00665,PROMO0016,2025-01-31,2025-05-31
PP000093,PROD00579,PROMO0016,2024-07-16,2025-06-04
PP000094,PROD00090,PROMO0035,2025-01-24,2025-06-08
PP000095,PROD00772,PROMO0017,2024-12-01,2025-06-02
PP000096,PROD00228,PROMO0009,2025-02-25,2025-06-02
PP000097,PROD00079,PROMO0035,2025-02-01,2025-06-02
PP000098,PROD00608,PROMO0029,2024-07-03,2025-06-14
PP000099,PROD00349,PROMO0039,2025-01-01,2025-06-05
PP000100,PROD00246,PROMO0018,2024-12-06,2025-06-08
PP000101,PROD00272,PROMO0012,2024-06-12,2025-05-31
PP000102,PROD00403,PROMO0019,2024-06-06,2025-05-30
PP000103,PROD00669,PROMO0022,2025-05-15,2025-06-05
PP000104,PROD00116,PROMO0015,2025-03-28,2025-06-08
PP000105,PROD00435,PROMO0001,2024-07-25,2025-06-06
PP000106,PROD00530,PROMO0002,2024-07-01,2025-06-05
PP000107,PROD00442,PROMO0008,2024-12-04,2025-06-13
PP000108,PROD00172,PROMO0022,2024-08-13,2025-06-12
PP000109,PROD00016,PROMO0025,2025-01-12,2025-05-28
PP000110,PROD00752,PROMO0002,2024-12-30,2025-06-02
PP000111,PROD00056,PROMO0009,2025-02-27,2025-06-16
PP000112,PROD00591,PROMO0009,2024-07-22,2025-06-17
PP000113,PROD00103,PROMO0013,2024-12-28,2025-06-16
PP000114,PROD00284,PROMO0006,2025-05-18,2025-06-02
PP000115,PROD00705,PROMO0030,2024-07-23,2025-06-18
PP000116,PROD00517,PROMO0015,2024-08-20,2025-05-30
PP000117,PROD00618,PROMO0015,2024-07-29,2025-06-12
PP000118,PROD00278,PROMO0007,2024-06-02,2025-06-13
PP000119,PROD00612,PROMO0011,2024-07-17,2025-05-29
PP000120,PROD00750,PROMO0040,2025-05-21,2025-06-07
PP000121,PROD00269,PROMO0038,2024-06-13,2025-06-18
PP000122,PROD00400,PROMO0040,2025-04-04,2025-06-24
PP000123,PROD00503,PROMO0002,2025-03-26,2025-06-15
PP000124,PROD00086,PROMO0039,2024-09-02,2025-05-28
PP000125,PROD00320,PROMO0010,2024-10-02,2025-06-12
PP000126,PROD00032,PROMO0017,2024-09-10,2025-06-08
PP000127,PROD00336,PROMO0007,2024-06-06,2025-05-27
PP000128,PROD00051,PROMO0040,2025-05-17,2025-05-28
PP000129,PROD00079,PROMO0039,2024-07-05,2025-06-14
PP000130,PROD00698,PROMO0004,2025-04-26,2025-06-20
PP000131,PROD00174,PROMO0035,2024-10-28,2025-06-13
PP000132,PROD00618,PROMO0036,2024-11-08,2025-06-05
PP000133,PROD00501,PROMO0031,2024-09-09,2025-06-21
PP000134,PROD00575,PROMO0025,2024-12-13,2025-06-11
PP000135,PROD00076,PROMO0013,2025-05-16,2025-06-22
PP000136,PROD00316,PROMO0018,2024-09-10,2025-06-08
PP000137,PROD00373,PROMO0021,2024-07-26,2025-06-02
PP000138,PROD00081,PROMO0001,2024-07-22,2025-06-21
PP000139,PROD00640,PROMO0036,2025-01-23,2025-05-28
PP000140,PROD00695,PROMO0008,2025-05-04,2025-06-12
PP000141,PROD00755,PROMO0021,2024-08-14,2025-06-04
PP000142,PROD00697,PROMO0021,2024-11-04,2025-06-05
PP000143,PROD00732,PROMO0027,2024-10-19,2025-06-23
PP000144,PROD00071,PROMO0019,2024-10-15,2025-06-14
PP000145,PROD00666,PROMO0023,2025-05-14,2025-06-08
PP000146,PROD00757,PROMO0035,2025-05-23,2025-05-27
PP000147,PROD00652,PROMO0040,2024-08-17,2025-06-03
PP000148,PROD00071,PROMO0005,2025-01-24,2025-06-17
PP000149,PROD00046,PROMO0008,2025-05-03,2025-06-25
PP000150,PROD00047,PROMO0011,2025-03-25,2025-06-18
PP000151,PROD00591,PROMO0016,2024-07-17,2025-06-19
PP000152,PROD00422,PROMO0039,2025-01-14,2025-06-10
PP000153,PROD00149,PROMO0024,2024-12-22,2025-05-29
PP000154,PROD00130,PROMO0021,2025-02-10,2025-06-09
PP000155,PROD00456,PROMO0023,2024-10-20,2025-06-21
PP000156,PROD00639,PROMO0038,2024-08-27,2025-06-22
PP000157,PROD00631,PROMO0008,2024-08-31,2025-06-18
PP000158,PROD00505,PROMO0007,2025-05-15,2025-05-28
PP000159,PROD00774,PROMO0002,2025-03-09,2025-05-30
PP000160,PROD00244,PROMO0030,2024-11-10,2025-05-29
PP000161,PROD00474,PROMO0013,2024-08-31,2025-06-13
PP000162,PROD00382,PROMO0023,2024-11-17,2025-05-27
PP000163,PROD00103,PROMO0029,2024-12-25,2025-05-31
PP000164,PROD00489,PROMO0038,2025-02-13,2025-06-06
PP000165,PROD00037,PROMO0037,2024-10-20,2025-06-07
PP000166,PROD00654,PROMO0020,2024-08-10,2025-06-13
PP000167,PROD00549,PROMO0033,2024-07-12,2025-06-09
PP000168,PROD00520,PROMO0029,2024-09-04,2025-06-11
PP000169,PROD00743,PROMO0015,2025-01-25,2025-06-06
PP000170,PROD00333,PROMO0023,2024-11-30,2025-05-30
PP000171,PROD00397,PROMO0003,2024-11-25,2025-06-23
PP000172,PROD00296,PROMO0037,2024-12-02,2025-06-10
PP000173,PROD00107,PROMO0029,2025-02-04,2025-06-19
PP000174,PROD00530,PROMO0008,2025-02-03,2025-06-15
PP000175,PROD00083,PROMO0022,2025-02-27,2025-06-21
PP000176,PROD00288,PROMO0029,2024-12-17,2025-06-19
PP000177,PROD00706,PROMO0002,2025-03-01,2025-06-02
PP000178,PROD00461,PROMO0001,2025-04-18,2025-06-15
PP000179,PROD00215,PROMO0020,2024-10-04,2025-05-30
PP000180,PROD00281,PROMO0021,2025-05-06,2025-06-21
PP000181,PROD00732,PROMO0037,2025-05-25,2025-06-16
PP000182,PROD00459,PROMO0008,2025-03-02,2025-06-03
PP000183,PROD00344,PROMO0027,2024-12-21,2025-05-27
PP000184,PROD00194,PROMO0035,2025-02-23,2025-06-22
PP000185,PROD00158,PROMO0006,2025-04-10,2025-06-18
PP000186,PROD00465,PROMO0019,2024-08-07,2025-05-28
PP000187,PROD00104,PROMO0018,2025-01-10,2025-06-17
PP000188,PROD00034,PROMO0001,2024-11-17,2025-06-05
PP000189,PROD00102,PROMO0025,2024-07-30,2025-05-31
PP000190,PROD00639,PROMO0027,2024-09-22,2025-05-31
PP000191,PROD00726,PROMO0007,2025-03-02,2025-06-18
PP000192,PROD00325,PROMO0029,2024-07-27,2025-06-11
PP000193,PROD00691,PROMO0031,2024-07-05,2025-06-24
PP000194,PROD00592,PROMO0036,2024-07-19,2025-06-24
PP000195,PROD00141,PROMO0019,2024-09-02,2025-06-05
PP000196,PROD00474,PROMO0006,2024-11-16,2025-06-04
PP000197,PROD00031,PROMO0025,2024-08-21,2025-06-23
PP000198,PROD00063,PROMO0031,2025-03-22,2025-06-01
PP000199,PROD00560,PROMO0009,2024-12-31,2025-06-12
PP000200,PROD00087,PROMO0020,2024-12-08,2025-05-28
PP000201,PROD00304,PROMO0010,2024-11-07,2025-06-10
PP000202,PROD00061,PROMO0037,2024-06-22,2025-06-18
PP000203,PROD00396,PROMO0027,2024-06-20,2025-06-24
PP000204,PROD00334,PROMO0013,2024-06-20,2025-06-18
PP000205,PROD00786,PROMO0002,2025-04-20,2025-05-31
PP000206,PROD00411,PROMO0021,2025-04-17,2025-06-01
PP000207,PROD00284,PROMO0033,2025-04-26,2025-06-12
PP000208,PROD00466,PROMO0024,2025-01-13,2025-06-25
PP000209,PROD00080,PROMO0034,2024-09-20,2025-06-24
PP000210,PROD00692,PROMO0009,2024-10-08,2025-06-21
PP000211,PROD00784,PROMO0002,2025-04-28,2025-06-09
PP000212,PROD00077,PROMO0030,2024-09-09,2025-06-22
PP000213,PROD00733,PROMO0022,2024-12-15,2025-06-08
PP000214,PROD00794,PROMO0011,2024-06-12,2025-06-10
PP000215,PROD00540,PROMO0017,2024-07-26,2025-06-22
PP000216,PROD00361,PROMO0036,2024-09-10,2025-06-11
PP000217,PROD00077,PROMO0013,2024-11-13,2025-06-08
PP000218,PROD00509,PROMO0007,2024-07-20,2025-06-12
PP000219,PROD00164,PROMO0016,2025-05-20,2025-06-03
PP000220,PROD00009,PROMO0033,2025-05-20,2025-06-16
PP000221,PROD00175,PROMO0001,2025-02-24,2025-06-11
PP000222,PROD00462,PROMO0011,2024-07-21,2025-06-18
PP000223,PROD00307,PROMO0006,2024-09-24,2025-06-12
PP000224,PROD00588,PROMO0020,2024-09-04,2025-06-12
PP000225,PROD00245,PROMO0035,2024-11-18,2025-06-25
PP000226,PROD00122,PROMO0037,2025-04-14,2025-05-29
PP000227,PROD00185,PROMO0026,2025-03-25,2025-05-29
PP000228,PROD00032,PROMO0012,2025-02-10,2025-05-31
PP000229,PROD00762,PROMO0030,2024-07-09,2025-05-27
PP000230,PROD00569,PROMO0028,2025-03-08,2025-06-22
PP000231,PROD00310,PROMO0027,2025-05-14,2025-06-14
PP000232,PROD00372,PROMO0019,2024-06-29,2025-05-31
PP000233,PROD00656,PROMO0005,2025-02-27,2025-06-14
PP000234,PROD00596,PROMO0005,2024-08-25,2025-06-16
PP000235,PROD00056,PROMO0027,2025-05-08,2025-06-20
PP000236,PROD00791,PROMO0028,2024-07-05,2025-06-05
PP000237,PROD00273,PROMO0026,2025-01-07,2025-05-31
PP000238,PROD00464,PROMO0027,2025-03-14,2025-06-09
PP000239,PROD00678,PROMO0021,2025-01-24,2025-06-06
PP000240,PROD00456,PROMO0001,2024-06-21,2025-06-08
PP000241,PROD00670,PROMO0028,2025-03-25,2025-06-02
PP000242,PROD00249,PROMO0015,2024-12-27,2025-06-20
PP000243,PROD00698,PROMO0017,2024-11-08,2025-06-17
PP000244,PROD00078,PROMO0026,2024-08-29,2025-05-31
PP000245,PROD00534,PROMO0020,2024-10-03,2025-06-07
PP000246,PROD00108,PROMO0025,2024-06-09,2025-05-28
PP000247,PROD00273,PROMO0013,2024-11-29,2025-06-05
PP000248,PROD00764,PROMO0033,2024-05-26,2025-06-06
PP000249,PROD00015,PROMO0025,2024-11-19,2025-06-04
PP000250,PROD00370,PROMO0008,2024-08-14,2025-06-17
PP000251,PROD00304,PROMO0005,2025-03-04,2025-06-12
PP000252,PROD00672,PROMO0006,2024-07-10,2025-05-27
PP000253,PROD00205,PROMO0023,2024-07-06,2025-06-25
PP000254,PROD00113,PROMO0030,2024-10-03,2025-06-17
PP000255,PROD00680,PROMO0014,2024-09-26,2025-06-18
PP000256,PROD00253,PROMO0023,2025-05-13,2025-05-27
PP000257,PROD00441,PROMO0011,2024-10-05,2025-05-29
PP000258,PROD00186,PROMO0031,2024-08-28,2025-06-23
PP000259,PROD00227,PROMO0006,2025-05-08,2025-06-25
PP000260,PROD00528,PROMO0011,2024-08-10,2025-06-03
PP000261,PROD00668,PROMO0013,2025-05-05,2025-06-05
PP000262,PROD00354,PROMO0012,2024-11-10,2025-06-07
PP000263,PROD00623,PROMO0002,2024-10-06,2025-05-30
PP000264,PROD00001,PROMO0035,2024-10-19,2025-06-25
PP000265,PROD00553,PROMO0036,2025-03-19,2025-06-13
PP000266,PROD00560,PROMO0017,2025-05-19,2025-06-09
PP000267,PROD00420,PROMO0028,2024-05-30,2025-06-05
PP000268,PROD00620,PROMO0028,2024-08-19,2025-06-10
PP000269,PROD00161,PROMO0022,2024-08-15,2025-06-17
PP000270,PROD00161,PROMO0038,2024-07-26,2025-06-17
PP000271,PROD00128,PROMO0007,2025-02-21,2025-06-18
PP000272,PROD00722,PROMO0015,2024-09-11,2025-06-06
PP000273,PROD00151,PROMO0032,2024-06-04,2025-06-20
PP000274,PROD00444,PROMO0011,2025-05-26,2025-06-02
PP000275,PROD00767,PROMO0024,2024-06-26,2025-06-15
PP000276,PROD00471,PROMO0003,2024-10-30,2025-06-09
PP000277,PROD00463,PROMO0030,2025-04-08,2025-06-20
PP000278,PROD00730,PROMO0006,2025-04-24,2025-06-24
PP000279,PROD00030,PROMO0002,2024-12-23,2025-06-03
PP000280,PROD00473,PROMO0014,2024-06-21,2025-06-18
PP000281,PROD00557,PROMO0018,2025-03-30,2025-06-06
PP000282,PROD00080,PROMO0031,2024-11-25,2025-06-25
PP000283,PROD00039,PROMO0013,2025-02-16,2025-06-08
PP000284,PROD00240,PROMO0026,2024-12-20,2025-06-04
PP000285,PROD00557,PROMO0012,2025-04-09,2025-06-03
PP000286,PROD00590,PROMO0018,2024-10-09,2025-06-12
PP000287,PROD00337,PROMO0009,2024-08-15,2025-05-28
PP000288,PROD00800,PROMO0021,2024-06-12,2025-06-05
PP000289,PROD00280,PROMO0040,2024-08-16,2025-06-04
PP000290,PROD00116,PROMO0024,2024-06-26,2025-06-20
PP000291,PROD00269,PROMO0034,2025-03-11,2025-06-24
PP000292,PROD00335,PROMO0008,2024-08-03,2025-06-10
PP000293,PROD00312,PROMO0033,2024-09-16,2025-06-02
PP000294,PROD00053,PROMO0023,2025-02-17,2025-06-15
PP000295,PROD00068,PROMO0013,2025-04-16,2025-06-19
PP000296,PROD00694,PROMO0014,2024-08-26,2025-06-11
PP000297,PROD00034,PROMO0014,2024-07-20,2025-06-15
PP000298,PROD00796,PROMO0016,2024-11-24,2025-06-14
PP000299,PROD00386,PROMO0038,2025-04-17,2025-06-21
PP000300,PROD00249,PROMO0039,2024-07-08,2025-06-05
PP000301,PROD00111,PROMO0026,2024-09-18,2025-06-13
PP000302,PROD00094,PROMO0026,2024-10-27,2025-06-04
PP000303,PROD00410,PROMO0001,2024-10-20,2025-06-20
PP000304,PROD00179,PROMO0032,2024-09-04,2025-06-13
PP000305,PROD00047,PROMO0015,2025-02-08,2025-05-31
PP000306,PROD00794,PROMO0021,2025-02-18,2025-06-01
PP000307,PROD00604,PROMO0018,2024-12-02,2025-06-02
PP000308,PROD00376,PROMO0030,2024-08-26,2025-06-21
PP000309,PROD00724,PROMO0013,2024-12-14,2025-06-02
PP000310,PROD00587,PROMO0024,2024-11-22,2025-06-07
PP000311,PROD00202,PROMO0030,2024-09-06,2025-06-19
PP000312,PROD00445,PROMO0002,2024-07-03,2025-05-31
PP000313,PROD00297,PROMO0019,2024-10-14,2025-06-16
PP000314,PROD00308,PROMO0025,2025-02-22,2025-06-22
PP000315,PROD00723,PROMO0014,2024-09-08,2025-06-23
PP000316,PROD00493,PROMO0006,2024-12-13,2025-06-21
PP000317,PROD00338,PROMO0012,2024-09-28,2025-06-19
PP000318,PROD00646,PROMO0020,2025-03-29,2025-06-12
PP000319,PROD00066,PROMO0023,2024-06-12,2025-06-05
PP000320,PROD00792,PROMO0030,2024-08-09,2025-06-24
PP000321,PROD00422,PROMO0030,2025-04-30,2025-06-08
PP000322,PROD00540,PROMO0038,2024-11-07,2025-06-03
PP000323,PROD00629,PROMO0030,2024-10-20,2025-06-19
PP000324,PROD00493,PROMO0030,2024-11-05,2025-06-02
PP000325,PROD00317,PROMO0036,2024-06-03,2025-06-17
PP000326,PROD00626,PROMO0034,2025-02-21,2025-06-02
PP000327,PROD00075,PROMO0016,2024-12-30,2025-06-25
PP000328,PROD00714,PROMO0024,2024-08-14,2025-06-15
PP000329,PROD00059,PROMO0014,2024-08-21,2025-06-05
PP000330,PROD00386,PROMO0026,2024-08-27,2025-06-18
PP000331,PROD00015,PROMO0008,2025-02-21,2025-06-11
PP000332,PROD00231,PROMO0014,2024-10-09,2025-06-09
PP000333,PROD00617,PROMO0031,2025-03-09,2025-06-22
PP000334,PROD00677,PROMO0002,2024-06-02,2025-06-05
PP000335,PROD00199,PROMO0004,2025-04-02,2025-06-17
PP000336,PROD00354,PROMO0001,2024-06-13,2025-05-31
PP000337,PROD00035,PROMO0020,2025-05-14,2025-06-21
PP000338,PROD00162,PROMO0014,2024-07-19,2025-06-06
PP000339,PROD00757,PROMO0040,2024-09-26,2025-06-19
PP000340,PROD00799,PROMO0025,2024-09-08,2025-06-02
PP000341,PROD00471,PROMO0025,2024-08-26,2025-06-14
PP000342,PROD00531,PROMO0003,2025-01-27,2025-06-16
PP000343,PROD00792,PROMO0005,2025-04-10,2025-06-13
PP000344,PROD00423,PROMO0038,2024-12-13,2025-06-09
PP000345,PROD00348,PROMO0026,2025-05-23,2025-06-20
PP000346,PROD00694,PROMO0040,2024-09-16,2025-06-03
PP000347,PROD00147,PROMO0038,2025-01-24,2025-05-29
PP000348,PROD00374,PROMO0038,2024-08-28,2025-06-23
PP000349,PROD00688,PROMO0004,2025-01-22,2025-05-28
PP000350,PROD00675,PROMO0007,2024-08-05,2025-05-27
PP000351,PROD00416,PROMO0030,2024-09-24,2025-06-08
PP000352,PROD00687,PROMO0030,2024-11-04,2025-06-13
PP000353,PROD00494,PROMO0019,2025-03-23,2025-06-24
PP000354,PROD00559,PROMO0039,2025-01-08,2025-06-25
PP000355,PROD00256,PROMO0035,2024-09-12,2025-06-13
PP000356,PROD00686,PROMO0040,2024-06-25,2025-06-06
PP000357,PROD00103,PROMO0033,2025-05-02,2025-06-12
PP000358,PROD00121,PROMO0033,2024-05-27,2025-06-11
PP000359,PROD00419,PROMO0014,2024-09-11,2025-06-11
PP000360,PROD00350,PROMO0038,2025-02-17,2025-06-08
PP000361,PROD00657,PROMO0010,2024-12-21,2025-06-02
PP000362,PROD00042,PROMO0028,2024-07-10,2025-06-08
PP000363,PROD00367,PROMO0014,2025-04-23,2025-06-13
PP000364,PROD00029,PROMO0036,2024-10-07,2025-06-23
PP000365,PROD00785,PROMO0038,2024-11-25,2025-06-14
PP000366,PROD00014,PROMO0016,2024-12-18,2025-06-22
PP000367,PROD00485,PROMO0021,2024-06-04,2025-06-13
PP000368,PROD00189,PROMO0028,2025-02-02,2025-05-30
PP000369,PROD00295,PROMO0033,2024-06-17,2025-05-29
PP000370,PROD00183,PROMO0006,2025-03-04,2025-06-03
PP000371,PROD00548,PROMO0015,2024-06-09,2025-06-10
PP000372,PROD00037,PROMO0003,2024-08-20,2025-06-21
PP000373,PROD00014,PROMO0035,2025-04-26,2025-06-09
PP000374,PROD00635,PROMO0014,2024-07-25,2025-06-18
PP000375,PROD00595,PROMO0002,2025-03-03,2025-06-10
PP000376,PROD00159,PROMO0029,2025-01-23,2025-06-20
PP000377,PROD00494,PROMO0004,2024-09-03,2025-06-25
PP000378,PROD00329,PROMO0026,2025-05-09,2025-06-21
PP000379,PROD00614,PROMO0012,2024-12-12,2025-05-28
PP000380,PROD00083,PROMO0002,2024-10-30,2025-06-10
PP000381,PROD00556,PROMO0017,2024-09-16,2025-06-13
PP000382,PROD00580,PROMO0035,2024-08-23,2025-06-03
PP000383,PROD00560,PROMO0010,2025-01-22,2025-05-29
PP000384,PROD00569,PROMO0022,2024-07-09,2025-06-11
PP000385,PROD00587,PROMO0021,2024-10-23,2025-06-03
PP000386,PROD00022,PROMO0015,2025-02-25,2025-06-03
PP000387,PROD00132,PROMO0035,2024-07-13,2025-06-12
PP000388,PROD00465,PROMO0021,2025-02-08,2025-06-25
PP000389,PROD00456,PROMO0021,2024-07-09,2025-06-17
PP000390,PROD00302,PROMO0021,2024-12-29,2025-06-22
PP000391,PROD00267,PROMO0032,2024-06-14,2025-06-10
PP000392,PROD00799,PROMO0005,2025-05-02,2025-06-14
PP000393,PROD00395,PROMO0039,2025-04-23,2025-06-11
PP000394,PROD00120,PROMO0009,2024-08-06,2025-06-01
PP000395,PROD00246,PROMO0018,2024-11-02,2025-06-21
PP000396,PROD00568,PROMO0021,2024-06-18,2025-06-08
PP000397,PROD00038,PROMO0008,2025-01-17,2025-06-16
PP000398,PROD00245,PROMO0034,2024-12-13,2025-06-07
PP000399,PROD00021,PROMO0010,2025-02-25,2025-05-29
PP000400,PROD00110,PROMO0024,2025-03-31,2025-06-12
PP000401,PROD00606,PROMO0040,2025-02-28,2025-06-18
PP000402,PROD00394,PROMO0024,2025-05-07,2025-06-01
PP000403,PROD00410,PROMO0032,2025-01-24,2025-06-23
PP000404,PROD00648,PROMO0033,2025-01-11,2025-06-02
PP000405,PROD00743,PROMO0038,2025-03-12,2025-06-08
PP000406,PROD00008,PROMO0034,2024-11-07,2025-06-11
PP000407,PROD00444,PROMO0011,2025-05-05,2025-06-02
PP000408,PROD00328,PROMO0031,2025-05-17,2025-05-27
PP000409,PROD00290,PROMO0018,2024-08-05,2025-06-15
PP000410,PROD00763,PROMO0023,2024-08-25,2025-06-07
PP000411,PROD00511,PROMO0022,2024-10-20,2025-05-30
PP000412,PROD00361,PROMO0018,2025-04-08,2025-05-31
PP000413,PROD00599,PROMO0040,2024-10-29,2025-06-05
PP000414,PROD00716,PROMO0039,2024-09-02,2025-06-10
PP000415,PROD00219,PROMO0020,2024-11-13,2025-06-06
PP000416,PROD00406,PROMO0013,2025-02-25,2025-06-08
PP000417,PROD00753,PROMO0001,2025-03-03,2025-06-02
PP000418,PROD00770,PROMO0004,2024-11-30,2025-05-27
PP000419,PROD00621,PROMO0024,2024-06-17,2025-06-18
PP000420,PROD00768,PROMO0036,2025-04-13,2025-06-12
PP000421,PROD00794,PROMO0036,2024-12-22,2025-06-05
PP000422,PROD00220,PROMO0002,2024-06-14,2025-06-16
PP000423,PROD00595,PROMO0028,2024-12-08,2025-06-25
PP000424,PROD00107,PROMO0026,2025-01-29,2025-06-12
PP000425,PROD00581,PROMO0023,2024-12-12,2025-05-29
PP000426,PROD00609,PROMO0015,2025-04-07,2025-06-14
PP000427,PROD00724,PROMO0036,2025-02-06,2025-06-11
PP000428,PROD00286,PROMO0027,2024-09-09,2025-05-27
PP000429,PROD00749,PROMO0006,2024-08-06,2025-06-10
PP000430,PROD00008,PROMO0035,2024-09-29,2025-05-31
PP000431,PROD00189,PROMO0039,2024-07-29,2025-06-16
PP000432,PROD00081,PROMO0038,2024-09-06,2025-06-06
PP000433,PROD00108,PROMO0035,2025-05-26,2025-06-24
PP000434,PROD00321,PROMO0036,2024-11-07,2025-06-06
PP000435,PROD00579,PROMO0010,2024-10-24,2025-06-16
