RedemptionID,CouponID,CustomerID,RedemptionDate
CR000213,COUP00090,CUST02592,2023-06-17
CR000214,COUP00163,CUST02503,2024-12-04
CR000215,COUP00084,CUST00662,2023-07-31
CR000216,COUP00084,CUST01230,2024-08-05
CR000217,COUP00151,CUST01357,2023-06-12
CR000218,COUP00197,CUST02966,2025-01-31
CR000219,COUP00009,CUST01674,2023-12-19
CR000220,COUP00018,CUST01089,2023-08-27
CR000221,COUP00075,CUST02136,2023-12-02
CR000222,COUP00176,CUST01859,2025-05-17
CR000223,COUP00072,CUST01067,2024-01-29
CR000224,COUP00091,CUST01907,2024-07-14
CR000225,COUP00066,CUST01961,2025-03-04
CR000226,COUP00023,CUST02564,2024-05-25
CR000227,COUP00138,CUST00500,2023-06-30
CR000228,COUP00038,CUST01303,2023-10-13
CR000229,COUP00128,CUST00326,2023-11-24
CR000230,COUP00059,CUST01442,2025-02-16
CR000231,COUP00068,CUST00553,2024-10-22
CR000232,COUP00085,CUST01938,2024-01-15
CR000233,COUP00119,CUST00888,2024-12-23
CR000234,COUP00171,CUST00996,2024-05-26
CR000235,COUP00012,CUST00929,2024-11-12
CR000236,COUP00112,CUST02969,2023-08-11
CR000237,COUP00116,CUST00308,2024-06-20
CR000238,COUP00181,CUST02705,2024-01-09
CR000239,COUP00142,CUST01331,2024-01-05
CR000240,COUP00052,CUST01923,2024-05-26
CR000241,COUP00084,CUST00470,2024-11-06
CR000242,COUP00111,CUST01655,2025-03-30
CR000243,COUP00200,CUST00625,2024-08-18
CR000244,COUP00061,CUST02339,2025-02-01
CR000245,COUP00169,CUST00249,2025-04-14
CR000246,COUP00021,CUST02372,2024-08-11
CR000247,COUP00176,CUST01467,2025-04-01
CR000248,COUP00056,CUST00604,2023-12-14
CR000249,COUP00035,CUST00059,2023-09-17
CR000250,COUP00044,CUST01021,2024-07-03
CR000251,COUP00039,CUST02317,2023-06-06
CR000252,COUP00143,CUST01342,2025-04-13
CR000253,COUP00140,CUST02142,2023-06-27
CR000254,COUP00117,CUST01278,2023-11-23
CR000255,COUP00008,CUST00687,2024-08-18
CR000256,COUP00124,CUST00515,2023-06-26
CR000257,COUP00101,CUST00533,2024-09-06
CR000258,COUP00067,CUST00402,2025-03-26
CR000259,COUP00094,CUST02769,2024-04-22
CR000260,COUP00093,CUST02925,2024-10-30
CR000261,COUP00129,CUST02656,2023-10-11
CR000262,COUP00080,CUST02141,2024-07-13
CR000263,COUP00042,CUST00574,2023-11-08
CR000264,COUP00031,CUST01566,2023-09-11
CR000265,COUP00122,CUST00971,2024-10-20
CR000266,COUP00074,CUST01806,2023-11-16
CR000267,COUP00158,CUST00437,2025-03-15
CR000268,COUP00043,CUST02504,2024-12-06
CR000269,COUP00026,CUST02463,2025-01-22
CR000270,COUP00012,CUST02003,2024-08-27
CR000271,COUP00127,CUST01399,2023-10-31
CR000272,COUP00104,CUST01555,2024-08-30
CR000273,COUP00187,CUST02752,2024-08-24
CR000274,COUP00069,CUST01639,2024-05-06
CR000275,COUP00073,CUST02930,2024-07-17
CR000276,COUP00011,CUST00762,2025-01-16
CR000277,COUP00047,CUST01463,2024-10-12
CR000278,COUP00023,CUST02313,2023-07-31
CR000279,COUP00081,CUST02555,2024-08-02
CR000280,COUP00171,CUST02694,2024-09-15
CR000281,COUP00077,CUST02945,2023-08-03
CR000282,COUP00123,CUST00861,2024-02-21
CR000283,COUP00167,CUST01975,2025-04-01
CR000284,COUP00073,CUST02737,2024-09-08
CR000285,COUP00055,CUST00867,2024-06-09
CR000286,COUP00018,CUST01123,2025-03-06
CR000287,COUP00094,CUST01054,2023-10-15
CR000288,COUP00170,CUST01315,2024-02-12
CR000289,COUP00154,CUST02535,2025-05-24
CR000290,COUP00018,CUST01963,2024-09-30
CR000291,COUP00128,CUST00028,2023-09-10
CR000292,COUP00041,CUST02336,2023-10-04
CR000293,COUP00170,CUST00581,2024-04-24
CR000294,COUP00033,CUST02998,2024-03-04
CR000295,COUP00043,CUST02300,2023-07-18
CR000296,COUP00014,CUST00927,2025-03-13
CR000297,COUP00183,CUST02158,2023-11-15
CR000298,COUP00058,CUST01889,2025-02-12
CR000299,COUP00138,CUST02692,2024-04-13
CR000300,COUP00028,CUST02446,2024-08-18
CR000301,COUP00014,CUST01556,2024-04-20
CR000302,COUP00154,CUST00276,2024-08-01
CR000303,COUP00074,CUST02737,2024-08-31
CR000304,COUP00145,CUST02295,2024-01-13
CR000305,COUP00162,CUST01348,2024-10-11
CR000306,COUP00014,CUST02456,2025-04-02
CR000307,COUP00154,CUST02173,2024-08-24
CR000308,COUP00162,CUST00153,2023-06-15
CR000309,COUP00024,CUST01605,2024-10-25
CR000310,COUP00104,CUST02706,2024-09-21
CR000311,COUP00070,CUST01902,2023-10-18
CR000312,COUP00020,CUST02068,2025-01-08
CR000313,COUP00167,CUST01827,2024-06-01
CR000314,COUP00121,CUST00247,2024-05-06
CR000315,COUP00173,CUST01414,2025-04-14
CR000316,COUP00034,CUST01371,2024-02-24
CR000317,COUP00150,CUST01227,2025-03-31
CR000318,COUP00071,CUST01033,2023-11-27
CR000319,COUP00033,CUST01716,2024-07-04
CR000320,COUP00006,CUST01692,2024-08-21
CR000321,COUP00016,CUST02579,2024-04-10
CR000322,COUP00200,CUST02151,2025-04-04
CR000323,COUP00109,CUST02645,2024-12-11
CR000324,COUP00023,CUST02399,2024-12-30
CR000325,COUP00146,CUST02282,2024-02-04
CR000326,COUP00014,CUST01671,2023-06-04
CR000327,COUP00050,CUST00037,2024-09-08
CR000328,COUP00061,CUST01628,2024-01-07
CR000329,COUP00036,CUST02340,2024-03-21
CR000330,COUP00015,CUST02065,2025-03-14
CR000331,COUP00005,CUST02138,2023-07-27
CR000332,COUP00053,CUST01372,2023-08-10
CR000333,COUP00048,CUST00677,2025-03-02
CR000334,COUP00011,CUST00977,2024-01-26
CR000335,COUP00002,CUST01468,2023-07-09
CR000336,COUP00087,CUST00253,2023-09-29
CR000337,COUP00024,CUST02865,2023-05-27
CR000338,COUP00068,CUST01617,2024-11-22
CR000339,COUP00079,CUST02017,2023-11-13
CR000340,COUP00012,CUST02232,2024-08-26
CR000341,COUP00187,CUST02338,2023-09-28
CR000342,COUP00067,CUST00761,2024-01-06
CR000343,COUP00160,CUST02206,2024-01-19
CR000344,COUP00036,CUST02971,2025-04-30
CR000345,COUP00149,CUST02739,2023-09-13
CR000346,COUP00112,CUST00393,2024-10-12
CR000347,COUP00198,CUST00431,2024-03-26
CR000348,COUP00194,CUST00997,2023-07-26
CR000349,COUP00122,CUST01092,2024-12-06
CR000350,COUP00137,CUST01101,2023-09-23
CR000351,COUP00044,CUST00102,2024-09-05
CR000352,COUP00059,CUST02700,2025-05-13
CR000353,COUP00152,CUST00893,2024-08-03
CR000354,COUP00127,CUST02633,2023-11-12
CR000355,COUP00063,CUST02255,2024-05-26
CR000356,COUP00041,CUST02261,2025-04-06
CR000357,COUP00076,CUST02127,2024-06-30
CR000358,COUP00107,CUST01789,2024-06-18
CR000359,COUP00130,CUST02181,2023-10-09
CR000360,COUP00095,CUST01221,2023-12-07
CR000361,COUP00028,CUST00472,2024-12-21
CR000362,COUP00144,CUST01781,2024-07-01
CR000363,COUP00059,CUST02338,2024-11-22
CR000364,COUP00129,CUST01280,2025-03-01
CR000365,COUP00086,CUST01499,2024-02-18
CR000366,COUP00001,CUST02682,2025-02-18
CR000367,COUP00031,CUST00422,2024-01-24
CR000368,COUP00022,CUST02606,2024-02-12
CR000369,COUP00187,CUST02629,2023-08-19
CR000370,COUP00119,CUST00539,2024-10-12
CR000371,COUP00028,CUST01707,2025-02-27
CR000372,COUP00116,CUST01781,2024-04-26
CR000373,COUP00076,CUST02510,2024-08-04
CR000374,COUP00027,CUST02349,2024-04-18
CR000375,COUP00087,CUST01312,2024-03-03
CR000376,COUP00129,CUST01961,2024-07-12
CR000377,COUP00124,CUST00986,2023-10-22
CR000378,COUP00107,CUST00806,2023-08-09
CR000379,COUP00130,CUST02305,2024-07-25
CR000380,COUP00095,CUST02501,2024-10-27
CR000381,COUP00066,CUST02486,2025-04-18
CR000382,COUP00177,CUST02446,2023-10-03
CR000383,COUP00019,CUST01177,2025-03-10
CR000384,COUP00156,CUST00649,2023-07-09
CR000385,COUP00198,CUST02270,2024-01-14
CR000386,COUP00167,CUST01725,2024-12-02
CR000387,COUP00019,CUST01460,2024-06-20
CR000388,COUP00127,CUST02184,2024-08-30
CR000389,COUP00116,CUST01552,2024-07-24
CR000390,COUP00064,CUST00626,2024-10-17
CR000391,COUP00058,CUST00776,2023-11-21
CR000392,COUP00017,CUST01303,2023-11-26
CR000393,COUP00198,CUST02633,2024-10-21
CR000394,COUP00079,CUST02533,2025-05-07
CR000395,COUP00041,CUST01269,2024-09-27
CR000396,COUP00005,CUST01774,2024-12-23
CR000397,COUP00023,CUST02925,2024-10-18
CR000398,COUP00197,CUST01167,2024-03-07
CR000399,COUP00126,CUST02549,2024-08-10
CR000400,COUP00010,CUST01551,2024-10-21
CR000401,COUP00068,CUST02141,2024-08-05
CR000402,COUP00140,CUST01407,2023-08-01
CR000403,COUP00111,CUST01913,2024-11-17
CR000404,COUP00138,CUST02327,2024-06-08
CR000405,COUP00060,CUST01751,2024-01-20
CR000406,COUP00127,CUST00621,2024-04-23
CR000407,COUP00030,CUST01312,2023-09-25
CR000408,COUP00114,CUST02524,2025-01-11
CR000409,COUP00152,CUST02930,2024-07-03
CR000410,COUP00069,CUST00672,2024-10-12
CR000411,COUP00013,CUST00801,2023-11-23
CR000412,COUP00009,CUST00171,2024-02-17
CR000413,COUP00146,CUST01549,2024-11-12
CR000414,COUP00163,CUST02420,2025-04-07
CR000415,COUP00132,CUST02780,2024-04-19
CR000416,COUP00169,CUST01417,2024-10-25
CR000417,COUP00026,CUST01982,2023-08-05
CR000418,COUP00125,CUST02233,2023-12-31
CR000419,COUP00044,CUST00939,2024-11-24
CR000420,COUP00170,CUST00835,2024-04-07
CR000421,COUP00010,CUST02257,2025-05-13
CR000422,COUP00105,CUST02848,2024-08-01
CR000423,COUP00106,CUST02047,2024-03-19
CR000424,COUP00001,CUST01385,2023-09-05
CR000425,COUP00182,CUST02032,2024-10-12
CR000426,COUP00144,CUST01465,2023-08-05
CR000427,COUP00046,CUST02417,2024-05-26
CR000428,COUP00141,CUST02772,2025-01-08
CR000429,COUP00064,CUST01256,2024-07-25
CR000430,COUP00078,CUST01005,2024-03-23
CR000431,COUP00087,CUST02885,2025-02-17
CR000432,COUP00183,CUST01732,2024-06-18
CR000433,COUP00063,CUST01273,2025-03-30
CR000434,COUP00146,CUST01341,2023-08-17
CR000435,COUP00061,CUST02312,2024-06-22
CR000436,COUP00092,CUST01753,2024-09-18
CR000437,COUP00123,CUST01957,2025-01-15
CR000438,COUP00020,CUST02730,2024-11-15
CR000439,COUP00193,CUST00913,2024-08-07
CR000440,COUP00064,CUST01692,2023-12-31
CR000441,COUP00076,CUST00070,2023-07-02
CR000442,COUP00192,CUST01258,2024-10-12
CR000443,COUP00107,CUST00432,2024-01-01
CR000444,COUP00141,CUST01078,2024-04-17
CR000445,COUP00196,CUST00170,2024-11-17
CR000446,COUP00198,CUST02084,2024-03-01
CR000447,COUP00057,CUST01951,2023-09-21
CR000448,COUP00045,CUST01985,2024-08-29
CR000449,COUP00120,CUST00259,2024-09-29
CR000450,COUP00086,CUST02299,2024-07-28
CR000451,COUP00038,CUST02061,2023-10-21
CR000452,COUP00182,CUST02719,2023-08-28
CR000453,COUP00164,CUST02589,2023-11-02
CR000454,COUP00067,CUST02105,2025-01-08
CR000455,COUP00121,CUST01004,2023-12-29
CR000456,COUP00126,CUST01185,2024-10-06
CR000457,COUP00011,CUST00437,2025-02-05
CR000458,COUP00098,CUST02826,2024-10-21
CR000459,COUP00155,CUST00230,2023-09-07
CR000460,COUP00087,CUST00831,2025-04-19
CR000461,COUP00145,CUST00841,2024-04-02
CR000462,COUP00122,CUST01217,2024-03-17
CR000463,COUP00098,CUST00620,2024-05-02
CR000464,COUP00033,CUST02405,2024-11-09
CR000465,COUP00133,CUST02400,2024-01-23
CR000466,COUP00123,CUST02913,2025-03-20
CR000467,COUP00081,CUST01282,2025-03-11
CR000468,COUP00062,CUST00622,2024-02-25
CR000469,COUP00065,CUST00635,2024-02-13
CR000470,COUP00199,CUST01994,2023-12-31
CR000471,COUP00125,CUST02676,2024-12-28
CR000472,COUP00195,CUST01766,2025-02-11
CR000473,COUP00090,CUST02341,2023-07-25
CR000474,COUP00044,CUST01410,2025-04-26
CR000475,COUP00121,CUST00829,2023-09-07
CR000476,COUP00142,CUST02282,2025-03-14
CR000477,COUP00091,CUST01727,2025-01-11
CR000478,COUP00057,CUST00537,2023-08-25
CR000479,COUP00048,CUST01403,2024-10-24
CR000480,COUP00145,CUST00805,2025-01-04
CR000481,COUP00044,CUST02037,2025-03-17
CR000482,COUP00132,CUST02587,2024-04-25
CR000483,COUP00081,CUST00852,2024-08-24
CR000484,COUP00097,CUST02226,2024-07-26
CR000485,COUP00030,CUST00556,2024-03-20
CR000486,COUP00121,CUST01246,2024-11-02
CR000487,COUP00085,CUST00948,2023-12-23
CR000488,COUP00183,CUST02871,2024-01-03
CR000489,COUP00158,CUST00228,2023-11-02
CR000490,COUP00146,CUST01865,2024-09-29
CR000491,COUP00084,CUST01934,2025-02-22
CR000492,COUP00098,CUST00254,2025-02-08
CR000493,COUP00092,CUST02723,2023-09-13
CR000494,COUP00073,CUST02054,2025-02-11
CR000495,COUP00172,CUST02095,2024-02-20
CR000496,COUP00190,CUST02931,2024-07-21
CR000497,COUP00031,CUST02628,2023-08-14
CR000498,COUP00109,CUST00254,2023-08-24
CR000499,COUP00016,CUST00059,2025-02-13
CR000500,COUP00095,CUST01722,2023-08-09
CR000501,COUP00077,CUST02608,2024-03-28
CR000502,COUP00151,CUST01015,2023-05-31
CR000503,COUP00142,CUST01215,2024-11-27
CR000504,COUP00002,CUST00265,2024-12-20
CR000505,COUP00140,CUST01708,2024-09-18
CR000506,COUP00186,CUST01582,2024-01-12
CR000507,COUP00128,CUST02294,2023-09-13
CR000508,COUP00092,CUST02485,2025-03-07
CR000509,COUP00184,CUST02736,2023-06-25
CR000510,COUP00024,CUST02524,2024-12-22
CR000511,COUP00037,CUST00938,2025-01-28
CR000512,COUP00029,CUST00878,2024-12-29
CR000513,COUP00042,CUST02705,2024-11-25
CR000514,COUP00018,CUST00547,2025-05-25
CR000515,COUP00131,CUST02463,2023-08-05
CR000516,COUP00013,CUST00398,2024-04-01
CR000517,COUP00106,CUST02040,2025-01-19
CR000518,COUP00157,CUST02216,2024-06-12
CR000519,COUP00194,CUST01631,2024-01-12
CR000520,COUP00059,CUST01852,2024-11-20
CR000521,COUP00092,CUST02851,2024-11-20
CR000522,COUP00176,CUST00230,2024-07-29
CR000523,COUP00004,CUST00703,2023-09-01
CR000524,COUP00051,CUST01428,2023-10-05
CR000525,COUP00133,CUST02192,2024-08-13
CR000526,COUP00167,CUST01700,2024-08-04
CR000527,COUP00041,CUST01555,2023-07-18
CR000528,COUP00005,CUST02116,2025-05-21
CR000529,COUP00136,CUST02146,2025-04-13
CR000530,COUP00184,CUST00007,2025-05-06
CR000531,COUP00153,CUST02863,2024-08-01
CR000532,COUP00091,CUST00177,2023-12-05
CR000533,COUP00180,CUST01230,2025-01-27
CR000534,COUP00052,CUST00299,2023-06-14
CR000535,COUP00135,CUST01824,2024-09-23
CR000536,COUP00189,CUST02277,2024-06-08
CR000537,COUP00047,CUST02944,2025-03-01
CR000538,COUP00127,CUST00631,2023-06-04
CR000539,COUP00082,CUST00270,2024-11-20
CR000540,COUP00066,CUST00081,2024-10-24
CR000541,COUP00187,CUST01696,2023-06-23
CR000542,COUP00133,CUST00820,2024-02-16
CR000543,COUP00172,CUST00501,2025-04-30
CR000544,COUP00170,CUST02754,2024-08-12
CR000545,COUP00061,CUST01511,2024-02-02
CR000546,COUP00191,CUST01512,2024-07-29
CR000547,COUP00050,CUST00990,2025-04-29
CR000548,COUP00166,CUST01502,2024-05-14
CR000549,COUP00182,CUST02751,2023-06-11
CR000550,COUP00172,CUST01313,2024-04-12
CR000551,COUP00152,CUST02154,2025-01-08
CR000552,COUP00128,CUST00641,2023-09-27
CR000553,COUP00063,CUST00609,2023-06-15
CR000554,COUP00167,CUST01009,2024-01-23
CR000555,COUP00140,CUST01600,2024-06-18
CR000556,COUP00191,CUST01664,2024-12-28
CR000557,COUP00103,CUST01829,2024-06-26
CR000558,COUP00009,CUST01998,2024-08-17
CR000559,COUP00079,CUST02430,2023-12-11
CR000560,COUP00087,CUST02886,2023-10-11
CR000561,COUP00109,CUST01927,2024-05-09
CR000562,COUP00022,CUST00104,2024-07-02
CR000563,COUP00036,CUST02712,2024-09-04
CR000564,COUP00074,CUST01532,2023-07-30
CR000565,COUP00156,CUST01988,2024-09-05
CR000566,COUP00056,CUST01079,2023-07-19
CR000567,COUP00099,CUST00121,2023-12-27
CR000568,COUP00157,CUST00407,2024-08-06
CR000569,COUP00005,CUST00676,2024-09-17
CR000570,COUP00004,CUST02489,2024-07-29
CR000571,COUP00179,CUST01655,2024-11-25
CR000572,COUP00015,CUST00432,2025-02-26
CR000573,COUP00188,CUST00909,2023-06-24
CR000574,COUP00026,CUST00061,2023-06-04
CR000575,COUP00023,CUST02774,2025-01-17
CR000576,COUP00125,CUST01271,2023-10-30
CR000577,COUP00103,CUST02987,2025-01-13
CR000578,COUP00029,CUST02917,2025-03-01
CR000579,COUP00086,CUST01614,2024-01-08
CR000580,COUP00057,CUST01048,2024-01-30
CR000581,COUP00062,CUST02454,2023-10-05
