ShipmentID,OrderID,CarrierID,ShipmentDate
SHIP000207,ORD009844,CAR0012,2024-11-04
SHIP000208,ORD004178,CAR0001,2025-04-24
SHIP000209,ORD007212,CAR0020,2025-05-22
SHIP000210,ORD007874,CAR0016,2024-09-08
SHIP000211,ORD003842,CAR0012,2025-01-31
SHIP000212,ORD006417,CAR0009,2024-09-06
SHIP000213,ORD010634,CAR0013,2025-03-07
SHIP000214,ORD004886,CAR0017,2025-01-22
SHIP000215,ORD000595,CAR0017,2025-02-19
SHIP000216,ORD014394,CAR0004,2024-07-28
SHIP000217,ORD002613,CAR0014,2025-03-16
SHIP000218,ORD012289,CAR0019,2025-03-19
SHIP000219,ORD017881,CAR0007,2024-10-25
SHIP000220,ORD019940,CAR0003,2024-12-30
SHIP000221,ORD004862,CAR0001,2024-12-26
SHIP000222,ORD004767,CAR0012,2024-07-27
SHIP000223,ORD003359,CAR0015,2024-05-30
SHIP000224,ORD014847,CAR0011,2025-05-15
SHIP000225,ORD000915,CAR0010,2025-02-18
SHIP000226,ORD018229,CAR0002,2024-08-24
SHIP000227,ORD001996,CAR0004,2024-09-10
SHIP000228,ORD000095,CAR0017,2025-02-19
SHIP000229,ORD008685,CAR0017,2024-07-20
SHIP000230,ORD015101,CAR0008,2024-08-15
SHIP000231,ORD019454,CAR0014,2024-09-10
SHIP000232,ORD000150,CAR0004,2025-05-24
SHIP000233,ORD017431,CAR0006,2025-03-16
SHIP000234,ORD002804,CAR0019,2025-02-07
SHIP000235,ORD014467,CAR0004,2025-02-15
SHIP000236,ORD007277,CAR0003,2024-12-29
SHIP000237,ORD000552,CAR0020,2024-11-25
SHIP000238,ORD015481,CAR0006,2024-10-06
SHIP000239,ORD008487,CAR0007,2025-04-10
SHIP000240,ORD017528,CAR0014,2024-06-09
SHIP000241,ORD016840,CAR0012,2024-07-05
SHIP000242,ORD009746,CAR0016,2025-01-06
SHIP000243,ORD008361,CAR0020,2025-02-21
SHIP000244,ORD012998,CAR0008,2025-03-21
SHIP000245,ORD018331,CAR0002,2025-01-02
SHIP000246,ORD007311,CAR0013,2024-10-15
SHIP000247,ORD005818,CAR0008,2025-01-30
SHIP000248,ORD010569,CAR0020,2024-07-10
SHIP000249,ORD008071,CAR0016,2024-09-29
SHIP000250,ORD001321,CAR0004,2024-10-11
SHIP000251,ORD006154,CAR0016,2024-08-03
SHIP000252,ORD006590,CAR0020,2025-01-24
SHIP000253,ORD015590,CAR0006,2025-02-18
SHIP000254,ORD003608,CAR0004,2024-11-21
SHIP000255,ORD010318,CAR0016,2025-02-26
SHIP000256,ORD010433,CAR0013,2024-12-13
SHIP000257,ORD000401,CAR0005,2024-06-10
SHIP000258,ORD016747,CAR0015,2024-07-19
SHIP000259,ORD003852,CAR0008,2024-11-20
SHIP000260,ORD019797,CAR0007,2024-08-04
SHIP000261,ORD010499,CAR0014,2024-10-21
SHIP000262,ORD000085,CAR0007,2025-01-28
SHIP000263,ORD001825,CAR0007,2024-11-20
SHIP000264,ORD012078,CAR0018,2025-01-17
SHIP000265,ORD015931,CAR0010,2025-01-09
SHIP000266,ORD012550,CAR0018,2024-12-16
SHIP000267,ORD010114,CAR0014,2025-05-04
SHIP000268,ORD015133,CAR0010,2025-02-26
SHIP000269,ORD008823,CAR0007,2025-03-16
SHIP000270,ORD007419,CAR0007,2024-08-27
SHIP000271,ORD002372,CAR0007,2024-11-16
SHIP000272,ORD007069,CAR0005,2024-12-03
SHIP000273,ORD019685,CAR0001,2024-08-01
SHIP000274,ORD011860,CAR0014,2025-05-20
SHIP000275,ORD007465,CAR0018,2024-12-16
SHIP000276,ORD017111,CAR0013,2025-02-17
SHIP000277,ORD013549,CAR0008,2025-03-06
SHIP000278,ORD007122,CAR0008,2025-04-14
SHIP000279,ORD009841,CAR0010,2024-06-26
SHIP000280,ORD004313,CAR0017,2025-04-18
SHIP000281,ORD008001,CAR0006,2025-04-21
SHIP000282,ORD009462,CAR0015,2024-12-05
SHIP000283,ORD000319,CAR0015,2024-07-23
SHIP000284,ORD015330,CAR0016,2024-12-06
SHIP000285,ORD015792,CAR0008,2024-12-25
SHIP000286,ORD019860,CAR0019,2024-06-28
SHIP000287,ORD014373,CAR0020,2025-03-13
SHIP000288,ORD015936,CAR0015,2025-01-14
SHIP000289,ORD015702,CAR0003,2024-11-24
SHIP000290,ORD011251,CAR0006,2024-12-04
SHIP000291,ORD001603,CAR0008,2024-07-04
SHIP000292,ORD018641,CAR0016,2025-04-30
SHIP000293,ORD009048,CAR0015,2024-08-02
SHIP000294,ORD015235,CAR0013,2024-08-01
SHIP000295,ORD007533,CAR0020,2024-12-11
SHIP000296,ORD007367,CAR0015,2025-03-05
SHIP000297,ORD002649,CAR0018,2025-01-02
SHIP000298,ORD006904,CAR0013,2025-04-13
SHIP000299,ORD018243,CAR0008,2025-04-24
SHIP000300,ORD017487,CAR0014,2024-08-14
SHIP000301,ORD013789,CAR0011,2025-05-01
SHIP000302,ORD002482,CAR0006,2025-02-02
SHIP000303,ORD001821,CAR0001,2025-02-11
SHIP000304,ORD010272,CAR0002,2024-12-04
SHIP000305,ORD019543,CAR0013,2025-04-02
SHIP000306,ORD003685,CAR0001,2025-01-22
SHIP000307,ORD003652,CAR0004,2025-02-25
SHIP000308,ORD010432,CAR0002,2025-02-18
SHIP000309,ORD010132,CAR0020,2024-07-03
SHIP000310,ORD004831,CAR0016,2024-06-07
SHIP000311,ORD007335,CAR0003,2025-02-01
SHIP000312,ORD014620,CAR0017,2024-05-29
SHIP000313,ORD009305,CAR0005,2024-09-07
SHIP000314,ORD014880,CAR0008,2025-04-04
SHIP000315,ORD017033,CAR0012,2025-02-12
SHIP000316,ORD014586,CAR0012,2024-06-26
SHIP000317,ORD000017,CAR0001,2024-11-04
SHIP000318,ORD008309,CAR0001,2024-10-10
SHIP000319,ORD006477,CAR0015,2025-04-22
SHIP000320,ORD005943,CAR0017,2024-11-06
SHIP000321,ORD017930,CAR0002,2024-09-14
SHIP000322,ORD002694,CAR0017,2025-03-26
SHIP000323,ORD015563,CAR0020,2025-03-24
SHIP000324,ORD006260,CAR0009,2024-06-19
SHIP000325,ORD015580,CAR0012,2024-05-30
SHIP000326,ORD009469,CAR0004,2024-06-28
SHIP000327,ORD019625,CAR0013,2024-06-27
SHIP000328,ORD004943,CAR0004,2024-08-04
SHIP000329,ORD014652,CAR0007,2025-05-17
SHIP000330,ORD003789,CAR0014,2025-02-28
SHIP000331,ORD000372,CAR0009,2025-01-07
SHIP000332,ORD007121,CAR0001,2025-02-26
SHIP000333,ORD005703,CAR0001,2024-10-13
SHIP000334,ORD008348,CAR0020,2024-12-20
SHIP000335,ORD002662,CAR0004,2024-12-20
SHIP000336,ORD006652,CAR0001,2025-05-02
SHIP000337,ORD004879,CAR0010,2025-03-25
SHIP000338,ORD013092,CAR0002,2024-06-28
SHIP000339,ORD004316,CAR0015,2025-02-21
SHIP000340,ORD009966,CAR0003,2024-08-13
SHIP000341,ORD008309,CAR0009,2024-07-07
SHIP000342,ORD006475,CAR0017,2024-06-08
SHIP000343,ORD001375,CAR0013,2025-05-17
SHIP000344,ORD011396,CAR0003,2024-11-02
SHIP000345,ORD007394,CAR0004,2024-11-18
SHIP000346,ORD004404,CAR0004,2024-09-28
SHIP000347,ORD003547,CAR0011,2025-04-28
SHIP000348,ORD003978,CAR0007,2024-11-26
SHIP000349,ORD009389,CAR0011,2025-03-02
SHIP000350,ORD019796,CAR0011,2024-09-04
SHIP000351,ORD008989,CAR0010,2025-05-17
SHIP000352,ORD003893,CAR0005,2025-05-09
SHIP000353,ORD014009,CAR0013,2024-12-30
SHIP000354,ORD003250,CAR0012,2024-07-10
SHIP000355,ORD000112,CAR0010,2024-11-30
SHIP000356,ORD017067,CAR0007,2025-02-13
SHIP000357,ORD017546,CAR0019,2024-11-19
SHIP000358,ORD007401,CAR0019,2025-01-08
SHIP000359,ORD002380,CAR0019,2024-06-17
SHIP000360,ORD013181,CAR0012,2025-05-14
SHIP000361,ORD008353,CAR0020,2025-03-10
SHIP000362,ORD017810,CAR0015,2025-01-30
SHIP000363,ORD008470,CAR0005,2025-01-18
SHIP000364,ORD009749,CAR0014,2025-03-21
SHIP000365,ORD010108,CAR0012,2025-05-26
SHIP000366,ORD012943,CAR0011,2024-06-26
SHIP000367,ORD019492,CAR0005,2024-08-06
SHIP000368,ORD016687,CAR0016,2024-08-19
SHIP000369,ORD004534,CAR0018,2024-07-19
SHIP000370,ORD019158,CAR0012,2025-04-22
SHIP000371,ORD004282,CAR0005,2024-07-10
SHIP000372,ORD004769,CAR0016,2024-10-10
SHIP000373,ORD017385,CAR0012,2024-06-08
SHIP000374,ORD012199,CAR0002,2025-04-14
SHIP000375,ORD018103,CAR0006,2024-09-15
SHIP000376,ORD007170,CAR0004,2024-07-28
SHIP000377,ORD007362,CAR0013,2024-07-31
SHIP000378,ORD003831,CAR0010,2024-11-28
SHIP000379,ORD002883,CAR0017,2024-09-30
SHIP000380,ORD000999,CAR0014,2024-09-16
SHIP000381,ORD015943,CAR0015,2025-03-10
SHIP000382,ORD016669,CAR0008,2024-08-01
SHIP000383,ORD016247,CAR0018,2024-06-03
SHIP000384,ORD018545,CAR0003,2024-07-01
SHIP000385,ORD003066,CAR0017,2024-10-17
SHIP000386,ORD010468,CAR0007,2024-08-05
SHIP000387,ORD017879,CAR0013,2025-05-25
SHIP000388,ORD012077,CAR0016,2025-02-01
SHIP000389,ORD002544,CAR0005,2024-10-31
SHIP000390,ORD010034,CAR0004,2024-10-14
SHIP000391,ORD001402,CAR0010,2024-09-01
SHIP000392,ORD016830,CAR0013,2024-09-24
SHIP000393,ORD004523,CAR0010,2024-09-23
SHIP000394,ORD002552,CAR0014,2025-03-03
SHIP000395,ORD004817,CAR0012,2025-02-08
SHIP000396,ORD019116,CAR0001,2024-10-17
SHIP000397,ORD007700,CAR0020,2025-05-23
SHIP000398,ORD002630,CAR0020,2024-11-25
SHIP000399,ORD007688,CAR0007,2024-07-14
SHIP000400,ORD010157,CAR0009,2024-11-02
SHIP000401,ORD017442,CAR0008,2024-08-18
SHIP000402,ORD006835,CAR0013,2024-07-09
SHIP000403,ORD018180,CAR0014,2024-12-21
SHIP000404,ORD004850,CAR0012,2024-10-31
SHIP000405,ORD015783,CAR0008,2024-09-13
SHIP000406,ORD015828,CAR0018,2024-11-21
SHIP000407,ORD009432,CAR0016,2024-07-17
SHIP000408,ORD004151,CAR0011,2024-07-22
SHIP000409,ORD011290,CAR0016,2025-02-08
SHIP000410,ORD009497,CAR0014,2024-08-29
SHIP000411,ORD006471,CAR0003,2024-06-09
SHIP000412,ORD013258,CAR0002,2025-04-13
SHIP000413,ORD003713,CAR0003,2025-03-22
SHIP000414,ORD012722,CAR0004,2025-03-16
SHIP000415,ORD012496,CAR0005,2025-04-29
SHIP000416,ORD012421,CAR0010,2024-06-17
SHIP000417,ORD005316,CAR0020,2025-01-19
SHIP000418,ORD005382,CAR0002,2024-07-05
SHIP000419,ORD009498,CAR0012,2024-11-16
SHIP000420,ORD019559,CAR0005,2024-06-09
SHIP000421,ORD013495,CAR0005,2025-04-30
SHIP000422,ORD016951,CAR0001,2024-07-09
SHIP000423,ORD015753,CAR0004,2024-11-07
SHIP000424,ORD004623,CAR0012,2025-03-22
SHIP000425,ORD004133,CAR0012,2024-06-05
SHIP000426,ORD008831,CAR0016,2024-08-12
SHIP000427,ORD006996,CAR0017,2024-12-02
SHIP000428,ORD002671,CAR0010,2025-02-01
SHIP000429,ORD009365,CAR0017,2024-11-04
SHIP000430,ORD018067,CAR0017,2024-09-27
SHIP000431,ORD010042,CAR0018,2024-08-06
SHIP000432,ORD009055,CAR0002,2025-05-22
SHIP000433,ORD011638,CAR0004,2025-02-21
SHIP000434,ORD010758,CAR0019,2024-06-08
SHIP000435,ORD008491,CAR0011,2025-04-21
SHIP000436,ORD012330,CAR0017,2025-03-01
SHIP000437,ORD000771,CAR0012,2024-09-19
SHIP000438,ORD003855,CAR0002,2024-10-06
SHIP000439,ORD003119,CAR0006,2025-03-15
SHIP000440,ORD018517,CAR0009,2025-01-10
SHIP000441,ORD009902,CAR0005,2024-08-06
SHIP000442,ORD017375,CAR0020,2025-02-26
SHIP000443,ORD017095,CAR0009,2024-07-10
SHIP000444,ORD013523,CAR0008,2025-05-16
SHIP000445,ORD000039,CAR0020,2024-12-15
SHIP000446,ORD017660,CAR0008,2025-02-01
SHIP000447,ORD016003,CAR0006,2024-06-07
SHIP000448,ORD004858,CAR0003,2024-07-29
SHIP000449,ORD016313,CAR0005,2025-02-06
SHIP000450,ORD001437,CAR0009,2025-04-16
SHIP000451,ORD018484,CAR0007,2024-09-27
SHIP000452,ORD007694,CAR0004,2024-06-06
SHIP000453,ORD013219,CAR0007,2025-04-13
SHIP000454,ORD004252,CAR0005,2025-05-14
SHIP000455,ORD009306,CAR0011,2025-05-14
SHIP000456,ORD010591,CAR0015,2025-04-18
SHIP000457,ORD019619,CAR0002,2025-01-02
SHIP000458,ORD007663,CAR0013,2025-04-02
SHIP000459,ORD003124,CAR0016,2024-07-17
SHIP000460,ORD017038,CAR0007,2025-04-27
SHIP000461,ORD004159,CAR0008,2024-10-07
SHIP000462,ORD008701,CAR0006,2025-01-11
SHIP000463,ORD010532,CAR0007,2025-03-18
SHIP000464,ORD009880,CAR0018,2025-04-10
SHIP000465,ORD005544,CAR0020,2024-07-12
SHIP000466,ORD013981,CAR0007,2025-01-04
SHIP000467,ORD015157,CAR0003,2025-05-02
SHIP000468,ORD009581,CAR0005,2024-08-24
SHIP000469,ORD018582,CAR0001,2025-04-25
SHIP000470,ORD003912,CAR0015,2024-06-04
SHIP000471,ORD013583,CAR0003,2025-05-17
SHIP000472,ORD011121,CAR0008,2024-09-21
SHIP000473,ORD005236,CAR0009,2024-08-14
SHIP000474,ORD004800,CAR0015,2024-10-13
SHIP000475,ORD014226,CAR0010,2024-10-26
SHIP000476,ORD016710,CAR0002,2025-03-03
SHIP000477,ORD003767,CAR0020,2025-01-19
SHIP000478,ORD004112,CAR0005,2025-03-11
SHIP000479,ORD007016,CAR0019,2025-05-23
SHIP000480,ORD006857,CAR0013,2024-11-22
SHIP000481,ORD016491,CAR0011,2024-12-16
SHIP000482,ORD002427,CAR0001,2025-04-12
SHIP000483,ORD014498,CAR0015,2025-01-07
SHIP000484,ORD018916,CAR0018,2025-02-08
SHIP000485,ORD011337,CAR0016,2024-06-24
SHIP000486,ORD005317,CAR0009,2024-07-25
SHIP000487,ORD005363,CAR0001,2024-08-06
SHIP000488,ORD004694,CAR0011,2024-11-28
SHIP000489,ORD008991,CAR0009,2025-02-11
SHIP000490,ORD015134,CAR0011,2025-02-09
SHIP000491,ORD014179,CAR0013,2025-01-26
SHIP000492,ORD010630,CAR0002,2024-10-10
SHIP000493,ORD018396,CAR0014,2024-06-11
SHIP000494,ORD014752,CAR0006,2025-02-16
SHIP000495,ORD000426,CAR0008,2024-06-03
SHIP000496,ORD003045,CAR0018,2024-08-01
SHIP000497,ORD011481,CAR0016,2025-04-08
SHIP000498,ORD011107,CAR0012,2025-01-22
SHIP000499,ORD006230,CAR0011,2024-12-02
SHIP000500,ORD001240,CAR0006,2024-05-30
