CostID,ProductID,StoreID,UnitCost,EffectiveDate,RowHash
COST00021,3079,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,35.39,2025-03-10,ba9c5826018c289fbe176ef9e16f85a2
COST00022,4700,bcffdf26-2889-4b0d-929a-8e779c6e851b,30.99,2024-06-01,e7a8206dc9ecf1e9ab02537a02bb3f32
COST00023,533,a87d51a3-8ba7-4050-a5ae-3c0e1e33ad7f,40.71,2024-10-22,789e72a4c9337a9c559546c6888836f5
COST00024,2784,a3027ea6-3a7b-4285-9b82-5ab90b244a50,24.51,2024-08-25,9a8d9f6841e0c9a26f6341fe6e9b3747
COST00025,149,e65aca15-c7da-4cf0-8f86-97057eb6e41d,30.46,2025-04-10,1b7163b1ea673b6f88697429f3deb411
COST00026,1759,35e27300-4661-4cc1-883a-60fcc46d1705,29.26,2024-09-01,e5c6007ad87584dd626597f27e8d9f87
COST00027,1331,0481f8c0-ef1b-42c1-b53f-512d8d8db267,7.72,2024-12-01,7d60534953b7af053b440b1e17f9fb25
COST00028,2245,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,19.45,2024-12-14,2da4f430829bea6a4200e53408276523
COST00029,4521,4043f2fd-ddb7-4123-94b1-704bb06dbec6,20.17,2025-04-01,2d67b7db8231392d1acb46f4cf123800
COST00030,4293,57b082e7-cf0c-4a8d-978e-d3dea718b8c4,42.76,2024-08-23,8a9c0acb4da3e08d7e69c3875e7a8f4e
COST00031,3035,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,38.82,2024-12-10,309b627412504ead24aca3b3bc446e61
COST00032,3413,449e10e4-a998-443f-8f47-b8f5ce345a9a,22.79,2025-01-05,827123cf08cec42ae1bc606ae9550485
COST00033,3166,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,32.86,2025-04-16,8744b8db1dbc3bc64e296a943c9ea802
COST00034,2105,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,6.95,2025-01-29,1a0fde761cfb6a99b87c99334f207de2
COST00035,1623,d826fea5-d663-4b8b-a010-a7b330fd9922,41.86,2025-05-05,560139089c0acb9967e885749bbf5844
COST00036,1596,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,40.24,2024-11-10,f1302f649eab88fb1abc485f50cc9414
COST00037,2808,0481f8c0-ef1b-42c1-b53f-512d8d8db267,8.32,2024-10-12,7940f4f53c9ad66abcf61e17e0e7e284
COST00038,1513,4043f2fd-ddb7-4123-94b1-704bb06dbec6,14.09,2025-02-10,b7aa4abe1c6be0ac3343ea68ff51ae1a
COST00039,1672,0481f8c0-ef1b-42c1-b53f-512d8d8db267,4.62,2024-08-17,4af92addbf74f64bd343f3dcefd89372
COST00040,387,576ca2ee-5c98-4032-8085-4a11312f9e78,6.57,2024-12-10,91793d2ce98b3a6e72de0429cde5b7e5
COST00041,1560,4043f2fd-ddb7-4123-94b1-704bb06dbec6,18.95,2024-09-18,d91a585e41b0c08a1befd2cf8944bf27
COST00042,2666,a412573c-b3f6-4108-9682-f95775c56a2b,8.27,2024-10-04,556379a8cc5baf31ba6650877975464f
COST00043,2978,3412d299-a203-47c4-bde2-ecd5ef09fe58,30.4,2025-01-24,dae7727c4ee028663758e5c96ff5b854
COST00044,4229,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,13.11,2025-04-15,a5718ecc4a97ad796e6d87f71d9b77ba
COST00045,3014,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,45.93,2025-02-15,99734c2dd7a02a36339acb28a07773f7
COST00046,4230,681c4fda-26fa-44ac-9682-e052faf1d3fb,21.18,2025-02-13,5d7c37ea5999249243512766992217bc
COST00047,2820,066320f6-15d5-4240-b39a-1d9697acf693,44.39,2024-06-09,df0156cd5714bb2c049550cccfe1ce65
COST00048,583,b8877c9b-300e-4619-9c17-285548f42c1a,36.49,2025-02-24,549b017c189f57015de7ecc30494b9ca
COST00049,1304,dea48fdc-5533-48f4-9d69-3e89b5fa379e,41.38,2024-12-26,67e4879bd4d6c282db3dd960e9b61587
COST00050,2386,449e10e4-a998-443f-8f47-b8f5ce345a9a,16.95,2025-03-30,0d68ef87885c976b8b2efc9e20837492
COST00051,1784,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,41.34,2024-06-17,0613b94a8522c8cf1bbc26a62e4ad098
COST00052,2379,545e803e-892a-4417-b123-bc3d2f548566,33.76,2025-04-03,8f2f28bc56a64051101274668b49325d
COST00053,3843,b8877c9b-300e-4619-9c17-285548f42c1a,49.41,2025-04-15,e84cf0dd956362d27e320179ac6f00db
COST00054,3721,35e27300-4661-4cc1-883a-60fcc46d1705,35.67,2024-11-10,afb4f227665929df2c2fe720d89e727d
COST00055,2105,50a26c10-fd86-4364-8549-75c2f73d6e74,14.35,2024-06-06,02c9075808f6c2f6c9495a6362605989
COST00056,2772,e65aca15-c7da-4cf0-8f86-97057eb6e41d,43.92,2024-06-29,59235b1ddea9a58002971680daf50dea
COST00057,900,d826fea5-d663-4b8b-a010-a7b330fd9922,27.34,2024-09-18,e2c45989aae0ff73d4a26c15c22e0eba
COST00058,2230,5338a24d-bd24-49b6-80c7-ceb5d88d8923,32.92,2024-09-30,bf4664754bd5dfe161d315af1d5c3242
COST00059,759,cacf17b4-cc76-4a81-a2a1-99b245d85f9e,33.87,2024-06-06,e049b3ca99e1c3008f8e496a841e47fd
COST00060,1729,0481f8c0-ef1b-42c1-b53f-512d8d8db267,44.1,2024-10-18,ec1b7acef4bcc9c5aaff598ce66b7390
COST00061,3682,5338a24d-bd24-49b6-80c7-ceb5d88d8923,46.63,2025-02-06,38e5809bee0be57d5aa45a51e7b1b47b
COST00062,2264,9074b54f-8c90-47bd-8850-d5995b99dfd6,14.04,2024-08-26,5d82c22a89a7c9e2a23dea148a798d02
COST00063,4772,dea48fdc-5533-48f4-9d69-3e89b5fa379e,31.12,2025-02-16,6ccb5b6020aa9c4ec63dc75089c0002a
COST00064,925,b8877c9b-300e-4619-9c17-285548f42c1a,16.43,2024-10-12,92b51df0fb02b9616d45e5c3aec840f5
COST00065,447,e65aca15-c7da-4cf0-8f86-97057eb6e41d,11.61,2024-07-19,0582066e78e047fdce49a48a76bc1895
COST00066,852,82e03202-e75b-485c-a987-57c392f25f18,34.39,2024-09-07,a75702cf9c7dcfdd8a66c3093864e420
COST00067,3435,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,8.84,2025-04-25,091e54ff222d3e497c8b728914b355ba
COST00068,2561,035dca7b-d212-4a49-8f9f-3bd9aa44f0e6,6.28,2024-11-25,264577797d9a4738964c99ab7f77bc6b
COST00069,670,4043f2fd-ddb7-4123-94b1-704bb06dbec6,6.74,2024-09-06,01d10feedd5635120acfc39cc001b820
COST00070,3715,3412d299-a203-47c4-bde2-ecd5ef09fe58,14.68,2024-12-24,6ebfdac38a886e09b64503e955d4cdbc
COST00071,4046,0481f8c0-ef1b-42c1-b53f-512d8d8db267,15.55,2025-04-01,b63a42f4595b68e06295d943d16546f3
COST00072,4247,754ca431-4c26-4237-a234-fb658c2226c4,25.08,2024-06-02,84566a474c2986733b7b302a82eb0a5b
COST00073,1922,3412d299-a203-47c4-bde2-ecd5ef09fe58,21.61,2024-11-29,d223aa02355652d8b58d4862039396a7
COST00074,1047,3412d299-a203-47c4-bde2-ecd5ef09fe58,46.43,2024-09-06,673590c173ef099823dac6ce589efd77
COST00075,3349,dea48fdc-5533-48f4-9d69-3e89b5fa379e,4.93,2024-11-29,3bd092f9992710599aec7c20f3919e82
COST00076,1403,68a7d329-0366-49ce-986b-f2741f43d010,40.94,2024-07-08,1ee03468c99850c221704c446b40381c
COST00077,2326,a3027ea6-3a7b-4285-9b82-5ab90b244a50,39.83,2024-11-11,b2ddf2c3cd840cd122939b26cc21fe46
COST00078,1253,a87d51a3-8ba7-4050-a5ae-3c0e1e33ad7f,40.79,2024-07-24,b3a1b87ec2aba07c8a61b6f7a196c68a
COST00079,1240,576ca2ee-5c98-4032-8085-4a11312f9e78,45.1,2025-03-31,2d3173054663f2cc8ae5835b3961bbc2
COST00080,859,681c4fda-26fa-44ac-9682-e052faf1d3fb,15.74,2024-10-26,442c83e6e3ed62eed06546968d1b8262
COST00081,4173,57b082e7-cf0c-4a8d-978e-d3dea718b8c4,19.84,2025-01-11,5c5e7569ef28ed7a22181206b655249d
COST00082,912,d826fea5-d663-4b8b-a010-a7b330fd9922,22.98,2025-01-25,dd9b1562275b3bd52d6f8d632a17e5c2
COST00083,436,dea48fdc-5533-48f4-9d69-3e89b5fa379e,45.02,2024-05-27,d3aeaa06b6fc23a6ef15cef115d4f732
COST00084,3685,e65aca15-c7da-4cf0-8f86-97057eb6e41d,23.14,2025-04-28,2474067ceb0de6aae768419914724306
COST00085,3038,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,39.31,2025-02-08,41372430938010edb3eea0d96f36de62
COST00086,612,82e03202-e75b-485c-a987-57c392f25f18,44.4,2025-02-02,a25c958d4353f7d05c4dddf739118225
COST00087,2647,754ca431-4c26-4237-a234-fb658c2226c4,35.83,2024-07-31,771cb49ec6ca95fa480b21b376fa4dcf
COST00088,3855,2d046cbe-43bd-402d-9b0c-0adb463c5111,28.83,2024-08-31,54b2fdc655fe871993cf80dd237173de
COST00089,603,e65aca15-c7da-4cf0-8f86-97057eb6e41d,26.77,2024-12-23,30fc410981fe42adbdea6fd4bff20ead
COST00090,249,82e03202-e75b-485c-a987-57c392f25f18,14.62,2025-04-03,6afa9d3a40920160b160068e08a488ce
COST00091,1083,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,7.87,2024-08-26,33fdb4d07d83567033de8e5c2ef8c882
COST00092,36,35e27300-4661-4cc1-883a-60fcc46d1705,44.1,2025-05-06,60a5e9d5885e65b8b20373485ad480b0
COST00093,637,066320f6-15d5-4240-b39a-1d9697acf693,39.85,2024-06-07,11660189b2f678b778a36adb4b13ccbe
COST00094,4876,4043f2fd-ddb7-4123-94b1-704bb06dbec6,29.47,2025-05-03,4ebc130ea3480d148cdbaa2344717fd9
COST00095,3166,01adb8ae-ae19-4b3d-805f-5485251f2e61,15.25,2025-02-18,88ae2445f4216325d1ddfa22fd5efd99
COST00096,2990,7874faf7-fb69-4ae2-a738-b4c599358eeb,14.8,2025-01-14,a0a75d828c6fa72c933134dd2b149e8c
COST00097,2984,1424c333-ef79-42af-bcf5-5d41521a0e9b,20.99,2025-03-12,82dd878f37b774f0c9905e27c9de7445
COST00098,2025,4043f2fd-ddb7-4123-94b1-704bb06dbec6,17.41,2024-12-20,3997041e6f4741f4ef98d57abf800528
COST00099,1051,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,41.87,2024-11-02,db05a7d8816638ef04e30769cf531a64
COST00100,2536,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,31.59,2025-02-25,329ec149ab12f75e82a601302f4ce911
COST00101,2355,82e03202-e75b-485c-a987-57c392f25f18,34.96,2024-07-12,a50920671ca646d2908d3b45118e5c6f
COST00102,1097,dea48fdc-5533-48f4-9d69-3e89b5fa379e,14.9,2025-02-04,4458bf76663acacc3b461279251ca8fa
COST00103,4068,adfe1367-c650-47bc-ab26-c65be37eb483,47.86,2025-01-01,61fa00f8253f4498322d41c88069fd88
COST00104,3680,066320f6-15d5-4240-b39a-1d9697acf693,16.57,2024-08-26,6f1d8171d54d70b1a4611cbbc88f2f56
COST00105,2215,7874faf7-fb69-4ae2-a738-b4c599358eeb,13.92,2024-06-12,8dea647dc6572f1637f463b5ce28d620
COST00106,4254,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,7.22,2024-09-13,7bb61f780dc9d5b494c89c4ff729f5e9
COST00107,4995,d826fea5-d663-4b8b-a010-a7b330fd9922,15.21,2024-06-02,59b14ebc37703c778efa2fa419574d6d
COST00108,1960,82e03202-e75b-485c-a987-57c392f25f18,6.08,2024-07-14,0f9e4d7cf4378f85e4c6d9cab937e3e0
COST00109,4921,3c32b582-67e5-49c3-affc-7e44572ba0ae,39.77,2024-07-18,b94850b7ab574303af27bd72a84c41cc
COST00110,2052,674d43e2-b564-4df9-83e0-08d8d378e820,43.35,2024-10-24,d16d2ef18b41a4ab4569e01bdee057c5
COST00111,4616,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,43.17,2024-09-21,b040dc8b14cc0c670f331245d63f915d
COST00112,654,50a26c10-fd86-4364-8549-75c2f73d6e74,37.49,2025-05-06,6e3c9b6e2232724a65431655b1708bdf
COST00113,3496,a3027ea6-3a7b-4285-9b82-5ab90b244a50,23.08,2024-09-17,66dad16455d057bef7d9217c76a2c9b9
COST00114,4195,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,24.06,2024-05-15,b71ec6569766f6760fe6e6f660d26ba0
COST00115,2973,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,32.38,2024-06-10,7ebdb9dfe790d91a222b11bceae6a3aa
COST00116,2142,6410565f-b02b-4016-b97d-6d7f8710d655,3.8,2024-07-07,696f3d0e3741784abe5db3558b3b2a6c
COST00117,2380,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,3.83,2025-01-18,81139ba068b12866693be001fa9465cc
COST00118,3542,bcffdf26-2889-4b0d-929a-8e779c6e851b,37.83,2025-01-25,9ba25a251c9cdb597d9d09d8250d54c5
COST00119,4316,35e27300-4661-4cc1-883a-60fcc46d1705,22.97,2024-09-30,bc82e592e298578df33d56d6d3371bac
COST00120,3340,545e803e-892a-4417-b123-bc3d2f548566,22.35,2025-02-12,0aeb0ff04998657b22930a124d2b341f
COST00121,4785,bcffdf26-2889-4b0d-929a-8e779c6e851b,22.82,2025-05-11,9e83a78c951a50b7bfd277d58437eaab
COST00122,4068,7874faf7-fb69-4ae2-a738-b4c599358eeb,40.88,2024-09-24,282f2337bcd066c8aae19c9258059d80
COST00123,858,01adb8ae-ae19-4b3d-805f-5485251f2e61,44.78,2025-04-18,79d7f50ba859741d423ca5f816db7d63
COST00124,3446,754ca431-4c26-4237-a234-fb658c2226c4,41.04,2024-10-23,2529faf5bbff724625b09ea677a1c971
COST00125,1461,bc2a6082-d587-43ad-b368-78b70dcb5f55,24.86,2024-05-20,8dc5223e309ac4a9aaaa4b27a959ea7b
COST00126,249,128c966a-64f4-456d-9fd0-3d628c9d517a,6.49,2024-09-29,08ff6ef3d5eeeba4ff304ca35e428154
COST00127,3090,5338a24d-bd24-49b6-80c7-ceb5d88d8923,8.77,2025-02-06,271bc157b1ca18cd072d0c1c1b52682b
COST00128,4683,01adb8ae-ae19-4b3d-805f-5485251f2e61,45.14,2024-06-04,f78d1135c9864310cd90cf76448764cc
COST00129,1438,0db94890-c654-49b6-b76e-e535bc387855,39.7,2025-03-31,8333f7261fd99a7bf5062c5af6b7b7a7
COST00130,1985,5338a24d-bd24-49b6-80c7-ceb5d88d8923,44.81,2024-12-18,6d342caec9aa42311d5673fbc2d2704e
COST00131,3529,4043f2fd-ddb7-4123-94b1-704bb06dbec6,31.8,2024-12-24,0e766f0fac32b428eb28e78e3833b2e8
COST00132,3236,50a26c10-fd86-4364-8549-75c2f73d6e74,21.03,2024-09-24,53d7b7f1a66eecb4c7f91a79f131d196
COST00133,4778,3412d299-a203-47c4-bde2-ecd5ef09fe58,28.16,2025-01-19,04dd1ee57225662c106050008f6f0537
COST00134,477,545e803e-892a-4417-b123-bc3d2f548566,28.04,2024-12-27,e652ea16f874be7966e53a0f7ac1912f
COST00135,4959,545e803e-892a-4417-b123-bc3d2f548566,41.17,2024-09-20,51224550c3876d89e3262b1d842a3f14
COST00136,2432,a3027ea6-3a7b-4285-9b82-5ab90b244a50,37.62,2024-07-06,69d7d090ab9c32e1fcc8d2f1c55f6c98
COST00137,120,681c4fda-26fa-44ac-9682-e052faf1d3fb,4.11,2024-11-05,62c217c9f2e1abd0d27f0d8deae27b59
COST00138,3317,3c32b582-67e5-49c3-affc-7e44572ba0ae,36.73,2024-06-21,f256ab45b923ab52a3aae3355ad17444
COST00139,4933,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,16.69,2025-03-06,f53d5f60705ce023b6c2d3d064d6788c
COST00140,3051,7874faf7-fb69-4ae2-a738-b4c599358eeb,45.3,2025-02-22,fa6b6a2e70dbffc2984cd29f85c46744
COST00141,4529,128c966a-64f4-456d-9fd0-3d628c9d517a,24.54,2025-03-20,ce4718d8d118ba6cfb0221d952ec4054
COST00142,139,545e803e-892a-4417-b123-bc3d2f548566,32.11,2025-02-07,0b69eb8542da34a31f6ef09844d5a18e
COST00143,1149,7874faf7-fb69-4ae2-a738-b4c599358eeb,47.0,2025-05-03,2dd2991c27038447640b81e28537d9c3
COST00144,3847,066320f6-15d5-4240-b39a-1d9697acf693,19.38,2025-02-24,53aefab6aad71d5d0f8501fdf86279fe
COST00145,1834,576ca2ee-5c98-4032-8085-4a11312f9e78,43.65,2025-01-31,43936d3a8cf579913d1ce12788c8beda
COST00146,4477,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,48.46,2025-01-07,019d2b51aaa43c6585beb1cec81db6ca
COST00147,3539,2325976b-ebd3-4af4-ab95-cf6c75dd167e,32.96,2024-12-12,1ad17f77e81351a45e046a4b9653f040
COST00148,3777,449e10e4-a998-443f-8f47-b8f5ce345a9a,46.97,2025-04-01,7a54d16105f29f051fb630adfb7840cc
COST00149,4422,50a26c10-fd86-4364-8549-75c2f73d6e74,22.24,2024-10-31,08cc1ce0dbd3ade81c3f69e151baf89b
COST00150,1547,3c32b582-67e5-49c3-affc-7e44572ba0ae,33.89,2024-07-01,c21d959ce258eff12a26bf10abffc0ea
COST00151,3816,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,38.58,2025-04-04,fd1cef40cef50220230e58079ce6febb
COST00152,1412,1424c333-ef79-42af-bcf5-5d41521a0e9b,31.55,2025-02-19,ba4e5cb2a524cb689e065f6f7069901d
COST00153,1912,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,16.18,2024-10-31,ca79562ca6b6c5a3847c9c0cd2545706
COST00154,909,1424c333-ef79-42af-bcf5-5d41521a0e9b,20.36,2024-10-05,4e3c1ea6e0c1f57337c2ae5bbd7288f3
COST00155,1245,1424c333-ef79-42af-bcf5-5d41521a0e9b,19.54,2024-11-14,df28910da5635baa0183dd4a88fe079e
COST00156,2775,2325976b-ebd3-4af4-ab95-cf6c75dd167e,28.36,2024-12-13,e7ceb507c9f40d294df1fdf1104cdebc
COST00157,1352,a87d51a3-8ba7-4050-a5ae-3c0e1e33ad7f,44.11,2024-09-07,2d1f88ab96ab44f17ee068984a0d13ab
COST00158,4646,0481f8c0-ef1b-42c1-b53f-512d8d8db267,22.31,2025-04-09,0da0724a301d18bdcfa6615bd1246d39
COST00159,1508,128c966a-64f4-456d-9fd0-3d628c9d517a,23.58,2025-02-19,e6e90b2764f12bc24dd153ef8c20661a
COST00160,3729,bcffdf26-2889-4b0d-929a-8e779c6e851b,25.06,2025-02-25,6c4599b9fb500126303c164a8bc6be6a
COST00161,178,128c966a-64f4-456d-9fd0-3d628c9d517a,33.6,2025-01-27,c69df708ccba0030fc897d56e7692594
COST00162,2705,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,13.72,2025-01-19,9d9657a7b7f52751b64dd8223453487b
COST00163,2361,9074b54f-8c90-47bd-8850-d5995b99dfd6,28.25,2024-11-15,730097130254155c70206c720c58e8f8
COST00164,3996,674d43e2-b564-4df9-83e0-08d8d378e820,19.83,2024-08-01,68ad684711ee7ee3dd574b65efed098e
COST00165,3428,4043f2fd-ddb7-4123-94b1-704bb06dbec6,21.11,2024-10-22,d8dfa48c6ebc90d79bf7de1b797a20e3
COST00166,3540,674d43e2-b564-4df9-83e0-08d8d378e820,45.31,2024-09-10,cc43062d98e4cd519f93c070ec52ef36
COST00167,3505,066320f6-15d5-4240-b39a-1d9697acf693,4.53,2024-05-20,469b7b087bf1bf14ddeaad34a4377472
COST00168,3705,0481f8c0-ef1b-42c1-b53f-512d8d8db267,26.8,2024-11-16,94337a3fed4e1862ecdd71ea1589f65c
COST00169,533,50a26c10-fd86-4364-8549-75c2f73d6e74,21.18,2025-04-03,c8cb08020cec17704f1ebfd175360be5
COST00170,320,545e803e-892a-4417-b123-bc3d2f548566,27.57,2024-10-16,d5fca9dcd10156bac575f179a69a6a2f
COST00171,1055,066320f6-15d5-4240-b39a-1d9697acf693,40.62,2024-07-07,b03b39c097cd027879c5e328714679ef
COST00172,1741,2325976b-ebd3-4af4-ab95-cf6c75dd167e,35.94,2025-01-01,38b3e8385bed3880c86aa15ee016f03d
COST00173,4522,68a7d329-0366-49ce-986b-f2741f43d010,15.12,2024-09-02,2ffdd918f17df92aaab755da490410da
COST00174,1417,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,39.84,2025-03-30,0cc43ff9b116a154943707635c85ded5
COST00175,1067,9074b54f-8c90-47bd-8850-d5995b99dfd6,11.52,2025-04-11,673cb0af069fd62d1b3e67f371c93729
COST00176,4703,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,28.56,2025-03-11,79ac430fa79bc4d92664f0cbef5def5c
COST00177,431,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,29.15,2024-09-10,4fc4956f63d41d706e3be4dfb006815e
COST00178,1872,17fb2169-7a01-4654-8005-9db3d086ba75,29.11,2024-08-01,fec563f2404f27724eae06c3247acc9b
COST00179,600,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,25.54,2024-06-22,66534cb774db8a3c9861bee9f3d3ebfd
COST00180,2528,9baedba2-7d8f-482a-91c0-53cf8f987158,27.21,2024-07-26,3c2465349d92603b4a51414c319977c9
COST00181,174,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,18.42,2024-06-29,adeb327ba25cb18e3b0fd070e34b14f8
COST00182,4388,1424c333-ef79-42af-bcf5-5d41521a0e9b,21.22,2025-02-19,3e569eb2aee85be7f6e99fa58cde4933
COST00183,1255,35e27300-4661-4cc1-883a-60fcc46d1705,32.65,2024-12-25,234f9a57c16869f26d99752429ceab10
COST00184,3872,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,18.27,2024-10-18,6e671fd0322f4a9f06ad79ebcfea6d5b
COST00185,956,754ca431-4c26-4237-a234-fb658c2226c4,46.35,2024-05-26,83d931200efeac2fd22ec99ee54d535d
COST00186,565,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,49.01,2025-01-09,91e6dd5d255c064694bd08d443bcd0da
COST00187,358,128c966a-64f4-456d-9fd0-3d628c9d517a,5.38,2025-03-04,38fc8131b441d6f2757185a455a47bda
COST00188,4203,6410565f-b02b-4016-b97d-6d7f8710d655,33.11,2025-02-19,7fddad9c9352358767812b233aa8c6fe
COST00189,4551,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,46.75,2024-11-18,fa425e2f93e7d6d1a8d57a778126596a
COST00190,1966,5338a24d-bd24-49b6-80c7-ceb5d88d8923,20.71,2025-01-28,51f1729e9db2385ca8e97888fee80d8e
COST00191,3570,6410565f-b02b-4016-b97d-6d7f8710d655,36.63,2024-09-19,772e961ecb81928787f25c46f353f6bb
COST00192,4429,35e27300-4661-4cc1-883a-60fcc46d1705,37.7,2025-02-20,d9c224e701276629ecbd3497a8e25b6e
COST00193,3696,57b082e7-cf0c-4a8d-978e-d3dea718b8c4,46.86,2024-08-23,7576b700bf14f83f95b225e4f86f5f3f
COST00194,4747,9baedba2-7d8f-482a-91c0-53cf8f987158,27.63,2024-09-16,b0f10afcdd7ea51dba34084fddeea3d8
COST00195,4312,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,13.37,2025-03-30,722b3870deb6af8aa2a0c6b41709886a
COST00196,2301,57b082e7-cf0c-4a8d-978e-d3dea718b8c4,26.04,2025-01-10,2407b28266daae451add3545b89e310f
COST00197,3493,adfe1367-c650-47bc-ab26-c65be37eb483,30.68,2024-11-14,e2a6a1ba56575433232e205ceff116ab
COST00198,4460,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,10.13,2024-06-21,a8ff689bc9cc8fc0d9518f74c2ba6c4b
COST00199,2811,d826fea5-d663-4b8b-a010-a7b330fd9922,19.18,2024-05-11,0e3c8370eda2ded1bab94508a2123ed1
COST00200,1044,6410565f-b02b-4016-b97d-6d7f8710d655,11.64,2025-03-06,5a9190ab09c3e4f04c2785f83b735f9e
COST00201,1344,545e803e-892a-4417-b123-bc3d2f548566,29.15,2024-05-22,6097758b0a399488a036f7830af5d646
COST00202,3396,674d43e2-b564-4df9-83e0-08d8d378e820,42.23,2024-10-02,25e4baf47a3024d5e9b03ff10ee33104
COST00203,4410,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,49.36,2025-01-16,feba6e34c65515d39d8b0b7fade40f6e
COST00204,1905,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,22.54,2024-08-27,9601853a9c26a4f833e68840c505fe28
