TransactionID,GiftCardID,StoreID,Amount,TransactionDate,RowHash
GCTX00027,GC04440,68a7d329-0366-49ce-986b-f2741f43d010,6.64,2024-07-15 01:59:03,0b05caf3cf275271d86e9dd0b37e2431
GCTX00028,GC02068,e65aca15-c7da-4cf0-8f86-97057eb6e41d,6.25,2024-07-23 21:32:06,f0e1599cab0b38a9c195ff3964adb13b
GCTX00029,GC04040,e65aca15-c7da-4cf0-8f86-97057eb6e41d,46.75,2025-04-18 20:26:40,76b962f3a3bf9652048e6aa106e6a49d
GCTX00030,GC00126,9074b54f-8c90-47bd-8850-d5995b99dfd6,44.96,2024-08-06 18:36:45,9f5be32b78ce8fc6af0a05abd46a860d
GCTX00031,GC00237,82e03202-e75b-485c-a987-57c392f25f18,27.98,2025-04-27 00:33:32,56d9f97debc55acc223a19a559f7f0da
GCTX00032,GC00721,128c966a-64f4-456d-9fd0-3d628c9d517a,23.5,2024-11-07 23:53:05,dc605f64ab999e73d3ec0a285fbd36b4
GCTX00033,GC04472,01adb8ae-ae19-4b3d-805f-5485251f2e61,9.4,2024-09-15 03:01:04,866e2766a924d6554f05ccceac61382a
GCTX00034,GC03994,4043f2fd-ddb7-4123-94b1-704bb06dbec6,42.53,2025-01-17 01:22:48,342c99a9fcb76605e3211cec2eecaa6e
GCTX00035,GC01345,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,40.31,2024-05-21 11:38:21,c5d8c6206d220ab457dde4c193d5f511
GCTX00036,GC02859,6410565f-b02b-4016-b97d-6d7f8710d655,34.57,2024-10-04 01:23:52,0ff996d546b2602f12213988eccaef61
GCTX00037,GC03331,3c32b582-67e5-49c3-affc-7e44572ba0ae,41.1,2024-11-12 15:40:23,a73b81b17d3746d5e5298099197bd296
GCTX00038,GC01494,1424c333-ef79-42af-bcf5-5d41521a0e9b,27.26,2025-01-08 23:42:05,4fced3182f88342797aba3bc459b9c48
GCTX00039,GC04223,7874faf7-fb69-4ae2-a738-b4c599358eeb,42.56,2025-03-14 15:24:29,d79370ae2a7bc3ae46b8810e35c82346
GCTX00040,GC00895,6410565f-b02b-4016-b97d-6d7f8710d655,12.85,2025-02-09 11:12:32,8ea579997c9b0d559e25da0fa4bab46a
GCTX00041,GC03898,5338a24d-bd24-49b6-80c7-ceb5d88d8923,8.09,2024-08-31 15:50:31,89b099715f4a2a789360be0b2ea41859
GCTX00042,GC04089,754ca431-4c26-4237-a234-fb658c2226c4,29.65,2025-01-29 20:15:44,e9e4ca59542517d427f4d1b13a7b09d8
GCTX00043,GC00544,de0add2e-3497-444e-bd97-c641b5754d2e,30.12,2024-08-16 11:12:12,9cae777539f7839a28682337fd1a3595
GCTX00044,GC04809,3c32b582-67e5-49c3-affc-7e44572ba0ae,31.05,2024-05-20 15:03:06,aba511071af5642d8c6e6072b17abe09
GCTX00045,GC03995,3412d299-a203-47c4-bde2-ecd5ef09fe58,15.36,2024-06-21 01:06:05,c84abc5b424f70a83d19db8816140b27
GCTX00046,GC01427,57b082e7-cf0c-4a8d-978e-d3dea718b8c4,22.72,2024-11-06 20:01:24,9b50483a4d6e2e0e2294883dcfe16075
GCTX00047,GC04292,adfe1367-c650-47bc-ab26-c65be37eb483,10.44,2025-02-19 15:57:50,fdc1bac1953f1c3de0a04d6b0b0a2051
GCTX00048,GC04969,576ca2ee-5c98-4032-8085-4a11312f9e78,41.57,2024-11-29 11:11:55,babbbd62ddd8a0c9ee5d168c68c5b3af
GCTX00049,GC04057,a87d51a3-8ba7-4050-a5ae-3c0e1e33ad7f,43.13,2025-03-26 08:37:43,038480cfeb21c0864b861afcda3495b6
GCTX00050,GC00721,01adb8ae-ae19-4b3d-805f-5485251f2e61,34.18,2025-04-27 11:16:14,6a9311d889c2da4e8fc1761467b7b276
GCTX00051,GC01760,dea48fdc-5533-48f4-9d69-3e89b5fa379e,48.49,2024-07-22 05:34:10,21ae58d3b81614b4ad4e7e8dd1e368dd
GCTX00052,GC02080,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,33.28,2024-07-28 06:12:14,9ca67fa11fdda54cd324dea75c9b62c2
GCTX00053,GC04463,6410565f-b02b-4016-b97d-6d7f8710d655,47.1,2025-03-25 12:23:37,d3469bcce83372143a1d4e48e4604a7f
GCTX00054,GC01261,17fb2169-7a01-4654-8005-9db3d086ba75,41.31,2024-10-10 09:52:34,5bb94ba9a6b1116e6feb93f418247305
GCTX00055,GC02746,4043f2fd-ddb7-4123-94b1-704bb06dbec6,45.27,2025-02-08 07:47:12,968ee83890597da9e4d1edb7502632a8
GCTX00056,GC04419,6410565f-b02b-4016-b97d-6d7f8710d655,21.71,2025-01-01 02:49:15,2075376db59699e21fabf37e9c7aa782
GCTX00057,GC01681,2325976b-ebd3-4af4-ab95-cf6c75dd167e,9.22,2024-09-18 07:30:56,4ef36cb2eb23210aee5e529a83a2b62f
GCTX00058,GC02055,5338a24d-bd24-49b6-80c7-ceb5d88d8923,11.54,2024-12-12 17:35:01,02a34dc229514313bdf5824cbafbb41a
GCTX00059,GC02747,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,33.82,2024-07-03 01:51:40,a127d4f20c7389403acab239915025e6
GCTX00060,GC04859,5338a24d-bd24-49b6-80c7-ceb5d88d8923,40.54,2024-05-25 06:02:15,2774631dbf8d67189a953332eba80a6b
GCTX00061,GC00993,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,24.88,2024-11-19 08:42:15,6f39637f5ab901f736748c65824922b5
GCTX00062,GC00220,50a26c10-fd86-4364-8549-75c2f73d6e74,40.65,2024-10-20 05:24:28,9820fcf84b009d22fc4658e0a73347f9
GCTX00063,GC04612,6410565f-b02b-4016-b97d-6d7f8710d655,35.58,2025-04-23 21:51:28,84411608c15b2cd19e79e49193eb1dbf
GCTX00064,GC01972,e65aca15-c7da-4cf0-8f86-97057eb6e41d,14.22,2024-11-09 19:53:30,66d6ccb7864e9abdd9a8c7c8be1f3938
GCTX00065,GC04309,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,13.51,2025-03-16 01:45:12,fcd53f83ea45c6dcc528265e243b2a92
GCTX00066,GC04009,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,14.06,2025-04-18 02:31:42,eea47c7c119473271ee4c0ea5276857a
GCTX00067,GC02544,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,17.04,2024-10-30 16:18:11,dd3b407c6d3d2bde3aaaa2d11287cf01
GCTX00068,GC00034,2d046cbe-43bd-402d-9b0c-0adb463c5111,16.35,2024-10-02 06:44:22,469109b5915182f578b7990f4c2e4b4d
GCTX00069,GC02519,3412d299-a203-47c4-bde2-ecd5ef09fe58,29.5,2024-05-17 02:11:50,5a119acfd410754b72153bdf6dbd0143
GCTX00070,GC03924,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,15.7,2024-07-28 03:03:29,0315f7ddca908261bfa363d5a508067d
GCTX00071,GC00686,576ca2ee-5c98-4032-8085-4a11312f9e78,30.8,2024-12-18 16:56:07,1b85b9a57793f30400458b668a3813ad
GCTX00072,GC00783,a3027ea6-3a7b-4285-9b82-5ab90b244a50,32.96,2024-07-30 16:52:36,b06bf3c15a8097f69269ce3c96e163df
GCTX00073,GC02570,035dca7b-d212-4a49-8f9f-3bd9aa44f0e6,40.89,2024-06-07 22:06:42,7afd95a40a145ca7b3a3d2565cb1d4c6
GCTX00074,GC01507,1424c333-ef79-42af-bcf5-5d41521a0e9b,34.8,2024-11-18 21:36:36,8b62a8dfdfae316a8810d6c2661b25b6
GCTX00075,GC03801,17fb2169-7a01-4654-8005-9db3d086ba75,39.35,2024-07-02 13:04:49,0e9c5e18c622d68400c34c162384fa33
GCTX00076,GC01551,bc2a6082-d587-43ad-b368-78b70dcb5f55,26.9,2025-01-23 15:57:32,02e3fe19e8a099c0bca934634a50fe35
GCTX00077,GC04292,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,6.26,2024-06-15 13:05:59,918c69538b1ed2330bdc69c0715e74a7
GCTX00078,GC01129,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,19.91,2025-02-15 17:34:43,d7f45462154bea09fedf9d99171a9a6f
GCTX00079,GC03575,449e10e4-a998-443f-8f47-b8f5ce345a9a,33.21,2024-11-30 00:43:17,5c50ecebe77a38e881879879451513e2
GCTX00080,GC04010,5338a24d-bd24-49b6-80c7-ceb5d88d8923,26.63,2025-02-05 18:56:53,c5c109a52332f87cb06d82781529a549
GCTX00081,GC01891,dea48fdc-5533-48f4-9d69-3e89b5fa379e,46.36,2025-01-28 08:41:55,8d2875d1fdc5c311296d2e424323122b
GCTX00082,GC02617,681c4fda-26fa-44ac-9682-e052faf1d3fb,13.24,2024-12-13 14:22:16,59c5570fb5033415e547ec3aea1c2fe7
GCTX00083,GC02247,035dca7b-d212-4a49-8f9f-3bd9aa44f0e6,6.42,2024-10-16 17:33:41,a91087bb7948e52ca497357c81fcdf63
GCTX00084,GC02438,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,24.83,2025-01-05 16:50:28,2f41affc50c09e241236d04e9f1d90d8
GCTX00085,GC01383,1424c333-ef79-42af-bcf5-5d41521a0e9b,14.98,2024-08-28 19:05:36,f5a95657c0a165feed0e9bb7a2b0fbc0
GCTX00086,GC02301,9baedba2-7d8f-482a-91c0-53cf8f987158,43.02,2024-08-01 04:35:45,1a57eb22942a419878c79f4457cd5ecc
GCTX00087,GC01309,6410565f-b02b-4016-b97d-6d7f8710d655,29.32,2024-06-12 00:51:12,9b2df67900dc10d257c036370b85e60c
GCTX00088,GC02737,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,37.2,2024-10-25 17:06:40,6b2c8cd08e16988f1fc30af4ebb7ab48
GCTX00089,GC04746,01adb8ae-ae19-4b3d-805f-5485251f2e61,34.07,2024-05-21 07:53:11,9f946ede39a77f3aa70137969fd9e578
GCTX00090,GC01552,e65aca15-c7da-4cf0-8f86-97057eb6e41d,15.51,2024-12-09 22:47:18,bfb878f4b24afb0d7a0bb14ceaf100e9
GCTX00091,GC00225,9074b54f-8c90-47bd-8850-d5995b99dfd6,23.26,2024-11-13 18:46:38,9bd78619e118e3ed0d33e60f0f836038
GCTX00092,GC04751,7874faf7-fb69-4ae2-a738-b4c599358eeb,43.02,2025-02-15 02:13:04,e19bda8e0f9f35368136708625702263
GCTX00093,GC03957,de0add2e-3497-444e-bd97-c641b5754d2e,15.89,2025-02-25 06:58:54,6c3d6b4b60445f2336052c3ca1803988
GCTX00094,GC02196,0db94890-c654-49b6-b76e-e535bc387855,46.9,2024-09-22 13:39:15,cc208eb05ce7fbe2f9230b8898a25187
GCTX00095,GC02350,576ca2ee-5c98-4032-8085-4a11312f9e78,41.23,2025-02-23 13:24:23,690258312567b108de64cc7f11d125ee
GCTX00096,GC01338,bc2a6082-d587-43ad-b368-78b70dcb5f55,27.95,2025-05-02 16:18:18,13252a6a5a9201746869b7df40c3fb76
GCTX00097,GC02256,5338a24d-bd24-49b6-80c7-ceb5d88d8923,29.36,2024-05-13 13:58:32,c8cc9aa9fa7277d1bf79b4b1234d976d
GCTX00098,GC04110,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,28.01,2024-07-28 05:43:24,d7725dc05c4fbb52eef38e94f7cb6b67
GCTX00099,GC04739,50a26c10-fd86-4364-8549-75c2f73d6e74,37.18,2025-01-06 22:52:00,5c590fcd2e5b5785a736f467a6a17065
GCTX00100,GC04770,bc2a6082-d587-43ad-b368-78b70dcb5f55,33.82,2024-09-04 02:19:06,c26e71d626c1a448c0157d54e3ba5811
GCTX00101,GC02871,4043f2fd-ddb7-4123-94b1-704bb06dbec6,41.7,2025-03-31 11:57:03,31734f74b704c78b908c112e886b66d4
GCTX00102,GC01369,68a7d329-0366-49ce-986b-f2741f43d010,28.65,2025-03-05 09:19:24,4e1ab97426a60d10ccb724c1561171bf
GCTX00103,GC03371,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,45.25,2025-04-14 03:44:10,f3f44afd90234d06f65794619977cb2a
GCTX00104,GC01947,681c4fda-26fa-44ac-9682-e052faf1d3fb,8.71,2025-04-22 03:50:24,24a0a10f9bdd06b4803013fe120c6c08
GCTX00105,GC02209,de0add2e-3497-444e-bd97-c641b5754d2e,40.54,2025-03-07 08:36:09,23aebd5c53f067bbf089fc139e047b23
GCTX00106,GC00832,d826fea5-d663-4b8b-a010-a7b330fd9922,44.62,2025-03-19 21:33:10,7c5addca777b2673cf7c6e9d88bea693
GCTX00107,GC00326,128c966a-64f4-456d-9fd0-3d628c9d517a,40.51,2024-10-22 03:25:50,f5a76a9a8b729ed93f4a184ffc3e31f4
GCTX00108,GC02131,bc2a6082-d587-43ad-b368-78b70dcb5f55,10.34,2024-11-02 19:01:06,31d4b42abc1a23c581c2f9f307af7912
GCTX00109,GC03963,a412573c-b3f6-4108-9682-f95775c56a2b,28.2,2025-02-09 20:32:24,e08d209893cd55bb24564b161f543876
GCTX00110,GC03742,5338a24d-bd24-49b6-80c7-ceb5d88d8923,10.73,2024-11-28 00:23:54,1ae8cdba34571352e54d4e5ab60e8ca0
GCTX00111,GC04026,2d046cbe-43bd-402d-9b0c-0adb463c5111,34.95,2025-02-08 21:56:44,9df9c747f83464a56a11c75e047bd18e
GCTX00112,GC00630,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,31.36,2024-08-30 14:03:46,f2830fb46c4354ad6f61d7b6f322c87a
GCTX00113,GC00027,0481f8c0-ef1b-42c1-b53f-512d8d8db267,36.68,2024-06-06 09:35:55,de64ca65cfb6787f9631ac6c96ee1948
GCTX00114,GC02808,a412573c-b3f6-4108-9682-f95775c56a2b,34.71,2024-05-27 13:38:44,eebce1b4dc5c08308f79a9b8a4ef9072
GCTX00115,GC00534,a87d51a3-8ba7-4050-a5ae-3c0e1e33ad7f,29.45,2024-06-14 21:26:47,b971a451bbd91eeaf4d29685b777a76f
GCTX00116,GC02496,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,38.48,2024-09-23 21:22:09,2b429766d83a58c3032f4aa87e3e68f2
GCTX00117,GC03658,035dca7b-d212-4a49-8f9f-3bd9aa44f0e6,47.85,2024-10-06 14:55:33,e5630c862c68d4341772b09cace3f68a
GCTX00118,GC01108,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,19.91,2025-01-17 07:41:22,ca10e3356c16fbac874e9baf779981fa
GCTX00119,GC02129,3c32b582-67e5-49c3-affc-7e44572ba0ae,17.64,2024-10-19 16:04:42,eb1721219a5d105ce7d28ce8b9614e5b
GCTX00120,GC04326,17fb2169-7a01-4654-8005-9db3d086ba75,46.14,2024-10-07 10:02:33,3aafc511bece8efc2994ad657bc9a2f8
GCTX00121,GC00601,9074b54f-8c90-47bd-8850-d5995b99dfd6,31.45,2025-03-12 00:11:43,c05740edf704c21382cfb920f9f7d6e2
GCTX00122,GC02788,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,8.03,2025-01-17 22:55:09,a88351f723710e4a17ace8d3cddff1d8
GCTX00123,GC03564,545e803e-892a-4417-b123-bc3d2f548566,19.07,2025-02-06 14:17:19,75748f0e072b2fbb4035ac7843216586
GCTX00124,GC00895,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,22.07,2025-03-04 04:59:33,8c477add90d83267b0075336ea51dada
GCTX00125,GC00608,3c32b582-67e5-49c3-affc-7e44572ba0ae,25.94,2025-01-16 03:55:09,e171244d4aae36e15d94c67f4b631d46
GCTX00126,GC00716,e65aca15-c7da-4cf0-8f86-97057eb6e41d,32.58,2025-03-08 00:56:23,9fc7b4736ad9f322f53ca638eea9f65c
GCTX00127,GC00026,b8877c9b-300e-4619-9c17-285548f42c1a,17.98,2024-08-10 15:30:12,356e837f31c9f98a58bf3dd1fd892e0f
GCTX00128,GC03900,0db94890-c654-49b6-b76e-e535bc387855,9.59,2024-08-30 10:38:21,286d72d45c3ac28839e1c32738bca9da
GCTX00129,GC02293,2325976b-ebd3-4af4-ab95-cf6c75dd167e,26.27,2024-11-16 16:57:58,49fb00abe0857a2baaf78ab178a07559
GCTX00130,GC00821,128c966a-64f4-456d-9fd0-3d628c9d517a,47.47,2024-10-15 00:30:12,502f0e45cbcbd0328146b3475ff85f6f
GCTX00131,GC02563,7874faf7-fb69-4ae2-a738-b4c599358eeb,14.6,2024-12-13 12:55:09,7a0a2226317ed39d3d2dfe2c2692d267
GCTX00132,GC02888,68a7d329-0366-49ce-986b-f2741f43d010,38.77,2024-05-12 17:19:17,e414b37d29a8c5417d051decf58cd1a7
GCTX00133,GC02578,9baedba2-7d8f-482a-91c0-53cf8f987158,9.4,2025-01-11 07:39:54,216a1009c0862bc62558ba2ef05feb15
GCTX00134,GC00777,bcffdf26-2889-4b0d-929a-8e779c6e851b,28.05,2024-10-28 08:57:03,1270ec5673a7d7c3e0da5c99558ad2ba
GCTX00135,GC01752,bc2a6082-d587-43ad-b368-78b70dcb5f55,28.22,2025-01-14 03:45:07,2022e9104e25a9d5f53ee411e2fea580
GCTX00136,GC02474,1424c333-ef79-42af-bcf5-5d41521a0e9b,13.55,2024-09-01 12:29:32,8b49031c160197613ad3ead74f9c23ac
GCTX00137,GC00240,754ca431-4c26-4237-a234-fb658c2226c4,30.74,2025-01-28 23:13:14,a5dac40b09d2d404a4302e7f8c5d9e9e
GCTX00138,GC01986,0481f8c0-ef1b-42c1-b53f-512d8d8db267,45.33,2024-11-16 20:45:48,743153092239eebe3326fb463a186dba
GCTX00139,GC04945,9baedba2-7d8f-482a-91c0-53cf8f987158,42.96,2024-07-11 06:38:14,57440c59a1b5ab427f03c38d561943e7
GCTX00140,GC01135,6410565f-b02b-4016-b97d-6d7f8710d655,46.28,2024-10-14 10:55:30,e6493eea99384b91cc7fd52e92102f18
GCTX00141,GC03267,3c32b582-67e5-49c3-affc-7e44572ba0ae,17.0,2025-01-29 10:43:08,f72fda3ddd18ca43f069d4b10785206d
GCTX00142,GC00442,3412d299-a203-47c4-bde2-ecd5ef09fe58,38.48,2025-03-28 16:21:43,5f80f8da82fcc4f568fe2fbf62c84024
GCTX00143,GC02573,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,39.73,2024-10-27 01:24:00,2dcfbf8dfa287a12c46195c9efb784bc
GCTX00144,GC00961,681c4fda-26fa-44ac-9682-e052faf1d3fb,8.57,2025-05-03 22:59:28,c990a915d1935764d12db655cfb9fd5a
GCTX00145,GC02414,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,45.59,2024-10-12 19:46:56,c08ac4b5e20c90277e7be1c5880614ef
GCTX00146,GC03604,3c32b582-67e5-49c3-affc-7e44572ba0ae,37.74,2025-02-13 19:32:29,b3950f0c03b4657ed3e0d52b91ea7063
GCTX00147,GC03402,57b082e7-cf0c-4a8d-978e-d3dea718b8c4,38.49,2025-05-04 12:30:17,8c3f82006381938d9ae753fbfe7eef7b
GCTX00148,GC00681,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,13.58,2025-04-24 17:23:51,b314c117658201aef8dc2cb91bc10837
GCTX00149,GC03213,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,10.76,2025-03-06 10:48:47,b0088f5de1ddd54158c73b60ebca4d4b
GCTX00150,GC04690,b8877c9b-300e-4619-9c17-285548f42c1a,34.22,2025-04-01 08:37:22,d628850a81a3a5f618136aebfe36dd9f
GCTX00151,GC03301,9baedba2-7d8f-482a-91c0-53cf8f987158,48.6,2024-12-26 02:53:42,7ce5bcb1fafb7bdb9ce6c471a64cb24f
GCTX00152,GC00637,5338a24d-bd24-49b6-80c7-ceb5d88d8923,26.89,2025-02-16 18:38:28,8ce3238203cca4f6907c5df424ceee69
GCTX00153,GC01439,6410565f-b02b-4016-b97d-6d7f8710d655,47.44,2024-12-31 17:53:06,8465485f3cffd00472d5ed0545ab4ba8
GCTX00154,GC03044,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,21.13,2024-09-06 17:48:02,a7d4110336c088d9f9b28ce6f7ed738d
GCTX00155,GC00510,68a7d329-0366-49ce-986b-f2741f43d010,25.46,2024-11-10 20:57:46,53052213bf21ac727ed2ab05d5502aca
GCTX00156,GC04466,0db94890-c654-49b6-b76e-e535bc387855,16.38,2024-12-11 03:47:32,4ff9da5293e7d35145558c4ca54dbc33
GCTX00157,GC02725,681c4fda-26fa-44ac-9682-e052faf1d3fb,38.81,2024-10-03 00:47:45,15d301794db6ce5ab45dc6d3d41d913f
GCTX00158,GC03122,dea48fdc-5533-48f4-9d69-3e89b5fa379e,49.62,2024-09-07 13:10:26,33f21c864e0814bc84ad518c659f0146
GCTX00159,GC04728,6410565f-b02b-4016-b97d-6d7f8710d655,19.76,2024-10-22 02:07:32,f06a288d634a96cf080d30488b5fabb7
GCTX00160,GC01470,066320f6-15d5-4240-b39a-1d9697acf693,44.87,2025-03-26 02:27:50,93460ef021d1298dbf38b7399f0dc5fb
GCTX00161,GC03117,e65aca15-c7da-4cf0-8f86-97057eb6e41d,15.98,2025-05-02 05:32:55,8f856d0e71ed375fdebd656e05cf3c55
GCTX00162,GC01673,6410565f-b02b-4016-b97d-6d7f8710d655,5.78,2024-12-25 23:19:44,ad2a3c5602adef7a6da48873ac3475bf
GCTX00163,GC01499,674d43e2-b564-4df9-83e0-08d8d378e820,10.98,2025-01-18 11:10:37,c5ac527095560638931d8b508e17880f
GCTX00164,GC02526,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,8.22,2025-03-08 10:32:38,f7fd50778f6fca566e0821e7f93e413c
GCTX00165,GC04496,17fb2169-7a01-4654-8005-9db3d086ba75,24.2,2024-07-17 11:00:57,505c4455bccbeb361cb14215b67a2706
GCTX00166,GC00417,674d43e2-b564-4df9-83e0-08d8d378e820,37.93,2024-09-24 02:17:06,3454053f559a22889cc5adc5cb806194
GCTX00167,GC02661,035dca7b-d212-4a49-8f9f-3bd9aa44f0e6,8.61,2024-05-26 22:28:25,3f68e9a343217bd5c2eae145d1c67987
GCTX00168,GC00631,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,30.9,2024-10-24 07:27:22,f68b92bfd1f3427194e3cdeb58134c02
GCTX00169,GC02589,3412d299-a203-47c4-bde2-ecd5ef09fe58,16.69,2024-10-30 00:21:54,7ece003b69a75833dafc272daa790b96
GCTX00170,GC01508,a412573c-b3f6-4108-9682-f95775c56a2b,20.59,2024-10-30 16:21:03,4f52e3231af49afe4572b4d520b9fd6e
GCTX00171,GC04818,21a2cafc-d878-40bb-a232-e14e9eda02f3,41.18,2024-09-09 23:58:13,614e23f4a8fdba2ce78c4f42f39aa1bb
GCTX00172,GC04691,5338a24d-bd24-49b6-80c7-ceb5d88d8923,44.36,2024-06-07 00:42:37,28929cd920b8f5ceae543c195e9fcaf5
GCTX00173,GC01803,576ca2ee-5c98-4032-8085-4a11312f9e78,35.33,2025-02-01 05:14:12,2b9b317544bf67d015222b0be4af19e0
GCTX00174,GC03815,21a2cafc-d878-40bb-a232-e14e9eda02f3,38.51,2024-08-08 12:42:32,bb2e7fb3cc679be53674f89466845577
GCTX00175,GC01943,dea48fdc-5533-48f4-9d69-3e89b5fa379e,47.62,2024-09-18 04:03:22,cb3fa695ab4380faaf357793cb8660e0
GCTX00176,GC01380,0481f8c0-ef1b-42c1-b53f-512d8d8db267,30.54,2024-08-10 04:36:57,968610df413defe971c9c2bc271c590c
GCTX00177,GC03184,68a7d329-0366-49ce-986b-f2741f43d010,42.92,2024-10-05 18:35:04,9d3ad29ff3d23ef257fcaad7166b1fef
