GiftCardID,CustomerID,IssueDate,ExpirationDate,Balance,Status,RowHash
GC00027,07a7c40b-1082-478f-be65-ed92db3c2b5b,2025-01-21,2026-01-21,63.21,Active,22b2e0fae5dddcb5bd1559481448f9df
GC00028,9a261f6c-478e-4a10-96ad-4b76e6f7f43f,2023-11-22,2024-11-21,202.76,Redeemed,d7362d46fae5531ebcfbfff1fb15f299
GC00029,c8a37272-48fa-44ed-a432-b26ea868a892,2025-04-17,2026-04-17,31.89,Redeemed,5e5678d5743ec36922bd85baeef06b5e
GC00030,d86011eb-bd81-4aee-b905-18ffad895411,2024-06-28,2025-06-28,220.02,Redeemed,3802554b43b5b7b7b49f95a55dc598cb
GC00031,efd12b55-23e9-4f58-a207-35e1da7e7afe,2024-11-09,2025-11-09,36.17,Expired,819f721e316ab879c1fbc9a60d348420
GC00032,1e9a0433-e9bc-421d-9dbb-d2cbf6fb2297,2025-01-30,2026-01-30,79.86,Active,955ed71c5d11c98d268595829266fcef
GC00033,ff2d9922-b0db-4e79-9e69-dde9abb78db2,2024-08-21,2025-08-21,141.39,Expired,c0dd5b0341273564f387cdb84b4dfe55
GC00034,9e99f1a9-2f4f-4656-b1f9-52feeb5fe236,2025-04-11,2026-04-11,58.77,Expired,0d66a9b8425e34fbbfec5f3ac38b99b6
GC00035,bed734db-9554-4ebe-b415-628b657962d6,2023-09-03,2024-09-02,141.34,Redeemed,86cb51875564c013945fa628c4cb26ef
GC00036,67004733-16a8-4c2f-9db5-f4bcfa0a4a3b,2024-01-07,2025-01-06,116.8,Expired,bb88a616e95e504294da05b1290d7720
GC00037,088e7d05-b0ef-4166-acb0-16d57f776a6a,2023-07-27,2024-07-26,201.5,Redeemed,25652946a7447e1850234395896cfb8e
GC00038,11f5a691-d739-491e-8a3d-0cac3ba34fc5,2024-11-28,2025-11-28,148.16,Redeemed,e23749c041ff118bdaf980c136266079
GC00039,bc0e387c-0b60-4a80-9ee9-45178de8cb66,2023-07-08,2024-07-07,54.13,Active,982cf0338ea3ae52d176e1cb35c29985
GC00040,bb8f9480-8fc2-46ac-8f93-942acc115626,2025-04-09,2026-04-09,17.91,Expired,8d186e7d54ca8ac5fdafdf0aa9b264df
GC00041,ff2d9922-b0db-4e79-9e69-dde9abb78db2,2025-03-02,2026-03-02,72.41,Active,4c8d9329059352aef5d97eeb21e3168c
GC00042,67403e9f-0231-4a15-848a-d9cea4795a2a,2024-10-24,2025-10-24,31.56,Active,fe63a92e5414e3002444930f8f90141c
GC00043,02cb4728-42fb-4733-962c-19a1d3c00406,2024-01-23,2025-01-22,220.42,Active,f6188e648f11346963f1723ecb36f3d0
GC00044,9d69cc1c-f492-4f69-938c-91efee85a672,2024-05-12,2025-05-12,212.19,Expired,c601e0ad049f19a8440a195505f918bb
GC00045,0e725382-cfa7-4eea-b824-68123317826d,2024-07-19,2025-07-19,231.54,Expired,972e8d9a339500965eb4f1f8ba253942
GC00046,11c38e31-9cd1-4350-ac64-1e541ef9fbaa,2023-07-29,2024-07-28,174.04,Expired,5223893015f123d2b669e54abeb07d4e
GC00047,9a261f6c-478e-4a10-96ad-4b76e6f7f43f,2024-02-10,2025-02-09,135.9,Expired,b79c1edbab368cc676953c64cff56e14
GC00048,b92ca163-e06f-44a7-896f-f4b2dd7e856f,2024-04-13,2025-04-13,204.79,Active,ab41521864695b3c8d44d428bea46e29
GC00049,3046e874-7757-4321-a055-3edea53305ef,2024-01-12,2025-01-11,224.81,Expired,5450ed8ba4b405fc8c53315abdd1c401
GC00050,8070fcf1-87d8-48e5-988f-1f369c06cdc1,2024-08-28,2025-08-28,208.06,Redeemed,9915fad727bc802229b16ea27003b39a
GC00051,c8a37272-48fa-44ed-a432-b26ea868a892,2024-09-20,2025-09-20,149.13,Redeemed,b1fe38961144af1457341ae3f35e5b42
GC00052,01d50da8-b34d-48ef-b445-cefaaa00514b,2025-04-20,2026-04-20,128.24,Expired,8743348608677320e5cb27595020e9cb
GC00053,abc2f41e-ab8f-430c-9677-705f4343b0ec,2023-10-17,2024-10-16,249.1,Redeemed,f7fe7d92abde49ae16519da9e104fd7d
GC00054,7ec92f10-c40e-4160-b34b-395017c26b71,2024-07-14,2025-07-14,29.77,Expired,2599ed1598c3ec98967c196b0e3ab557
GC00055,a0d03e66-36a9-4e3a-b061-90884a47209d,2024-05-16,2025-05-16,37.68,Expired,25c2ecfb6fde670a77a3c5960da9c81c
GC00056,9a261f6c-478e-4a10-96ad-4b76e6f7f43f,2024-04-19,2025-04-19,161.24,Active,1b9251c80390f63b9482c732c1547e60
GC00057,bed734db-9554-4ebe-b415-628b657962d6,2025-03-14,2026-03-14,68.33,Expired,25c17ede9311590d27f65e829c742bb6
GC00058,85c32511-7f37-4de1-882f-2efa8040dea4,2024-06-19,2025-06-19,75.05,Expired,5f357d3eb6cbc0ba06d1af40d74ca600
GC00059,270a78d4-d980-45c3-bf41-9c12bdda3546,2023-11-30,2024-11-29,62.91,Active,1439a0f968a987917cb94639ab7767bd
GC00060,93a2faf7-17c8-4513-b63e-f27c8b36314e,2023-06-29,2024-06-28,89.81,Active,dab6919cfddef6e01a04045742d47759
GC00061,32c5b93f-8271-4c50-a62b-e8f545caaa6f,2025-01-26,2026-01-26,34.15,Active,dccc6e20a69cc116c6c5c81b423fe171
GC00062,d00399b5-89cb-48fa-8d60-5ea1f649b655,2025-04-24,2026-04-24,215.28,Active,dffc8a0123a69bca420e7f57a7c4e40c
GC00063,545d1542-4e1e-4804-851b-400d5b020f68,2024-07-11,2025-07-11,20.86,Expired,d51bb359e9047a9dcd4cdf65facdb9f6
GC00064,c8a37272-48fa-44ed-a432-b26ea868a892,2025-04-22,2026-04-22,162.21,Expired,610391162db55a531e50d14749a85e10
GC00065,efd12b55-23e9-4f58-a207-35e1da7e7afe,2023-05-22,2024-05-21,154.52,Active,56ab2a49e4cd10a157b01899f364fbee
GC00066,32c5b93f-8271-4c50-a62b-e8f545caaa6f,2023-07-23,2024-07-22,16.41,Expired,b2ce8509bf36a4bff15ba056914fb00d
GC00067,19a564d4-ed76-41b2-bf45-d41d8500da78,2024-11-21,2025-11-21,55.24,Expired,634dc4270a74b308dfa992c38cf3238d
GC00068,035765ce-dcbc-478b-b43f-f38992c442ff,2025-02-22,2026-02-22,38.73,Active,3cfec758480e57112fec5ee314d6a2bc
GC00069,67403e9f-0231-4a15-848a-d9cea4795a2a,2024-03-16,2025-03-16,98.83,Active,53137f46aca6073754c4473c934dd4f5
GC00070,0094c41e-8408-4846-b185-fbf114db7a0d,2024-11-13,2025-11-13,18.73,Active,80fdf4d4a68072005d4b03f4b92760e8
GC00071,84f6c6dd-37d3-4909-801e-b3d78f3e8099,2025-02-10,2026-02-10,56.7,Active,50315054a51a60937ba451f528e3eabb
GC00072,67004733-16a8-4c2f-9db5-f4bcfa0a4a3b,2025-01-10,2026-01-10,182.35,Redeemed,e8f8d1aed1521afeb5e98c7aa6eea7ef
GC00073,788d99f0-9972-408f-858c-28268e4d1d93,2024-10-11,2025-10-11,60.54,Active,6667afc6d607b3e42024226aff0e88e8
GC00074,788d99f0-9972-408f-858c-28268e4d1d93,2024-09-08,2025-09-08,234.87,Active,43323a16499c4ca28ace323eca270ccb
GC00075,2421a4de-b9b6-4373-992d-f10380e8449e,2023-05-12,2024-05-11,140.62,Expired,32e0349aa0ba022e667d579597cdf047
GC00076,a5cef112-752a-40ba-b573-df00b771d56a,2024-08-29,2025-08-29,34.36,Redeemed,2e125367cd044ad7566924607a6f9584
GC00077,7c5d467f-5fb0-4f77-905f-8acef67d84a3,2024-05-29,2025-05-29,26.8,Active,f993ae7cc24e1170e5654bbb8359304f
GC00078,e073b0a4-d2f4-45a1-b8ce-63b5075e168c,2025-02-13,2026-02-13,165.26,Redeemed,4c6b821e2b9d8ba80510e98eb0d96ae6
GC00079,cc7e6efc-6c65-4b2c-9314-ee7b451acbdf,2025-03-15,2026-03-15,114.66,Active,d92bd0d544a3b6f11ba2b4688a11582e
GC00080,017092b9-a700-41e2-8365-eeeddf441c3d,2024-01-25,2025-01-24,130.87,Active,4e4b3c9ea90df66f192a28a69f4c3a5f
GC00081,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,2023-11-17,2024-11-16,153.16,Expired,93d831337732b40bed86116c7de9abef
GC00082,9e99f1a9-2f4f-4656-b1f9-52feeb5fe236,2024-11-29,2025-11-29,247.18,Active,ccbc6ba5563dcf9a9cf908ec29da24de
GC00083,017092b9-a700-41e2-8365-eeeddf441c3d,2024-01-19,2025-01-18,72.43,Expired,442a9bbc66bc702d34b745a225bebaf5
GC00084,2e90cc5a-37c7-450a-ae09-18d7be038c34,2024-11-08,2025-11-08,122.85,Expired,f9bf1fd1941c0c15f6f1007878eedc83
GC00085,6e33f6a3-8056-4cdc-abd5-b6554a925aca,2025-03-18,2026-03-18,50.66,Expired,1e5e80b89550364f98f1564a0a99baaa
GC00086,2421a4de-b9b6-4373-992d-f10380e8449e,2023-06-29,2024-06-28,58.82,Active,6507388458bba0671074ffb4f5389d66
GC00087,33a546d5-7808-4799-bc38-8b809d0c5ed7,2023-10-07,2024-10-06,199.28,Active,37436c101e53a8e6fb6c1f7182dd445a
GC00088,653cd13f-483a-49af-9e45-04707ae1508e,2025-04-23,2026-04-23,212.9,Redeemed,6da4d1ecfd066524991546276b3ee8ed
GC00089,bb8f9480-8fc2-46ac-8f93-942acc115626,2024-07-25,2025-07-25,137.07,Active,94f5f28f65419d499fcc960a387e54fb
GC00090,7f191b14-927f-4975-84a6-4139f6dc9dae,2023-10-31,2024-10-30,153.23,Redeemed,0aaa867bb4b7ad18f5d225509620d98a
GC00091,545d1542-4e1e-4804-851b-400d5b020f68,2023-11-13,2024-11-12,169.75,Active,0458f4ed1ac4b1da4140c602b0bf4c82
GC00092,84f6c6dd-37d3-4909-801e-b3d78f3e8099,2025-01-24,2026-01-24,123.19,Redeemed,213faea01a3629447b3978bd92406317
GC00093,2e90cc5a-37c7-450a-ae09-18d7be038c34,2023-08-30,2024-08-29,226.02,Expired,0a8bcca56344a63035544f3b2f77e4fb
GC00094,90448626-31aa-4d65-a854-dab84c21bac0,2025-01-24,2026-01-24,230.2,Expired,bb35406868a8568731cea918f2381dd6
GC00095,68bdc8a7-ac0a-4ba3-a509-ce917bde451a,2024-07-06,2025-07-06,95.72,Expired,042816316344f7fbb8e00d9f7be371a2
GC00096,90448626-31aa-4d65-a854-dab84c21bac0,2024-04-23,2025-04-23,70.22,Expired,aecd1d01cf711fb5c15f3cd16a910780
GC00097,9d69cc1c-f492-4f69-938c-91efee85a672,2023-07-21,2024-07-20,175.8,Redeemed,98119f0beeda9b0591042ff672b2a849
GC00098,bc0e387c-0b60-4a80-9ee9-45178de8cb66,2023-07-13,2024-07-12,187.98,Redeemed,b44986da077b19be25aaf98043e9d10d
GC00099,33a546d5-7808-4799-bc38-8b809d0c5ed7,2024-01-15,2025-01-14,187.36,Expired,59af73c2fedde0be482d2592b665a16c
GC00100,98079c5e-8c4a-4564-9ca5-658f9db89953,2025-03-21,2026-03-21,77.41,Active,d10f8500f4ea29d848b4f2e4befc2d0a
GC00101,f326cd1e-3549-45d6-9382-4ce1eebadcf0,2024-06-09,2025-06-09,192.92,Redeemed,57e0d2de2944819396a5b5adbb08b81d
GC00102,c0e366b0-4820-408e-94df-b7532085e9c5,2025-05-05,2026-05-05,94.53,Redeemed,21f27037adc017f6db3380bd450cdcc3
GC00103,85c32511-7f37-4de1-882f-2efa8040dea4,2024-05-26,2025-05-26,171.62,Expired,ebf927db04c9b0120bab649485fa3693
GC00104,2c063f55-8e12-40f5-82d1-e02e8211dcaf,2023-08-04,2024-08-03,237.26,Expired,5cb1d70edfa7ede9527f7fe7327f47c4
GC00105,11f5a691-d739-491e-8a3d-0cac3ba34fc5,2024-01-01,2024-12-31,214.91,Active,98d08fcb461a4beb7cd2666168347aa5
GC00106,3bb1717d-21cd-470c-9e89-3c63077a1359,2024-07-13,2025-07-13,181.75,Redeemed,fd4f6d88888c37d74652b025259aebee
GC00107,d00399b5-89cb-48fa-8d60-5ea1f649b655,2023-12-24,2024-12-23,189.64,Expired,be8fc189b35221f4ed2ca125e999d2bf
GC00108,efd12b55-23e9-4f58-a207-35e1da7e7afe,2024-11-10,2025-11-10,29.37,Expired,8559ba2941b4137ce5a87374655722d3
GC00109,f326cd1e-3549-45d6-9382-4ce1eebadcf0,2023-08-16,2024-08-15,56.15,Redeemed,e5a589263596a487f74d4091d77adbda
GC00110,19a564d4-ed76-41b2-bf45-d41d8500da78,2024-07-10,2025-07-10,48.42,Active,9f94845aa275b5aeb13a1b31eac422e4
GC00111,93a2faf7-17c8-4513-b63e-f27c8b36314e,2024-01-25,2025-01-24,162.98,Redeemed,184f59a380a60675cf694c0a88135e4c
GC00112,e27170d8-ce33-4bf7-8f25-44b9c31f435b,2025-02-02,2026-02-02,180.48,Expired,b95effae5b299b91b65559f03d2179f7
GC00113,3bb1717d-21cd-470c-9e89-3c63077a1359,2025-04-27,2026-04-27,146.36,Redeemed,05fd1b97ed1a262a0905d5be830083bc
GC00114,33a546d5-7808-4799-bc38-8b809d0c5ed7,2024-07-04,2025-07-04,17.57,Expired,bfabf5397a004459a92f3aa111144b96
GC00115,ecd4feda-08f5-4652-80fd-4406a1316c5d,2023-10-16,2024-10-15,146.19,Expired,7a2581fda23a9bb56081c7d37f1bcf43
GC00116,788d99f0-9972-408f-858c-28268e4d1d93,2025-01-21,2026-01-21,180.16,Active,7eeb9c026e4e165ebdfb55301a0eb74e
GC00117,2e90cc5a-37c7-450a-ae09-18d7be038c34,2024-08-22,2025-08-22,116.88,Redeemed,4ee13b959fdf93b87585cdd079d0771f
GC00118,2998fa4a-22d8-4603-a0fe-09f27c36a0db,2024-07-10,2025-07-10,178.36,Redeemed,f6512b213d9c0836b21ecb0e8630daa2
GC00119,df600f99-242b-4e78-acfa-07fe39eabd9e,2024-08-10,2025-08-10,136.62,Redeemed,6a8dcf6d5b7e707dd65b90424446bf8e
GC00120,32c5b93f-8271-4c50-a62b-e8f545caaa6f,2023-12-21,2024-12-20,227.93,Expired,33f9dca7e2784e75845478d8dba23632
GC00121,98079c5e-8c4a-4564-9ca5-658f9db89953,2024-04-21,2025-04-21,191.32,Active,1392b3151300e86e351e522e4fbb9280
GC00122,b2e5b4e2-91a8-4068-9831-4763263ae50f,2023-07-22,2024-07-21,128.7,Redeemed,c06237e3cb57ea0d79351299d931a09f
GC00123,6b429bc0-656f-47dd-9580-28efbaf20c9b,2024-08-17,2025-08-17,211.06,Active,535addaf370fed1cf8865ea265a0a919
GC00124,2c063f55-8e12-40f5-82d1-e02e8211dcaf,2025-01-20,2026-01-20,204.17,Redeemed,9d118f68fc614bd3d88bb15c8b855a49
GC00125,19a564d4-ed76-41b2-bf45-d41d8500da78,2024-03-05,2025-03-05,55.12,Expired,030361adea687221aed8d726fbb2fcc4
GC00126,422d5e26-8e3d-4eac-b286-f70ead07c1f4,2024-01-13,2025-01-12,244.86,Expired,d4a6c12511b87d8f4c637670be8d1fb5
GC00127,90448626-31aa-4d65-a854-dab84c21bac0,2024-08-01,2025-08-01,41.33,Active,4be63dead775695f8d2dac57ef803867
GC00128,270a78d4-d980-45c3-bf41-9c12bdda3546,2023-11-16,2024-11-15,106.44,Expired,e6ac568e521f20fb0ad33cab20b9b438
GC00129,8070fcf1-87d8-48e5-988f-1f369c06cdc1,2023-12-23,2024-12-22,110.2,Active,422743587d298b7acb5247893c9522b3
GC00130,3046e874-7757-4321-a055-3edea53305ef,2023-10-01,2024-09-30,61.25,Expired,121196118a1321fcf225e0937fb3c32a
GC00131,f34607a8-f6d3-427d-acf9-3d905082506b,2023-10-06,2024-10-05,191.14,Expired,c79b8d6a4548cc371641852dbfc40c09
GC00132,796b2e76-cb5e-45a0-bba5-55e3896f4a19,2025-02-08,2026-02-08,136.8,Active,b30420f00e92c88a5c00c9045d5e5181
GC00133,9d69cc1c-f492-4f69-938c-91efee85a672,2023-10-04,2024-10-03,55.71,Expired,f328ab9ed756dc186d1569c52034d2e9
GC00134,7f191b14-927f-4975-84a6-4139f6dc9dae,2023-06-06,2024-06-05,165.82,Redeemed,2b28cfdb0ba24231d761dfa62551b67e
GC00135,a0d03e66-36a9-4e3a-b061-90884a47209d,2024-08-29,2025-08-29,77.2,Active,d110d80f799761fc9adc4e65cb11568b
GC00136,3bb1717d-21cd-470c-9e89-3c63077a1359,2024-10-03,2025-10-03,34.04,Redeemed,742e5cd6d1fdcf816155afe26f2b0622
GC00137,a8fcbccf-0403-4a4c-a900-7f5c87ef1aec,2023-11-29,2024-11-28,160.63,Active,f832a78646bc5b68cb5b8fc749ca5422
GC00138,088e7d05-b0ef-4166-acb0-16d57f776a6a,2024-05-16,2025-05-16,75.93,Redeemed,30d965d24264ee549da5e91c8d0ef2b5
GC00139,b92ca163-e06f-44a7-896f-f4b2dd7e856f,2023-07-04,2024-07-03,201.96,Active,8840e17ea7c540fee3148d0a51db34b6
GC00140,9de85a38-608f-45f2-b25f-78aab3924fa9,2023-07-20,2024-07-19,216.73,Active,f37d87d29c0b112fb6fa950742c17470
GC00141,5638cc23-cfdb-40de-9577-4997569c48f3,2024-10-20,2025-10-20,166.86,Expired,84ab3c4c5b52b92615ef4ac8d9ada9f2
GC00142,eb0851e2-3417-47e5-b97e-36ebf487607f,2024-12-20,2025-12-20,164.79,Active,56a009581ec2961b2fb23b118fa8e58a
GC00143,5f2643f1-ca38-40c5-adaa-748da8a72c69,2023-08-21,2024-08-20,219.25,Redeemed,b710e1af2cd0c1f9f0edc84da6277aea
GC00144,9d69cc1c-f492-4f69-938c-91efee85a672,2025-03-23,2026-03-23,214.3,Active,79503e6b43127436c12a5cdddee1ddcf
GC00145,2998fa4a-22d8-4603-a0fe-09f27c36a0db,2023-09-05,2024-09-04,19.76,Expired,e682aec0e84657c354ca5e56b8abf901
GC00146,2421a4de-b9b6-4373-992d-f10380e8449e,2025-04-28,2026-04-28,72.32,Redeemed,e7bba23ffdf2839c61645d0d528b62d3
GC00147,653cd13f-483a-49af-9e45-04707ae1508e,2023-06-11,2024-06-10,237.16,Expired,98661d546c55b5cfb13fe3f56ecb8d2f
GC00148,2421a4de-b9b6-4373-992d-f10380e8449e,2025-02-24,2026-02-24,228.36,Active,b5aff53f69a46652ef172140bdf0fdab
GC00149,f794693d-2fce-4b93-9462-2e86678f3a10,2023-07-13,2024-07-12,213.13,Expired,e2dae07211d31b29fb0d2a134a3b7839
GC00150,02cb4728-42fb-4733-962c-19a1d3c00406,2025-04-08,2026-04-08,155.82,Redeemed,443ff554bb1aa7a5d1dfdbffd90a0506
GC00151,e859ce9a-a9dd-43fd-9cd7-bf1bd8c13964,2024-11-05,2025-11-05,180.97,Redeemed,6c67b6b539ba159cce2cf50d39a0d03f
GC00152,796b2e76-cb5e-45a0-bba5-55e3896f4a19,2025-04-27,2026-04-27,163.63,Redeemed,e199241f15d867e2e729c79979704ac6
GC00153,545d1542-4e1e-4804-851b-400d5b020f68,2025-02-14,2026-02-14,219.14,Active,fdd758a2940fd1ad7fbfb13585381fe0
GC00154,eb0851e2-3417-47e5-b97e-36ebf487607f,2024-07-04,2025-07-04,59.88,Expired,dc6daf4844b50c41b7f1ddd5d0a6c862
GC00155,07a7c40b-1082-478f-be65-ed92db3c2b5b,2024-10-23,2025-10-23,79.85,Active,c9770db256ae82ddcbcada4e0da07b07
GC00156,2eb88cd9-93aa-4403-b930-4d0d8ababa21,2024-03-10,2025-03-10,46.25,Redeemed,20491529ca2da5a0be169450ee7df324
GC00157,1e9a0433-e9bc-421d-9dbb-d2cbf6fb2297,2025-02-20,2026-02-20,91.0,Redeemed,d4e6535d922862613b2461892a0a4954
GC00158,a9cda48f-5bc6-47eb-88d3-50606128be2d,2024-11-09,2025-11-09,182.44,Redeemed,aefb02b5575b73f1f1c1134c36451a95
GC00159,f34607a8-f6d3-427d-acf9-3d905082506b,2024-06-22,2025-06-22,197.06,Active,28abca7df2f9de242e046ea272823797
GC00160,9a261f6c-478e-4a10-96ad-4b76e6f7f43f,2023-12-12,2024-12-11,19.89,Active,7005d1845c50b0b6c84272a2176cc090
GC00161,e6dfc052-6a5e-4aa6-aca6-ff3581a23a84,2024-06-20,2025-06-20,45.86,Expired,40ef8381c899e1fac0935d178df082c3
GC00162,90448626-31aa-4d65-a854-dab84c21bac0,2025-01-31,2026-01-31,79.49,Redeemed,191ffb673b16445dcd934ee6face9437
GC00163,088e7d05-b0ef-4166-acb0-16d57f776a6a,2023-11-10,2024-11-09,247.43,Active,86654089bb7ffd57dc957435f87bc180
GC00164,c0e366b0-4820-408e-94df-b7532085e9c5,2025-03-01,2026-03-01,80.42,Redeemed,fd7d9257026fa3984bb71562b93e0a88
GC00165,d86011eb-bd81-4aee-b905-18ffad895411,2023-10-26,2024-10-25,185.33,Active,748a60b271745f3bd7bb2fcf0700ac08
GC00166,088e7d05-b0ef-4166-acb0-16d57f776a6a,2025-04-06,2026-04-06,83.89,Expired,d46d51020a8b0c7117f91b7945756eb1
GC00167,9a261f6c-478e-4a10-96ad-4b76e6f7f43f,2024-10-20,2025-10-20,184.88,Redeemed,841dccc5c906d281fead2ead63a5d4b8
GC00168,5e419f86-6e6b-4b45-a140-d03228124ecb,2024-08-12,2025-08-12,106.76,Redeemed,573f22b8205083d892ebb05919ad1a71
GC00169,c8a37272-48fa-44ed-a432-b26ea868a892,2025-02-11,2026-02-11,81.81,Active,ad9272b3ba63fe20ebfbc0f7519750df
GC00170,8070fcf1-87d8-48e5-988f-1f369c06cdc1,2024-04-01,2025-04-01,33.86,Redeemed,eeda20ca9c3283758620d4a00d65b349
GC00171,3bb1717d-21cd-470c-9e89-3c63077a1359,2024-08-04,2025-08-04,123.76,Redeemed,5ef9c8ab2b80574dc09de2c30b859ffe
GC00172,bb8f9480-8fc2-46ac-8f93-942acc115626,2023-12-11,2024-12-10,39.84,Active,c8f0e963d37934d44a2d14170241de67
GC00173,422d5e26-8e3d-4eac-b286-f70ead07c1f4,2024-04-25,2025-04-25,177.9,Redeemed,631d397358c5e84bc7ecef51250c0544
GC00174,a5cef112-752a-40ba-b573-df00b771d56a,2024-05-28,2025-05-28,19.08,Redeemed,22d1cb6a8a249ed8c4b5cdb83d65d048
GC00175,67004733-16a8-4c2f-9db5-f4bcfa0a4a3b,2024-10-05,2025-10-05,186.34,Active,7b0ee78e319ce53c1ae59fe70e13b91a
GC00176,ff2d9922-b0db-4e79-9e69-dde9abb78db2,2024-09-21,2025-09-21,230.73,Expired,36f4285ee154e2e909ccb84c7126cad3
GC00177,e6dfc052-6a5e-4aa6-aca6-ff3581a23a84,2024-11-05,2025-11-05,145.48,Expired,185820dd99d6ce8e42cd522b0f4acbc3
GC00178,df600f99-242b-4e78-acfa-07fe39eabd9e,2025-04-23,2026-04-23,30.86,Active,3b28457bf5ade15ee0bd98a7486c6fff
GC00179,6b429bc0-656f-47dd-9580-28efbaf20c9b,2025-01-17,2026-01-17,57.53,Active,e3b8af5b4ecd8a2224a1c758b9f18da3
GC00180,32c5b93f-8271-4c50-a62b-e8f545caaa6f,2024-02-13,2025-02-12,24.68,Active,de616e675ecf7259708851a8a6f48983
GC00181,e073b0a4-d2f4-45a1-b8ce-63b5075e168c,2023-07-14,2024-07-13,33.54,Expired,925b79cb8ac1b56e094dc1113b5863b0
GC00182,02cb4728-42fb-4733-962c-19a1d3c00406,2024-01-18,2025-01-17,134.56,Redeemed,8dcc8c1b5605fb63ce1be8d77d95849d
