InventoryID,ProductID,StoreID,QuantityAvailable,LastRestockDate,ReorderLevel,RowHash
29,1466,4693,203,2025-05-11,44,4d02989fb2a161b67a4c07475afb3c5a4ded19dac5177d91d33bae11b3c7bc5c
30,2839,4315,306,2025-05-11,19,beef07594455573cc6ff67108264bb65ae1aa8759900b96a11605591735ef69b
31,2430,2251,368,2025-05-11,10,d5e1bfd96f6f69a5449ebe3091a43908e8953af4e2426ef0dce5a6b6ed9a8210
32,2890,2165,491,2025-05-11,21,f581f7eaf98125f3a069df03b755423a3e0c8018aa97623fdbe05cc0ef1a3e79
33,3104,457,60,2025-05-11,25,206aa12ad3810d3e23f85f209a783eae9b39a2f40bf952f3a118d4eb29da0da7
34,343,4192,235,2025-05-11,45,cc1f63f8f98acb249a96992749ac88e48703800beae872bc39d6025b88820918
35,2584,4066,183,2025-05-11,50,058f696296af4a87b0ef853dffb63451c104c37eb352620a4a6984dd03112edc
36,4580,1295,19,2025-05-11,26,d06454291ee60550addaa9982b874809346ecb431fe9783840e876d2006e2776
37,2731,3804,62,2025-05-11,18,ff865cb350f9e40f67d1b874a872d9cb7b78f6bdb4bffe05309de8db420cbe8c
38,3181,454,13,2025-05-11,8,6adfa93d39a0247a385b86eb5df4756fbd175e1c47c764574786d17906814515
39,4177,339,122,2025-05-11,47,3c91d088064c8cd15ba48b6e6aaba03e43eae260822fb5215a49a338a868e0a8
40,2638,2640,241,2025-05-11,41,4d1a653c3b6ca8a5fb085a9fa5227c204da4c77e71adfedd76e3a0d17370259f
41,1882,1768,498,2025-05-11,21,06eb8a9f5ead45946d1349024ddcfd07bf7a5fde62dffcaeec4896dd21e9c8c2
42,4881,91,168,2025-05-11,38,670ca2bff3d3e27a2016d9686baf3030e5cef4875542812b6e08a1152f33621e
43,15,3018,55,2025-05-11,6,61961aed45cada933679d4eae43b00fd221b405052dc4b7832d002d2fd7fdc18
44,2458,4653,17,2025-05-11,16,b0b0d3930321f12e704d9de91909a25448dcd1cdbd6dee58b40418557302d71f
45,1205,517,181,2025-05-11,40,82093ef58c9f009893e16c1ff90c23d8085f00a63718463a85006c868aaef241
46,3940,2701,229,2025-05-11,15,e4bec7fe99c4506117ae77749d7dda98477f18d3578e475d376d7ca9cfd03ee6
47,3207,261,428,2025-05-11,33,77902dffd0be89731b4177ca1ad72eb3abd3d54cf44751aa156615cdeee882ac
48,4830,4851,446,2025-05-11,9,adcc3c6d438e55131a466f5eb146b4043e78b0e9f76428cb5e689af2c867d289
49,4548,4557,263,2025-05-11,35,11c59b96ac1770e695de4989a2da642c109c4727cad99fa8d734294e7e3bc0ad
50,2882,4685,345,2025-05-11,19,56c1614efe845168bc235ea556c31cdef3fe516c5262c7000b1113297ef5864e
51,3141,2364,406,2025-05-11,20,bacb14d8552da06a72d3197e9706a2826cf52faf6516d5fcdeb55885f7c57587
52,1120,977,92,2025-05-11,39,247ba45079f514e6625d9a7ca44f9f3e7c12eb9051b68a9daee0b9eff205d67a
53,606,2495,140,2025-05-11,16,df631debb0c9ccee9f52879f1150c8f28cbd0b8821caf27380bac3253b393142
54,4658,67,87,2025-05-11,7,373409c7518610baed6286397d7bbcab250368f3f01a7eb5d3f19ad8c99900c1
55,1041,3791,474,2025-05-11,38,20a611244cf105e35d592b0d961dbcc64ce7bbf8198d02f49400baf273ca3ded
56,310,3277,469,2025-05-11,41,6138fb511c8d9076483f3101778adc771117d6944b30269570d178bddfe01a82
57,2453,368,40,2025-05-11,30,7fa6b061e611a0cb6673d35ff4583bc10008605494f376fb1e98154219c3f073
58,4679,4264,296,2025-05-11,49,b6997932dae8745f596f69e26c4b3686148ffb51cd4295e01b89c8da86d63923
59,1421,378,166,2025-05-11,16,5ccf425ae667959b71649385a0aa9cc42125540fc076df9f0af322aa416ffbf6
60,2943,1425,259,2025-05-11,40,28fecd11f204c9d68b07db5a7d35802e94c463cc949c9da8f2cae888aa0146dd
61,4880,1527,79,2025-05-11,17,5a4e41f748c724a772d19c3a992d42920b132ba0270ac43f71a4dde647898245
62,4193,2234,393,2025-05-11,7,317936dfb3865c663aaee549660466a5451afce3eef796a2fa2a53732a15d4f1
63,3749,4056,14,2025-05-11,15,b0462b052cb314d919f41623797b0f53a4055668d3d7f12a344ed0aeaaec73a1
64,3614,555,78,2025-05-11,17,ea73ec8943000385c4b55323a756984703b6238106cceb9ae469e58097f27e1b
65,3755,2106,374,2025-05-11,47,6bb63615932e3abc8b721dedc1d418ba1b98978d2a2def4dcb905d6ecfaf2bbc
66,2858,4212,0,2025-05-11,27,034e25a4f3730a8a37c88698c34409bc198cc8b8d0530064cc8e6ad7ab4d86b9
67,947,3260,335,2025-05-11,14,a15ff63a038096bad557b04f5fc7da4b683fc1018ca064e10eaddaa976abf713
68,4761,4324,339,2025-05-11,40,f76af84926f76e681ca1ab76544f251755f56a45dc75052f2ac71f3e5239fc1c
69,1932,2160,79,2025-05-11,14,03c36c2feb66ed0cf33d7c3e6570ed221aaaff40c46d23b1a8bc98e80e3b083e
70,1048,2185,379,2025-05-11,26,9550aa31ec49d4996b5638635b153eb48aceea328ac3db750bb1dddf6c8b6beb
71,1467,1101,321,2025-05-11,46,be22b6a637e8c3c9a3b29377a9e91942787722e843566705fb9473d1eec5434b
72,3251,251,435,2025-05-11,37,86f22f37e2674fd4954dd65fcb2a13999076539d5a3e1b24ee4501ddd1344bba
73,4389,1460,75,2025-05-11,6,bc5c2121a2f4a8e0b0715ae00405e512b93fc35b44ed976c26dc5c5120392860
74,1045,1153,199,2025-05-11,50,a261ae2062565dc882150731aca8f0724274eab59acc9ff28d8176509afffbd2
75,1386,1125,12,2025-05-11,19,2905329c87c68e820cd26ba9c7eeffa7ff9cda944011bb5f5851335d1b78faf1
76,2993,196,412,2025-05-11,13,135975bfe50156b434419e6ad1fb5d147ee4c52d16e54009f4ee8d7c2b4492d6
77,4064,3217,322,2025-05-11,34,3026eb132ca3eb50fb2152e2745854f1857e48bdd5d077436c7e834c03868f17
78,3986,1911,183,2025-05-11,33,7f09261769602baacf70d787b79a0aaa3637d5853d777bdf2a15fcbc0a4ef68f
79,3669,4026,500,2025-05-11,25,8e83a7d552a8114e54c1d84be843332205abde18b8ea82a0c78e05e76337bd91
80,977,2635,465,2025-05-11,19,4acb6973d8c25a832b1bf9c90130ca8dd948955ee9ab6260f269b79f48c8282e
81,4212,912,258,2025-05-11,47,e7fceb3273cc3ce3d9a4a0d4bf1e7122370ea628e921e6d6edd14cc342e4441e
82,3541,3250,306,2025-05-11,25,8bad6d5501436b6c2f11fddba5f6e79f396e26fd608d41fe890dfc3826e7b930
83,3555,909,496,2025-05-11,9,c5423fa776600862eeee9cc3ee3f6c3bb69dd7b504bffba7f26a69d79114db25
84,4940,1854,481,2025-05-11,27,0691941b62a4a7c933c1fd456cb39fbcae27a9b3da27fe52a491016fbde38773
85,926,2361,430,2025-05-11,37,43ccd7c61110a1531f687d19d6854b76ebd2ea2708c2cd8c67f221d1bac9d52b
86,1503,4081,289,2025-05-11,48,bc1a148891517490c4381ad0488ce97c9b0400aa0017782a40bb62ceb1229b03
87,4601,2792,335,2025-05-11,31,02b15e8787be8001a3e9cf179762fde3afa3dc618d2acf3234cde97c4bcbe77d
88,3418,1544,26,2025-05-11,37,dfbd0d500255f68fcb2810dd623a39edfbfe0362452f0fa84a04a03cdb6cec42
89,1379,3175,187,2025-05-11,17,7bb5b8a4076997b2b02056bd8ef8ff818fe39f2f4005e1449baa10f695878c8b
90,3829,3216,250,2025-05-11,6,a61a8b5cb51b7dbe8c1f91ab7bcc86957fe46ab07d660524f8c9e7512bf47b99
91,2291,1411,187,2025-05-11,30,272ccc549c7673d634865066a5af7ea1e826f0726ba2928c1a53e3bcaa55c539
92,2591,4009,256,2025-05-11,50,f4dc85131520b7a5a29d16ecaf0c89b754a137c4851bf6fba4d16e08afda3e31
93,2598,347,215,2025-05-11,41,de3860bf094ce95687b310f7e55358e877408112ef827202d9fc4ef08391c0de
94,1773,4385,168,2025-05-11,23,1663ed1870594aeb708bf906be5138798c5e76697dc2a4520c163b0b92ea5bf2
95,3406,4007,103,2025-05-11,29,2e817f015372666d89eef1a88a639342368b9776f208f5cb6ce233967b24680f
96,3129,4070,433,2025-05-11,15,135520065f0b428d179cdc527f71ee1fc43af14c92c99cb0c64902d3ee6338ae
97,2925,2091,163,2025-05-11,11,7b914c885ee60d0e441f8e55482918bec1a3d5467b5df52154d8866c826ae011
98,2076,3710,305,2025-05-11,38,4991d59f71093a2d93cf1e4f72f98a5196fe5a4d2864ffb89af8d9cb9f27d4b5
99,2268,654,121,2025-05-11,43,a3e10dd14f2d2a13249e8220e846d062b375ad115921a529efd6fb0943db9245
100,1753,4756,96,2025-05-11,8,6b03af1945b35b7ba5a50e056aa29079838d567afd37ce55220fd01a3e9201a9
101,651,523,46,2025-05-11,42,b711d0d27671179172c7f023ea40a8d40b4a60e5479525b9aebc29b268cd3d66
102,3696,1548,27,2025-05-11,47,502eb75c4cb6b11de735dd281a7fdd8e0afcf32d66821383b79d43a036f3b0b5
103,4938,2629,483,2025-05-11,5,4f0733821525c643efea749ad2f879fe51699a336a0bf60fe0f05ee2f90626fe
104,1506,757,58,2025-05-11,26,ef7e7cc8e3368343e05c0c4653e1d714b7c665f12a6d2200306bb2033969fb14
105,2840,563,13,2025-05-11,36,595a5a6583492981e57d40650eb16fc0baf99843303acdcc41a2c372e681ffe9
106,2579,4423,454,2025-05-11,26,145c470d99d94656f377c5f80630c4fa4a2dca47fb91f2ff4fa7dbe15a26ddb8
107,1077,2699,336,2025-05-11,46,b4b2e3af6dbda4389bbcf55f5760455d2ed9d6e56f32028fcee1ecc673f45921
108,3477,1027,46,2025-05-11,7,c3347a961f7423584cab8ba85f8d4477a18d72478688fef2a32ae8df7750004d
109,3069,4619,287,2025-05-11,14,cf572b58eaf5a68cea73331938f6d32b11f5a09b0634e52daff9b5d2a03048d1
110,4692,755,40,2025-05-11,39,7df3ca094dfd7033819b78a3ea6a6381ea8d8b9501dcc551900841e50fd60d62
111,1899,1101,350,2025-05-11,31,45ea9b9b9bdd7eb472345abd374b28db59cc4b6eb079a5ae5fbd3ce31eb83970
112,3583,831,204,2025-05-11,32,38698c8256fabb3047d02aae8648d5a14bf246354838d3a3bf78e59fc4bca3f9
113,1954,3204,278,2025-05-11,9,d42f5b60c363c0af34f2fdaf5482a9f3513d9e3a1ccc2122d9385b27ccc5bdfe
114,4520,2869,259,2025-05-11,27,0bdc49b3c318759f0999b151fe3f0882dfa76dbaae012ea839b441b2c5cb44a6
115,524,4156,38,2025-05-11,26,18ceb6c42c81f3b57dfa65f98d66983ecbd2dde0c9729bd1a52e5ec9ef688a4b
116,697,1393,458,2025-05-11,6,1b367d4929db11a60702ea851248d425306182470aceca85668c71b256d345a8
117,2821,424,77,2025-05-11,14,a1122563c893c8200963eb376a0ceb32ecf12f956da26fa435d22085a1ea49c4
118,1125,384,165,2025-05-11,47,ebf6b10923631e332ad921935c302cb9da98920cf74582894c02708ced2c3aa6
119,2754,911,121,2025-05-11,29,2a5a6051f4bd902bb856d02d4ae91d612cd837cb30a318e2f01b34a9de2a0c2d
120,3607,4447,283,2025-05-11,39,7985800258cfdc7796a777f299bf7165ae0da87c9f6e41912dbe4d252c69c39e
121,4647,1434,313,2025-05-11,28,ccb28c8b0339511c68372b9020897d1abcb7cd3dbf89a2d42691a53f63623be6
122,1743,4421,88,2025-05-11,21,e34fa5bd85dc500a99f515f4edad9874a0a252a531b46feb66d552ab386ee58f
123,2227,520,333,2025-05-11,21,eaebf301e5014afc771d20f8380e11c3561c1c9e260e81cd3eca99039841292e
124,1485,1151,13,2025-05-11,31,49601b8cbf8f07f66cb7581e45292bd9186277d691ebdb6f9ea18b385afbc77b
125,3751,2471,441,2025-05-11,16,7a96bb77695f0ac3adb35217e7fe2d2385af1fefcb52b156284679a9fe71754f
126,106,3221,209,2025-05-11,22,cc1c06615f260d250c90892940134a90ec0f8217c167368c91d0e6a3f99aae96
127,3643,2643,108,2025-05-11,31,e753e662dcdd610bef633f6fe667bb888bce4bbc501120c689b1db5d5075aaf3
128,1110,478,112,2025-05-11,39,6b1fa384e4eb6fe7a2cebb8c6d960d1bfbd4eae8ae62dd58119ee6283799fc66
129,1899,2475,219,2025-05-11,46,bc9a79cadc0556298cff0bced2b025709815db304026112b8f18f73d8dfe1493
130,3009,4382,87,2025-05-11,28,0e24e7f5fd196558729545e911b0b15bd4ccfb6f612e75e808f0a7e463057b6d
131,4418,4406,494,2025-05-11,32,0a50c17bb229194f711e9ca120ff077b14a59738d44696ae45a201e2ff0c0a49
132,4155,2490,152,2025-05-11,40,aa6b4c8e2d460e8b335f5d072503e1b99b177e17419a9ebc99b058874ed4fb75
133,4532,787,386,2025-05-11,9,801a2f7025f827012acafdb38dc0c57e28abf19e7eb01ba1c3248cce82a8629f
134,2118,225,407,2025-05-11,11,868676226f76db4386e60c02ea93d57f915f4385f5b4d9dea01b30deb7cd665e
135,4206,1730,421,2025-05-11,45,1479adbd1e969c699b6fcdb1c72e20dd5a2dcac1177cd5d3d7a0ee7b5c690ce8
136,1378,4351,300,2025-05-11,15,424396c1c5ab64eb41e465bab03482d20521770bc536d62115652bcd37c1d8af
137,3393,4629,153,2025-05-11,47,26246b697e63d9b76ee4fc2c35d3d2251925df62b3a0227a17db2884101e5982
138,768,1589,159,2025-05-11,49,f692923eb6660ae980306bee6fb1bdde0afca27eebe1e5100bb152482bcdd1e2
139,1085,3845,237,2025-05-11,15,3b7dfcf929468fd4e1a680db484bea4d57a3cc809d39c4f9286211c6bd634e40
140,610,556,198,2025-05-11,47,22aff6edbaffa98c2d1c64beb4467313766cddb2ac78cb29bd06f5ea8a349dc1
141,3978,2151,29,2025-05-11,22,a00976c9d848ea7838884550c4eaef1ad1682df1f378aa8b12e1346563f99c7e
142,1803,2416,150,2025-05-11,17,2e188ac4890a5c3596019b50b36e20ecd0748d851877a0b07f6d8aeffe5b8916
143,3016,3256,110,2025-05-11,19,139ed9c72e7e72000ccc4ec9f3f65577b3c1a070a8c8bff5e6478ae67cac967e
144,3117,2943,219,2025-05-11,39,607d681968a7fed299dda9b6d1c8bfda2acca151ba63feea4331a5d5e19015a6
145,4820,4076,160,2025-05-11,5,91bd8daf3c6fd61cbae052113836744324f471319b45450af6c7cc4b673d13f2
146,3752,981,439,2025-05-11,45,bda46c715d302f7a5579121bf64d00844f65fb6387670b2eca8dac63247e7cf8
147,1474,2051,1,2025-05-11,14,52f4ae87c313fd054ff447c19b50baef1abec08b153624d76d6854b46a5dc182
148,3685,4547,84,2025-05-11,23,bc0adb59e3b8c5e81552aedfba99ed1bdecfd4ffccd18c38e8c73ccdb7b19a21
149,1939,3875,209,2025-05-11,30,0547bd8ec9abe6a1393e10a0cad4dcca4b1d4564e9918aff856c050636527dc2
150,1191,3333,40,2025-05-11,48,dbfd1ec0ea1f6c5183e3efa34d4ebfe52a4a1ece67237fce346475eb71abb199
151,532,4007,376,2025-05-11,14,e95be2297021a69b5bab22fa00e55e47e732b3409b62c0242e755732aa1458fd
152,2125,4061,410,2025-05-11,26,5f396b194bef77436b7f60bbd8b0c3615db1d5e1c415bc9bbb9b329d9e88851e
153,4000,358,362,2025-05-11,23,6243f632f33fd8619f1a10bd37965c7627ef5bce11eb5538b02f98b13a780c89
154,4975,2468,468,2025-05-11,42,fb3eefe94e4debf4559f1c32432c4b8455463f57d8942d82c8886c25e842f2b0
155,4414,2999,124,2025-05-11,24,93cc6103ff610299bd8abfb4bff85b2bfbbcb04d85a3cdf93c62abaedc5c4339
156,3443,355,66,2025-05-11,30,00c5c1412d40a795aaebd6a377733e135096559f1bfb0c5a2416d89a576887bf
157,3365,1973,431,2025-05-11,28,318ea176d4da0ff65144c213b63d0af3c2a1a64cfe15445aba052cb25a08c6a2
158,2991,2259,123,2025-05-11,12,f7c45c36a725c1e9fd9dc9f17b3d0f7e55becdc8ca1b2243e94687f5611a4a1e
159,1772,4195,129,2025-05-11,46,37d4dd8e56b71855a262f296fcf90af8a1efad1996fc1d8c21e193560a427832
160,4185,1973,318,2025-05-11,21,f57357df99ec2e399073dad281185a0fbb8eeffacd5854a715b282b175fc1af9
161,3885,2872,232,2025-05-11,44,a3f8cc170c413b90d91c6c1c68cab95ae29c0b9aa4618ee2b26517b8b51c1074
162,1077,2346,393,2025-05-11,21,bf22110448e3ea2ef3136d29a795e7d0e014acdcb8193edce95237d645365a49
163,2873,1039,468,2025-05-11,6,df3d3e01c9ce34a28a7335f3f92a7fb77118f44fb67f70386820866ae560a9e5
164,3535,218,170,2025-05-11,17,cd715b2dab1c6e27949b5a0557c1494b41f0783defef691b70bb15bf080825dd
165,2945,605,58,2025-05-11,40,df9686bc67cf4f765b540ea630c39c58c13f3ab333cea7cfdfe277cda8ce582d
166,2778,619,445,2025-05-11,9,5dae9f386de7851da28b87aa97bedebdfb95515ff19a9225dfdbfd4d20355a14
167,4814,4919,474,2025-05-11,47,605f22c0642034f5d01c0d193112c2f73226eaf96f56383bb4fada47d3cf32d4
168,2087,3688,24,2025-05-11,32,77a721a797e94855369c7a800fe0ff5f5af914f13adb028e886b41ead0985cca
169,3015,3793,246,2025-05-11,38,d30a73800abd303205958da7264687c951b4fd975f54cd7a9f1067d2eb50c2e5
170,255,1588,259,2025-05-11,28,f64f7e3c17911f04465a75e460cfd98d28e141eba8a14e8a1aa4a4328293df10
171,1879,3589,9,2025-05-11,45,7ad6797f7439e565d7dd56eb17fac2e79124eeb2a55dac4791e77f5a44fa4762
172,1054,1977,437,2025-05-11,29,3c0e63aac3ad836be687d62c67b610cb235a9144feffabafb2ed8a470598c5f7
173,4233,64,192,2025-05-11,36,d66d0b69c5213bca674d2b9e564936280354bfb7b6309a705b6496a28b8c280c
174,2759,2647,250,2025-05-11,31,c620948674378f3a75c9a08c75244b3c4f3fe44ce692c8c77cfa5ccb7737e91e
175,4290,2549,165,2025-05-11,38,99ba19552920054690cbbe2df028d5d2cc162688a42506524d2bf18f37fe6817
176,4417,4234,108,2025-05-11,38,50d71306f6224c5c5c4ec26ee509b3a6093a9e8e87d456029566db1ce5b66ec6
177,390,3829,298,2025-05-11,22,69ce43c433826d20fa4cebece9f6f449b1ccf4112c49b6afbcd95876869785aa
178,2674,478,472,2025-05-11,47,8c34f0ec1328c2adf3d350b6cf5c892f9ad80f0797881651b75973df2528ed4c
179,4193,3568,216,2025-05-11,20,cf3538c15cc04c11e45fdc32e1c6a1004649752d17e08a52ffb3ca355a6bcc7d
180,458,1011,382,2025-05-11,32,65221db3a2a4e6273ff88798766a810b43ffe6d0835f6d186fe9573dc49e37b0
181,1564,3605,172,2025-05-11,32,94ef136a8d047ec84d17d2a195d1b1a553341d4c03551ce042a25da735bc66d0
182,1057,1074,316,2025-05-11,13,789dc3eba259874e483f96561c64c7afb928664a13898bdfd91494b02d7dfedf
183,1048,275,117,2025-05-11,5,b97689853f42476dc6b9e506436da0fcb080cfae4fd982b57133d4e42bcebbf4
184,1426,569,52,2025-05-11,25,acbac89eafa4889815a19ac1e9ea418fbcb24cad4ba5d7713e95c33be8552111
185,4046,1895,155,2025-05-11,40,2416c519e8c20f0aa54f7268dcb4f8cea474bc0e8cd09b156adad44af9588846
186,1080,2419,437,2025-05-11,12,7f18918c93199fcae2730edb43c87ab4e3e40fb8d7898e1bafb79715aeb5c9d3
187,1497,2891,482,2025-05-11,10,7dd7143d632a2eb9784bf80c752d483e9bbb157b6c8d24af9251ae94237f0438
188,2677,2302,149,2025-05-11,37,ec7834de5908ecf8669a51e1e7240d1f375ccd27d5aadbe2b04667364704aa45
189,1676,2983,379,2025-05-11,37,9cb16a1f4f49094205550333e4c0ffa1f8fbadfb91d3fe4b12f68cca2bed4a61
190,3851,2711,428,2025-05-11,9,4e42f5edaf6c6f0d6250fa1a59c7e5010d4b9b5ef0f6001828ac9819f05c14ae
191,4044,4117,264,2025-05-11,50,140830fddce143fb5d6b4bd70cf7d4c5b1bf664557269095522fadec91d7363a
192,3618,4644,164,2025-05-11,40,f147e691ca9b75f7dd8d78eda49e8486c3afb2c5f10cf1ad09d1eb007199618c
193,997,1596,73,2025-05-11,27,ee97e2dc2e8016148fc74597bf6f5a209766fdb8e6942d01aee1078f737592eb
194,2820,3568,474,2025-05-11,14,c3f2b4602362950b26844af2d2f28e296118dbd23ffb591dbdbe4f8d5c6a3226
195,1823,1675,211,2025-05-11,48,02ff55674060a526a1809cbceff67beaeec9deb91dfd81b543f757350e433ca0
196,3536,1084,107,2025-05-11,6,af59f43125bfb637ac4108bbb7a7e08135314f3c736fdefb8c67b8dbcf49608d
197,2125,777,62,2025-05-11,35,177372df5553f07e8fa7f8ed9cb5427a6760abe4b99a3c8101750419854f5974
198,763,1158,290,2025-05-11,35,481a54fbe8e2d31e113d40b6937baf03bb7a56c775acea60f2bb348031f38378
199,4622,4674,428,2025-05-11,50,e35906474ff355e4549f3c9e380232d06ab1a876c2c44644068883a815a9a8cb
200,4555,2603,142,2025-05-11,33,1f8ebaf27f382c62fd42874647aec267d2e9495fb8f749f08bba0bd21074f44f
201,3341,268,60,2025-05-11,24,26c2181b14b8a2aad3fcf102a2a1072486bf2b6ec751da08e8c8573298d7befd
202,3033,4161,201,2025-05-11,33,d7d1dd0bf197384212ff76c8a8f2f0dd871d2ae1d1b29d473899e47eed08b539
203,3064,756,385,2025-05-11,9,8d8ca1e061884b9bcbe30aa14ba67a62caf4206680c07684b090c9103ba777be
204,1747,897,57,2025-05-11,15,353208a05bfb5564779bc956665d0b315749de4c69882560c5afce230264b4cf
205,4823,2217,494,2025-05-11,49,861dd56c7d7dff49f8c85ca276db6db5614d2f9f15ee7562dd184ce264b7ede4
206,1490,432,241,2025-05-11,50,5a87874c91baf20ed779501aab9f09ba432ee95ed93b79e626b2cc6a578b9e58
207,2794,4113,206,2025-05-11,22,18b766835dfaa92d89ef5e73a75d204ef8b4697415911f1c801644da6f06f71f
208,479,4481,33,2025-05-11,32,1d113bbfbe94886a48ec88e3d5c1eb521479a30b7a5a16945b01f1656a0a78e2
209,4406,2787,90,2025-05-11,47,3432bada58b2f4a4c4e405b78e8762773300216ffe9d1b28da7bc0c6841f16a1
210,4469,2616,22,2025-05-11,38,77f3f634973c340b266238c7e42db98922f7bdead490df5b6ad20bdc00875c4c
211,1336,1308,132,2025-05-11,32,d9bfc492be35fb69101f81c2951a2a7255302f333eb7d9efe32508cc8897d96e
212,1166,729,102,2025-05-11,15,ed513106b930185f3c23df59380fb93f2f5e3d722e3ee060df4190c77f0e7f5a
213,3585,227,116,2025-05-11,13,4d314646c349aea237a1f30216a934ba74ee2d0fe1a196a635b37b3185a392ea
214,344,3707,368,2025-05-11,5,fef8e8495367fe53cfc71e50dedc4b83075ea0dcc245bd41c95daca1c84bd409
215,2577,3274,86,2025-05-11,25,8074cf24cfb5bd1d3cdee5d9aec0aab929ebd59b4bbd1ec86961b01c9c513e36
216,1721,4539,383,2025-05-11,42,63f51094dfce5e16d602d168649375b2fb4c5833ffcdfefd41f39e394f71173f
217,2272,4584,367,2025-05-11,22,4e8dfbb1f6003c581a90bcbab4989e2ec5128bce7337956034b9e42803194644
218,811,1997,85,2025-05-11,41,bba4066387366004ae825f213a99e95b42baeec1496cca38cdbbf86404a37dbb
219,2200,2514,188,2025-05-11,33,dc5236145bfe67e019837bbe7795feb19f046c5ada6456abe1b13f40fa2a5d46
220,1849,3128,470,2025-05-11,19,8a8912a3fe3499cbc2e4da30b0528563b0b54c95446ed03e1206c32c6f2cb80b
221,235,3880,110,2025-05-11,17,5802ba19b7fbba0e8a53ad3d517aad63378091ab195e3d87c8c336e888e26146
222,4264,2685,266,2025-05-11,31,e2a0a925be55f8b6795c93899ce9d85baa1e23a4f1709ed7d95e5ad1755d022b
223,2475,3347,441,2025-05-11,36,cc944068b74c708353b3d605402805a35b261c8f74e61fc75916919faba8c097
224,4779,1235,425,2025-05-11,19,9380f2dca38348af44f206cf893ee92a32e422b8b9c202172888c185304bbe23
225,1417,1775,72,2025-05-11,17,975b833cab087c2fb94fbe589c80e0200dd15e713ae44024aefb8b3162c74b37
226,1176,1384,85,2025-05-11,42,6b0c660235ee7746411654a630edd7a2a14a044af39fcc9babc6b9df18cb5564
